region_id,region_name,region_type,lon_min,lat_min,lon_max,lat_max,population,avg_income,social_density,demand_index
1,TX Gold Stores,state,-98.95975999999999,29.03482,-94.84182000000001,33.10552448979592,4530000,93500,31.0,95
2,CA Gold Stores,state,-122.75993,32.33587,-116.72798,38.154180000000004,3270000,83000,23.5,95
3,AZ Gold Stores,state,-112.43014,33.12187,-111.68005000000001,33.86146,1590000,69000,13.5,74
4,PA Gold Stores,state,-75.99486999999999,39.373999999999995,-74.83098000000001,40.30196,1590000,69000,13.5,74
5,OH Gold Stores,state,-83.45824999999999,39.55162,-82.47035000000001,40.331070000000004,1380000,67250,12.25,70
6,WA Gold Stores,state,-122.69278999999999,47.25005,-121.97902,47.97974,1380000,67250,12.25,70
7,IN Gold Stores,state,-86.55413999999999,39.4488,-85.65962,40.18721,1170000,65500,11.0,66
8,FL Gold Stores,state,-82.00551,29.87222,-81.21782,30.673820000000003,1170000,65500,11.0,66
9,IL Gold Stores,state,-87.99117,41.5834,-87.29117000000001,42.2834,960000,63750,9.75,62
10,NC Gold Stores,state,-81.11774,34.876129999999996,-80.41774000000001,35.57613,960000,63750,9.75,62
