PRODUCT_SK,SOURCE_SYSTEM,SOURCE_PRODUCT_ID,SKU,PRODUCT_NAME,CATEGORY,CURRENT_COST_PRICE,CURRENT_RETAIL_PRICE,INSERT_DT,UPDATE_DT
801,NetSuite,985,SKU-100985,Nordcrest Basketball 985,TEAM_SPORTS,107.4,213.07,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
802,NetSuite,986,SKU-100986,Hydrawave Cycling Jersey 986,CYCLING,201.66,298.85,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
803,NetSuite,987,SKU-100987,Ironkinetic Base Layer Top 987,ACTIVEWEAR,53.89,95.17,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
804,NetSuite,988,SKU-100988,Ironkinetic Compression Shorts 988,ACTIVEWEAR,25.68,45.03,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
805,NetSuite,989,SKU-100989,Hydrawave Heart Rate Strap 989,FITNESS_DEVICES,361.73,512.54,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
806,NetSuite,990,SKU-100990,Canyonridge Sleeping Bag 990,,181.89,310.33,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
807,NetSuite,991,SKU-100991,Velocityworks Cross-Training Shoe 991,FOOTWEAR,136.4,253.91,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
808,NetSuite,992,SKU-100992,Velocityworks Daypack 992,OUTDOOR,61.78,83.41,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
809,NetSuite,993,SKU-100993,Trailforge Tent 993,CAMPING_HIKING,245.1,379.82,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
810,NetSuite,994,SKU-100994,Hydrawave Adjustable Dumbbells 994,STRENGTH_TRAINING,172.01,251.77,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
811,NetSuite,995,SKU-100995,Summitpulse Foam Roller 995,RUNNING,59.54,95.54,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
812,NetSuite,996,SKU-100996,Nordcrest Carabiner Set 996,CLIMBING,116.8,197.8,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
813,NetSuite,997,SKU-100997,Trailforge Hydration Belt 997,RUNNING,95.82,144.59,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
814,NetSuite,998,SKU-100998,Velocityworks Basketball 998,TEAM_SPORTS,192.73,370.34,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
815,NetSuite,999,SKU-100999,Peakgear Trekking Poles 999,OUTDOOR,227.82,415.23,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
816,NetSuite,1000,SKU-101000,Ironkinetic Kettlebell 1000,STRENGTH_TRAINING,210.02,293.88,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
817,NetSuite,1001,SKU-101001,Nordcrest Bike Light Set 1001,CYCLING,33.38,55.33,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
818,NetSuite,1002,SKU-101002,Peakgear Running Shoe 1002,FOOTWEAR,19.76,41.12,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
819,NetSuite,1003,SKU-101003,Canyonridge Water Filter 1003,CAMPING_HIKING,91.06,124.23,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
820,NetSuite,1004,SKU-101004,Ironkinetic Trail Runner 1004,FOOTWEAR,21.06,32.51,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
821,NetSuite,1005,SKU-101005,Ironkinetic Carabiner Set 1005,CLIMBING,91.02,176.32,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
822,NetSuite,1006,SKU-101006,Canyonridge Heart Rate Strap 1006,FITNESS_DEVICES,140.89,206.39,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
823,NetSuite,1007,SKU-101007,Hydrawave Camping Stove 1007,CAMPING_HIKING,20.18,27.8,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
824,NetSuite,1008,SKU-101008,Hydrawave Foam Roller 1008,RUNNING,166.88,269.72,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
825,NetSuite,1009,SKU-101009,Summitpulse Running Socks 1009,RUNNING,80.3,111.28,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
826,NetSuite,1010,SKU-101010,Hydrawave Badminton Set 1010,RACQUET_SPORTS,84.93,139.44,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
827,NetSuite,1011,SKU-101011,Peakgear Carabiner Set 1011,CLIMBING,101.17,144.75,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
828,NetSuite,1012,SKU-101012,Canyonridge   Trail     Runner 1012,FOOTWEAR,93.87,167.29,2026-03-29T02:30:17.954004Z,2026-03-29T02:30:17.954004Z
