case_entity_id,case_id,entity_id,role,evidence_score
1,1,1,seed,96.0
2,1,2,shared_order,96.0
3,1,4,refund_method,96.0
4,1,3,store,96.0
5,2,5,seed,96.0
6,2,6,shared_order,96.0
7,2,8,refund_method,96.0
8,2,7,store,96.0
9,3,9,seed,94.0
10,3,10,shared_order,94.0
11,3,12,refund_method,94.0
12,3,11,store,94.0
13,2,1,seed,93.0
14,2,13,shared_order,93.0
15,2,8,refund_method,93.0
16,2,14,store,93.0
17,4,15,seed,93.0
18,4,16,shared_order,93.0
19,4,18,refund_method,93.0
20,4,17,store,93.0
21,5,19,seed,92.0
22,5,20,shared_order,92.0
23,5,22,refund_method,92.0
24,5,21,store,92.0
25,1,23,seed,92.0
26,1,24,shared_order,92.0
27,1,4,refund_method,92.0
28,1,21,store,92.0
29,1,25,seed,92.0
30,1,26,shared_order,92.0
31,1,4,refund_method,92.0
32,1,27,store,92.0
33,1,23,seed,92.0
34,1,28,shared_order,92.0
35,1,4,refund_method,92.0
36,1,29,store,92.0
37,3,15,seed,91.0
38,3,30,shared_order,91.0
39,3,12,refund_method,91.0
40,3,31,store,91.0
41,2,32,seed,91.0
42,2,33,shared_order,91.0
43,2,8,refund_method,91.0
44,2,29,store,91.0
45,2,34,seed,90.0
46,2,35,shared_order,90.0
47,2,8,refund_method,90.0
48,2,36,store,90.0
49,3,37,seed,89.0
50,3,38,shared_order,89.0
51,3,12,refund_method,89.0
52,3,29,store,89.0
53,5,39,seed,89.0
54,5,40,shared_order,89.0
55,5,22,refund_method,89.0
56,5,41,store,89.0
57,5,42,seed,89.0
58,5,43,shared_order,89.0
59,5,22,refund_method,89.0
60,5,44,store,89.0
61,2,45,seed,89.0
62,2,46,shared_order,89.0
63,2,8,refund_method,89.0
64,2,47,store,89.0
65,4,48,seed,89.0
66,4,49,shared_order,89.0
67,4,18,refund_method,89.0
68,4,50,store,89.0
69,4,9,seed,88.0
70,4,51,shared_order,88.0
71,4,18,refund_method,88.0
72,4,52,store,88.0
73,5,53,seed,87.0
74,5,54,shared_order,87.0
75,5,22,refund_method,87.0
76,5,55,store,87.0
77,6,9,seed,86.0
78,6,56,shared_order,86.0
79,6,57,refund_method,86.0
80,6,29,store,86.0
81,4,58,seed,85.0
82,4,59,shared_order,85.0
83,4,18,refund_method,85.0
84,4,60,store,85.0
85,2,61,seed,85.0
86,2,62,shared_order,85.0
87,2,8,refund_method,85.0
88,2,63,store,85.0
89,2,64,seed,85.0
90,2,65,shared_order,85.0
91,2,8,refund_method,85.0
92,2,66,store,85.0
93,2,67,seed,84.0
94,2,68,shared_order,84.0
95,2,8,refund_method,84.0
96,2,69,store,84.0
97,7,70,seed,83.0
98,7,71,shared_order,83.0
99,7,73,refund_method,83.0
100,7,72,store,83.0
101,8,9,seed,83.0
102,8,74,shared_order,83.0
103,8,76,refund_method,83.0
104,8,75,store,83.0
105,5,77,seed,83.0
106,5,78,shared_order,83.0
107,5,22,refund_method,83.0
108,5,79,store,83.0
109,9,23,seed,81.0
110,9,80,shared_order,81.0
111,9,82,refund_method,81.0
