item_id,order_id,product_id,quantity,unit_price,fulfilled_from
62419,50453,564,2,780,88
62420,50453,558,3,680,88
62421,50453,579,2,155,88
62422,50453,568,2,310,88
62423,50453,572,2,170,88
62424,50454,564,2,780,81
62425,50454,559,1,520,81
62426,50454,575,3,130,81
62427,50454,580,2,210,81
62428,50454,578,2,520,81
62429,50455,563,2,220,80
62430,50455,576,3,360,80
62431,50455,566,3,240,80
62432,50456,554,1,160,87
62433,50456,565,2,195,87
62434,50456,577,2,640,87
62435,50457,562,2,260,86
62436,50457,572,1,170,86
62437,50457,564,2,780,86
62438,50457,573,2,145,86
62439,50457,577,3,640,86
62440,50458,570,2,115,85
62441,50459,576,2,360,83
62442,50459,562,1,260,83
62443,50459,580,1,210,83
62444,50459,559,1,520,83
62445,50460,557,1,420,
62446,50460,570,1,115,
62447,50460,573,1,145,
62448,50460,551,1,125,
62449,50461,567,1,145,79
62450,50461,571,1,185,79
62451,50461,570,3,115,79
62452,50462,564,2,780,83
62453,50462,575,2,130,83
62454,50463,570,2,115,82
62455,50463,560,2,180,82
62456,50464,556,2,275,82
62457,50464,554,3,160,82
62458,50464,565,3,195,82
62459,50465,573,3,145,82
62460,50465,561,1,140,82
62461,50466,578,2,520,81
62462,50466,574,3,190,81
62463,50466,569,1,89,81
62464,50466,562,1,260,81
62465,50467,577,1,640,83
62466,50467,569,3,89,83
62467,50467,579,1,155,83
62468,50468,554,3,160,
62469,50469,574,3,190,81
62470,50469,560,2,180,81
62471,50469,551,2,125,81
62472,50469,558,3,680,81
62473,50470,559,3,520,88
62474,50470,559,2,520,88
62475,50470,580,3,210,88
62476,50470,577,1,640,88
62477,50470,554,3,160,88
62478,50471,563,1,220,81
62479,50472,552,3,210,79
62480,50472,561,2,140,79
62481,50473,562,3,260,84
62482,50473,570,3,115,84
62483,50473,580,3,210,84
62484,50473,559,1,520,84
62485,50473,576,1,360,84
62486,50474,564,1,780,83
62487,50474,558,3,680,83
62488,50474,551,2,125,83
62489,50475,579,1,155,79
62490,50475,570,3,115,79
62491,50476,557,3,420,
62492,50476,570,3,115,
62493,50476,554,2,160,
62494,50477,560,3,180,83
62495,50477,572,2,170,83
62496,50477,577,3,640,83
62497,50477,581,2,135,83
62498,50478,558,2,680,79
62499,50478,556,2,275,79
62500,50479,576,3,360,84
62501,50480,563,2,220,82
62502,50480,577,3,640,82
62503,50480,572,1,170,82
62504,50481,563,1,220,84
62505,50481,572,2,170,84
62506,50481,553,3,95,84
62507,50481,566,3,240,84
62508,50482,564,2,780,78
62509,50482,562,2,260,78
62510,50482,554,2,160,78
62511,50483,556,1,275,79
62512,50483,569,2,89,79
62513,50483,565,3,195,79
62514,50484,554,3,160,
62515,50484,566,2,240,
62516,50484,581,3,135,
62517,50484,571,1,185,
62518,50485,570,2,115,85
62519,50485,567,1,145,85
62520,50486,552,1,210,87
62521,50486,561,2,140,87
62522,50486,560,3,180,87
62523,50487,564,3,780,86
62524,50488,567,1,145,83
62525,50489,578,2,520,88
62526,50489,557,3,420,88
62527,50489,558,2,680,88
62528,50490,574,2,190,82
62529,50491,576,1,360,79
62530,50492,567,1,145,
62531,50492,579,2,155,
62532,50493,560,1,180,78
62533,50494,553,1,95,78
62534,50494,575,1,130,78
62535,50494,565,2,195,78
62536,50495,556,1,275,83
62537,50495,558,2,680,83
62538,50495,559,3,520,83
62539,50495,576,3,360,83
62540,50496,555,1,340,81
62541,50497,566,1,240,82
62542,50497,560,3,180,82
62543,50497,565,3,195,82
62544,50498,565,3,195,88
62545,50498,562,1,260,88
62546,50499,557,1,420,78
62547,50499,565,1,195,78
62548,50499,574,2,190,78
62549,50499,553,1,95,78
62550,50500,581,1,135,
62551,50500,558,1,680,
62552,50501,565,2,195,77
62553,50501,551,3,125,77
62554,50501,564,3,780,77
62555,50501,552,3,210,77
62556,50501,557,2,420,77
62557,50502,562,3,260,86
62558,50502,577,2,640,86
62559,50502,559,2,520,86
62560,50502,564,2,780,86
62561,50503,579,1,155,85
62562,50503,552,1,210,85
62563,50504,576,2,360,86
62564,50504,574,3,190,86
62565,50504,573,3,145,86
62566,50505,572,3,170,86
62567,50506,559,1,520,85
62568,50506,557,3,420,85
62569,50507,579,1,155,79
62570,50508,553,2,95,
62571,50508,558,1,680,
62572,50509,558,3,680,83
62573,50509,574,3,190,83
62574,50509,552,3,210,83
62575,50510,575,3,130,85
62576,50510,558,2,680,85
62577,50510,555,2,340,85
62578,50510,562,2,260,85
62579,50511,561,1,140,82
62580,50511,564,2,780,82
62581,50512,555,1,340,82
62582,50512,567,1,145,82
62583,50513,561,3,140,88
62584,50513,560,1,180,88
62585,50513,580,2,210,88
62586,50513,566,2,240,88
62587,50514,575,1,130,87
62588,50514,551,1,125,87
62589,50514,561,1,140,87
62590,50514,574,3,190,87
62591,50515,555,2,340,78
62592,50515,581,2,135,78
62593,50515,557,2,420,78
62594,50516,555,3,340,
62595,50516,566,2,240,
62596,50517,564,3,780,83
62597,50517,579,2,155,83
62598,50517,566,1,240,83
62599,50517,552,3,210,83
62600,50517,574,3,190,83
62601,50518,575,1,130,83
62602,50518,572,3,170,83
62603,50518,561,3,140,83
62604,50518,575,2,130,83
62605,50519,561,2,140,81
62606,50520,558,3,680,77
62607,50520,551,2,125,77
62608,50520,574,2,190,77
62609,50520,557,2,420,77
62610,50521,573,3,145,85
62611,50521,558,2,680,85
62612,50521,573,1,145,85
62613,50522,560,1,180,80
62614,50522,556,1,275,80
62615,50522,572,1,170,80
62616,50522,561,3,140,80
62617,50522,551,2,125,80
62618,50523,554,3,160,77
62619,50523,580,2,210,77
62620,50523,570,2,115,77
62621,50524,559,2,520,
62622,50524,556,3,275,
62623,50524,557,3,420,
62624,50525,581,1,135,87
62625,50525,568,1,310,87
62626,50525,552,1,210,87
62627,50526,559,1,520,88
62628,50526,561,1,140,88
62629,50526,569,3,89,88
62630,50526,560,3,180,88
62631,50526,575,1,130,88
62632,50527,575,1,130,79
62633,50527,575,2,130,79
62634,50527,576,3,360,79
62635,50527,577,3,640,79
62636,50527,558,2,680,79
62637,50528,558,1,680,78
62638,50529,563,1,220,77
62639,50529,573,1,145,77
62640,50529,552,2,210,77
62641,50530,557,3,420,83
62642,50531,578,2,520,84
62643,50531,572,3,170,84
62644,50532,562,2,260,
62645,50532,573,3,145,
62646,50533,567,3,145,79
62647,50533,552,3,210,79
62648,50533,565,3,195,79
62649,50534,564,3,780,78
62650,50534,561,3,140,78
62651,50534,558,1,680,78
62652,50534,569,1,89,78
62653,50534,559,3,520,78
62654,50535,571,2,185,80
62655,50535,563,2,220,80
62656,50535,555,3,340,80
62657,50535,570,1,115,80
62658,50535,581,3,135,80
62659,50536,577,3,640,85
62660,50536,564,3,780,85
62661,50536,579,1,155,85
62662,50536,575,2,130,85
62663,50537,557,1,420,83
62664,50537,563,3,220,83
62665,50537,578,3,520,83
62666,50538,556,2,275,88
62667,50539,551,3,125,81
62668,50539,551,1,125,81
62669,50540,569,1,89,
62670,50540,581,1,135,
62671,50540,575,1,130,
62672,50540,570,1,115,
62673,50541,576,1,360,77
62674,50541,552,2,210,77
62675,50541,561,2,140,77
62676,50541,553,3,95,77
62677,50541,576,3,360,77
62678,50542,570,2,115,84
62679,50543,561,2,140,79
62680,50543,568,3,310,79
62681,50543,551,3,125,79
62682,50543,575,2,130,79
62683,50543,564,2,780,79
62684,50544,555,3,340,87
62685,50544,575,3,130,87
62686,50544,568,1,310,87
62687,50544,576,3,360,87
62688,50544,564,2,780,87
62689,50545,572,2,170,85
62690,50546,578,3,520,83
62691,50546,562,3,260,83
62692,50547,564,2,780,78
62693,50547,580,2,210,78
62694,50548,553,2,95,
62695,50548,572,3,170,
62696,50549,572,1,170,84
62697,50550,578,3,520,88
62698,50550,552,2,210,88
62699,50550,562,1,260,88
62700,50550,560,2,180,88
62701,50550,579,2,155,88
62702,50551,579,1,155,81
62703,50551,576,3,360,81
62704,50551,574,1,190,81
62705,50551,557,1,420,81
62706,50552,567,3,145,88
62707,50552,577,1,640,88
62708,50552,556,1,275,88
62709,50552,561,2,140,88
62710,50552,560,1,180,88
62711,50553,564,3,780,86
62712,50553,553,1,95,86
