post_id,influencer_id,platform,external_post_id,post_text,posted_at,likes_count,shares_count,comments_count,views_count,sentiment_score,virality_score,detected_products,momentum_flag,processed_at,created_at
1,192,Compliance Signal,ext_compliance_signal_00000001,GxP revision queue increased for trial supply-class products this week,2026-04-13T08:42:59Z,1828,1608,367,42312,0.911,,1,rising,,2026-04-13T09:16:48Z
2,202,Compliance Signal,ext_compliance_signal_00000002,FDA watchlist update mentions mRNA LNP Clinical Batch; NorthStar Health System allocation plan should be reviewed,2026-03-19T10:48:54Z,9843,911,690,47914,0.33,,2,rising,,2026-04-13T09:16:48Z
3,134,Regulatory Notice,ext_regulatory_notice_00000003,Quality Review notice cross-references Isopropyl Alcohol 99% from NorthStar Health System; compliance confirmation requested,2026-03-17T11:03:49Z,209,86,22,16068,0.715,,3,normal,,2026-04-13T09:16:48Z
4,226,Supply Quality Notice,ext_supply_quality_notice_00000004,Care Logistics route restriction affects inbound Corrosion Inhibitor CI-128; NorthStar Health System shipments may need alternate lanes,2026-03-29T12:30:03Z,705,88,38,13135,0.766,,4,normal,,2026-04-13T09:16:48Z
5,336,Cold Chain Bulletin,ext_cold_chain_bulletin_00000005,Plant outage bulletin references NorthStar Health System capacity for Silicone Defoamer SD-20; care sites should watch allocation,2026-03-31T00:24:53Z,287,24,13,8245,0.146,,5,normal,,2026-04-13T09:16:48Z
6,113,Cold Chain Bulletin,ext_cold_chain_bulletin_00000006,Manufacturer quality desk flagged more purity-drift investigations than normal,2026-04-04T04:39:01Z,797,33,46,15377,0.831,,6,normal,,2026-04-13T09:16:48Z
7,304,Supply Quality Notice,ext_supply_quality_notice_00000007,Purity drift report opened for CarePath Clinics Methyl Ethyl Ketone; QA teams should inspect recent lots,2026-04-07T05:34:14Z,493,90,22,4162,0.276,,7,normal,,2026-04-13T09:16:48Z
8,231,Supply Quality Notice,ext_supply_quality_notice_00000008,Allocation notice issued for Toluene Replacement Blend; CarePath Clinics prioritizing contracted care sites first,2026-04-08T16:04:40Z,4714,1876,775,167924,0.82,,8,rising,,2026-04-13T09:16:48Z
9,422,Regulatory Notice,ext_regulatory_notice_00000009,New manufacturer qualification started for CarePath Clinics n-Butyl Acetate; risk team tracking certificates,2026-03-28T10:05:59Z,9598,1720,561,48387,0.26,,9,rising,,2026-04-13T09:16:48Z
10,445,Compliance Signal,ext_compliance_signal_00000010,Storage compatibility warning updated for Green Trial Supply GS-12; verify segregation before receiving CarePath Clinics lots,2026-04-09T21:31:07Z,131,24,0,3067,0.574,,10,normal,,2026-04-13T09:16:48Z
11,308,Capacity Alert,ext_capacity_alert_00000011,GxP revision queue increased for trial supply-class products this week,2026-04-08T13:11:18Z,460,32,12,4671,0.299,,11,normal,,2026-04-13T09:16:48Z
12,320,Compliance Signal,ext_compliance_signal_00000012,Demand surge detected for Ferric Chloride 40%; BioPure Diagnostics order book rising after regulatory bulletin,2026-03-21T11:25:45Z,752,12,41,4858,0.855,,12,normal,,2026-04-13T09:16:48Z
13,433,Capacity Alert,ext_capacity_alert_00000013,GxP desk published revised handling language for Sodium Hypochlorite 12.5%; BioPure Diagnostics care sites should refresh labels,2026-03-16T06:29:16Z,8353,1291,289,36604,0.346,,13,rising,,2026-04-13T09:16:48Z
14,168,Cold Chain Bulletin,ext_cold_chain_bulletin_00000014,FDA update references downstream use of Endotoxin Removal Cartridge; BioPure Diagnostics compliance packet under review,2026-03-16T21:20:02Z,388,27,28,2362,0.22,,14,normal,,2026-04-13T09:16:48Z
15,393,Capacity Alert,ext_capacity_alert_00000015,Manufacturer quality note: BioPure Diagnostics reported tighter specs for Antiscalant WT-42 effective next batch,2026-03-30T03:36:06Z,450,69,26,13524,0.577,,15,normal,,2026-04-13T09:16:48Z
16,31,Supply Quality Notice,ext_supply_quality_notice_00000016,Manufacturer quality desk flagged more purity-drift investigations than normal,2026-03-16T08:33:54Z,6234,367,158,43652,0.441,,16,rising,,2026-04-13T09:16:48Z
17,195,Capacity Alert,ext_capacity_alert_00000017,FDA watchlist update mentions Transplant Care Readiness Kit; Regional Oncology Network allocation plan should be reviewed,2026-03-24T21:42:54Z,36,58,40,17410,0.749,,17,normal,,2026-04-13T09:16:48Z
18,137,Compliance Signal,ext_compliance_signal_00000018,Quality Review notice cross-references Sterile Connector Assembly from Regional Oncology Network; compliance confirmation requested,2026-03-21T18:42:55Z,895,38,39,13025,0.763,,18,normal,,2026-04-13T09:16:48Z
19,194,Regulatory Notice,ext_regulatory_notice_00000019,Care Logistics route restriction affects inbound Specialty Pharmacy Prep Batch; Regional Oncology Network shipments may need alternate lanes,2026-04-06T16:59:04Z,7988,1000,449,120669,0.779,,19,rising,,2026-04-13T09:16:48Z
20,179,Regulatory Notice,ext_regulatory_notice_00000020,Plant outage bulletin references Regional Oncology Network capacity for Specialty Care Readiness Panel; care sites should watch allocation,2026-03-15T02:51:36Z,147,7,13,18799,0.379,,20,normal,,2026-04-13T09:16:48Z
21,482,Regulatory Notice,ext_regulatory_notice_00000021,GxP revision queue increased for trial supply-class products this week,2026-04-02T19:22:39Z,447,23,17,19023,0.737,,21,normal,,2026-04-13T09:16:48Z
22,63,Cold Chain Bulletin,ext_cold_chain_bulletin_00000022,Purity drift report opened for Immunology Care Alliance Amine Hardener AH-60; QA teams should inspect recent lots,2026-03-18T04:54:51Z,3801,1875,236,174783,0.726,,22,rising,,2026-04-13T09:16:48Z
23,6,Supply Quality Notice,ext_supply_quality_notice_00000023,Allocation notice issued for UV Stabilizer Package; Immunology Care Alliance prioritizing contracted care sites first,2026-03-18T09:56:56Z,2546,770,677,87102,-0.006,,23,rising,,2026-04-13T09:16:48Z
24,432,Regulatory Notice,ext_regulatory_notice_00000024,New manufacturer qualification started for Immunology Care Alliance Bisphenol A Epoxy Base; risk team tracking certificates,2026-04-13T07:09:20Z,938,85,17,17211,0.049,,24,normal,,2026-04-13T09:16:48Z
25,377,Regulatory Notice,ext_regulatory_notice_00000025,Storage compatibility warning updated for High-Concentration Formulation Buffer; verify segregation before receiving Immunology Care Alliance lots,2026-03-30T21:13:35Z,154,86,49,14601,0.238,,25,normal,,2026-04-13T09:16:48Z
26,272,Regulatory Notice,ext_regulatory_notice_00000026,Manufacturer quality desk flagged more purity-drift investigations than normal,2026-04-03T03:05:28Z,252,95,7,9167,0.317,,26,normal,,2026-04-13T09:16:48Z
27,89,Regulatory Notice,ext_regulatory_notice_00000027,Demand surge detected for Potassium Humate Granules; Community Health Partners order book rising after regulatory bulletin,2026-04-11T20:39:14Z,888,58,33,11895,0.356,,27,normal,,2026-04-13T09:16:48Z
28,163,Cold Chain Bulletin,ext_cold_chain_bulletin_00000028,GxP desk published revised handling language for Chelated Zinc EDTA; Community Health Partners care sites should refresh labels,2026-04-13T01:26:31Z,202,80,0,1852,0.782,,28,normal,,2026-04-13T09:16:48Z
29,9,Regulatory Notice,ext_regulatory_notice_00000029,FDA update references downstream use of Surfactant AgroBlend; Community Health Partners compliance packet under review,2026-04-05T06:50:23Z,7681,483,461,199724,0.782,,29,rising,,2026-04-13T09:16:48Z
30,459,Supply Quality Notice,ext_supply_quality_notice_00000030,Manufacturer quality note: Community Health Partners reported tighter specs for Soil Wetting Agent effective next batch,2026-03-27T07:19:52Z,39872,7674,7908,969881,0.584,,30,viral,,2026-04-13T09:16:48Z
31,158,Cold Chain Bulletin,ext_cold_chain_bulletin_00000031,GxP revision queue increased for trial supply-class products this week,2026-03-16T06:37:36Z,282,59,1,17958,0.925,,31,normal,,2026-04-13T09:16:48Z
32,170,Capacity Alert,ext_capacity_alert_00000032,FDA watchlist update mentions Lithium Hexafluorophosphate Blend; MedMove Logistics allocation plan should be reviewed,2026-03-23T15:42:57Z,5971,549,713,47507,-0.085,,32,rising,,2026-04-13T09:16:48Z
33,52,Compliance Signal,ext_compliance_signal_00000033,Quality Review notice cross-references Graphite Slurry Dispersant from MedMove Logistics; compliance confirmation requested,2026-03-15T10:50:14Z,134,61,18,235,0.487,,33,normal,,2026-04-13T09:16:48Z
34,9,Regulatory Notice,ext_regulatory_notice_00000034,Care Logistics route restriction affects inbound NMP Recovery Trial Supply; MedMove Logistics shipments may need alternate lanes,2026-04-11T08:07:04Z,492,94,31,11340,0.01,,34,normal,,2026-04-13T09:16:48Z
35,455,Compliance Signal,ext_compliance_signal_00000035,Plant outage bulletin references MedMove Logistics capacity for Cathode Binder PVDF; care sites should watch allocation,2026-04-12T17:17:46Z,934,85,20,19652,-0.238,,35,normal,,2026-04-13T09:16:48Z
36,143,Cold Chain Bulletin,ext_cold_chain_bulletin_00000036,Manufacturer quality desk flagged more purity-drift investigations than normal,2026-04-07T23:41:22Z,355,95,1,6924,0.64,,36,normal,,2026-04-13T09:16:48Z
37,518,Supply Quality Notice,ext_supply_quality_notice_00000037,Purity drift report opened for QualityBridge Advisory GHS Label Kit; QA teams should inspect recent lots,2026-04-11T06:18:34Z,101,97,31,19458,0.666,,37,normal,,2026-04-13T09:16:48Z
38,510,Cold Chain Bulletin,ext_cold_chain_bulletin_00000038,Allocation notice issued for FDA Dossier Service; QualityBridge Advisory prioritizing contracted care sites first,2026-04-11T23:24:01Z,301,41,47,16509,0.8,,38,normal,,2026-04-13T09:16:48Z
39,509,Compliance Signal,ext_compliance_signal_00000039,New manufacturer qualification started for QualityBridge Advisory Quality Review Pre-Screen; risk team tracking certificates,2026-04-09T05:48:39Z,870,2,16,19289,0.16,,39,normal,,2026-04-13T09:16:48Z
40,,Capacity Alert,ext_capacity_alert_00000040,Storage compatibility warning updated for Care Logistics Compatibility Audit; verify segregation before receiving QualityBridge Advisory lots,2026-03-21T03:22:07Z,791,38,10,14923,0.922,,40,normal,,2026-04-13T09:16:48Z
41,171,Supply Quality Notice,ext_supply_quality_notice_00000041,GxP revision queue increased for trial supply-class products this week,2026-04-12T22:52:31Z,220,47,5,6080,0.743,,41,normal,,2026-04-13T09:16:48Z
42,238,Cold Chain Bulletin,ext_cold_chain_bulletin_00000042,Demand surge detected for Potassium Hydroxide 45%; Central Sterile Services order book rising after regulatory bulletin,2026-04-13T04:19:24Z,652,83,46,7822,0.843,,42,normal,,2026-04-13T09:16:48Z
43,158,Cold Chain Bulletin,ext_cold_chain_bulletin_00000043,GxP desk published revised handling language for Citrate Buffer USP Batch; Central Sterile Services care sites should refresh labels,2026-03-27T20:55:13Z,6125,1573,187,135814,0.067,,43,rising,,2026-04-13T09:16:48Z
44,361,Cold Chain Bulletin,ext_cold_chain_bulletin_00000044,FDA update references downstream use of Sodium Silicate Liquid; Central Sterile Services compliance packet under review,2026-04-11T23:10:33Z,444,26,12,9888,0.183,,44,normal,,2026-04-13T09:16:48Z
45,132,Compliance Signal,ext_compliance_signal_00000045,Manufacturer quality note: Central Sterile Services reported tighter specs for Sterile Potash Flakes effective next batch,2026-04-08T07:42:33Z,609,69,2,3733,0.201,,45,normal,,2026-04-13T09:16:48Z
46,372,Regulatory Notice,ext_regulatory_notice_00000046,Manufacturer quality desk flagged more purity-drift investigations than normal,2026-03-18T17:41:52Z,4814,276,606,29287,0.568,,46,rising,,2026-04-13T09:16:48Z
47,82,Compliance Signal,ext_compliance_signal_00000047,FDA watchlist update mentions Citrus Terpene Blend; GreenCare Supplies allocation plan should be reviewed,2026-03-15T08:22:57Z,334,60,10,8084,0.491,,47,normal,,2026-04-13T09:16:48Z
48,369,Supply Quality Notice,ext_supply_quality_notice_00000048,Quality Review notice cross-references Low-VOC Cleaner Concentrate from GreenCare Supplies; compliance confirmation requested,2026-03-18T07:24:58Z,647,71,15,8240,0.762,,48,normal,,2026-04-13T09:16:48Z
49,327,Regulatory Notice,ext_regulatory_notice_00000049,Care Logistics route restriction affects inbound Recycled IPA Blend; GreenCare Supplies shipments may need alternate lanes,2026-04-13T03:25:41Z,134,14,20,1119,-0.05,,49,normal,,2026-04-13T09:16:48Z
50,,Capacity Alert,ext_capacity_alert_00000050,Plant outage bulletin references GreenCare Supplies capacity for Aqueous Degreaser; care sites should watch allocation,2026-04-06T15:22:30Z,984,12,33,9930,0.264,,50,normal,,2026-04-13T09:16:48Z
51,,Supply Quality Notice,ext_supply_quality_notice_00000051,GxP revision queue increased for trial supply-class products this week,2026-03-21T13:57:49Z,323,78,29,3250,0.738,,51,normal,,2026-04-13T09:16:48Z
52,389,Supply Quality Notice,ext_supply_quality_notice_00000052,Purity drift report opened for MedDevice Services Leveling Agent LA-4; QA teams should inspect recent lots,2026-04-12T22:37:04Z,36535,11590,7929,335670,0.392,,52,viral,,2026-04-13T09:16:48Z
53,436,Cold Chain Bulletin,ext_cold_chain_bulletin_00000053,Allocation notice issued for Wetting Agent WA-12; MedDevice Services prioritizing contracted care sites first,2026-04-09T19:39:14Z,981,39,0,13071,0.645,,53,normal,,2026-04-13T09:16:48Z
54,407,Regulatory Notice,ext_regulatory_notice_00000054,New manufacturer qualification started for MedDevice Services Rheology Modifier RM-8; risk team tracking certificates,2026-03-29T07:08:55Z,827,8,47,10363,0.875,,54,normal,,2026-04-13T09:16:48Z
55,408,Capacity Alert,ext_capacity_alert_00000055,Storage compatibility warning updated for UV Absorber UVA-30; verify segregation before receiving MedDevice Services lots,2026-04-13T06:29:59Z,400,97,15,17514,0.677,,55,normal,,2026-04-13T09:16:48Z
56,93,Cold Chain Bulletin,ext_cold_chain_bulletin_00000056,Manufacturer quality desk flagged more purity-drift investigations than normal,2026-04-06T04:51:45Z,2859,1650,189,62049,0.861,,56,rising,,2026-04-13T09:16:48Z
57,,Compliance Signal,ext_compliance_signal_00000057,Demand surge detected for Viral Clearance Study Pack; CareFlow Analytics order book rising after regulatory bulletin,2026-03-25T18:18:39Z,375,38,4,2811,0.719,,57,normal,,2026-04-13T09:16:48Z
58,501,Regulatory Notice,ext_regulatory_notice_00000058,GxP desk published revised handling language for Zeolite Catalyst ZSM-5; CareFlow Analytics care sites should refresh labels,2026-04-12T13:28:40Z,254,17,15,949,0.441,,58,normal,,2026-04-13T09:16:48Z
59,520,Cold Chain Bulletin,ext_cold_chain_bulletin_00000059,FDA update references downstream use of Process Deviation Triage Service; CareFlow Analytics compliance packet under review,2026-04-02T16:01:09Z,4896,1892,896,117555,-0.202,,59,rising,,2026-04-13T09:16:48Z
60,354,Supply Quality Notice,ext_supply_quality_notice_00000060,Manufacturer quality note: CareFlow Analytics reported tighter specs for Hydrogenation Catalyst HC-22 effective next batch,2026-03-16T13:57:09Z,584,77,8,4043,0.258,,60,normal,,2026-04-13T09:16:48Z
61,181,Supply Quality Notice,ext_supply_quality_notice_00000061,GxP revision queue increased for trial supply-class products this week,2026-04-02T18:10:15Z,1064,477,796,132825,0.87,,61,rising,,2026-04-13T09:16:48Z
62,16,Supply Quality Notice,ext_supply_quality_notice_00000062,FDA watchlist update mentions Silicone Defoamer Food Grade; SiliconeWorks allocation plan should be reviewed,2026-03-23T20:57:28Z,925,70,2,14940,0.453,,62,normal,,2026-04-13T09:16:48Z
63,,Cold Chain Bulletin,ext_cold_chain_bulletin_00000063,Quality Review notice cross-references Endotoxin Removal Cartridge from EndoClear; compliance confirmation requested,2026-03-17T10:46:26Z,359,13,40,7494,0.611,,63,normal,,2026-04-13T09:16:48Z
64,165,Capacity Alert,ext_capacity_alert_00000064,Care Logistics route restriction affects inbound Calcium Hypochlorite 65%; ChlorGuard shipments may need alternate lanes,2026-04-08T04:56:27Z,7818,594,301,170385,-0.109,,64,rising,,2026-04-13T09:16:48Z
65,48,Cold Chain Bulletin,ext_cold_chain_bulletin_00000065,Plant outage bulletin references MetaBisulfite Co capacity for Sodium Metabisulfite; care sites should watch allocation,2026-04-11T14:34:58Z,181,35,33,15481,0.352,,65,normal,,2026-04-13T09:16:48Z
66,264,Supply Quality Notice,ext_supply_quality_notice_00000066,Manufacturer quality desk flagged more purity-drift investigations than normal,2026-04-13T05:47:03Z,374,97,2,11041,0.634,,66,normal,,2026-04-13T09:16:48Z
67,4,Regulatory Notice,ext_regulatory_notice_00000067,Purity drift report opened for CitricSource Citric Acid Monohydrate; QA teams should inspect recent lots,2026-04-13T09:10:23Z,371,56,7,10410,0.828,,67,normal,,2026-04-13T09:16:48Z
68,371,Cold Chain Bulletin,ext_cold_chain_bulletin_00000068,Allocation notice issued for Isopropyl Alcohol 99% Bulk; IPA Direct prioritizing contracted care sites first,2026-04-11T15:10:53Z,458,53,22,9381,-0.073,,68,normal,,2026-04-13T09:16:48Z
69,234,Regulatory Notice,ext_regulatory_notice_00000069,New manufacturer qualification started for EpoxyOne Device Adhesive Biocompatibility Lot; risk team tracking certificates,2026-03-30T14:13:28Z,236,33,4,7512,0.157,,69,normal,,2026-04-13T09:16:48Z
70,357,Regulatory Notice,ext_regulatory_notice_00000070,Storage compatibility warning updated for Medical-Grade Resin Cartridge; verify segregation before receiving MedPropel Devices lots,2026-04-11T02:20:09Z,1725,1132,116,171037,0.619,,70,rising,,2026-04-13T09:16:48Z
71,83,Cold Chain Bulletin,ext_cold_chain_bulletin_00000071,GxP revision queue increased for trial supply-class products this week,2026-03-27T19:31:25Z,20363,4071,4193,361535,0.605,,71,viral,,2026-04-13T09:16:48Z
72,112,Compliance Signal,ext_compliance_signal_00000072,Demand surge detected for USP Propylene Glycol; PharmaPrep order book rising after regulatory bulletin,2026-03-15T17:58:11Z,700,67,21,844,0.574,,72,normal,,2026-04-13T09:16:48Z
73,506,Regulatory Notice,ext_regulatory_notice_00000073,GxP desk published revised handling language for Phosphate Pretreatment Blend; CleanCoat care sites should refresh labels,2026-04-06T06:03:42Z,6481,501,888,157841,0.543,,73,rising,,2026-04-13T09:16:48Z
74,288,Capacity Alert,ext_capacity_alert_00000074,FDA update references downstream use of Acrylic Device Housing Resin; FormulationBridge compliance packet under review,2026-04-11T23:43:40Z,428,90,22,19213,0.647,,74,normal,,2026-04-13T09:16:48Z
75,144,Regulatory Notice,ext_regulatory_notice_00000075,Manufacturer quality note: FineBio Direct reported tighter specs for Trace Impurity Reference Standard effective next batch,2026-04-10T23:31:11Z,26124,3992,2914,255158,0.744,,75,viral,,2026-04-13T09:16:48Z
76,193,Cold Chain Bulletin,ext_cold_chain_bulletin_00000076,Manufacturer quality desk flagged more purity-drift investigations than normal,2026-04-13T07:25:34Z,2970,369,837,188568,0.927,,76,rising,,2026-04-13T09:16:48Z
77,489,Supply Quality Notice,ext_supply_quality_notice_00000077,FDA watchlist update mentions Linear Alkylbenzene Sulfonate; Alkylate Partners allocation plan should be reviewed,2026-04-01T02:05:46Z,3258,1203,658,63231,0.88,,77,rising,,2026-04-13T09:16:48Z
78,,Cold Chain Bulletin,ext_cold_chain_bulletin_00000078,Quality Review notice cross-references Sodium Chloride USP from LabGrade Connect; compliance confirmation requested,2026-04-13T05:11:51Z,622,94,16,18614,0.436,,78,normal,,2026-04-13T09:16:48Z
79,64,Regulatory Notice,ext_regulatory_notice_00000079,Care Logistics route restriction affects inbound Specialty Amine Blend; SpecBio Exchange shipments may need alternate lanes,2026-04-02T22:18:33Z,144,53,35,15952,0.574,,79,normal,,2026-04-13T09:16:48Z
80,433,Capacity Alert,ext_capacity_alert_00000080,Plant outage bulletin references NorthStar Health System capacity for Glycol Ether EB - Contract Lot 2; care sites should watch allocation,2026-03-23T08:07:54Z,451,54,28,18296,0.925,,80,normal,,2026-04-13T09:16:48Z
81,82,Compliance Signal,ext_compliance_signal_00000081,GxP revision queue increased for trial supply-class products this week,2026-03-14T13:42:04Z,71,47,35,19999,0.147,,81,normal,,2026-04-13T09:16:48Z
82,361,Cold Chain Bulletin,ext_cold_chain_bulletin_00000082,Purity drift report opened for NorthStar Health System Isopropyl Alcohol 99% - Contract Lot 2; QA teams should inspect recent lots,2026-04-10T05:39:53Z,4905,1766,294,51919,0.231,,82,rising,,2026-04-13T09:16:48Z
83,408,Capacity Alert,ext_capacity_alert_00000083,Allocation notice issued for Corrosion Inhibitor CI-128 - Contract Lot 2; NorthStar Health System prioritizing contracted care sites first,2026-04-02T05:44:59Z,577,93,19,9439,0.854,,83,normal,,2026-04-13T09:16:48Z
84,,Regulatory Notice,ext_regulatory_notice_00000084,New manufacturer qualification started for NorthStar Health System Silicone Defoamer SD-20 - Contract Lot 2; risk team tracking certificates,2026-03-21T03:35:38Z,846,91,2,16911,0.276,,84,normal,,2026-04-13T09:16:48Z
