source_system,transaction_id,transaction_ts,channel,customer_ref,customer_city,customer_region,store_id,raw_sku,quantity,unit_price,discount_pct,line_total,payment_type,fulfillment_method,demand_signal_ref
POS-WEST,ORD-20260520-0001,2026-05-20T08:03:12Z,store,CUST-WA-1042,Seattle,WA,SEA-STORE-014,SKU-100007,2,172.10,0,344.20,card,ship_from_store,SIG-2026-0001
POS-WEST,ORD-20260520-0001,2026-05-20T08:03:12Z,store,CUST-WA-1042,Seattle,WA,SEA-STORE-014,SKU-100029,1,191.99,10,172.79,card,ship_from_store,SIG-2026-0001
POS-WEST,ORD-20260520-0001,2026-05-20T08:03:12Z,store,CUST-WA-1042,Seattle,WA,SEA-STORE-014,SKU-100017,4,41.61,0,166.44,card,ship_from_store,SIG-2026-0001
WEB-EAST,ORD-20260520-0002,2026-05-20T08:17:39Z,web,CUST-NY-2031,Brooklyn,NY,WEB-NE-001,SKU-100033,3,132.10,5,376.49,wallet,ship_to_home,SIG-2026-0002
WEB-EAST,ORD-20260520-0002,2026-05-20T08:17:39Z,web,CUST-NY-2031,Brooklyn,NY,WEB-NE-001,SKU-100003,1,162.66,5,154.53,wallet,ship_to_home,SIG-2026-0002
POS-SOUTH,ORD-20260520-0003,2026-05-20T08:21:05Z,store,CUST-FL-9008,Miami,FL,MIA-STORE-022,SKU-100041,2,138.00,0,276.00,card,pickup,SIG-2026-0003
POS-SOUTH,ORD-20260520-0003,2026-05-20T08:21:05Z,store,CUST-FL-9008,Miami,FL,MIA-STORE-022,SKU-100070,3,90.22,0,270.66,card,pickup,SIG-2026-0003
POS-SOUTH,ORD-20260520-0003,2026-05-20T08:21:05Z,store,CUST-FL-9008,Miami,FL,MIA-STORE-022,SKU-100047,1,154.45,15,131.28,card,pickup,SIG-2026-0003
B2B-PORTAL,ORD-20260520-0004,2026-05-20T08:45:22Z,b2b,CUST-CO-4410,Boulder,CO,DEN-WH-003,SKU-100015,1,477.90,0,477.90,invoice,warehouse_ship,SIG-2026-0004
B2B-PORTAL,ORD-20260520-0004,2026-05-20T08:45:22Z,b2b,CUST-CO-4410,Boulder,CO,DEN-WH-003,SKU-100072,2,566.28,10,1019.30,invoice,warehouse_ship,SIG-2026-0004
B2B-PORTAL,ORD-20260520-0004,2026-05-20T08:45:22Z,b2b,CUST-CO-4410,Boulder,CO,DEN-WH-003,SKU-100065,1,535.63,0,535.63,invoice,warehouse_ship,SIG-2026-0004
WEB-MIDWEST,ORD-20260520-0005,2026-05-20T09:02:49Z,web,CUST-IL-3412,Chicago,IL,WEB-MW-001,SKU-100011,2,163.13,0,326.26,card,ship_to_home,SIG-2026-0005
WEB-MIDWEST,ORD-20260520-0005,2026-05-20T09:02:49Z,web,CUST-IL-3412,Chicago,IL,WEB-MW-001,SKU-100080,3,170.35,12,449.72,card,ship_to_home,SIG-2026-0005
POS-WEST,ORD-20260520-0006,2026-05-20T09:16:10Z,store,CUST-CA-5571,San Jose,CA,SJC-STORE-008,SKU-100004,6,25.07,0,150.42,card,pickup,SIG-2026-0006
POS-WEST,ORD-20260520-0006,2026-05-20T09:16:10Z,store,CUST-CA-5571,San Jose,CA,SJC-STORE-008,SKU-100096,2,131.44,5,249.74,card,pickup,SIG-2026-0006
B2B-PORTAL,ORD-20260520-0007,2026-05-20T09:34:21Z,b2b,CUST-TX-7251,Austin,TX,AUS-WH-002,SKU-100025,10,105.01,15,892.59,invoice,warehouse_ship,SIG-2026-0007
B2B-PORTAL,ORD-20260520-0007,2026-05-20T09:34:21Z,b2b,CUST-TX-7251,Austin,TX,AUS-WH-002,SKU-100097,8,183.61,15,1248.55,invoice,warehouse_ship,SIG-2026-0007
POS-ROCKIES,ORD-20260520-0008,2026-05-20T09:41:03Z,store,CUST-UT-6120,Salt Lake City,UT,SLC-STORE-005,SKU-100088,5,15.17,0,75.85,card,pickup,SIG-2026-0008
POS-ROCKIES,ORD-20260520-0008,2026-05-20T09:41:03Z,store,CUST-UT-6120,Salt Lake City,UT,SLC-STORE-005,SKU-100018,4,77.98,0,311.92,card,pickup,SIG-2026-0008
POS-ROCKIES,ORD-20260520-0008,2026-05-20T09:41:03Z,store,CUST-UT-6120,Salt Lake City,UT,SLC-STORE-005,SKU-100024,2,196.20,7,364.93,card,pickup,SIG-2026-0008
WEB-WEST,ORD-20260520-0009,2026-05-20T09:53:27Z,web,CUST-CA-1488,Los Angeles,CA,WEB-W-001,SKU-100086,3,86.04,0,258.12,wallet,ship_to_home,SIG-2026-0009
WEB-WEST,ORD-20260520-0009,2026-05-20T09:53:27Z,web,CUST-CA-1488,Los Angeles,CA,WEB-W-001,SKU-100008,1,283.78,8,261.08,wallet,ship_to_home,SIG-2026-0009
WEB-EAST,ORD-20260520-0010,2026-05-20T10:02:18Z,web,CUST-MA-7710,Boston,MA,WEB-NE-001,sku-100009,7,29.61,0,207.27,card,ship_to_home,SIG-2026-0010
WEB-EAST,ORD-20260520-0010,2026-05-20T10:02:18Z,web,CUST-MA-7710,Boston,MA,WEB-NE-001,SKU-100030,4,26.27,0,105.08,card,ship_to_home,SIG-2026-0010
WEB-EAST,ORD-20260520-0010,2026-05-20T10:02:18Z,web,CUST-MA-7710,Boston,MA,WEB-NE-001,SKU-100013,1,122.11,10,109.90,card,ship_to_home,SIG-2026-0010
WEB-MOUNTAIN,ORD-20260520-0011,2026-05-20T10:15:47Z,web,CUST-CO-2208,Aspen,CO,WEB-MTN-001,SKU-100055,2,112.89,0,225.78,card,ship_to_home,SIG-2026-0011
WEB-MOUNTAIN,ORD-20260520-0011,2026-05-20T10:15:47Z,web,CUST-CO-2208,Aspen,CO,WEB-MTN-001,SKU-100016,1,365.59,10,329.03,card,ship_to_home,SIG-2026-0011
POS-WEST,ORD-20260520-0012,2026-05-20T10:26:12Z,store,CUST-OR-4409,Portland,OR,PDX-STORE-002,SKU-100090,1,335.29,0,335.29,card,ship_from_store,SIG-2026-0012
POS-WEST,ORD-20260520-0012,2026-05-20T10:26:12Z,store,CUST-OR-4409,Portland,OR,PDX-STORE-002,SKU-100083,6,56.63,0,339.78,card,ship_from_store,SIG-2026-0012
POS-WEST,ORD-20260520-0012,2026-05-20T10:26:12Z,store,CUST-OR-4409,Portland,OR,PDX-STORE-002,SKU-100044,2,201.84,12,355.24,card,ship_from_store,SIG-2026-0012
POS-SOUTH,ORD-20260520-0013,2026-05-20T10:39:31Z,store,CUST-FL-3104,Tampa,FL,TPA-STORE-004,SKU-100023,12,9.91,0,118.92,card,pickup,SIG-2026-0013
POS-SOUTH,ORD-20260520-0013,2026-05-20T10:39:31Z,store,CUST-FL-3104,Tampa,FL,TPA-STORE-004,SKU-100070,2,90.22,5,171.42,card,pickup,SIG-2026-0013
B2B-PORTAL,ORD-20260520-0014,2026-05-20T10:48:56Z,b2b,CUST-AZ-8102,Phoenix,AZ,PHX-WH-006,SKU-100032,3,72.97,10,197.02,invoice,warehouse_ship,SIG-2026-0014
B2B-PORTAL,ORD-20260520-0014,2026-05-20T10:48:56Z,b2b,CUST-AZ-8102,Phoenix,AZ,PHX-WH-006,SKU-100025,5,105.01,0,525.05,invoice,warehouse_ship,SIG-2026-0014
WEB-WEST,ORD-20260520-0015,2026-05-20T10:57:08Z,web,CUST-CA-6617,San Diego,CA,WEB-W-001,SKU-100064,2,182.06,0,364.12,wallet,ship_to_home,SIG-2026-0015
WEB-WEST,ORD-20260520-0015,2026-05-20T10:57:08Z,web,CUST-CA-6617,San Diego,CA,WEB-W-001,SKU-100017,3,41.61,0,124.83,wallet,ship_to_home,SIG-2026-0015
