OPPORTUNITY_SK,OPPORTUNITY_ID,PARTNER_CUSTOMER_SK,STAGE_SK,CREATED_DATE_KEY,EXPECTED_CLOSE_DATE_KEY,AMOUNT_AMT,PROBABILITY_PCT,REGION,IS_CLOSED_FLAG,IS_WON_FLAG,SRC_SYSTEM,CREATED_TS,UPDATED_TS
706,OPP-3808,2056,1,,20261031,116000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
707,OPP-3809,2050,1,,20261015,369000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
708,OPP-3811,2043,4,,20260713,419000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
709,OPP-3812,2018,1,,20260327,579000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
710,OPP-3813,2022,1,,20261017,861000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
711,OPP-3814,2038,6,,20251024,1820000,,APAC,Y,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
712,OPP-3815,2071,4,,20260523,1188000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
713,OPP-3816,2067,2,,20260923,1760000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
714,OPP-3817,2060,3,,20261025,1719000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
715,OPP-3818,2032,2,,20261002,1512000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
716,OPP-3819,2029,2,,20261005,1191000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
717,OPP-3820,2006,4,,20260227,860000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
718,OPP-3821,2055,1,,20261110,73000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
719,OPP-3822,2090,3,,20261028,1663000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
720,OPP-3823,2011,1,,20261105,497000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
721,OPP-3824,2028,3,,20260921,1950000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
722,OPP-3825,2083,1,,20260726,494000,,APAC,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
723,OPP-3826,2040,1,,20261028,1375000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
724,OPP-3827,2060,1,,20260309,936000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
725,OPP-3828,2024,6,,20260225,835000,,EMEA,Y,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
726,OPP-3830,2005,1,,20260814,1092000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
727,OPP-3831,2079,2,,20260713,1434000,,LATAM,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
728,OPP-3832,2043,3,,20260407,1275000,,EMEA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
729,OPP-3833,2087,6,,20260107,1941000,,NA,Y,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
730,OPP-3836,2043,4,,20260609,288000,,NA,N,N,SALESFORCE,2026-03-19T21:20:08.875862Z,
