item_id,order_id,product_id,quantity,unit_price,fulfilled_from
22221,22221,393,1,69.99,249
22222,22221,279,1,599.99,249
22223,22221,225,3,129.99,249
22224,22221,402,2,39.99,249
22225,22222,397,1,48.99,240
22226,22222,380,3,21.99,240
22227,22222,293,3,69.99,240
22228,22222,376,3,34.99,240
22229,22223,363,1,179.99,241
22230,22223,384,2,179.99,241
22231,22224,384,1,179.99,222
22232,22225,293,3,69.99,230
22233,22226,255,3,59.99,223
22234,22226,299,3,125,223
22235,22226,374,1,349.99,223
22236,22226,344,2,38.99,223
22237,22227,380,1,21.99,228
22238,22227,395,1,94.99,228
22239,22227,279,1,599.99,228
22240,22227,352,1,219.99,228
22241,22227,340,2,24.99,228
22242,22228,372,3,2899.99,
22243,22229,289,1,24.99,234
22244,22229,264,3,275,234
22245,22229,234,1,28.99,234
22246,22230,362,1,149.99,247
22247,22231,326,3,299.99,246
22248,22231,231,1,68.99,246
22249,22231,352,3,219.99,246
22250,22231,361,2,179.99,246
22251,22232,397,2,48.99,236
22252,22233,296,3,39.99,241
22253,22233,228,1,149.99,241
22254,22233,273,3,79.99,241
22255,22233,386,3,79.99,241
22256,22234,391,1,79.99,245
22257,22235,250,1,129.99,243
22258,22235,355,1,28.99,243
22259,22235,260,3,69.99,243
22260,22236,230,3,79.99,
22261,22236,335,1,79.99,
22262,22237,282,2,99.99,245
22263,22237,377,2,27.99,245
22264,22237,335,1,79.99,245
22265,22237,395,3,94.99,245
22266,22238,275,2,699.99,232
22267,22238,330,1,119.99,232
22268,22238,362,3,149.99,232
22269,22238,357,1,119.99,232
22270,22238,264,1,275,232
22271,22239,298,3,29.99,246
22272,22239,266,2,149.99,246
22273,22239,288,3,79.99,246
22274,22239,370,2,199.99,246
22275,22239,300,1,42.99,246
22276,22240,326,3,299.99,221
22277,22241,257,2,189.99,250
22278,22241,267,1,119.99,250
22279,22241,264,2,275,250
22280,22241,385,1,48.99,250
22281,22242,239,2,34.99,228
22282,22242,403,1,499.99,228
22283,22242,270,1,134.99,228
22284,22242,340,1,24.99,228
22285,22243,312,3,199.99,241
22286,22243,360,1,299.99,241
22287,22243,382,2,89.99,241
22288,22244,337,2,39.99,
22289,22244,296,2,39.99,
22290,22244,377,2,27.99,
22291,22244,254,2,449.99,
22292,22244,270,1,134.99,
22293,22245,265,3,195,247
22294,22245,232,3,54.99,247
22295,22245,321,2,89.99,247
22296,22246,351,3,69.99,237
22297,22246,391,2,79.99,237
22298,22247,256,2,229.99,246
22299,22247,337,1,39.99,246
22300,22247,406,2,26.99,246
22301,22247,309,2,49.99,246
22302,22248,400,1,29.99,250
22303,22248,276,3,349.99,250
22304,22248,396,2,399.99,250
22305,22249,356,2,349.99,229
22306,22249,251,3,299.99,229
22307,22249,288,2,79.99,229
22308,22249,332,3,199.99,229
22309,22250,351,3,69.99,245
22310,22250,342,1,199.99,245
22311,22251,306,3,179.99,246
22312,22251,233,1,42.99,246
22313,22252,227,1,199.99,
22314,22252,244,2,79.99,
22315,22253,247,3,549.99,224
22316,22253,276,1,349.99,224
22317,22254,284,1,225,243
22318,22254,242,2,119.99,243
22319,22254,227,2,199.99,243
22320,22254,289,1,24.99,243
22321,22254,261,2,895,243
22322,22255,248,2,169.99,250
22323,22255,375,2,279.99,250
22324,22255,284,1,225,250
22325,22256,296,1,39.99,230
22326,22256,273,2,79.99,230
22327,22256,378,1,19.99,230
22328,22257,346,1,129.99,238
22329,22257,355,2,28.99,238
22330,22258,365,2,799.99,243
22331,22259,285,1,89.99,239
22332,22259,358,2,699.99,239
22333,22259,229,3,449.99,239
22334,22259,402,3,39.99,239
22335,22259,287,3,49.99,239
22336,22260,392,3,24.99,
22337,22261,228,2,149.99,224
22338,22261,388,3,44.99,224
22339,22261,351,1,69.99,224
22340,22261,301,3,58.99,224
22341,22262,353,2,159.99,234
22342,22262,263,3,425,234
22343,22262,403,3,499.99,234
22344,22263,268,1,179.99,239
22345,22263,300,3,42.99,239
22346,22264,325,2,179.99,250
22347,22264,304,3,19.99,250
22348,22264,399,2,399.99,250
22349,22264,239,1,34.99,250
22350,22265,248,1,169.99,237
22351,22266,272,2,449.99,224
22352,22266,372,3,2899.99,224
22353,22266,407,1,89.99,224
22354,22266,330,3,119.99,224
22355,22267,221,1,189.99,235
22356,22267,318,2,29.99,235
22357,22267,302,1,48.99,235
22358,22268,311,3,2499.99,
22359,22268,236,1,249.99,
22360,22268,401,1,99.99,
22361,22268,384,1,179.99,
22362,22268,383,1,49.99,
22363,22269,241,2,89.99,221
22364,22269,271,2,799.99,221
22365,22269,354,3,32.99,221
22366,22270,393,1,69.99,244
22367,22270,344,1,38.99,244
22368,22270,319,2,72.99,244
22369,22270,309,1,49.99,244
22370,22271,394,3,29.99,243
22371,22271,371,2,129.99,243
22372,22271,360,1,299.99,243
22373,22271,277,2,1499.99,243
22374,22272,224,2,39.99,227
22375,22272,264,2,275,227
22376,22272,315,2,64.99,227
22377,22272,343,1,399.99,227
22378,22273,336,2,149.99,222
22379,22273,328,1,199.99,222
22380,22273,403,3,499.99,222
22381,22273,224,3,39.99,222
22382,22273,243,1,149.99,222
22383,22274,308,2,69.99,231
22384,22274,239,1,34.99,231
22385,22274,239,2,34.99,231
22386,22275,366,3,175,235
22387,22275,331,3,145,235
22388,22275,238,3,1299.99,235
22389,22275,247,3,549.99,235
22390,22275,245,2,59.99,235
22391,22276,399,2,399.99,
22392,22277,229,2,449.99,236
22393,22278,302,1,48.99,223
22394,22278,338,2,34.99,223
22395,22279,249,1,99.99,247
22396,22279,393,1,69.99,247
22397,22279,299,1,125,247
22398,22279,239,1,34.99,247
22399,22280,222,2,89.99,233
22400,22280,319,3,72.99,233
22401,22280,316,1,49.99,233
22402,22281,273,1,79.99,222
22403,22281,337,3,39.99,222
22404,22281,236,1,249.99,222
22405,22281,326,2,299.99,222
22406,22281,228,2,149.99,222
22407,22282,341,3,34.99,232
22408,22282,267,3,119.99,232
22409,22283,327,3,249.99,239
22410,22283,326,1,299.99,239
22411,22284,322,1,44.99,
22412,22284,340,2,24.99,
22413,22285,395,1,94.99,221
22414,22285,342,3,199.99,221
22415,22286,382,3,89.99,235
22416,22286,234,3,28.99,235
22417,22287,311,1,2499.99,250
22418,22288,317,1,149.99,223
22419,22288,296,1,39.99,223
22420,22288,274,3,199.99,223
22421,22288,297,3,44.99,223
22422,22288,354,1,32.99,223
22423,22289,274,1,199.99,242
22424,22290,396,2,399.99,238
22425,22290,243,1,149.99,238
22426,22291,401,3,99.99,234
22427,22292,318,1,29.99,
22428,22292,368,3,129.99,
22429,22292,243,3,149.99,
22430,22293,233,1,42.99,232
22431,22293,253,3,149.99,232
22432,22293,396,3,399.99,232
22433,22293,365,2,799.99,232
22434,22293,333,3,129.99,232
22435,22294,390,1,89.99,249
22436,22294,407,1,89.99,249
22437,22294,317,3,149.99,249
22438,22295,238,3,1299.99,237
22439,22296,400,1,29.99,229
22440,22297,249,1,99.99,247
22441,22297,341,2,34.99,247
22442,22298,269,3,49.99,249
22443,22298,336,2,149.99,249
22444,22298,378,1,19.99,249
22445,22298,232,1,54.99,249
22446,22298,357,1,119.99,249
22447,22299,393,2,69.99,222
22448,22299,352,3,219.99,222
22449,22299,221,1,189.99,222
22450,22299,369,3,59.99,222
22451,22300,247,3,549.99,
22452,22301,388,2,44.99,244
22453,22301,370,3,199.99,244
22454,22302,297,2,44.99,242
22455,22302,231,1,68.99,242
22456,22303,379,3,24.99,223
22457,22304,349,1,39.99,230
22458,22304,346,3,129.99,230
22459,22304,387,1,59.99,230
22460,22304,282,2,99.99,230
22461,22304,298,2,29.99,230
22462,22305,296,2,39.99,244
22463,22305,397,2,48.99,244
22464,22305,269,3,49.99,244
22465,22305,229,1,449.99,244
22466,22306,308,3,69.99,224
22467,22307,286,3,159.99,236
22468,22307,270,1,134.99,236
22469,22307,297,3,44.99,236
22470,22307,395,3,94.99,236
22471,22308,395,1,94.99,
22472,22308,285,1,89.99,
22473,22309,240,1,24.99,221
22474,22309,396,1,399.99,221
22475,22309,347,1,549.99,221
22476,22310,315,2,64.99,234
22477,22311,235,2,58.99,224
22478,22311,309,1,49.99,224
22479,22311,235,3,58.99,224
22480,22311,354,2,32.99,224
22481,22311,290,2,1499.99,224
22482,22312,351,3,69.99,233
22483,22312,323,3,69.99,233
22484,22312,275,1,699.99,233
22485,22312,316,1,49.99,233
22486,22312,261,3,895,233
22487,22313,234,2,28.99,243
22488,22314,289,3,24.99,245
22489,22315,406,2,26.99,225
22490,22316,274,2,199.99,
22491,22316,370,2,199.99,
22492,22316,267,3,119.99,
22493,22316,375,1,279.99,
22494,22316,232,1,54.99,
22495,22317,347,2,549.99,227
22496,22317,255,2,59.99,227
22497,22317,343,2,399.99,227
22498,22318,360,2,299.99,232
22499,22318,359,1,34.99,232
22500,22318,354,3,32.99,232
22501,22318,337,2,39.99,232
22502,22318,284,3,225,232
22503,22319,291,3,299.99,244
22504,22319,333,2,129.99,244
22505,22319,293,2,69.99,244
22506,22319,291,3,299.99,244
22507,22320,255,1,59.99,245
22508,22320,305,1,49.99,245
22509,22321,404,3,44.99,225
22510,22322,344,1,38.99,239
22511,22322,407,3,89.99,239
22512,22322,387,1,59.99,239
22513,22322,356,3,349.99,239
22514,22322,405,2,64.99,239
22515,22323,274,3,199.99,230
22516,22323,395,1,94.99,230
22517,22323,400,1,29.99,230
22518,22323,397,2,48.99,230
22519,22323,307,3,159.99,230
22520,22324,383,3,49.99,
22521,22324,405,2,64.99,
22522,22325,242,1,119.99,249
22523,22325,285,2,89.99,249
22524,22325,239,1,34.99,249
22525,22325,285,2,89.99,249
22526,22326,327,2,249.99,231
22527,22326,292,3,89.99,231
22528,22326,225,2,129.99,231
22529,22326,395,2,94.99,231
22530,22326,261,3,895,231
22531,22327,274,1,199.99,242
22532,22327,326,1,299.99,242
22533,22327,349,3,39.99,242
22534,22327,223,1,74.99,242
22535,22328,384,3,179.99,233
22536,22328,308,3,69.99,233
22537,22328,388,2,44.99,233
22538,22328,223,2,74.99,233
22539,22328,374,1,349.99,233
22540,22329,276,1,349.99,229
22541,22329,230,2,79.99,229
22542,22329,398,2,39.99,229
22543,22330,318,2,29.99,234
22544,22330,297,1,44.99,234
22545,22330,344,3,38.99,234
22546,22330,264,2,275,234
22547,22331,406,2,26.99,231
22548,22331,355,2,28.99,231
22549,22331,345,1,28.99,231
22550,22331,302,3,48.99,231
22551,22332,368,3,129.99,
22552,22332,309,3,49.99,
22553,22332,347,2,549.99,
22554,22332,290,1,1499.99,
22555,22333,301,2,58.99,225
22556,22334,369,3,59.99,236
22557,22334,288,2,79.99,236
22558,22334,225,2,129.99,236
22559,22335,375,1,279.99,221
22560,22336,285,2,89.99,248
22561,22336,314,1,159.99,248
22562,22337,254,2,449.99,232
22563,22337,237,1,49.99,232
22564,22337,275,2,699.99,232
22565,22338,382,3,89.99,229
22566,22338,381,2,54.99,229
22567,22339,326,2,299.99,244
22568,22339,405,1,64.99,244
22569,22340,243,2,149.99,
22570,22340,338,2,34.99,
22571,22340,363,3,179.99,
22572,22340,379,1,24.99,
22573,22341,394,3,29.99,232
22574,22341,246,1,89.99,232
22575,22342,375,1,279.99,231
22576,22342,359,2,34.99,231
22577,22342,403,1,499.99,231
22578,22342,277,3,1499.99,231
22579,22342,396,3,399.99,231
22580,22343,307,1,159.99,246
22581,22344,324,1,54.99,239
22582,22344,264,3,275,239
22583,22344,340,2,24.99,239
22584,22344,262,2,650,239
22585,22345,291,1,299.99,248
22586,22346,310,1,299.99,239
22587,22347,268,3,179.99,245
22588,22347,333,1,129.99,245
22589,22348,291,1,299.99,
22590,22348,344,2,38.99,
22591,22348,336,3,149.99,
22592,22349,239,1,34.99,222
22593,22350,299,2,125,230
22594,22350,297,1,44.99,230
22595,22350,311,1,2499.99,230
22596,22351,340,2,24.99,242
22597,22352,374,3,349.99,222
22598,22352,332,1,199.99,222
22599,22353,268,3,179.99,239
22600,22353,387,3,59.99,239
22601,22353,337,3,39.99,239
22602,22353,340,3,24.99,239
22603,22354,259,2,44.99,246
22604,22354,388,2,44.99,246
22605,22355,277,3,1499.99,234
22606,22355,296,1,39.99,234
22607,22356,340,1,24.99,
22608,22356,275,3,699.99,
22609,22356,255,1,59.99,
22610,22357,240,1,24.99,223
22611,22358,395,1,94.99,243
22612,22358,392,3,24.99,243
22613,22359,314,1,159.99,244
22614,22359,317,2,149.99,244
22615,22359,377,3,27.99,244
22616,22359,306,2,179.99,244
22617,22359,403,2,499.99,244
22618,22360,373,1,249.99,233
22619,22360,256,3,229.99,233
22620,22360,406,2,26.99,233
22621,22360,225,2,129.99,233
22622,22361,314,3,159.99,245
22623,22361,314,2,159.99,245
22624,22362,268,2,179.99,231
22625,22362,312,3,199.99,231
22626,22363,344,1,38.99,229
22627,22363,401,1,99.99,229
22628,22364,284,1,225,
22629,22365,225,3,129.99,232
22630,22365,231,1,68.99,232
22631,22365,384,1,179.99,232
22632,22365,320,1,22.99,232
22633,22365,359,1,34.99,232
22634,22366,260,3,69.99,224
22635,22366,247,3,549.99,224
22636,22367,348,2,149.99,229
22637,22367,354,2,32.99,229
22638,22367,377,1,27.99,229
22639,22368,266,3,149.99,245
22640,22368,223,1,74.99,245
22641,22368,318,1,29.99,245
22642,22368,262,2,650,245
22643,22369,254,2,449.99,242
22644,22369,221,1,189.99,242
22645,22369,330,1,119.99,242
22646,22370,256,3,229.99,240
22647,22370,350,3,179.99,240
22648,22370,386,1,79.99,240
22649,22370,232,1,54.99,240
22650,22371,308,1,69.99,226
22651,22372,273,1,79.99,
22652,22373,308,2,69.99,226
22653,22373,274,2,199.99,226
22654,22373,318,3,29.99,226
22655,22373,309,3,49.99,226
22656,22373,407,2,89.99,226
22657,22374,337,3,39.99,248
22658,22374,402,1,39.99,248
22659,22374,273,3,79.99,248
22660,22374,386,3,79.99,248
22661,22375,284,2,225,229
22662,22376,238,2,1299.99,233
22663,22377,388,3,44.99,231
22664,22377,374,2,349.99,231
