STORE_SK,SOURCE_SYSTEM,SOURCE_STORE_ID,LOCATION,MANAGER_NAME,CHANNEL_TYPE,STORE_TYPE,OPENED_DATE,INSERT_DT,UPDATE_DT,GEOCODE_AS_GEOM
1,,,"6769 Sunset Ln, Dallas, TX 75206",,,,,,,"{""point"": {""directposition"": [-96.8569, 32.74442]}, ""srid"": 4326}"
2,,,"6221 Washington Ln, San Diego, CA 92105",,,,,,,"{""point"": {""directposition"": [-117.17978, 32.74798]}, ""srid"": 4326}"
3,,,"1821 Broad Ct, Columbus, OH 43203",,,,,,,"{""point"": {""directposition"": [-82.82035, 39.98107]}, ""srid"": 4326}"
4,,,"1906 Oak Blvd, Austin, TX 78702",,,,,,,"{""point"": {""directposition"": [-97.84765, 30.23642]}, ""srid"": 4326}"
5,,,"120 Magnolia Ln, Indianapolis, IN 46202",,,,,,,"{""point"": {""directposition"": [-86.00962, 39.83721]}, ""srid"": 4326}"
6,,,"2500 Park St, Austin, TX 78702",,,,,,,"{""point"": {""directposition"": [-97.71217, 30.26139]}, ""srid"": 4326}"
7,,,"973 Spring Way, Phoenix, AZ 85018",,,,,,,"{""point"": {""directposition"": [-112.05032, 33.51146]}, ""srid"": 4326}"
8,,,"8028 Market Pl, San Jose, CA 95110",,,,,,,"{""point"": {""directposition"": [-121.90594, 37.33934]}, ""srid"": 4326}"
9,,,"8974 Lake Way, Philadelphia, PA 19104",,,,,,,"{""point"": {""directposition"": [-75.18515, 39.95196]}, ""srid"": 4326}"
10,,,"1099 School Blvd, Los Angeles, CA 90012",,,,,,,"{""point"": {""directposition"": [-118.34853, 34.0452]}, ""srid"": 4326}"
11,,,"1747 Spruce Ln, Columbus, OH 43203",,,,,,,"{""point"": {""directposition"": [-83.10825, 39.90162]}, ""srid"": 4326}"
12,,,"9089 Elm Ct, Columbus, OH 43201",,,,,,,"{""point"": {""directposition"": [-82.92377, 39.96496]}, ""srid"": 4326}"
13,,,"1772 Church Blvd, Houston, TX 77007",,,,,,,"{""point"": {""directposition"": [-95.39714, 29.79972]}, ""srid"": 4326}"
14,,,"2213 Chestnut Ave, San Francisco, CA 94103",,,,,,,"{""point"": {""directposition"": [-122.40993, 37.80418]}, ""srid"": 4326}"
15,,,"2651 Spring Ave, San Francisco, CA 94109",,,,,,,"{""point"": {""directposition"": [-122.4038, 37.79276]}, ""srid"": 4326}"
16,,,"8822 Lake Ct, Philadelphia, PA 19104",,,,,,,"{""point"": {""directposition"": [-75.18515, 39.95196]}, ""srid"": 4326}"
17,,,"7641 Elm Dr, San Jose, CA 95113",,,,,,,"{""point"": {""directposition"": [-121.85976, 37.37831]}, ""srid"": 4326}"
18,,,"1424 Riverside Pl, Philadelphia, PA 19102",,,,,,,"{""point"": {""directposition"": [-75.18098, 39.94982]}, ""srid"": 4326}"
19,,,"3820 Hawthorn Dr, Phoenix, AZ 85012",,,,,,,"{""point"": {""directposition"": [-112.08014, 33.49264]}, ""srid"": 4326}"
20,,,"5466 Center Ave, Austin, TX 78704",,,,,,,"{""point"": {""directposition"": [-97.73997, 30.28153]}, ""srid"": 4326}"
21,,,"9336 Cherry Pl, Phoenix, AZ 85008",,,,,,,"{""point"": {""directposition"": [-112.03005, 33.47187]}, ""srid"": 4326}"
22,,,"2714 Washington St, San Diego, CA 92102",,,,,,,"{""point"": {""directposition"": [-117.14808, 32.75274]}, ""srid"": 4326}"
23,,,"2423 Cherry Ln, Austin, TX 78704",,,,,,,"{""point"": {""directposition"": [-97.77041, 30.29322]}, ""srid"": 4326}"
24,,,"8637 Main Ln, Seattle, WA 98101",,,,,,,"{""point"": {""directposition"": [-122.32902, 47.60005]}, ""srid"": 4326}"
25,,,"3645 Oak St, Philadelphia, PA 19103",,,,,,,"{""point"": {""directposition"": [-75.64487, 39.724]}, ""srid"": 4326}"
26,,,"9818 Hawthorn Way, San Antonio, TX 78205",,,,,,,"{""point"": {""directposition"": [-98.51267, 29.38482]}, ""srid"": 4326}"
27,,,"2636 Highland Dr, Seattle, WA 98104",,,,,,,"{""point"": {""directposition"": [-122.34279, 47.62974]}, ""srid"": 4326}"
28,,,"4089 Forest Ln, San Diego, CA 92101",,,,,,,"{""point"": {""directposition"": [-117.14903, 32.73526]}, ""srid"": 4326}"
29,,,"4743 Cherry Rd, Fort Worth, TX 76102",,,,,,,"{""point"": {""directposition"": [-97.33487, 32.74777]}, ""srid"": 4326}"
30,,,"7890 Valley Way, Seattle, WA 98101",,,,,,,"{""point"": {""directposition"": [-122.33854, 47.60421]}, ""srid"": 4326}"
31,,,"2339 Spruce Ave, Chicago, IL 60654",,,,,,,"{""point"": {""directposition"": [-87.64117, 41.9334]}, ""srid"": 4326}"
32,,,"975 Market Ln, Jacksonville, FL 32202",,,,,,,"{""point"": {""directposition"": [-81.65551, 30.32382]}, ""srid"": 4326}"
33,,,"380 Elm Dr, Fort Worth, TX 76107",,,,,,,"{""point"": {""directposition"": [-97.48977632653062, 32.75552448979592]}, ""srid"": 4326}"
34,,,"4175 Pine Ln, Jacksonville, FL 32206",,,,,,,"{""point"": {""directposition"": [-81.56782, 30.22222]}, ""srid"": 4326}"
35,,,"8722 Highland Dr, Los Angeles, CA 90013",,,,,,,"{""point"": {""directposition"": [-118.34853, 34.0354]}, ""srid"": 4326}"
36,,,"7995 Main Dr, Austin, TX 78704",,,,,,,"{""point"": {""directposition"": [-97.75638, 30.17784]}, ""srid"": 4326}"
37,,,"6078 Magnolia Ct, Houston, TX 77002",,,,,,,"{""point"": {""directposition"": [-95.41027, 30.25211]}, ""srid"": 4326}"
38,,,"5243 Center Ave, San Jose, CA 95128",,,,,,,"{""point"": {""directposition"": [-121.87327, 37.25924]}, ""srid"": 4326}"
39,,,"6575 Poplar Ave, Austin, TX 78704",,,,,,,"{""point"": {""directposition"": [-97.74716, 30.29138]}, ""srid"": 4326}"
40,,,"6408 Washington Pl, Fort Worth, TX 76102",,,,,,,"{""point"": {""directposition"": [-97.33595, 32.72595]}, ""srid"": 4326}"
41,,,"9315 Spring Ln, Indianapolis, IN 46202",,,,,,,"{""point"": {""directposition"": [-86.20414, 39.7988]}, ""srid"": 4326}"
42,,,"3810 Highland Dr, Austin, TX 78701",,,,,,,"{""point"": {""directposition"": [-97.75766, 30.33774]}, ""srid"": 4326}"
43,,,"5944 Cedar Ln, San Antonio, TX 78230",,,,,,,"{""point"": {""directposition"": [-98.60976, 29.63173]}, ""srid"": 4326}"
44,,,"694 Birch Way, Charlotte, NC 28206",,,,,,,"{""point"": {""directposition"": [-80.76774, 35.22613]}, ""srid"": 4326}"
45,,,"4974 Elm St, Los Angeles, CA 90012",,,,,,,"{""point"": {""directposition"": [-118.23854, 33.96006]}, ""srid"": 4326}"
46,,,"6875 Chestnut Rd, Austin, TX 78701",,,,,,,"{""point"": {""directposition"": [-97.71553, 30.27377]}, ""srid"": 4326}"
47,,,"2241 Hill Pl, San Diego, CA 92104",,,,,,,"{""point"": {""directposition"": [-117.07798, 32.68587]}, ""srid"": 4326}"
48,,,"3342 Forest Ln, Houston, TX 77004",,,,,,,"{""point"": {""directposition"": [-95.19182, 29.86525]}, ""srid"": 4326}"
49,,,"7587 Spring Dr, San Antonio, TX 78230",,,,,,,"{""point"": {""directposition"": [-98.54219, 29.54064]}, ""srid"": 4326}"
50,,,"5283 Cherry Blvd, Phoenix, AZ 85018",,,,,,,"{""point"": {""directposition"": [-112.03005, 33.47187]}, ""srid"": 4326}"
