post_id,influencer_id,platform,external_post_id,post_text,posted_at,likes_count,shares_count,comments_count,views_count,sentiment_score,virality_score,detected_products,momentum_flag,processed_at,created_at
1,359,instagram,student_signal_00001,Students are asking for Library Research Consultation after financial aid and enrollment deadlines converged,2026-04-29T18:30:00Z,369,126,21,5885,0.43,41.7,15,normal,2026-05-05T14:30:00Z,2026-05-05T16:30:00Z
2,153,tiktok,student_signal_00002,Internship Readiness Review 1 demand is rising before fall registration closes for Evergreen Completion Center,2026-04-17T00:30:00Z,382,305,7,14263,0.39,31.8,"35,32",normal,2026-05-05T14:30:00Z,2026-05-05T16:30:00Z
3,236,twitter,student_signal_00003,Student success teams are connecting STEM Lab Tutoring Block signals to retention-risk interventions,2026-04-27T14:30:00Z,1004,1157,769,65662,0.86,85.5,"13,24",viral,2026-05-05T14:30:00Z,2026-05-05T16:30:00Z
4,31,twitter,student_signal_00004,Alumni microgrant interest is growing around Donor Scholarship Stewardship Review 1 for persistence support,2026-05-01T07:30:00Z,1721,423,209,20369,0.13,70.8,"32,26",rising,2026-05-05T14:30:00Z,2026-05-05T16:30:00Z
5,394,threads,student_signal_00005,Advisors flagged Testing Accommodation Intake 1 as a census-week retention priority in Oregon,2026-04-06T15:30:00Z,1369,325,197,23187,0.85,73.2,34,rising,2026-05-05T14:30:00Z,2026-05-05T16:30:00Z
6,33,instagram,student_signal_00006,FAFSA Verification Review 1 demand is rising before fall registration closes for Summit Career Pathways,2026-04-27T05:30:00Z,2870,95,368,57130,0.81,93.0,29,mega_viral,2026-05-05T12:30:00Z,2026-05-05T16:30:00Z
7,355,instagram,student_signal_00007,Innovation Online Campus needs coordinated outreach for Housing Insecurity Case Review 1 before the withdrawal deadline,2026-04-23T23:30:00Z,3699,1481,790,70996,0.61,76.5,40,viral,2026-05-05T10:30:00Z,2026-05-05T16:30:00Z
8,315,threads,student_signal_00008,Internship Readiness Review 2 capacity is becoming a student-success bottleneck this term,2026-04-28T21:30:00Z,3097,822,491,57071,0.04,93.4,"55,18",mega_viral,2026-05-05T15:30:00Z,2026-05-05T16:30:00Z
9,246,threads,student_signal_00009,Lakeside Financial Aid needs coordinated outreach for Retention Risk Outreach 2 before the withdrawal deadline,2026-04-24T12:30:00Z,1840,516,255,25698,0.40,73.2,"46,3",rising,2026-05-05T10:30:00Z,2026-05-05T16:30:00Z
10,290,threads,student_signal_00010,Lakeside Financial Aid needs coordinated outreach for Scholarship Matching Review before the withdrawal deadline,2026-04-18T00:30:00Z,179,19,15,11333,-0.10,55.6,"20,12",rising,2026-05-05T12:30:00Z,2026-05-05T16:30:00Z
11,119,youtube,student_signal_00011,Student success teams are connecting Orientation Advising Slot signals to retention-risk interventions,2026-04-07T10:30:00Z,25,10,14,1755,0.29,54.2,"6,28",normal,2026-05-05T12:30:00Z,2026-05-05T16:30:00Z
12,59,twitter,student_signal_00012,Advisors flagged Food Pantry Access Appointment 2 as a census-week retention priority in Oregon,2026-04-18T00:30:00Z,94,123,4,5571,0.05,71.6,59,rising,2026-05-05T08:30:00Z,2026-05-05T16:30:00Z
13,115,instagram,student_signal_00013,Advisors flagged Gateway Course Success Lab 2 as a census-week retention priority in California,2026-04-28T18:30:00Z,409,78,215,19851,0.75,52.7,"57,60",normal,2026-05-05T11:30:00Z,2026-05-05T16:30:00Z
14,453,instagram,student_signal_00014,Admit Yield Coaching 1 capacity is becoming a student-success bottleneck this term,2026-05-05T00:30:00Z,442,49,123,13623,0.41,67.7,"27,37,14",rising,2026-05-05T15:30:00Z,2026-05-05T16:30:00Z
15,89,instagram,student_signal_00015,Community partners are amplifying Meal Plan Emergency Grant for transfer and first-generation students,2026-04-07T07:30:00Z,3884,887,754,71536,0.15,78.4,17,viral,2026-05-05T13:30:00Z,2026-05-05T16:30:00Z
16,227,twitter,student_signal_00016,Same-Day Wellness Triage 2 demand is rising before fall registration closes for Coastal Access Office,2026-04-14T07:30:00Z,429,35,161,17274,0.50,48.2,"53,51",normal,2026-05-05T15:30:00Z,2026-05-05T16:30:00Z
17,353,tiktok,student_signal_00017,Alumni microgrant interest is growing around Registration Waitlist Priority for persistence support,2026-04-17T08:30:00Z,1042,219,161,13533,-0.17,63.0,4,rising,2026-05-05T12:30:00Z,2026-05-05T16:30:00Z
18,227,twitter,student_signal_00018,Student success teams are connecting Library Research Consultation signals to retention-risk interventions,2026-04-26T08:30:00Z,117,76,39,7525,0.69,38.0,"15,38",normal,2026-05-05T08:30:00Z,2026-05-05T16:30:00Z
19,339,instagram,student_signal_00019,Students are asking for Writing Intensive Course Support 2 after financial aid and enrollment deadlines converged,2026-04-07T22:30:00Z,3232,976,506,69669,0.16,83.5,58,viral,2026-05-05T14:30:00Z,2026-05-05T16:30:00Z
20,283,instagram,student_signal_00020,Alumni microgrant interest is growing around Food Pantry Access Appointment 2 for persistence support,2026-04-14T04:30:00Z,4003,1457,521,67319,0.79,88.5,59,viral,2026-05-05T09:30:00Z,2026-05-05T16:30:00Z
21,205,instagram,student_signal_00021,Registration Waitlist Priority demand is rising before fall registration closes for Riverbend Enrollment Services,2026-04-24T14:30:00Z,344,317,88,13079,0.86,43.7,4,normal,2026-05-05T12:30:00Z,2026-05-05T16:30:00Z
22,7,twitter,student_signal_00022,Alumni microgrant interest is growing around Donor Scholarship Stewardship Review 1 for persistence support,2026-04-08T08:30:00Z,842,362,149,15623,0.38,22.1,"32,19,49",normal,2026-05-05T10:30:00Z,2026-05-05T16:30:00Z
23,350,twitter,student_signal_00023,ClearPath Wellness Center needs coordinated outreach for Donor Scholarship Stewardship Review 2 before the withdrawal deadline,2026-04-20T05:30:00Z,5716,435,473,72422,0.20,94.6,"52,45",mega_viral,2026-05-05T13:30:00Z,2026-05-05T16:30:00Z
24,46,threads,student_signal_00024,Innovation Online Campus needs coordinated outreach for Internship Readiness Review 2 before the withdrawal deadline,2026-04-08T09:30:00Z,43,152,30,6540,0.37,25.6,55,normal,2026-05-05T12:30:00Z,2026-05-05T16:30:00Z
25,129,threads,student_signal_00025,Students are asking for Satisfactory Academic Progress Appeal 1 after financial aid and enrollment deadlines converged,2026-04-06T00:30:00Z,1512,573,327,27972,0.78,98.1,30,mega_viral,2026-05-05T14:30:00Z,2026-05-05T16:30:00Z
26,407,instagram,student_signal_00026,Desert Workforce Institute needs coordinated outreach for Same-Day Wellness Triage 1 before the withdrawal deadline,2026-04-14T00:30:00Z,102,288,51,16083,0.67,21.1,"33,10",normal,2026-05-05T14:30:00Z,2026-05-05T16:30:00Z
27,50,instagram,student_signal_00027,Student success teams are connecting Belonging and Engagement Check-In 1 signals to retention-risk interventions,2026-05-02T21:30:00Z,156,653,123,27309,0.23,75.0,"42,44,43",viral,2026-05-05T08:30:00Z,2026-05-05T16:30:00Z
28,139,youtube,student_signal_00028,Advisors flagged Gateway Course Success Lab 2 as a census-week retention priority in Oregon,2026-04-24T10:30:00Z,713,257,141,12206,0.78,24.8,57,normal,2026-05-05T15:30:00Z,2026-05-05T16:30:00Z
29,180,tiktok,student_signal_00029,Students are asking for Same-Day Wellness Triage 1 after financial aid and enrollment deadlines converged,2026-04-17T16:30:00Z,412,488,307,44962,0.86,79.3,"33,12",viral,2026-05-05T10:30:00Z,2026-05-05T16:30:00Z
30,140,tiktok,student_signal_00030,Registration Hold Resolution 1 capacity is becoming a student-success bottleneck this term,2026-04-14T08:30:00Z,1363,232,28,18262,0.81,77.4,28,rising,2026-05-05T14:30:00Z,2026-05-05T16:30:00Z
31,56,youtube,student_signal_00031,Advisors flagged Donor Scholarship Stewardship Review 2 as a census-week retention priority in Arizona,2026-04-16T02:30:00Z,1058,316,20,25484,0.61,25.3,52,normal,2026-05-05T08:30:00Z,2026-05-05T16:30:00Z
32,72,youtube,student_signal_00032,Advisors flagged Retention Risk Outreach 2 as a census-week retention priority in Illinois,2026-04-14T16:30:00Z,627,154,47,7376,0.77,36.6,"46,15",normal,2026-05-05T12:30:00Z,2026-05-05T16:30:00Z
