signal_part_mention_id,production_signal_id,manufactured_part_id,confidence_score,mention_type,created_at
1,1,23,0.786,semantic,2026-06-29T21:44:57Z
2,2,15,0.81,hashtag,2026-06-29T21:44:57Z
3,3,31,0.988,visual,2026-06-29T21:44:57Z
4,5,12,0.869,direct,2026-06-29T21:44:57Z
5,6,2,0.829,semantic,2026-06-29T21:44:57Z
6,7,28,0.715,hashtag,2026-06-29T21:44:57Z
7,8,11,0.88,visual,2026-06-29T21:44:57Z
8,11,6,0.932,semantic,2026-06-29T21:44:57Z
9,12,25,0.952,hashtag,2026-06-29T21:44:57Z
10,16,12,0.853,semantic,2026-06-29T21:44:57Z
11,17,20,0.916,hashtag,2026-06-29T21:44:57Z
12,20,2,0.931,direct,2026-06-29T21:44:57Z
13,22,7,0.942,hashtag,2026-06-29T21:44:57Z
14,23,6,0.734,visual,2026-06-29T21:44:57Z
15,24,5,0.985,inferred,2026-06-29T21:44:57Z
16,25,28,0.703,direct,2026-06-29T21:44:57Z
17,27,8,0.705,hashtag,2026-06-29T21:44:57Z
18,29,18,0.98,inferred,2026-06-29T21:44:57Z
19,30,12,0.763,direct,2026-06-29T21:44:57Z
20,32,22,0.771,hashtag,2026-06-29T21:44:57Z
21,33,8,0.953,visual,2026-06-29T21:44:57Z
22,34,20,0.737,inferred,2026-06-29T21:44:57Z
23,36,27,0.781,semantic,2026-06-29T21:44:57Z
24,37,12,0.702,hashtag,2026-06-29T21:44:57Z
25,38,4,0.839,visual,2026-06-29T21:44:57Z
26,40,8,0.874,direct,2026-06-29T21:44:57Z
27,42,19,0.975,hashtag,2026-06-29T21:44:57Z
28,44,26,0.876,inferred,2026-06-29T21:44:57Z
29,46,20,0.87,semantic,2026-06-29T21:44:57Z
30,47,20,0.856,hashtag,2026-06-29T21:44:57Z
31,49,15,0.792,inferred,2026-06-29T21:44:57Z
32,50,13,0.774,direct,2026-06-29T21:44:57Z
33,52,1,0.705,hashtag,2026-06-29T21:44:57Z
34,53,20,0.767,visual,2026-06-29T21:44:57Z
35,55,22,0.882,direct,2026-06-29T21:44:57Z
36,58,2,0.737,visual,2026-06-29T21:44:57Z
37,59,22,0.906,inferred,2026-06-29T21:44:57Z
38,61,24,0.772,semantic,2026-06-29T21:44:57Z
39,62,20,0.94,hashtag,2026-06-29T21:44:57Z
40,63,25,0.765,visual,2026-06-29T21:44:57Z
41,64,19,0.837,inferred,2026-06-29T21:44:57Z
42,65,6,0.976,direct,2026-06-29T21:44:57Z
43,68,14,0.708,visual,2026-06-29T21:44:57Z
44,69,27,0.96,inferred,2026-06-29T21:44:57Z
45,70,21,0.758,direct,2026-06-29T21:44:57Z
46,73,12,0.801,visual,2026-06-29T21:44:57Z
47,74,13,0.908,inferred,2026-06-29T21:44:57Z
48,75,10,0.706,direct,2026-06-29T21:44:57Z
49,76,24,0.702,semantic,2026-06-29T21:44:57Z
50,77,15,0.761,hashtag,2026-06-29T21:44:57Z
51,78,24,0.758,visual,2026-06-29T21:44:57Z
52,80,13,0.744,direct,2026-06-29T21:44:57Z
53,82,16,0.897,hashtag,2026-06-29T21:44:57Z
54,83,20,0.948,visual,2026-06-29T21:44:57Z
55,89,12,0.869,inferred,2026-06-29T21:44:57Z
56,90,24,0.795,direct,2026-06-29T21:44:57Z
57,91,7,0.796,semantic,2026-06-29T21:44:57Z
58,92,9,0.839,hashtag,2026-06-29T21:44:57Z
59,93,23,0.999,visual,2026-06-29T21:44:57Z
60,96,22,0.817,semantic,2026-06-29T21:44:57Z
61,97,11,0.791,hashtag,2026-06-29T21:44:57Z
62,98,5,0.846,visual,2026-06-29T21:44:57Z
63,99,10,0.768,inferred,2026-06-29T21:44:57Z
64,101,27,0.762,semantic,2026-06-29T21:44:57Z
65,102,15,0.915,hashtag,2026-06-29T21:44:57Z
66,103,7,0.768,visual,2026-06-29T21:44:57Z
67,104,1,0.888,inferred,2026-06-29T21:44:57Z
