post_id,influencer_id,platform,external_post_id,post_text,posted_at,likes_count,shares_count,comments_count,views_count,sentiment_score,virality_score,detected_products,momentum_flag,processed_at,created_at
1,192,tiktok,ext_tiktok_00000001,"Store associates report more questions about TrailFlex Training Joggers sizing, availability, and nearby fulfillment options.",2026-04-13T08:42:59Z,1828,1608,367,42312,0.911,,,rising,,2026-04-13T09:16:48Z
2,202,tiktok,ext_tiktok_00000002,"Outdoor creators are comparing AtomFit RecoveryGun Mini against adjacent gear for grip, packability, and repeat use.",2026-03-19T10:48:54Z,9843,911,690,47914,0.33,,,rising,,2026-04-13T09:16:48Z
3,134,youtube,ext_youtube_00000003,"Customer reviews mention RaceDay Docking Hub in conversations about weekend hiking, training plans, and replenishment needs.",2026-03-17T11:03:49Z,209,86,22,16068,0.715,,,normal,,2026-04-13T09:16:48Z
4,226,instagram,ext_instagram_00000004,"Regional demand is rising for running shoes, cycling accessories, and home training equipment.",2026-03-29T12:30:03Z,705,88,38,13135,0.766,,,normal,,2026-04-13T09:16:48Z
5,336,twitter,ext_twitter_00000005,"Service teams are watching packaging, fit, and delivery timing feedback for outdoor gear.",2026-03-31T00:24:53Z,287,24,13,8245,0.146,,,normal,,2026-04-13T09:16:48Z
6,113,twitter,ext_twitter_00000006,Regional teams flagged UrbanPulse Cyber Mesh Sneakers as a product to monitor for inventory pressure.,2026-04-04T04:39:01Z,797,33,46,15377,0.831,,,normal,,2026-04-13T09:16:48Z
7,304,instagram,ext_instagram_00000007,"Community posts are linking Yoga Mat Premium with adjacent outdoor, recovery, and hydration purchases.",2026-04-07T05:34:14Z,493,90,22,4162,0.276,,,normal,,2026-04-13T09:16:48Z
8,231,instagram,ext_instagram_00000008,"Trail field note: Seer Sporting Goods Matcha Endurance Starter Kit is getting stronger customer interest for comfort, fit, and durability.",2026-04-08T16:04:40Z,4714,1876,775,167924,0.82,,,rising,,2026-04-13T09:16:48Z
9,422,youtube,ext_youtube_00000009,"Store associates report more questions about CoachMic USB Microphone sizing, availability, and nearby fulfillment options.",2026-03-28T10:05:59Z,9598,1720,561,48387,0.26,,,rising,,2026-04-13T09:16:48Z
10,445,tiktok,ext_tiktok_00000010,"Outdoor creators are comparing QuantumLeap SummitPulse GPS Watch against adjacent gear for grip, packability, and repeat use.",2026-04-09T21:31:07Z,131,24,0,3067,0.574,,,normal,,2026-04-13T09:16:48Z
11,308,threads,ext_threads_00000011,"Customer reviews mention Magnesium Recovery Gummies in conversations about weekend hiking, training plans, and replenishment needs.",2026-04-08T13:11:18Z,460,32,12,4671,0.299,,,normal,,2026-04-13T09:16:48Z
12,320,tiktok,ext_tiktok_00000012,Demand signal: RusticHome Trailhead Gear Clock is showing stronger engagement before upcoming trail and fitness events.,2026-03-21T11:25:45Z,752,12,41,4858,0.855,,,normal,,2026-04-13T09:16:48Z
13,433,threads,ext_threads_00000013,"Service teams are watching Yoga Mat Premium feedback for packaging, sizing, and delivery timing.",2026-03-16T06:29:16Z,8353,1291,289,36604,0.346,,,rising,,2026-04-13T09:16:48Z
14,168,twitter,ext_twitter_00000014,"Training communities are increasing engagement around sports tech, recovery, and nutrition products.",2026-03-16T21:20:02Z,388,27,28,2362,0.22,,,normal,,2026-04-13T09:16:48Z
15,393,threads,ext_threads_00000015,"Community posts are linking RecoveryGun Mini with adjacent outdoor, recovery, and hydration purchases.",2026-03-30T03:36:06Z,450,69,26,13524,0.577,,,normal,,2026-04-13T09:16:48Z
16,31,instagram,ext_instagram_00000016,Weekend trail shoppers are asking for waterproof boots with clearer sizing guidance.,2026-03-16T08:33:54Z,6234,367,158,43652,0.441,,,rising,,2026-04-13T09:16:48Z
17,195,threads,ext_threads_00000017,"Store associates report more questions about Stadium Travel Blanket sizing, availability, and nearby fulfillment options.",2026-03-24T21:42:54Z,36,58,40,17410,0.749,,,normal,,2026-04-13T09:16:48Z
18,137,tiktok,ext_tiktok_00000018,"Outdoor creators are comparing RusticHome Indoor Training Garden Kit against adjacent gear for grip, packability, and repeat use.",2026-03-21T18:42:55Z,895,38,39,13025,0.763,,,normal,,2026-04-13T09:16:48Z
19,194,youtube,ext_youtube_00000019,"Customer reviews mention AirGlide Runner in conversations about weekend hiking, training plans, and replenishment needs.",2026-04-06T16:59:04Z,7988,1000,449,120669,0.779,,,rising,,2026-04-13T09:16:48Z
20,179,youtube,ext_youtube_00000020,Demand signal: LuxeThread Summit Graphic Training Tee is showing stronger engagement before upcoming trail and fitness events.,2026-03-15T02:51:36Z,147,7,13,18799,0.379,,,normal,,2026-04-13T09:16:48Z
21,482,youtube,ext_youtube_00000021,"Service teams are watching Vitamin Recovery Balm feedback for packaging, sizing, and delivery timing.",2026-04-02T19:22:39Z,447,23,17,19023,0.737,,,normal,,2026-04-13T09:16:48Z
22,63,twitter,ext_twitter_00000022,Regional teams flagged AtomFit OmniRing Performance Tracker as a product to monitor for inventory pressure.,2026-03-18T04:54:51Z,3801,1875,236,174783,0.726,,,rising,,2026-04-13T09:16:48Z
23,6,instagram,ext_instagram_00000023,Retail planners are monitoring creator posts for early replenishment and allocation signals.,2026-03-18T09:56:56Z,2546,770,677,87102,-0.006,,,rising,,2026-04-13T09:16:48Z
24,432,youtube,ext_youtube_00000024,Weekend trail shoppers are asking for waterproof boots with clearer sizing guidance.,2026-04-13T07:09:20Z,938,85,17,17211,0.049,,,normal,,2026-04-13T09:16:48Z
25,377,youtube,ext_youtube_00000025,"Store associates report more questions about StudioRun Training Headphones sizing, availability, and nearby fulfillment options.",2026-03-30T21:13:35Z,154,86,49,14601,0.238,,,normal,,2026-04-13T09:16:48Z
26,272,youtube,ext_youtube_00000026,"Outdoor creators are comparing TerraGear 4-Season Tent 3P against adjacent gear for grip, packability, and repeat use.",2026-04-03T03:05:28Z,252,95,7,9167,0.317,,,normal,,2026-04-13T09:16:48Z
27,89,youtube,ext_youtube_00000027,"Customer reviews mention TrailFlex Training Joggers in conversations about weekend hiking, training plans, and replenishment needs.",2026-04-11T20:39:14Z,888,58,33,11895,0.356,,,normal,,2026-04-13T09:16:48Z
28,163,twitter,ext_twitter_00000028,Demand signal: AuraScent Locker Room Organizer Set is showing stronger engagement before upcoming trail and fitness events.,2026-04-13T01:26:31Z,202,80,0,1852,0.782,,,normal,,2026-04-13T09:16:48Z
29,9,youtube,ext_youtube_00000029,"Service teams are watching packaging, fit, and delivery timing feedback for outdoor gear.",2026-04-05T06:50:23Z,7681,483,461,199724,0.782,,,rising,,2026-04-13T09:16:48Z
30,459,instagram,ext_instagram_00000030,Regional teams flagged ThunderLift Battle Ropes 50ft as a product to monitor for inventory pressure.,2026-03-27T07:19:52Z,39872,7674,7908,969881,0.584,,,viral,,2026-04-13T09:16:48Z
31,158,twitter,ext_twitter_00000031,"Community posts are linking SlipStream Slide with adjacent outdoor, recovery, and hydration purchases.",2026-03-16T06:37:36Z,282,59,1,17958,0.925,,,normal,,2026-04-13T09:16:48Z
32,170,threads,ext_threads_00000032,Weekend trail shoppers are asking for waterproof boots with clearer sizing guidance.,2026-03-23T15:42:57Z,5971,549,713,47507,-0.085,,,rising,,2026-04-13T09:16:48Z
33,52,tiktok,ext_tiktok_00000033,"Store associates report more questions about Smart Grill Thermometer sizing, availability, and nearby fulfillment options.",2026-03-15T10:50:14Z,134,61,18,235,0.487,,,normal,,2026-04-13T09:16:48Z
34,9,youtube,ext_youtube_00000034,"Customers comparing hiking gear want grip, comfort, easy exchanges, and faster nearby fulfillment.",2026-04-11T08:07:04Z,492,94,31,11340,0.01,,,normal,,2026-04-13T09:16:48Z
35,455,tiktok,ext_tiktok_00000035,Outdoor creators are driving interest in AllTerrain Hiking Boots and adjacent camping gear.,2026-04-12T17:17:46Z,934,85,20,19652,-0.238,,,normal,,2026-04-13T09:16:48Z
36,143,twitter,ext_twitter_00000036,Demand signal: EverGreen Urban Trail Daypack is showing stronger engagement before upcoming trail and fitness events.,2026-04-07T23:41:22Z,355,95,1,6924,0.64,,,normal,,2026-04-13T09:16:48Z
37,518,instagram,ext_instagram_00000037,"Service teams are watching TrailRun Sport Earbuds feedback for packaging, sizing, and delivery timing.",2026-04-11T06:18:34Z,101,97,31,19458,0.666,,,normal,,2026-04-13T09:16:48Z
38,510,twitter,ext_twitter_00000038,Regional teams flagged Seer Sporting Goods Sport Wrap Polarized Shades as a product to monitor for inventory pressure.,2026-04-11T23:24:01Z,301,41,47,16509,0.8,,,normal,,2026-04-13T09:16:48Z
39,509,tiktok,ext_tiktok_00000039,Retail planners are monitoring creator posts for early replenishment and allocation signals.,2026-04-09T05:48:39Z,870,2,16,19289,0.16,,,normal,,2026-04-13T09:16:48Z
40,,instagram,ext_instagram_00000040,"Trail field note: PixelCraft DrillSwitch Training Controller is getting stronger customer interest for comfort, fit, and durability.",2026-03-21T03:22:07Z,791,38,10,14923,0.922,,,normal,,2026-04-13T09:16:48Z
41,171,instagram,ext_instagram_00000041,"Store teams are seeing stronger demand for trail footwear, packs, hydration gear, and recovery products.",2026-04-12T22:52:31Z,220,47,5,6080,0.743,,,normal,,2026-04-13T09:16:48Z
42,238,twitter,ext_twitter_00000042,"Customers comparing hiking gear want grip, comfort, easy exchanges, and faster nearby fulfillment.",2026-04-13T04:19:24Z,652,83,46,7822,0.843,,,normal,,2026-04-13T09:16:48Z
43,158,twitter,ext_twitter_00000043,Outdoor creators are driving interest in AllTerrain Hiking Boots and adjacent camping gear.,2026-03-27T20:55:13Z,6125,1573,187,135814,0.067,,,rising,,2026-04-13T09:16:48Z
