item_id,order_id,product_id,quantity,unit_price,fulfilled_from
1,1,482,1,19.0,1
2,2,595,1,27.0,2
3,3,460,1,37.0,1
4,3,326,3,162.85,1
5,4,460,1,37.0,1
6,4,327,1,378.42,1
7,5,460,3,37.0,2
8,6,496,1,72.0,1
9,6,365,3,475.59,1
10,7,336,1,94.0,4
11,8,336,1,94.0,2
12,9,533,1,99.0,3
13,10,349,1,300.0,3
14,11,349,4,300.0,1
15,12,349,2,300.0,1
16,13,349,2,300.0,3
17,14,349,1,300.0,1
18,15,349,1,300.0,1
19,11,332,4,264.3,1
20,16,349,1,300.0,1
21,17,349,1,300.0,3
22,18,560,4,3.06,1
23,19,524,1,3.8,2
24,20,481,1,5.6,3
25,21,570,1,8.45,2
26,22,550,3,7.88,1
27,23,207,1,9.91,1
28,23,198,1,247.95,1
29,24,207,3,9.91,1
30,24,199,3,282.16,1
31,25,185,2,12.03,1
32,26,185,1,12.03,1
33,27,185,1,12.03,1
34,28,185,1,12.03,1
35,29,185,1,12.03,2
36,30,185,3,12.03,8
37,31,185,2,12.03,1
38,32,185,1,12.03,1
39,33,185,1,12.03,1
40,34,185,1,12.03,1
41,35,185,1,12.03,3
42,36,185,1,12.03,4
43,37,185,3,12.03,1
44,38,185,2,12.03,1
45,39,185,1,12.03,1
46,40,185,1,12.03,4
47,41,185,1,12.03,1
48,42,185,1,12.03,1
49,39,179,1,40.43,1
50,43,185,4,12.03,2
51,44,185,2,12.03,11
52,45,185,2,12.03,1
53,46,185,1,12.03,2
54,47,185,1,12.03,1
55,48,185,1,12.03,1
56,26,166,1,83.04,1
57,31,171,1,243.48,1
58,49,185,1,12.03,1
59,50,185,3,12.03,1
60,51,185,2,12.03,1
61,52,185,1,12.03,6
62,53,185,1,12.03,1
63,38,178,1,59.31,1
64,54,185,1,12.03,1
65,55,185,1,12.03,1
66,25,165,1,300.0,1
67,56,185,1,12.03,3
68,57,185,3,12.03,1
69,58,185,2,12.03,1
70,59,185,1,12.03,2
71,60,185,1,12.03,1
72,61,185,1,12.03,5
73,62,185,1,12.03,2
74,63,185,4,12.03,1
75,64,185,2,12.03,1
76,65,185,2,12.03,1
77,50,190,1,123.51,1
78,66,185,1,12.03,3
79,67,185,1,12.03,1
80,68,185,1,12.03,6
81,63,203,1,394.7,1
82,69,185,1,12.03,1
83,70,185,3,12.03,1
84,71,185,2,12.03,14
85,72,601,1,9.84,1
86,72,650,2,158.99,1
87,73,207,1,9.91,1
88,74,207,1,9.91,4
89,75,207,1,9.91,1
90,76,207,1,9.91,3
91,77,207,4,9.91,1
92,78,207,2,9.91,1
93,79,207,2,9.91,1
94,80,207,1,9.91,1
95,81,207,1,9.91,1
96,82,207,1,9.91,6
97,83,207,1,9.91,2
98,84,207,3,9.91,1
99,85,207,2,9.91,1
100,86,207,1,9.91,1
101,87,207,1,9.91,1
102,88,207,1,9.91,2
103,89,207,1,9.91,3
104,90,207,1,9.91,1
105,91,207,3,9.91,9
106,92,207,2,9.91,1
107,75,250,1,347.36,1
108,93,207,1,9.91,1
109,94,207,1,9.91,1
110,95,207,1,9.91,1
111,96,207,1,9.91,1
112,97,207,4,9.91,1
113,98,207,2,9.91,1
114,81,256,2,225.05,1
115,99,207,2,9.91,1
116,100,207,1,9.91,1
117,101,207,1,9.91,7
118,102,207,1,9.91,1
119,103,207,1,9.91,1
120,104,207,3,9.91,1
121,105,207,2,9.91,1
122,103,278,1,184.2,1
123,106,207,1,9.91,7
124,76,251,2,558.01,3
125,107,207,1,9.91,1
126,93,268,1,139.52,1
127,108,207,1,9.91,1
128,109,207,1,9.91,1
129,110,207,1,9.91,1
130,111,207,3,9.91,3
131,112,207,2,9.91,4
132,113,207,1,9.91,1
133,114,207,1,9.91,45
134,107,282,1,265.94,1
135,115,207,1,9.91,5
136,116,207,1,9.91,2
137,117,207,4,9.91,1
138,118,207,2,9.91,2
139,119,207,2,9.91,1
140,120,207,1,9.91,1
141,121,207,1,9.91,4
142,122,207,1,9.91,1
143,123,207,1,9.91,1
144,124,185,2,12.03,1
145,125,185,2,12.03,8
146,126,185,1,12.03,1
147,127,185,1,12.03,2
148,128,185,1,12.03,3
149,129,185,1,12.03,2
150,130,185,3,12.03,5
151,131,185,2,12.03,1
152,132,185,1,12.03,1
153,133,185,1,12.03,29
154,134,185,1,12.03,2
155,135,185,1,12.03,5
156,136,185,1,12.03,14
157,137,185,3,12.03,2
158,138,185,2,12.03,2
159,139,185,1,12.03,1
160,140,185,1,12.03,7
161,141,185,1,12.03,1
162,142,185,1,12.03,5
163,143,185,4,12.03,1
164,144,185,2,12.03,1
165,145,185,2,12.03,2
166,146,185,1,12.03,2
167,147,185,1,12.03,1
168,148,185,1,12.03,5
169,149,185,1,12.03,3
170,139,279,1,104.59,1
171,150,185,3,12.03,1
172,151,185,2,12.03,1
173,152,185,1,12.03,8
174,153,185,1,12.03,2
175,154,185,1,12.03,2
176,155,185,1,12.03,1
177,156,185,1,12.03,4
178,157,185,3,12.03,5
179,158,185,2,12.03,1
180,159,185,1,12.03,1
181,160,185,1,12.03,1
182,161,185,1,12.03,1
183,143,283,1,264.19,1
184,162,185,1,12.03,2
185,163,185,4,12.03,2
186,164,226,1,10.44,1
187,165,226,1,10.44,25
188,166,226,1,10.44,2
189,167,226,3,10.44,1
190,168,226,2,10.44,1
191,169,226,1,10.44,10
192,170,226,1,10.44,1
193,171,226,1,10.44,1
194,172,226,1,10.44,1
195,167,256,2,225.05,1
196,173,226,1,10.44,2
197,174,226,3,10.44,1
198,175,226,2,10.44,2
199,176,226,1,10.44,1
200,177,226,1,10.44,1
201,178,185,2,12.03,9
202,179,185,1,12.03,1
203,180,185,1,12.03,4
204,181,185,1,12.03,2
205,182,185,1,12.03,1
206,183,185,4,12.03,1
207,184,185,2,12.03,1
208,185,185,2,12.03,1
209,186,185,1,12.03,1
210,187,185,1,12.03,1
211,188,185,1,12.03,1
212,189,185,1,12.03,1
213,190,185,3,12.03,1
214,191,185,2,12.03,2
215,192,185,1,12.03,1
216,193,185,1,12.03,1
217,194,185,1,12.03,1
218,195,185,1,12.03,2
219,196,185,1,12.03,1
220,197,185,3,12.03,3
221,198,185,2,12.03,1
222,199,185,1,12.03,3
223,200,185,1,12.03,1
224,201,185,1,12.03,1
225,202,185,1,12.03,3
226,203,185,4,12.03,1
227,204,185,2,12.03,2
228,205,185,2,12.03,12
229,206,185,1,12.03,1
230,207,185,1,12.03,1
231,208,185,1,12.03,1
232,209,185,1,12.03,14
233,210,185,3,12.03,1
234,211,185,2,12.03,1
235,212,185,1,12.03,1
236,213,185,1,12.03,1
237,214,185,1,12.03,1
238,215,185,1,12.03,1
239,216,185,1,12.03,1
240,217,185,3,12.03,1
241,218,185,2,12.03,1
242,219,185,1,12.03,1
243,220,185,1,12.03,1
244,221,185,1,12.03,1
245,222,185,1,12.03,3
246,223,185,4,12.03,1
247,224,185,2,12.03,10
248,225,185,2,12.03,1
249,226,185,1,12.03,1
250,227,185,1,12.03,1
251,228,185,1,12.03,1
252,229,185,1,12.03,1
253,230,185,3,12.03,1
