center_id,center_name,center_type,address_line1,city,state_province,postal_code,country,latitude,longitude,capacity_units,current_load_pct,is_active,operating_hours,created_at
1,Edison Northeast Care Logistics Depot,distribution,100 Healthcare Logistics Way,Edison,New Jersey,08817,US,40.5187,-74.4121,500000,0,1,06:00-22:00,2026-04-13T09:16:47Z
2,Ontario Care Delivery Warehouse,warehouse,101 Healthcare Logistics Way,Ontario,California,91761,US,34.0633,-117.6509,750000,0,1,06:00-22:00,2026-04-13T09:16:47Z
3,Joliet Midwest Regulatory Hub,distribution,102 Healthcare Logistics Way,Joliet,Illinois,60435,US,41.5250,-88.0817,400000,0,1,06:00-22:00,2026-04-13T09:16:47Z
4,Lancaster Trial Kit Storage Site,warehouse,103 Healthcare Logistics Way,Lancaster,Texas,75134,US,32.5921,-96.7561,350000,0,1,06:00-22:00,2026-04-13T09:16:47Z
5,Union City Southeast Care Logistics Hub,distribution,104 Healthcare Logistics Way,Union City,Georgia,30291,US,33.5871,-84.5421,450000,0,1,06:00-22:00,2026-04-13T09:16:47Z
6,Kent Pacific Specialty Care Warehouse,warehouse,105 Healthcare Logistics Way,Kent,Washington,98032,US,47.3809,-122.2348,300000,0,1,06:00-22:00,2026-04-13T09:16:47Z
7,Hialeah Import Compliance Site,distribution,106 Healthcare Logistics Way,Hialeah,Florida,33012,US,25.8576,-80.2781,250000,0,1,06:00-22:00,2026-04-13T09:16:47Z
8,Aurora Mountain West Repack Hub,warehouse,107 Healthcare Logistics Way,Aurora,Colorado,80011,US,39.7294,-104.8319,200000,0,1,06:00-22:00,2026-04-13T09:16:47Z
9,Goodyear Desert Care Logistics Site,warehouse,108 Healthcare Logistics Way,Goodyear,Arizona,85338,US,33.4353,-112.3577,280000,0,1,06:00-22:00,2026-04-13T09:16:47Z
10,Fall River Northeast Safety Hub,distribution,109 Healthcare Logistics Way,Fall River,Massachusetts,02720,US,41.7015,-71.1550,220000,0,1,06:00-22:00,2026-04-13T09:16:47Z
11,Shakopee Trial Supply Warehouse,warehouse,110 Healthcare Logistics Way,Shakopee,Minnesota,55379,US,44.7974,-93.5272,180000,0,1,06:00-22:00,2026-04-13T09:16:47Z
12,Troutdale Pacific Micro Site,micro,111 Healthcare Logistics Way,Troutdale,Oregon,97060,US,45.5390,-122.3872,80000,0,1,06:00-22:00,2026-04-13T09:16:47Z
13,Lebanon Central Specialty Care Warehouse,warehouse,112 Healthcare Logistics Way,Lebanon,Tennessee,37087,US,36.2081,-86.2911,250000,0,1,06:00-22:00,2026-04-13T09:16:47Z
14,Fremont Bay Area Compliance Site,micro,113 Healthcare Logistics Way,Fremont,California,94538,US,37.5485,-121.9886,120000,0,1,06:00-22:00,2026-04-13T09:16:47Z
15,Romulus Great Lakes Bioprocess Hub,warehouse,114 Healthcare Logistics Way,Romulus,Michigan,48174,US,42.2223,-83.3963,200000,0,1,06:00-22:00,2026-04-13T09:16:47Z
16,Middletown Mid-Atlantic Care Logistics Hub,distribution,115 Healthcare Logistics Way,Middletown,Delaware,19709,US,39.4496,-75.7163,350000,0,1,06:00-22:00,2026-04-13T09:16:47Z
17,Missouri City Gulf Coast Warehouse,warehouse,116 Healthcare Logistics Way,Missouri City,Texas,77459,US,29.6186,-95.5377,300000,0,1,06:00-22:00,2026-04-13T09:16:47Z
18,West Jordan Mountain Clinical Site,warehouse,117 Healthcare Logistics Way,West Jordan,Utah,84084,US,40.6097,-111.9391,180000,0,1,06:00-22:00,2026-04-13T09:16:47Z
