shipment_id,order_id,center_id,carrier,tracking_number,ship_status,distance_km,estimated_hours,ship_cost,shipped_at,delivered_at,created_at
1,1,6,StreamOps,MEDIA0000000001,delivered,11.7,6.5,0,2026-05-04T15:30:00Z,2026-05-04T18:30:00Z,2026-05-05T16:30:00Z
2,2,11,TheatricalDesk,MEDIA0000000002,in_transit,15.4,12,0,2026-05-04T14:30:00Z,,2026-05-05T16:30:00Z
3,3,16,MarqueeOps,MEDIA0000000003,shipped,19.1,17.5,0,2026-05-04T13:30:00Z,,2026-05-05T16:30:00Z
4,4,21,RightsRunner,MEDIA0000000004,packed,22.8,23,0,2026-05-04T12:30:00Z,,2026-05-05T16:30:00Z
5,5,26,LiveEventDesk,MEDIA0000000005,preparing,26.5,28.5,0,,,2026-05-05T16:30:00Z
6,6,1,StreamOps,MEDIA0000000006,delivered,30.2,34,0,2026-05-04T10:30:00Z,2026-05-04T18:30:00Z,2026-05-05T16:30:00Z
7,7,6,TheatricalDesk,MEDIA0000000007,in_transit,33.9,3.5,0,2026-05-04T09:30:00Z,,2026-05-05T16:30:00Z
8,8,11,MarqueeOps,MEDIA0000000008,shipped,37.6,9,0,2026-05-04T08:30:00Z,,2026-05-05T16:30:00Z
9,9,16,RightsRunner,MEDIA0000000009,packed,41.3,14.5,0,2026-05-04T07:30:00Z,,2026-05-05T16:30:00Z
10,10,21,LiveEventDesk,MEDIA0000000010,preparing,45,20,0,,,2026-05-05T16:30:00Z
11,11,26,StreamOps,MEDIA0000000011,delivered,48.7,25.5,0,2026-05-04T05:30:00Z,2026-05-04T08:30:00Z,2026-05-05T16:30:00Z
12,12,1,TheatricalDesk,MEDIA0000000012,in_transit,52.4,31,0,2026-05-04T04:30:00Z,,2026-05-05T16:30:00Z
13,13,6,MarqueeOps,MEDIA0000000013,shipped,56.1,36.5,0,2026-05-04T03:30:00Z,,2026-05-05T16:30:00Z
14,14,11,RightsRunner,MEDIA0000000014,packed,59.8,6,0,2026-05-04T02:30:00Z,,2026-05-05T16:30:00Z
15,15,16,LiveEventDesk,MEDIA0000000015,preparing,63.5,11.5,0,,,2026-05-05T16:30:00Z
16,16,21,StreamOps,MEDIA0000000016,delivered,67.2,17,0,2026-05-04T00:30:00Z,2026-05-04T08:30:00Z,2026-05-05T16:30:00Z
17,17,26,TheatricalDesk,MEDIA0000000017,in_transit,70.9,22.5,0,2026-05-03T23:30:00Z,,2026-05-05T16:30:00Z
18,18,1,MarqueeOps,MEDIA0000000018,shipped,74.6,28,0,2026-05-03T22:30:00Z,,2026-05-05T16:30:00Z
19,19,6,RightsRunner,MEDIA0000000019,packed,78.3,33.5,0,2026-05-03T21:30:00Z,,2026-05-05T16:30:00Z
20,20,11,LiveEventDesk,MEDIA0000000020,preparing,82,3,0,,,2026-05-05T16:30:00Z
