link_id,brand_id,influencer_id,relationship_type,post_count,avg_engagement,revenue_attributed,first_mention,last_mention
1,8,18,sponsored,4,0.029,2191,2026-04-19T16:30:00Z,2026-05-05T15:30:00Z
2,15,35,ambassador,7,0.04,3182,2026-04-18T16:30:00Z,2026-05-05T14:30:00Z
3,22,52,affiliate,10,0.051,4173,2026-04-17T16:30:00Z,2026-05-05T13:30:00Z
4,29,69,competitor_mention,13,0.062,5164,2026-04-16T16:30:00Z,2026-05-05T12:30:00Z
5,36,86,organic,16,0.073,6155,2026-04-15T16:30:00Z,2026-05-05T11:30:00Z
6,43,103,sponsored,19,0.084,7146,2026-04-14T16:30:00Z,2026-05-05T10:30:00Z
7,50,120,ambassador,22,0.095,8137,2026-04-13T16:30:00Z,2026-05-05T09:30:00Z
8,7,137,affiliate,25,0.021,9128,2026-04-12T16:30:00Z,2026-05-05T08:30:00Z
9,14,154,competitor_mention,28,0.032,10119,2026-04-11T16:30:00Z,2026-05-05T07:30:00Z
10,21,171,organic,31,0.043,11110,2026-04-10T16:30:00Z,2026-05-05T06:30:00Z
11,28,188,sponsored,34,0.054,12101,2026-04-09T16:30:00Z,2026-05-05T05:30:00Z
12,35,205,ambassador,37,0.065,13092,2026-04-08T16:30:00Z,2026-05-05T04:30:00Z
13,42,222,affiliate,40,0.076,14083,2026-04-07T16:30:00Z,2026-05-05T03:30:00Z
14,49,239,competitor_mention,1,0.087,15074,2026-04-06T16:30:00Z,2026-05-05T02:30:00Z
15,6,256,organic,4,0.098,16065,2026-04-05T16:30:00Z,2026-05-05T01:30:00Z
16,13,273,sponsored,7,0.024,17056,2026-04-04T16:30:00Z,2026-05-05T00:30:00Z
17,20,290,ambassador,10,0.035,18047,2026-04-03T16:30:00Z,2026-05-04T23:30:00Z
18,27,307,affiliate,13,0.046,19038,2026-04-02T16:30:00Z,2026-05-04T22:30:00Z
19,34,324,competitor_mention,16,0.057,20029,2026-04-01T16:30:00Z,2026-05-04T21:30:00Z
20,41,341,organic,19,0.068,21020,2026-03-31T16:30:00Z,2026-05-04T20:30:00Z
21,48,358,sponsored,22,0.079,22011,2026-03-30T16:30:00Z,2026-05-04T19:30:00Z
22,5,375,ambassador,25,0.09,23002,2026-03-29T16:30:00Z,2026-05-04T18:30:00Z
23,12,392,affiliate,28,0.101,23993,2026-03-28T16:30:00Z,2026-05-04T17:30:00Z
24,19,409,competitor_mention,31,0.027,24984,2026-03-27T16:30:00Z,2026-05-04T16:30:00Z
25,26,426,organic,34,0.038,25975,2026-03-26T16:30:00Z,2026-05-04T15:30:00Z
26,33,443,sponsored,37,0.049,26966,2026-03-25T16:30:00Z,2026-05-04T14:30:00Z
27,40,460,ambassador,40,0.06,27957,2026-03-24T16:30:00Z,2026-05-04T13:30:00Z
28,47,477,affiliate,1,0.071,28948,2026-03-23T16:30:00Z,2026-05-04T12:30:00Z
29,4,11,competitor_mention,4,0.082,29939,2026-03-22T16:30:00Z,2026-05-04T11:30:00Z
30,11,28,organic,7,0.093,30930,2026-03-21T16:30:00Z,2026-05-04T10:30:00Z
31,18,45,sponsored,10,0.019,31921,2026-03-20T16:30:00Z,2026-05-04T09:30:00Z
32,25,62,ambassador,13,0.03,32912,2026-03-19T16:30:00Z,2026-05-04T08:30:00Z
33,32,79,affiliate,16,0.041,33903,2026-03-18T16:30:00Z,2026-05-04T07:30:00Z
34,39,96,competitor_mention,19,0.052,34894,2026-03-17T16:30:00Z,2026-05-04T06:30:00Z
35,46,113,organic,22,0.063,35885,2026-03-16T16:30:00Z,2026-05-04T05:30:00Z
36,3,130,sponsored,25,0.074,36876,2026-03-15T16:30:00Z,2026-05-04T04:30:00Z
37,10,147,ambassador,28,0.085,37867,2026-03-14T16:30:00Z,2026-05-04T03:30:00Z
38,17,164,affiliate,31,0.096,38858,2026-03-13T16:30:00Z,2026-05-04T02:30:00Z
39,24,181,competitor_mention,34,0.022,39849,2026-03-12T16:30:00Z,2026-05-04T01:30:00Z
40,31,198,organic,37,0.033,40840,2026-03-11T16:30:00Z,2026-05-04T00:30:00Z
41,38,215,sponsored,40,0.044,41831,2026-03-10T16:30:00Z,2026-05-03T23:30:00Z
42,45,232,ambassador,1,0.055,42822,2026-03-09T16:30:00Z,2026-05-03T22:30:00Z
43,2,249,affiliate,4,0.066,43813,2026-03-08T16:30:00Z,2026-05-03T21:30:00Z
44,9,266,competitor_mention,7,0.077,44804,2026-03-07T16:30:00Z,2026-05-03T20:30:00Z
