region_id,region_name,region_type,boundary,population,avg_income,social_density,demand_index,updated_at
1,Northeast Streaming Corridor,metro,"POLYGON ((-74.39 40.26, -73.59 40.26, -73.59 41.26, -74.39 41.26, -74.39 40.26))",20140000,82000,18.4,91,2026-05-05T16:30:00Z
2,Southern Sports Rights Belt,region,"POLYGON ((-97.45 32.45, -96.25 32.45, -96.25 33.15, -97.45 33.15, -97.45 32.45))",26000000,62000,15.1,83,2026-05-05T16:30:00Z
3,West Coast Streaming Launch Belt,region,"POLYGON ((-122.5 37.25, -121.7 37.25, -121.7 37.95, -122.5 37.95, -122.5 37.25))",31200000,89000,22.7,94,2026-05-05T16:30:00Z
4,Florida Family Watch Zone,state,"POLYGON ((-82.3 27.7, -81.1 27.7, -81.1 28.7, -82.3 28.7, -82.3 27.7))",22400000,61000,14,78,2026-05-05T16:30:00Z
5,Pacific Northwest Creator Cluster,region,"POLYGON ((-123.2 45.35, -122.4 45.35, -122.4 46.05, -123.2 46.05, -123.2 45.35))",7800000,79000,19.3,86,2026-05-05T16:30:00Z
6,Mountain West Live Event Operations Zone,region,"POLYGON ((-105.5 39.35, -104.3 39.35, -104.3 40.05, -105.5 40.05, -105.5 39.35))",6700000,73000,13.2,76,2026-05-05T16:30:00Z
7,Texas Subscriber Monetization Arc,region,"POLYGON ((-97.9 30.4, -97.1 30.4, -97.1 31.4, -97.9 31.4, -97.9 30.4))",30100000,69000,17.8,88,2026-05-05T16:30:00Z
8,Midwest Sports Replay Cluster,region,"POLYGON ((-88.3 41.45, -87.1 41.45, -87.1 42.15, -88.3 42.15, -88.3 41.45))",18500000,65000,12.9,74,2026-05-05T16:30:00Z
9,Southeast Premiere Belt,region,"POLYGON ((-84.8 33.45, -84 33.45, -84 34.15, -84.8 34.15, -84.8 33.45))",17400000,61000,15.7,81,2026-05-05T16:30:00Z
10,Las Vegas Live Event Market,metro,"POLYGON ((-115.74 35.67, -114.54 35.67, -114.54 36.67, -115.74 36.67, -115.74 35.67))",2300000,64000,21.5,87,2026-05-05T16:30:00Z
11,Boston Premium Original Market,metro,"POLYGON ((-71.46 42.01, -70.66 42.01, -70.66 42.71, -71.46 42.71, -71.46 42.01))",4900000,91000,18,80,2026-05-05T16:30:00Z
12,Washington Trust and Safety Region,metro,"POLYGON ((-77.64 38.56, -76.44 38.56, -76.44 39.26, -77.64 39.26, -77.64 38.56))",6200000,88000,16.9,79,2026-05-05T16:30:00Z
13,Nashville Music Livestream Region,metro,"POLYGON ((-87.18 35.66, -86.38 35.66, -86.38 36.66, -87.18 36.66, -87.18 35.66))",2100000,71000,14.4,72,2026-05-05T16:30:00Z
14,San Diego Streaming Launch Market,metro,"POLYGON ((-117.76 32.37, -116.56 32.37, -116.56 33.07, -117.76 33.07, -117.76 32.37))",3300000,78000,17.1,84,2026-05-05T16:30:00Z
15,Honolulu International Drama Market,metro,"POLYGON ((-158.26 20.96, -157.46 20.96, -157.46 21.66, -158.26 21.66, -158.26 20.96))",1000000,77000,11.8,69,2026-05-05T16:30:00Z
16,Charlotte Matchday Belt,metro,"POLYGON ((-81.44 34.73, -80.24 34.73, -80.24 35.73, -81.44 35.73, -81.44 34.73))",2900000,66000,13.7,73,2026-05-05T16:30:00Z
17,Portland Indie Festival Market,metro,"POLYGON ((-123.08 45.17, -122.28 45.17, -122.28 45.87, -123.08 45.87, -123.08 45.17))",2500000,75000,16.1,77,2026-05-05T16:30:00Z
18,Philadelphia Documentary Forum Market,metro,"POLYGON ((-75.77 39.6, -74.57 39.6, -74.57 40.3, -75.77 40.3, -75.77 39.6))",6100000,68000,12.3,70,2026-05-05T16:30:00Z
19,Phoenix FAST Channel Region,metro,"POLYGON ((-112.47 32.95, -111.67 32.95, -111.67 33.95, -112.47 33.95, -112.47 32.95))",5000000,66000,15.4,82,2026-05-05T16:30:00Z
20,Tampa Subscriber Winback Market,metro,"POLYGON ((-83.06 27.6, -81.86 27.6, -81.86 28.3, -83.06 28.3, -83.06 27.6))",3200000,62000,14.8,75,2026-05-05T16:30:00Z
