influencer_id,handle,display_name,platform,follower_count,engagement_rate,influence_score,niche,city,region,country,is_verified,created_at
1,@trail_signal_01,Trail Signal 01,instagram,29787,0.0419,71.62,Trail Running,New York,New York,US,0,2026-04-13T09:16:47Z
2,@run_signal_01,Run Signal 01,tiktok,40474,0.0457,78.45,Outdoor Gear,Los Angeles,California,US,0,2026-04-13T09:16:47Z
3,@hike_signal_01,Hike Signal 01,twitter,289825,0.0381,84.35,Camping,Chicago,Illinois,US,0,2026-04-13T09:16:47Z
4,@camp_signal_01,Camp Signal 01,youtube,4845,0.0496,69.43,Cycling,Houston,Texas,US,0,2026-04-13T09:16:47Z
5,@bike_signal_01,Bike Signal 01,threads,8767,0.0365,62.32,Fitness Devices,Phoenix,Arizona,US,0,2026-04-13T09:16:47Z
6,@fitness_signal_01,Fitness Signal 01,instagram,8757,0.0618,73.6,Activewear,San Francisco,California,US,0,2026-04-13T09:16:47Z
7,@wearable_signal_01,Wearable Signal 01,tiktok,82123,0.0767,100,Team Sports,Miami,Florida,US,0,2026-04-13T09:16:47Z
8,@outdoor_signal_01,Outdoor Signal 01,twitter,48455,0.0488,74.64,Creator Trends,Seattle,Washington,US,0,2026-04-13T09:16:47Z
9,@activewear_signal_01,Activewear Signal 01,youtube,9410,0.0775,79.81,Competitive Pricing,Denver,Colorado,US,0,2026-04-13T09:16:47Z
10,@team_signal_01,Team Signal 01,threads,5314,0.0358,60.18,POS Transactions,Austin,Texas,US,0,2026-04-13T09:16:47Z
11,@creator_signal_01,Creator Signal 01,instagram,1884,0.0335,59.83,Inventory Planning,Nashville,Tennessee,US,0,2026-04-13T09:16:47Z
12,@price_signal_01,Price Signal 01,tiktok,2955,0.0311,61.13,Returns Audit,Portland,Oregon,US,0,2026-04-13T09:16:47Z
13,@pos_signal_01,Pos Signal 01,twitter,62427,0.072,95.97,Store Pickup,Boston,Massachusetts,US,0,2026-04-13T09:16:47Z
14,@inventory_signal_01,Inventory Signal 01,youtube,6305,0.1018,98.65,Product Catalog,Atlanta,Georgia,US,0,2026-04-13T09:16:47Z
15,@returns_signal_01,Returns Signal 01,threads,6623,0.0607,75.6,Product Safety,Dallas,Texas,US,0,2026-04-13T09:16:47Z
16,@pickup_signal_01,Pickup Signal 01,instagram,21942,0.0745,96.91,Demand Forecasting,San Diego,California,US,0,2026-04-13T09:16:47Z
17,@catalog_signal_01,Catalog Signal 01,tiktok,1845,0.088,83.27,Customer Propensity,Minneapolis,Minnesota,US,0,2026-04-13T09:16:47Z
18,@safety_signal_01,Safety Signal 01,twitter,9976,0.0765,85.02,Trail Running,Detroit,Michigan,US,0,2026-04-13T09:16:47Z
19,@forecast_signal_01,Forecast Signal 01,youtube,9123,0.0362,71.62,Outdoor Gear,Las Vegas,Nevada,US,0,2026-04-13T09:16:47Z
20,@loyalty_signal_01,Loyalty Signal 01,threads,9026,0.0951,93.79,Camping,Brooklyn,New York,US,0,2026-04-13T09:16:47Z
21,@trail_signal_02,Trail Signal 02,instagram,3774,0.0615,80.61,Cycling,New York,New York,US,0,2026-04-13T09:16:47Z
22,@run_signal_02,Run Signal 02,tiktok,83369,0.0622,90.24,Fitness Devices,Los Angeles,California,US,0,2026-04-13T09:16:47Z
23,@hike_signal_02,Hike Signal 02,twitter,85062,0.0573,85.12,Activewear,Chicago,Illinois,US,0,2026-04-13T09:16:47Z
24,@camp_signal_02,Camp Signal 02,youtube,9133,0.0775,85.5,Team Sports,Houston,Texas,US,0,2026-04-13T09:16:47Z
25,@bike_signal_02,Bike Signal 02,threads,26237,0.0264,68.42,Creator Trends,Phoenix,Arizona,US,0,2026-04-13T09:16:47Z
26,@fitness_signal_02,Fitness Signal 02,instagram,17305,0.0471,82.26,Competitive Pricing,San Francisco,California,US,0,2026-04-13T09:16:47Z
27,@wearable_signal_02,Wearable Signal 02,tiktok,8926,0.1031,94.94,POS Transactions,Miami,Florida,US,0,2026-04-13T09:16:47Z
28,@outdoor_signal_02,Outdoor Signal 02,twitter,37898,0.0655,90.3,Inventory Planning,Seattle,Washington,US,0,2026-04-13T09:16:47Z
29,@activewear_signal_02,Activewear Signal 02,youtube,4482,0.1016,91.6,Returns Audit,Denver,Colorado,US,0,2026-04-13T09:16:47Z
30,@team_signal_02,Team Signal 02,threads,63731,0.0519,81.88,Store Pickup,Austin,Texas,US,0,2026-04-13T09:16:47Z
31,@creator_signal_02,Creator Signal 02,instagram,536083,0.0277,88.26,Product Catalog,Nashville,Tennessee,US,1,2026-04-13T09:16:47Z
32,@price_signal_02,Price Signal 02,tiktok,8576,0.1177,100,Product Safety,Portland,Oregon,US,0,2026-04-13T09:16:47Z
33,@pos_signal_02,Pos Signal 02,twitter,7341,0.0926,89.01,Demand Forecasting,Boston,Massachusetts,US,0,2026-04-13T09:16:47Z
34,@inventory_signal_02,Inventory Signal 02,youtube,509575,0.0215,84.22,Customer Propensity,Atlanta,Georgia,US,1,2026-04-13T09:16:47Z
35,@returns_signal_02,Returns Signal 02,threads,2336,0.032,60.49,Trail Running,Dallas,Texas,US,0,2026-04-13T09:16:47Z
36,@pickup_signal_02,Pickup Signal 02,instagram,90248,0.0539,80.52,Outdoor Gear,San Diego,California,US,0,2026-04-13T09:16:47Z
37,@catalog_signal_02,Catalog Signal 02,tiktok,43754,0.0371,81.17,Camping,Minneapolis,Minnesota,US,0,2026-04-13T09:16:47Z
38,@safety_signal_02,Safety Signal 02,twitter,71571,0.0657,90.66,Cycling,Detroit,Michigan,US,0,2026-04-13T09:16:47Z
39,@forecast_signal_02,Forecast Signal 02,youtube,563253,0.0407,94.21,Fitness Devices,Las Vegas,Nevada,US,1,2026-04-13T09:16:47Z
40,@loyalty_signal_02,Loyalty Signal 02,threads,27525,0.0475,72.77,Activewear,Brooklyn,New York,US,0,2026-04-13T09:16:47Z
41,@trail_signal_03,Trail Signal 03,instagram,617113,0.0441,96.66,Team Sports,New York,New York,US,1,2026-04-13T09:16:47Z
42,@run_signal_03,Run Signal 03,tiktok,11615,0.031,69.01,Creator Trends,Los Angeles,California,US,0,2026-04-13T09:16:47Z
43,@hike_signal_03,Hike Signal 03,twitter,5486,0.0944,87.07,Competitive Pricing,Chicago,Illinois,US,0,2026-04-13T09:16:47Z
44,@camp_signal_03,Camp Signal 03,youtube,68500,0.0706,91.8,POS Transactions,Houston,Texas,US,0,2026-04-13T09:16:47Z
45,@bike_signal_03,Bike Signal 03,threads,13113440,0.01,83.84,Inventory Planning,Phoenix,Arizona,US,1,2026-04-13T09:16:47Z
46,@fitness_signal_03,Fitness Signal 03,instagram,74785,0.0584,86.91,Returns Audit,San Francisco,California,US,0,2026-04-13T09:16:47Z
47,@wearable_signal_03,Wearable Signal 03,tiktok,60707,0.0423,76.63,Store Pickup,Miami,Florida,US,0,2026-04-13T09:16:47Z
48,@outdoor_signal_03,Outdoor Signal 03,twitter,9805,0.0647,84.17,Product Catalog,Seattle,Washington,US,0,2026-04-13T09:16:47Z
49,@activewear_signal_03,Activewear Signal 03,youtube,9843,0.074,89.37,Product Safety,Denver,Colorado,US,0,2026-04-13T09:16:47Z
50,@team_signal_03,Team Signal 03,threads,816891,0.0209,79.09,Demand Forecasting,Austin,Texas,US,1,2026-04-13T09:16:47Z
51,@creator_signal_03,Creator Signal 03,instagram,4838,0.088,82.74,Customer Propensity,Nashville,Tennessee,US,0,2026-04-13T09:16:47Z
52,@price_signal_03,Price Signal 03,tiktok,12017,0.0512,74.88,Trail Running,Portland,Oregon,US,0,2026-04-13T09:16:47Z
53,@pos_signal_03,Pos Signal 03,twitter,35610,0.0582,90.5,Outdoor Gear,Boston,Massachusetts,US,0,2026-04-13T09:16:47Z
54,@inventory_signal_03,Inventory Signal 03,youtube,65652,0.079,100,Camping,Atlanta,Georgia,US,0,2026-04-13T09:16:47Z
55,@returns_signal_03,Returns Signal 03,threads,6292,0.0387,71.86,Cycling,Dallas,Texas,US,0,2026-04-13T09:16:47Z
56,@pickup_signal_03,Pickup Signal 03,instagram,2430,0.0898,81.99,Fitness Devices,San Diego,California,US,0,2026-04-13T09:16:47Z
57,@catalog_signal_03,Catalog Signal 03,tiktok,934165,0.0317,86.89,Activewear,Minneapolis,Minnesota,US,1,2026-04-13T09:16:47Z
58,@safety_signal_03,Safety Signal 03,twitter,4304,0.0673,74.41,Team Sports,Detroit,Michigan,US,0,2026-04-13T09:16:47Z
59,@forecast_signal_03,Forecast Signal 03,youtube,1725,0.0626,69.79,Creator Trends,Las Vegas,Nevada,US,0,2026-04-13T09:16:47Z
60,@loyalty_signal_03,Loyalty Signal 03,threads,62836,0.0564,78.66,Competitive Pricing,Brooklyn,New York,US,0,2026-04-13T09:16:47Z
61,@trail_signal_04,Trail Signal 04,instagram,696723,0.0234,79.61,POS Transactions,New York,New York,US,1,2026-04-13T09:16:47Z
62,@run_signal_04,Run Signal 04,tiktok,725374,0.0257,88.88,Inventory Planning,Los Angeles,California,US,1,2026-04-13T09:16:47Z
63,@hike_signal_04,Hike Signal 04,twitter,44952,0.0563,77.54,Returns Audit,Chicago,Illinois,US,0,2026-04-13T09:16:47Z
64,@camp_signal_04,Camp Signal 04,youtube,319361,0.028,74.74,Store Pickup,Houston,Texas,US,0,2026-04-13T09:16:47Z
65,@bike_signal_04,Bike Signal 04,threads,5602,0.0388,60.54,Product Catalog,Phoenix,Arizona,US,0,2026-04-13T09:16:47Z
66,@fitness_signal_04,Fitness Signal 04,instagram,7110,0.1153,100,Product Safety,San Francisco,California,US,0,2026-04-13T09:16:47Z
67,@wearable_signal_04,Wearable Signal 04,tiktok,7014,0.0837,89.64,Demand Forecasting,Miami,Florida,US,0,2026-04-13T09:16:47Z
68,@outdoor_signal_04,Outdoor Signal 04,twitter,4793904,0.0155,81.19,Customer Propensity,Seattle,Washington,US,1,2026-04-13T09:16:47Z
69,@activewear_signal_04,Activewear Signal 04,youtube,22221,0.0287,66.12,Trail Running,Denver,Colorado,US,0,2026-04-13T09:16:47Z
