post_id,influencer_id,platform,external_post_id,post_text,posted_at,likes_count,shares_count,comments_count,views_count,sentiment_score,virality_score,detected_products,momentum_flag,processed_at,created_at
22221,2407,tiktok,hospitality_tiktok_00000001,Grand Harbor Hotel repriced Premium King Room after demand guidance changed; guest preference review recommended,2026-09-18T07:09:32Z,1828,1608,367,42312,0.911,68.63,221,rising,2026-09-18T07:10:32Z,2026-09-18T07:09:32Z
22222,2412,tiktok,hospitality_tiktok_00000002,Channel bulletin references Premium Queen Room Guest Profile; Grand Harbor Hotel brand-standard team should update controls,2026-03-06T21:04:42Z,9843,911,690,47914,0.33,61.23,222,rising,2026-03-06T21:06:42Z,2026-03-06T21:04:42Z
22223,2349,youtube,hospitality_youtube_00000003,Revenue risk signal detected for Loyalty Member Rate; Grand Harbor Hotel revenue impact limits need review,2026-03-29T00:52:37Z,209,86,22,16068,0.715,35.26,223,normal,2026-03-29T00:55:37Z,2026-03-29T00:52:37Z
22224,2436,instagram,hospitality_instagram_00000004,Booking Cancellation risk alert references Corporate Group Rate; Grand Harbor Hotel property teams should prioritize revenue impact review,2026-05-23T16:07:05Z,705,88,38,13135,0.766,31.15,224,normal,2026-05-23T16:11:05Z,2026-05-23T16:07:05Z
22225,2533,twitter,hospitality_twitter_00000005,Service recovery notice affects Extended Stay Studio; Grand Harbor Hotel monitoring thresholds should be refreshed,2026-08-06T22:34:00Z,287,24,13,8245,0.146,28.04,225,normal,2026-08-06T22:39:00Z,2026-08-06T22:34:00Z
22226,2328,twitter,hospitality_twitter_00000006,Availability desk flagged elevated booking pace for Guest Journey Personalization Program; Canyon Reserve Canyon Reserve inventory and room-readiness thresholds should be reviewed,2026-07-15T21:31:06Z,797,33,46,15377,0.831,29.59,226,normal,2026-07-15T21:37:06Z,2026-07-15T21:31:06Z
22227,2501,instagram,hospitality_instagram_00000007,Guest Experience desk opened guest preference review for Resort Villa Package; Canyon Reserve Canyon Reserve guest notes require update,2026-05-20T05:51:08Z,493,90,22,4162,0.276,29.72,227,normal,2026-05-20T05:58:08Z,2026-05-20T05:51:08Z
22228,2441,instagram,hospitality_instagram_00000008,Demand volatility signal raised for Government Group Room Block; Canyon Reserve Canyon Reserve property portfolio guidance may change,2026-06-13T06:43:14Z,4714,1876,775,167924,0.82,68.87,228,rising,2026-06-13T06:51:14Z,2026-06-13T06:43:14Z
22229,2614,youtube,hospitality_youtube_00000009,Group Booking servicing alert references Revenue Operations Sweep Guest Profile; Canyon Reserve Canyon Reserve group modification workflow needs capacity,2025-10-14T01:39:31Z,9598,1720,561,48387,0.26,62.85,229,rising,2025-10-14T01:48:31Z,2025-10-14T01:39:31Z
22230,2637,tiktok,hospitality_tiktok_00000010,Folio operations bulletin references Corporate Travel Program; Canyon Reserve Canyon Reserve folio closeout queue shows elevated activity,2025-12-19T12:57:26Z,131,24,0,3067,0.574,29.15,230,normal,2025-12-19T13:07:26Z,2025-12-19T12:57:26Z
22231,2505,threads,hospitality_threads_00000011,OTA channel update affects Folio Payment Gateway; Lakeside Chicago Hotel case review volume expected to increase,2026-07-22T13:42:38Z,460,32,12,4671,0.299,27.32,231,normal,2026-07-22T13:53:38Z,2026-07-22T13:42:38Z
22232,2517,tiktok,hospitality_tiktok_00000012,Brand Standard screening activity is rising for Group Deposit Service; Lakeside Chicago Hotel onboarding controls require review,2026-05-27T00:26:26Z,752,12,41,4858,0.855,28.55,232,normal,2026-05-27T00:38:26Z,2026-05-27T00:26:26Z
22233,2625,threads,hospitality_threads_00000013,Group Booking desk reports elevated onboarding activity tied to Airport Transfer Service; Lakeside Chicago Hotel room-block capacity should be checked,2026-08-08T04:35:16Z,8353,1291,289,36604,0.346,62,233,rising,2026-08-08T04:48:16Z,2026-08-08T04:35:16Z
22234,2383,twitter,hospitality_twitter_00000014,Elevated revenue operations onboarding activity detected for Service Recovery Monitoring Add-On; Lakeside Chicago Hotel property teams should monitor revenue impact thresholds,2026-06-24T22:44:55Z,388,27,28,2362,0.22,27.49,234,normal,2026-06-24T22:58:55Z,2026-06-24T22:44:55Z
22235,2590,threads,hospitality_threads_00000015,Property operations alert: Lakeside Chicago Hotel reported elevated onboarding workload for OTA Screening Package,2026-07-24T18:23:16Z,450,69,26,13524,0.577,29.78,235,normal,2026-07-24T18:38:16Z,2026-07-24T18:23:16Z
22236,2251,instagram,hospitality_instagram_00000016,Revenue management desk flagged rate-plan movement for Guest Identity Refresh Workflow; Summit Resort pricing may change,2025-11-08T04:29:09Z,6234,367,158,43652,0.441,60.07,236,rising,2025-11-08T04:45:09Z,2025-11-08T04:29:09Z
22237,2410,threads,hospitality_threads_00000017,Guest protection preference update references Group Booking Pre-Check; Summit Resort documentation review requested,2026-03-22T02:00:00Z,36,58,40,17410,0.749,38.24,237,normal,2026-03-22T02:17:00Z,2026-03-22T02:00:00Z
