influencer_id,handle,display_name,platform,follower_count,engagement_rate,influence_score,niche,city,region,country,is_verified,created_at
1,@northstaradvising_la,Northstar Advising - Los Angeles,youtube,48333,0.066,60.8,Academic Advising,Los Angeles,California,US,0,2025-12-16T00:00:00Z
2,@riverbendfinaid_ny,Riverbend Financial Aid - New York,youtube,75335,0.072,74.5,Financial Aid,New York,New York,US,1,2025-12-22T23:00:00Z
3,@summitcareerhub_bos,Summit Career Hub - Boston,threads,52060,0.068,88.6,Career Readiness,Boston,Massachusetts,US,1,2026-02-13T08:00:00Z
4,@clearpathwellness_sf,ClearPath Wellness - San Francisco,tiktok,20536,0.057,69.2,Student Wellness,San Francisco,California,US,0,2026-03-09T02:00:00Z
5,@pioneerlearning_hou,Pioneer Learning Center - Houston,threads,66909,0.042,66.3,Academic Support,Houston,Texas,US,1,2026-02-21T16:00:00Z
6,@coastalaccess_chi,Coastal Accessibility Services - Chicago,tiktok,21262,0.027,70.2,Accessibility Services,Chicago,Illinois,US,0,2026-02-16T19:00:00Z
7,@lakesideaid_sea,Lakeside Aid Office - Seattle,twitter,41547,0.054,87.4,Financial Aid,Seattle,Washington,US,0,2026-03-20T03:00:00Z
8,@horizonfirstyear_phx,Horizon First-Year Experience - Phoenix,instagram,72011,0.063,88.9,First-Year Experience,Phoenix,Arizona,US,1,2026-03-15T12:00:00Z
9,@libertytransfer_den,Liberty Transfer Center - Denver,threads,45376,0.068,73.4,Transfer Success,Denver,Colorado,US,0,2026-01-26T21:00:00Z
10,@innovationonline_pdx,Innovation Online Learning - Portland,threads,60014,0.052,65.5,Online Learning,Portland,Oregon,US,1,2025-12-10T05:00:00Z
11,@gatewayregistrar_dal,Gateway Registrar - Dallas,threads,75712,0.055,59.0,Registrar,Dallas,Texas,US,1,2026-01-19T16:00:00Z
12,@censusweekdesk_atl,Census Week Desk - Atlanta,twitter,44456,0.049,77.6,Enrollment Management,Atlanta,Georgia,US,0,2026-02-28T05:00:00Z
13,@degreeprogresshub_mia,Degree Progress Hub - Miami,instagram,69982,0.032,63.9,Completion,Miami,Florida,US,1,2026-01-17T05:00:00Z
14,@campusbasicneeds_phl,Campus Basic Needs - Philadelphia,youtube,71506,0.058,66.6,Basic Needs,Philadelphia,Pennsylvania,US,1,2026-01-18T04:00:00Z
15,@admityieldteam_la,Admit Yield Team - Los Angeles,twitter,46611,0.063,67.3,Admissions,Los Angeles,California,US,1,2026-01-28T11:00:00Z
16,@scholarshipoffice_ny,Scholarship Office - New York,twitter,23293,0.046,59.8,Scholarships,New York,New York,US,0,2026-03-11T05:00:00Z
17,@firstgenpathways_bos,First-Gen Pathways - Boston,tiktok,31759,0.037,62.7,First-Generation Success,Boston,Massachusetts,US,1,2026-02-24T19:00:00Z
18,@transferready_sf,Transfer Ready - San Francisco,youtube,28119,0.083,80.9,Transfer Success,San Francisco,California,US,0,2026-02-12T20:00:00Z
19,@commuterconnect_hou,Commuter Connect - Houston,instagram,9201,0.093,53.3,Student Engagement,Houston,Texas,US,0,2025-12-13T05:00:00Z
20,@studentvoicehub_chi,Student Voice Hub - Chicago,twitter,10179,0.061,51.6,Student Success,Chicago,Illinois,US,0,2026-01-28T05:00:00Z
21,@peermentorcollective_sea,Peer Mentor Collective - Seattle,instagram,15668,0.093,73.2,Peer Mentoring,Seattle,Washington,US,0,2026-01-05T10:00:00Z
22,@veteransuccess_phx,Veteran Success Network - Phoenix,threads,27513,0.086,53.6,Veteran Success,Phoenix,Arizona,US,0,2026-03-18T08:00:00Z
23,@adultlearnerhub_den,Adult Learner Hub - Denver,instagram,27079,0.094,89.0,Adult Learners,Denver,Colorado,US,0,2025-12-09T16:00:00Z
24,@onlinelearners_pdx,Online Learner Community - Portland,instagram,29376,0.037,73.3,Online Learning,Portland,Oregon,US,0,2025-12-14T02:00:00Z
25,@latinxsuccess_dal,Latinx Student Success - Dallas,tiktok,30041,0.094,75.3,Belonging,Dallas,Texas,US,0,2026-03-18T09:00:00Z
26,@blackstudentalliance_atl,Black Student Alliance - Atlanta,instagram,1369,0.081,60.0,Belonging,Atlanta,Georgia,US,0,2026-01-19T07:00:00Z
27,@stempeerlab_mia,STEM Peer Lab - Miami,threads,21079,0.032,89.4,STEM Persistence,Miami,Florida,US,0,2025-12-14T12:00:00Z
28,@returningstudents_phl,Returning Students Network - Philadelphia,threads,11505,0.077,69.1,Completion,Philadelphia,Pennsylvania,US,0,2025-12-13T23:00:00Z
29,@housingsecuritynow_la,Housing Security Now - Los Angeles,youtube,18757,0.098,93.2,Basic Needs,Los Angeles,California,US,0,2026-01-22T04:00:00Z
30,@foodaccesscoalition_ny,Food Access Coalition - New York,instagram,40937,0.114,79.5,Basic Needs,New York,New York,US,1,2026-01-31T18:00:00Z
