product_id,brand_id,sku,product_name,description,category,subcategory,unit_price,unit_cost,weight_kg,is_active,launch_date,tags,created_at,updated_at
1,1,URB-00001,StormRunner Trail Shell,,Athletic Apparel,Outerwear,189.99,72,1.2,1,2025-11-24,"athletic-apparel,outerwear,sporting-goods",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
2,1,URB-00002,RidgeLine Fleece Hoodie,,Athletic Apparel,Trail Tops,89.99,32,0.6,1,2026-03-01,"athletic-apparel,trail-tops,sporting-goods",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
3,1,URB-00003,TrailFlex Training Joggers,,Athletic Apparel,Training Bottoms,74.99,28,0.4,1,2024-11-20,"athletic-apparel,training-bottoms,sporting-goods",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
4,1,URB-00004,Summit Graphic Training Tee,,Athletic Apparel,Base Layers,39.99,12,0.2,1,2025-07-31,"athletic-apparel,base-layers,sporting-goods",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
5,1,URB-00005,Urban Trail Daypack,,Athletic Apparel,Packs,129.99,48,0.8,1,2025-08-13,"athletic-apparel,packs,sporting-goods",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
6,2,TEC-00006,FieldCoach Training Tablet,,Sports Tech,Training Tablets,899.99,420,0.68,1,2025-06-13,"sports-tech,training-tablets,sporting-goods",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
7,2,TEC-00007,TrailRun Sport Earbuds,,Sports Tech,Sport Audio,199.99,65,0.05,1,2025-02-15,"sports-tech,sport-audio,sporting-goods",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
8,2,TEC-00008,RaceDay Docking Hub,,Sports Tech,GPS Accessories,149.99,52,0.35,1,2024-07-08,"sports-tech,gps-accessories,sporting-goods",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
9,2,TEC-00009,SummitPulse GPS Watch,,Sports Tech,Wearables,449.99,180,0.06,1,2026-02-04,"sports-tech,wearables,sporting-goods",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
10,2,TEC-00010,Expedition Power Bank,,Sports Tech,Power,79.99,28,0.45,1,2025-11-19,"sports-tech,power,sporting-goods",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
11,3,GLO-00011,TrailGuard Anti-Chafe Balm,,Outdoor Care,Trail Care,68.99,18,0.1,1,2024-11-16,"outdoor-care,trail-care,sporting-goods",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
12,3,GLO-00012,Recovery Cooling Gel,,Outdoor Care,Recovery,54.99,14,0.15,1,2025-06-14,"outdoor-care,recovery,sporting-goods",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
13,3,GLO-00013,SummitShield Sunscreen Stick,,Outdoor Care,Sun Protection,42.99,11,0.12,1,2025-05-19,"outdoor-care,sun-protection,sporting-goods",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
14,3,GLO-00014,DewPoint Hydration Spray,,Outdoor Care,Skin Protection,28.99,7,0.12,1,2025-09-28,"outdoor-care,skin-protection,sporting-goods",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
15,3,GLO-00015,Vitamin Recovery Balm,,Outdoor Care,Anti-Chafe,58.99,15,0.1,1,2024-07-07,"outdoor-care,anti-chafe,sporting-goods",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
16,4,PEA-00016,TitanGrip Dumbbells 50lb,,Fitness,Weights,249.99,95,22.7,1,2024-07-07,"titangrip-dumbbells-50lb,fitness,training,sporting-goods",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
17,4,PEA-00017,FlexBand Pro Set,,Fitness,Accessories,49.99,12,0.5,1,2024-12-10,"flexband-pro-set,fitness,training,sporting-goods",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
18,4,PEA-00018,AeroSpin Cycle,,Fitness,Cardio,1299.99,520,45,1,2025-11-15,"aerospin-cycle,fitness,training,sporting-goods",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
19,4,PEA-00019,CoreBlast Ab Roller,,Fitness,Accessories,34.99,9,1.2,1,2024-10-17,"coreblast-ab-roller,fitness,training,sporting-goods",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
20,4,PEA-00020,HydroShock Shaker,,Fitness,Nutrition,24.99,6,0.3,1,2024-10-01,"hydroshock-shaker,fitness,training,sporting-goods",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
21,5,NES-00021,TrailBrew Pour-Over Kit,,Outdoor Lifestyle,Camp Kitchen,89.99,32,1.5,1,2024-06-23,"outdoor-lifestyle,camp-kitchen,sporting-goods",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
22,5,NES-00022,Stadium Travel Blanket,,Outdoor Lifestyle,Travel Comfort,119.99,42,1.8,1,2024-08-03,"outdoor-lifestyle,travel-comfort,sporting-goods",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
23,5,NES-00023,Indoor Training Garden Kit,,Outdoor Lifestyle,Hydration,149.99,55,3.2,1,2025-09-21,"outdoor-lifestyle,hydration,sporting-goods",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
