product_id,brand_id,sku,product_name,description,category,subcategory,unit_price,unit_cost,weight_kg,is_active,launch_date,tags,created_at,updated_at
1,1,GOV-SVC-0001,Online Permit Intake Intake 001,"Online Permit Intake workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Constituent Services,Digital Intake,75,32,0.001,1,2026-01-18,"constituent-services,sla,auditability,resident-experience",2026-04-03T12:00:00Z,2026-06-17T12:00:00Z
2,2,GOV-SVC-0002,Benefits Eligibility Review Intake 002,"Benefits Eligibility Review workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Benefits Eligibility,Eligibility Screening,90,40,0.001,1,2026-01-19,"benefits-eligibility,sla,auditability,resident-experience",2026-04-04T12:00:00Z,2026-06-16T12:00:00Z
3,3,GOV-SVC-0003,Public Assistance Case Update Intake 003,"Public Assistance Case Update workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Public Assistance Programs,Case Update,105,48,0.001,1,2026-01-20,"public-assistance-programs,sla,auditability,resident-experience",2026-04-05T12:00:00Z,2026-06-15T12:00:00Z
4,4,GOV-SVC-0004,Business License Renewal Intake 004,"Business License Renewal workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Business Licensing,License Renewal,120,56,0.001,1,2026-01-21,"business-licensing,sla,auditability,resident-experience",2026-04-06T12:00:00Z,2026-06-14T12:00:00Z
5,5,GOV-SVC-0005,Inspection Scheduling Intake 005,"Inspection Scheduling workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Inspections and Code Enforcement,Inspection,135,64,0.001,1,2026-01-22,"inspections-and-code-enforcement,sla,auditability,resident-experience",2026-04-07T12:00:00Z,2026-06-13T12:00:00Z
6,6,GOV-SVC-0006,Code Enforcement Follow-Up Intake 006,"Code Enforcement Follow-Up workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Inspections and Code Enforcement,Compliance Follow-Up,150,72,0.001,1,2026-01-23,"inspections-and-code-enforcement,sla,auditability,resident-experience",2026-04-08T12:00:00Z,2026-06-12T12:00:00Z
7,7,GOV-SVC-0007,Public Works Service Request Intake 007,"Public Works Service Request workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Public Works,Field Service,165,80,0.001,1,2026-01-24,"public-works,sla,auditability,resident-experience",2026-04-09T12:00:00Z,2026-06-11T12:00:00Z
8,8,GOV-SVC-0008,Transportation Access Request Intake 008,"Transportation Access Request workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Transportation Services,Mobility Access,180,88,0.001,1,2026-01-25,"transportation-services,sla,auditability,resident-experience",2026-04-10T12:00:00Z,2026-06-10T12:00:00Z
9,9,GOV-SVC-0009,Emergency Operations Support Intake 009,"Emergency Operations Support workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Emergency Response,EOC Coordination,195,96,0.001,1,2026-01-26,"emergency-response,sla,auditability,resident-experience",2026-04-11T12:00:00Z,2026-06-09T12:00:00Z
10,10,GOV-SVC-0010,Tax Account Resolution Intake 010,"Tax Account Resolution workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Tax and Revenue Operations,Revenue Case,210,104,0.001,1,2026-01-27,"tax-and-revenue-operations,sla,auditability,resident-experience",2026-04-12T12:00:00Z,2026-06-08T12:00:00Z
11,11,GOV-SVC-0011,Grant Compliance Review Intake 011,"Grant Compliance Review workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Grants Management,Grant Oversight,225,112,0.001,1,2026-01-28,"grants-management,sla,auditability,resident-experience",2026-04-13T12:00:00Z,2026-06-07T12:00:00Z
12,12,GOV-SVC-0012,Records Request Fulfillment Intake 012,"Records Request Fulfillment workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Records Management,Records Access,240,120,0.001,1,2026-01-29,"records-management,sla,auditability,resident-experience",2026-04-14T12:00:00Z,2026-06-06T12:00:00Z
13,13,GOV-SVC-0013,Health and Human Services Referral Intake 013,"Health and Human Services Referral workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Health and Human Services,Referral,255,32,0.001,1,2026-01-30,"health-and-human-services,sla,auditability,resident-experience",2026-04-15T12:00:00Z,2026-06-05T12:00:00Z
14,14,GOV-SVC-0014,Policy Compliance Evidence Review Intake 014,"Policy Compliance Evidence Review workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Policy Compliance,Compliance Evidence,270,40,0.001,1,2026-01-31,"policy-compliance,sla,auditability,resident-experience",2026-04-16T12:00:00Z,2026-06-04T12:00:00Z
15,15,GOV-SVC-0015,Fraud Waste Abuse Screening Intake 015,"Fraud Waste Abuse Screening workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Fraud Waste and Abuse Detection,Risk Screening,285,48,0.001,1,2026-02-01,"fraud-waste-and-abuse-detection,sla,auditability,resident-experience",2026-04-17T12:00:00Z,2026-06-17T12:00:00Z
16,16,GOV-SVC-0016,Accessibility Accommodation Request Intake 016,"Accessibility Accommodation Request workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Accessibility Services,Accommodation,300,56,0.001,1,2026-02-02,"accessibility-services,sla,auditability,resident-experience",2026-04-18T12:00:00Z,2026-06-16T12:00:00Z
17,17,GOV-SVC-0017,Resident Digital Service Callback Intake 017,"Resident Digital Service Callback workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Citizen-Facing Digital Services,Digital Support,315,64,0.001,1,2026-02-03,"citizen-facing-digital-services,sla,auditability,resident-experience",2026-04-19T12:00:00Z,2026-06-15T12:00:00Z
18,18,GOV-SVC-0018,Interagency Case Handoff Intake 018,"Interagency Case Handoff workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Interagency Workflows,Case Transfer,330,72,0.001,1,2026-02-04,"interagency-workflows,sla,auditability,resident-experience",2026-04-20T12:00:00Z,2026-06-14T12:00:00Z
19,19,GOV-SVC-0019,Online Permit Intake Review 019,"Online Permit Intake workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Constituent Services,Digital Intake,75,80,0.001,1,2026-02-05,"constituent-services,sla,auditability,resident-experience",2026-04-21T12:00:00Z,2026-06-13T12:00:00Z
20,20,GOV-SVC-0020,Benefits Eligibility Review Review 020,"Benefits Eligibility Review workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Benefits Eligibility,Eligibility Screening,90,88,0.001,1,2026-02-06,"benefits-eligibility,sla,auditability,resident-experience",2026-04-22T12:00:00Z,2026-06-12T12:00:00Z
21,21,GOV-SVC-0021,Public Assistance Case Update Review 021,"Public Assistance Case Update workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Public Assistance Programs,Case Update,105,96,0.001,1,2026-02-07,"public-assistance-programs,sla,auditability,resident-experience",2026-04-23T12:00:00Z,2026-06-11T12:00:00Z
22,22,GOV-SVC-0022,Business License Renewal Review 022,"Business License Renewal workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Business Licensing,License Renewal,120,104,0.001,1,2026-02-08,"business-licensing,sla,auditability,resident-experience",2026-04-24T12:00:00Z,2026-06-10T12:00:00Z
23,23,GOV-SVC-0023,Inspection Scheduling Review 023,"Inspection Scheduling workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Inspections and Code Enforcement,Inspection,135,112,0.001,1,2026-02-09,"inspections-and-code-enforcement,sla,auditability,resident-experience",2026-04-25T12:00:00Z,2026-06-09T12:00:00Z
24,24,GOV-SVC-0024,Code Enforcement Follow-Up Review 024,"Code Enforcement Follow-Up workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Inspections and Code Enforcement,Compliance Follow-Up,150,120,0.001,1,2026-02-10,"inspections-and-code-enforcement,sla,auditability,resident-experience",2026-04-26T12:00:00Z,2026-06-08T12:00:00Z
25,25,GOV-SVC-0025,Public Works Service Request Review 025,"Public Works Service Request workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Public Works,Field Service,165,32,0.001,1,2026-02-11,"public-works,sla,auditability,resident-experience",2026-04-27T12:00:00Z,2026-06-07T12:00:00Z
26,26,GOV-SVC-0026,Transportation Access Request Review 026,"Transportation Access Request workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Transportation Services,Mobility Access,180,40,0.001,1,2026-02-12,"transportation-services,sla,auditability,resident-experience",2026-04-28T12:00:00Z,2026-06-06T12:00:00Z
27,27,GOV-SVC-0027,Emergency Operations Support Review 027,"Emergency Operations Support workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Emergency Response,EOC Coordination,195,48,0.001,1,2026-02-13,"emergency-response,sla,auditability,resident-experience",2026-04-29T12:00:00Z,2026-06-05T12:00:00Z
28,28,GOV-SVC-0028,Tax Account Resolution Review 028,"Tax Account Resolution workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Tax and Revenue Operations,Revenue Case,210,56,0.001,1,2026-02-14,"tax-and-revenue-operations,sla,auditability,resident-experience",2026-04-30T12:00:00Z,2026-06-04T12:00:00Z
29,29,GOV-SVC-0029,Grant Compliance Review Review 029,"Grant Compliance Review workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Grants Management,Grant Oversight,225,64,0.001,1,2026-02-15,"grants-management,sla,auditability,resident-experience",2026-05-01T12:00:00Z,2026-06-17T12:00:00Z
30,30,GOV-SVC-0030,Records Request Fulfillment Review 030,"Records Request Fulfillment workflow for state and local government teams, covering service-level agreements, auditability, accessibility, and responsible AI evidence.",Records Management,Records Access,240,72,0.001,1,2026-02-16,"records-management,sla,auditability,resident-experience",2026-05-02T12:00:00Z,2026-06-16T12:00:00Z
