influencer_id,handle,display_name,platform,follower_count,engagement_rate,influence_score,niche,city,region,country,is_verified,created_at
1,@trail_maya_1,Trail Maya,instagram,29787,0.0419,71.62,Outdoor,New York,New York,US,0,2026-04-13T09:16:47Z
2,@summit_alex_2,Summit Alex,tiktok,40474,0.0457,78.45,Trail Running,Los Angeles,California,US,0,2026-04-13T09:16:47Z
3,@hike_jen_3,Hike Jen,twitter,289825,0.0381,84.35,Hiking,Chicago,Illinois,US,0,2026-04-13T09:16:47Z
4,@run_cole_4,Run Cole,youtube,4845,0.0496,69.43,Fitness,Houston,Texas,US,0,2026-04-13T09:16:47Z
5,@cycle_zoe_5,Cycle Zoe,threads,8767,0.0365,62.32,Cycling,Phoenix,Arizona,US,0,2026-04-13T09:16:47Z
6,@camp_marcus_6,Camp Marcus,instagram,8757,0.0618,73.6,Camping,San Francisco,California,US,0,2026-04-13T09:16:47Z
7,@climb_lily_7,Climb Lily,tiktok,82123,0.0767,100,Team Sports,Miami,Florida,US,0,2026-04-13T09:16:47Z
8,@gear_kai_8,Gear Kai,twitter,48455,0.0488,74.64,Water Sports,Seattle,Washington,US,0,2026-04-13T09:16:47Z
9,@fit_tyler_9,Fit Tyler,youtube,9410,0.0775,79.81,Sports Tech,Denver,Colorado,US,0,2026-04-13T09:16:47Z
10,@outdoor_ava_10,Outdoor Ava,threads,5314,0.0358,60.18,Recovery,Austin,Texas,US,0,2026-04-13T09:16:47Z
11,@endurance_nina_11,Endurance Nina,instagram,1884,0.0335,59.83,Sports Nutrition,Nashville,Tennessee,US,0,2026-04-13T09:16:47Z
12,@terrain_drew_12,Terrain Drew,tiktok,2955,0.0311,61.13,Climbing,Portland,Oregon,US,0,2026-04-13T09:16:47Z
13,@hydration_ella_13,Hydration Ella,twitter,62427,0.072,95.97,Footwear Reviews,Boston,Massachusetts,US,0,2026-04-13T09:16:47Z
14,@recovery_finn_14,Recovery Finn,youtube,6305,0.1018,98.65,Gear Testing,Atlanta,Georgia,US,0,2026-04-13T09:16:47Z
15,@coach_aria_15,Coach Aria,threads,6623,0.0607,75.6,Training,Dallas,Texas,US,0,2026-04-13T09:16:47Z
