post_id,influencer_id,platform,external_post_id,post_text,posted_at,likes_count,shares_count,comments_count,views_count,sentiment_score,virality_score,detected_products,momentum_flag,processed_at,created_at
1,1,threads,sled_signal_00001,"Signal 00001: residents need faster benefits eligibility answers before the end of the week for Online Permit Intake while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-06-17T08:00:00Z,120,20,8,1500,-0.35,92,1,mega_viral,2026-06-17T20:00:00Z,2026-06-17T20:00:00Z
2,2,twitter,sled_signal_00002,"Signal 00002: permit applicants are asking for clearer inspection windows and status updates for Benefits Eligibility Review while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-06-16T09:00:00Z,151,37,19,2477,-0.295,45.83,"2,8",normal,2026-06-16T20:00:00Z,2026-06-16T20:00:00Z
3,3,youtube,sled_signal_00003,"Signal 00003: caseworkers flagged a backlog in public assistance renewals for Public Assistance Case Update while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-06-15T10:00:00Z,182,54,30,3454,-0.24,46.66,"3,15",normal,2026-06-15T20:00:00Z,2026-06-15T20:00:00Z
4,4,instagram,sled_signal_00004,"Signal 00004: public works crews need better routing for high-priority service requests for Business License Renewal while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-06-14T11:00:00Z,213,71,41,4431,-0.185,70.49,"4,22,40",rising,2026-06-14T20:00:00Z,2026-06-14T20:00:00Z
5,5,tiktok,sled_signal_00005,"Signal 00005: business owners are reporting licensing delays in the digital portal for Inspection Scheduling while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-06-13T12:00:00Z,244,88,52,5408,-0.13,87.32,"5,29",viral,2026-06-13T20:00:00Z,2026-06-13T20:00:00Z
6,6,threads,sled_signal_00006,"Signal 00006: transportation service requests are increasing around accessible-route coverage for Code Enforcement Follow-Up while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-06-12T13:00:00Z,275,105,63,6385,-0.075,49.15,"6,36",normal,2026-06-12T20:00:00Z,2026-06-12T20:00:00Z
7,7,twitter,sled_signal_00007,"Signal 00007: emergency operations center staff need a unified view of field response tasks for Public Works Service Request while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-06-11T14:00:00Z,306,122,74,7362,-0.02,72.98,"7,43,79",rising,2026-06-11T20:00:00Z,2026-06-11T20:00:00Z
8,8,youtube,sled_signal_00008,"Signal 00008: health and human services partners are asking for referral status transparency for Transportation Access Request while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-06-10T15:00:00Z,337,139,85,8339,0.035,45,"8,50",normal,2026-06-10T20:00:00Z,2026-06-10T20:00:00Z
9,9,instagram,sled_signal_00009,"Signal 00009: audit teams need records that explain the policy compliance decision trail for Emergency Operations Support while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-06-09T16:00:00Z,368,156,96,9316,0.09,84.83,"9,57",viral,2026-06-09T20:00:00Z,2026-06-09T20:00:00Z
10,10,tiktok,sled_signal_00010,"Signal 00010: fraud waste and abuse reviewers need risk signals linked to active cases for Tax Account Resolution while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-06-08T17:00:00Z,399,173,107,10293,0.145,69.66,"10,64,118",rising,2026-06-08T20:00:00Z,2026-06-08T20:00:00Z
11,11,threads,sled_signal_00011,"Signal 00011: residents need faster benefits eligibility answers before the end of the week for Grant Compliance Review while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-06-07T18:00:00Z,430,190,118,11270,0.2,94.49,"11,71",mega_viral,2026-06-07T20:00:00Z,2026-06-07T20:00:00Z
12,12,twitter,sled_signal_00012,"Signal 00012: permit applicants are asking for clearer inspection windows and status updates for Records Request Fulfillment while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-06-06T19:00:00Z,461,207,129,12247,0.255,48.32,"12,78",normal,2026-06-06T20:00:00Z,2026-06-06T20:00:00Z
13,13,youtube,sled_signal_00013,"Signal 00013: caseworkers flagged a backlog in public assistance renewals for Health and Human Services Referral while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-06-05T08:00:00Z,492,224,140,13224,0.31,88.15,"13,85,157",viral,2026-06-05T20:00:00Z,2026-06-05T20:00:00Z
14,14,instagram,sled_signal_00014,"Signal 00014: public works crews need better routing for high-priority service requests for Policy Compliance Evidence Review while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-06-04T09:00:00Z,523,241,151,14201,0.365,49.98,"14,92",normal,2026-06-04T20:00:00Z,2026-06-04T20:00:00Z
15,15,tiktok,sled_signal_00015,"Signal 00015: business owners are reporting licensing delays in the digital portal for Fraud Waste Abuse Screening while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-06-03T10:00:00Z,554,258,162,15178,0.42,45,"15,99",normal,2026-06-03T20:00:00Z,2026-06-03T20:00:00Z
16,16,threads,sled_signal_00016,"Signal 00016: transportation service requests are increasing around accessible-route coverage for Accessibility Accommodation Request while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-06-02T11:00:00Z,585,275,173,16155,0.475,68.83,"16,106,8",rising,2026-06-02T20:00:00Z,2026-06-02T20:00:00Z
17,17,twitter,sled_signal_00017,"Signal 00017: emergency operations center staff need a unified view of field response tasks for Resident Digital Service Callback while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-06-01T12:00:00Z,616,292,184,17132,0.53,85.66,"17,113",viral,2026-06-01T20:00:00Z,2026-06-01T20:00:00Z
18,18,youtube,sled_signal_00018,"Signal 00018: health and human services partners are asking for referral status transparency for Interagency Case Handoff while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-05-31T13:00:00Z,647,309,195,18109,0.585,47.49,"18,120",normal,2026-05-31T20:00:00Z,2026-05-31T20:00:00Z
19,19,instagram,sled_signal_00019,"Signal 00019: audit teams need records that explain the policy compliance decision trail for Online Permit Intake while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-05-30T14:00:00Z,678,326,206,19086,0.64,71.32,"19,127,47",rising,2026-05-30T20:00:00Z,2026-05-30T20:00:00Z
20,20,tiktok,sled_signal_00020,"Signal 00020: fraud waste and abuse reviewers need risk signals linked to active cases for Benefits Eligibility Review while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-05-29T15:00:00Z,709,343,217,20063,0.695,49.15,"20,134",normal,2026-05-29T20:00:00Z,2026-05-29T20:00:00Z
21,21,threads,sled_signal_00021,"Signal 00021: residents need faster benefits eligibility answers before the end of the week for Public Assistance Case Update while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-05-28T16:00:00Z,740,360,228,21040,0.75,96.98,"21,141",mega_viral,2026-05-28T20:00:00Z,2026-05-28T20:00:00Z
22,22,twitter,sled_signal_00022,"Signal 00022: permit applicants are asking for clearer inspection windows and status updates for Business License Renewal while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-05-27T17:00:00Z,771,377,239,22017,0.805,68,"22,148,86",rising,2026-05-27T20:00:00Z,2026-05-27T20:00:00Z
23,23,youtube,sled_signal_00023,"Signal 00023: caseworkers flagged a backlog in public assistance renewals for Inspection Scheduling while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-05-26T18:00:00Z,802,394,250,22994,0.86,45.83,"23,155",normal,2026-05-26T20:00:00Z,2026-05-26T20:00:00Z
24,24,instagram,sled_signal_00024,"Signal 00024: public works crews need better routing for high-priority service requests for Code Enforcement Follow-Up while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-05-25T19:00:00Z,833,411,261,23971,-0.35,46.66,"24,162",normal,2026-05-25T20:00:00Z,2026-05-25T20:00:00Z
25,25,tiktok,sled_signal_00025,"Signal 00025: business owners are reporting licensing delays in the digital portal for Public Works Service Request while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-05-24T08:00:00Z,864,428,272,24948,-0.295,86.49,"25,169,125",viral,2026-05-24T20:00:00Z,2026-05-24T20:00:00Z
26,26,threads,sled_signal_00026,"Signal 00026: transportation service requests are increasing around accessible-route coverage for Transportation Access Request while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-05-23T09:00:00Z,895,445,283,25925,-0.24,48.32,"26,176",normal,2026-05-23T20:00:00Z,2026-05-23T20:00:00Z
27,27,twitter,sled_signal_00027,"Signal 00027: emergency operations center staff need a unified view of field response tasks for Emergency Operations Support while agency teams monitor SLA risk, accessibility, transparency, and auditability.",2026-05-22T10:00:00Z,926,462,294,26902,-0.185,49.15,"27,183",normal,2026-05-22T20:00:00Z,2026-05-22T20:00:00Z
