forecast_id,product_id,region,forecast_date,predicted_demand,confidence_low,confidence_high,social_factor,model_version,explanation,created_at
1,1,Northeast Persistence Corridor,2026-05-29,112,96,127,1.47,student_success_signal_v2,"{""model"":""student_success_signal_v2"",""drivers"":[""fall_registration_spike""],""confidence"":""medium"",""alert"":""reserve_emergency_aid_slots""}",2026-05-05T16:30:00Z
2,2,Southern Enrollment and Transfer Region,2026-05-29,78,53,126,1.31,student_success_signal_v2,"{""model"":""student_success_signal_v2"",""drivers"":[""course_access_pressure""],""confidence"":""medium"",""alert"":""reserve_emergency_aid_slots""}",2026-05-05T16:30:00Z
3,3,Pacific Access Region,2026-05-29,195,180,213,1.51,student_success_signal_v2,"{""model"":""student_success_signal_v2"",""drivers"":[""retention_alert_cluster""],""confidence"":""high"",""alert"":""expand_advising_capacity""}",2026-05-05T16:30:00Z
4,4,Midwest Completion Belt,2026-05-29,111,78,133,1.67,student_success_signal_v2,"{""model"":""student_success_signal_v2"",""drivers"":[""financial_aid_deadline""],""confidence"":""medium"",""alert"":""reserve_emergency_aid_slots""}",2026-05-05T16:30:00Z
5,5,Northwest Wellness Corridor,2026-05-29,116,108,135,1.49,student_success_signal_v2,"{""model"":""student_success_signal_v2"",""drivers"":[""fall_registration_spike""],""confidence"":""medium"",""alert"":""expand_advising_capacity""}",2026-05-05T16:30:00Z
6,6,Mountain Workforce Pathway,2026-05-29,187,167,206,0.96,student_success_signal_v2,"{""model"":""student_success_signal_v2"",""drivers"":[""alumni_microgrant_interest""],""confidence"":""high"",""alert"":""expand_advising_capacity""}",2026-05-05T16:30:00Z
7,7,Texas Financial Aid Region,2026-05-29,173,156,202,0.96,student_success_signal_v2,"{""model"":""student_success_signal_v2"",""drivers"":[""financial_aid_deadline""],""confidence"":""high"",""alert"":""open_course_access_support""}",2026-05-05T16:30:00Z
8,8,Florida Transfer Corridor,2026-05-29,163,143,181,1.25,student_success_signal_v2,"{""model"":""student_success_signal_v2"",""drivers"":[""retention_alert_cluster""],""confidence"":""high"",""alert"":""expand_advising_capacity""}",2026-05-05T16:30:00Z
9,9,Arizona Basic Needs Region,2026-05-29,130,106,174,1.24,student_success_signal_v2,"{""model"":""student_success_signal_v2"",""drivers"":[""fall_registration_spike""],""confidence"":""medium"",""alert"":""expand_advising_capacity""}",2026-05-05T16:30:00Z
10,10,Georgia Student Services Region,2026-05-29,85,60,105,1.25,student_success_signal_v2,"{""model"":""student_success_signal_v2"",""drivers"":[""fall_registration_spike""],""confidence"":""medium"",""alert"":""increase_success_coach_outreach""}",2026-05-05T16:30:00Z
