product_id,brand_id,sku,product_name,description,category,subcategory,unit_price,unit_cost,weight_kg,is_active,launch_date,tags,created_at,updated_at
1,1,PG-00001,SummitStride Trail Runner,"Footwear item for PeakGear stores, e-commerce, and B2B partners; tracked for demand forecasting, dynamic price match, inventory, and customer propensity workflows.",Footwear,Trail Running,149.99,72,0.68,1,2025-11-24,"trail-running,footwear,grip,demand-forecast",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
2,1,PG-00002,RidgeRunner Hiking Boot,"Footwear item for PeakGear stores, e-commerce, and B2B partners; tracked for demand forecasting, dynamic price match, inventory, and customer propensity workflows.",Footwear,Hiking Boots,189.99,91.5,1.25,1,2026-03-01,"hiking,boots,outdoor,inventory",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
3,1,PG-00003,VelocityFit Court Shoe,"Footwear item for PeakGear stores, e-commerce, and B2B partners; tracked for demand forecasting, dynamic price match, inventory, and customer propensity workflows.",Footwear,Court Sports,129.99,58,0.72,1,2024-11-20,"court,team-sports,footwear",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
4,1,PG-00004,GoldLayer Training Hoodie,"Activewear item for PeakGear stores, e-commerce, and B2B partners; tracked for demand forecasting, dynamic price match, inventory, and customer propensity workflows.",Activewear,Hoodies,84.99,31,0.52,1,2025-07-31,"gold-layer,activewear,training",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
5,1,PG-00005,SilverRidge Trail Shell,"Activewear item for PeakGear stores, e-commerce, and B2B partners; tracked for demand forecasting, dynamic price match, inventory, and customer propensity workflows.",Activewear,Outerwear,179.99,78,0.44,1,2025-08-13,"silver-layer,trail,weatherproof",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
6,2,PG-00006,BronzeTrail Base Tee,"Activewear item for PeakGear stores, e-commerce, and B2B partners; tracked for demand forecasting, dynamic price match, inventory, and customer propensity workflows.",Activewear,Base Layers,34.99,11.5,0.18,1,2025-06-13,"bronze-layer,tee,training",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
7,2,PG-00007,MotionFlex Compression Tight,"Activewear item for PeakGear stores, e-commerce, and B2B partners; tracked for demand forecasting, dynamic price match, inventory, and customer propensity workflows.",Activewear,Compression,69.99,25,0.26,1,2025-02-15,"activewear,compression,fitness",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
8,2,PG-00008,StormGuard Rain Jacket,"Outdoor Gear item for PeakGear stores, e-commerce, and B2B partners; tracked for demand forecasting, dynamic price match, inventory, and customer propensity workflows.",Outdoor Gear,Weather Shells,159.99,68,0.58,1,2024-07-08,"outdoor,rain,storm,zero-copy",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
9,2,PG-00009,ZeroCopy Hydration Vest,"Outdoor Gear item for PeakGear stores, e-commerce, and B2B partners; tracked for demand forecasting, dynamic price match, inventory, and customer propensity workflows.",Outdoor Gear,Hydration,119.99,49,0.41,1,2026-02-04,"hydration,trail,zero-copy",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
10,2,PG-00010,SilverRidge Backpack 35L,"Outdoor Gear item for PeakGear stores, e-commerce, and B2B partners; tracked for demand forecasting, dynamic price match, inventory, and customer propensity workflows.",Outdoor Gear,Packs,139.99,61,1.15,1,2025-11-19,"pack,backpack,silver-layer",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
