connection_id,from_influencer,to_influencer,connection_type,strength,interaction_count,first_seen,last_interaction
1,381,238,collaborates,0.209,89,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
2,101,208,mentioned,0.613,80,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
4,76,331,tagged,0.658,153,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
5,192,367,duet,0.567,65,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
6,237,419,inspired_by,0.704,90,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
7,251,283,follows,0.29,79,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
8,170,405,collaborates,0.775,199,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
9,347,165,mentioned,0.703,136,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
10,294,242,reshared,0.669,154,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
11,509,505,tagged,0.261,167,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
12,187,80,duet,0.102,159,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
13,519,338,inspired_by,0.299,83,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
14,304,414,follows,0.536,43,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
15,1,173,collaborates,0.854,104,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
16,93,167,mentioned,0.457,23,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
17,411,389,reshared,0.219,142,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
18,52,131,tagged,0.582,70,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
19,352,363,duet,0.245,162,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
23,338,265,mentioned,0.279,148,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
24,408,16,reshared,0.896,153,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
25,374,162,tagged,0.592,92,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
26,211,280,duet,0.229,134,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
30,288,317,mentioned,0.801,88,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
31,133,173,reshared,0.505,176,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
32,146,219,tagged,0.203,79,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
33,5,369,duet,0.344,73,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
34,110,202,inspired_by,0.237,107,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
35,425,19,follows,0.506,8,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
36,501,471,collaborates,0.872,83,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
37,81,326,mentioned,0.541,68,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
38,332,345,reshared,0.286,194,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
39,334,519,tagged,0.408,137,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
41,48,259,inspired_by,0.914,136,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
42,62,440,follows,0.756,116,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
43,356,457,collaborates,0.81,103,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
44,268,331,mentioned,0.868,82,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
46,44,168,tagged,0.431,130,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
47,367,319,duet,0.144,34,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
48,337,114,inspired_by,0.903,181,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
49,278,185,follows,0.747,16,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
50,391,305,collaborates,0.996,167,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
51,263,146,mentioned,0.869,31,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
52,156,31,reshared,0.447,120,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
53,488,294,tagged,0.644,9,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
54,302,226,duet,0.105,159,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
56,34,324,follows,0.539,44,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
57,122,265,collaborates,0.637,53,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
58,116,442,mentioned,0.325,92,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
59,115,40,reshared,0.164,77,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
61,92,340,duet,0.292,45,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
62,339,468,inspired_by,0.733,129,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
64,108,252,collaborates,0.15,147,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
65,410,235,mentioned,0.477,104,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
66,473,331,reshared,0.156,32,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
67,333,351,tagged,0.484,192,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
69,315,33,inspired_by,0.991,143,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
71,40,230,collaborates,0.173,86,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
72,174,159,mentioned,0.281,2,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
73,275,255,reshared,0.915,58,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
74,203,163,tagged,0.822,163,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
75,170,333,duet,0.268,168,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
76,81,75,inspired_by,0.938,182,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
77,328,434,follows,0.578,145,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
78,352,477,collaborates,0.352,173,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
79,465,260,mentioned,0.956,49,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
80,490,137,reshared,0.25,34,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
81,86,173,tagged,0.324,115,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
83,365,92,inspired_by,0.599,135,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
84,174,412,follows,0.508,141,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
85,143,319,collaborates,0.241,2,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
86,116,251,mentioned,0.886,84,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
87,515,446,reshared,0.577,66,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
89,506,227,duet,0.474,145,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
90,201,19,inspired_by,0.86,67,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
91,6,45,follows,0.461,2,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
92,368,382,collaborates,0.615,34,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
93,58,57,mentioned,0.324,33,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
94,387,22,reshared,0.63,31,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
96,110,47,duet,0.48,134,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
97,319,505,inspired_by,0.459,144,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
98,430,155,follows,0.135,57,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
99,363,291,collaborates,0.116,185,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
100,112,232,mentioned,0.629,20,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
101,502,406,reshared,0.544,64,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
103,112,169,duet,0.883,119,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
104,65,139,inspired_by,0.104,124,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
105,30,417,follows,0.756,107,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
106,17,318,collaborates,0.507,161,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
107,347,139,mentioned,0.182,191,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
108,253,92,reshared,0.327,31,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
109,291,209,tagged,0.518,44,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
110,345,34,duet,0.851,165,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
111,154,140,inspired_by,0.383,190,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
112,294,23,follows,0.916,150,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
113,187,389,collaborates,0.515,49,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
114,30,21,mentioned,0.918,126,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
115,24,304,reshared,0.35,99,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
116,390,466,tagged,0.384,155,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
117,377,174,duet,0.833,157,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
118,172,437,inspired_by,0.504,70,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
119,36,23,follows,0.535,119,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
120,341,187,collaborates,0.606,5,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
121,7,287,mentioned,0.284,108,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
122,113,84,reshared,0.807,121,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
123,512,387,tagged,0.743,83,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
125,314,68,inspired_by,0.764,178,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
126,460,185,follows,0.194,86,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
129,71,251,reshared,0.133,193,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
130,29,53,tagged,0.442,141,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
131,40,276,duet,0.279,58,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
132,515,27,inspired_by,0.432,134,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
133,90,115,follows,0.54,107,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
134,372,347,collaborates,0.506,160,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
135,259,24,mentioned,0.327,123,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
136,329,230,reshared,0.697,24,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
137,117,391,tagged,0.44,3,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
138,132,511,duet,0.754,136,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
139,343,487,inspired_by,0.266,174,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
141,87,172,collaborates,0.323,23,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
142,72,56,mentioned,0.875,126,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
143,275,151,reshared,0.623,137,2026-04-13T09:16:49Z,2026-04-13T09:16:49Z
