post_id,influencer_id,platform,external_post_id,post_text,posted_at,likes_count,shares_count,comments_count,views_count,sentiment_score,virality_score,detected_products,momentum_flag,processed_at,created_at
1,192,tiktok,pg_tiktok_00000001,PeakGear Core saw creator demand spike for SummitStride Trail Runner; store allocation should be reviewed,2026-04-13T08:42:59Z,1828,1608,367,42312,0.911,,1,rising,,2026-04-13T09:16:48Z
2,202,tiktok,pg_tiktok_00000002,Dynamic price match alert references RidgeRunner Hiking Boot; SummitTrail Outfitters competitor pricing moved in two regions,2026-03-19T10:48:54Z,9843,911,690,47914,0.33,,2,rising,,2026-04-13T09:16:48Z
3,134,youtube,pg_youtube_00000003,POS transaction surge detected for VelocityFit Court Shoe; RidgeRunner Performance replenishment plan should be refreshed,2026-03-17T11:03:49Z,209,86,22,16068,0.715,,3,normal,,2026-04-13T09:16:48Z
4,226,instagram,pg_instagram_00000004,Returns audit note mentions GoldLayer Training Hoodie; VelocityFit Devices product content and sizing guidance need review,2026-03-29T12:30:03Z,705,88,38,13135,0.766,,4,normal,,2026-04-13T09:16:48Z
5,336,twitter,pg_twitter_00000005,Store pickup demand increased for SilverRidge Trail Shell; AlpineForge Gear nearby inventory should be repositioned,2026-03-31T00:24:53Z,287,24,13,8245,0.146,,5,normal,,2026-04-13T09:16:48Z
6,113,twitter,pg_twitter_00000006,E-commerce search trend rising for BronzeTrail Base Tee; Trailhead Team Sales campaign targeting score improved,2026-04-04T04:39:01Z,797,33,46,15377,0.831,,6,normal,,2026-04-13T09:16:48Z
7,304,instagram,pg_instagram_00000007,Weather and trail conditions lifted demand for MotionFlex Compression Tight; GearPay Commerce regional forecast moved up,2026-04-07T05:34:14Z,493,90,22,4162,0.276,,7,normal,,2026-04-13T09:16:48Z
8,231,instagram,pg_instagram_00000008,B2B team order inquiry references StormGuard Rain Jacket; PackGuard Returns Audit school athletics pipeline is increasing,2026-04-08T16:04:40Z,4714,1876,775,167924,0.82,,8,rising,,2026-04-13T09:16:48Z
9,422,youtube,pg_youtube_00000009,Product image enrichment requested for ZeroCopy Hydration Vest; UrbanCourt Sports catalog completeness needs attention,2026-03-28T10:05:59Z,9598,1720,561,48387,0.26,,9,rising,,2026-04-13T09:16:48Z
10,445,tiktok,pg_tiktok_00000010,Product manual search spike mentions SilverRidge Backpack 35L; EcoPeak Active service content should be promoted,2026-04-09T21:31:07Z,131,24,0,3067,0.574,,10,normal,,2026-04-13T09:16:48Z
11,308,threads,pg_threads_00000011,Influencer review mentions TrailForge Trekking Poles; LoyaltyPeak Offers sentiment and conversion likelihood improved,2026-04-08T13:11:18Z,460,32,12,4671,0.299,,11,normal,,2026-04-13T09:16:48Z
12,320,tiktok,pg_tiktok_00000012,Inventory transfer signal raised for SummitCore Sleeping Bag; Catalyst Safety Gear west-region stock is below plan,2026-03-21T11:25:45Z,752,12,41,4858,0.855,,12,normal,,2026-04-13T09:16:48Z
