connection_id,from_influencer,to_influencer,connection_type,strength,interaction_count,first_seen,last_interaction
22221,2578,2448,collaborates,0.209,89,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22222,2316,2418,mentioned,0.613,80,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22223,2296,2528,tagged,0.658,153,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22224,2407,2564,duet,0.567,65,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22225,2447,2611,inspired_by,0.704,90,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22226,2453,2485,follows,0.29,79,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22227,2385,2597,collaborates,0.775,199,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22228,2544,2380,mentioned,0.703,136,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22229,2496,2452,reshared,0.669,154,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22230,2692,2688,tagged,0.261,167,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22231,2402,2300,duet,0.102,159,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22232,2702,2535,inspired_by,0.299,83,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22233,2501,2606,follows,0.536,43,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22234,2221,2388,collaborates,0.854,104,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22235,2313,2382,mentioned,0.457,23,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22236,2603,2586,reshared,0.219,142,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22237,2272,2346,tagged,0.582,70,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22238,2549,2560,duet,0.245,162,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22239,2535,2467,mentioned,0.279,148,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22240,2600,2236,reshared,0.896,153,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22241,2571,2377,tagged,0.592,92,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22242,2421,2482,duet,0.229,134,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22243,2490,2514,mentioned,0.801,88,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22244,2348,2388,reshared,0.505,176,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22245,2361,2429,tagged,0.203,79,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22246,2225,2566,duet,0.344,73,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22247,2325,2412,inspired_by,0.237,107,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22248,2617,2239,follows,0.506,8,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22249,2684,2663,collaborates,0.872,83,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22250,2301,2523,mentioned,0.541,68,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22251,2529,2542,reshared,0.286,194,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22252,2531,2702,tagged,0.408,137,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22253,2268,2461,inspired_by,0.914,136,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22254,2282,2632,follows,0.756,116,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22255,2553,2649,collaborates,0.81,103,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22256,2470,2528,mentioned,0.868,82,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22257,2264,2383,tagged,0.431,130,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22258,2564,2516,duet,0.144,34,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22259,2534,2329,inspired_by,0.903,181,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22260,2480,2400,follows,0.747,16,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22261,2588,2502,collaborates,0.996,167,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22262,2465,2361,mentioned,0.869,31,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22263,2371,2251,reshared,0.447,120,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22264,2680,2496,tagged,0.644,9,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22265,2499,2436,duet,0.105,159,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22266,2254,2521,follows,0.539,44,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22267,2337,2467,collaborates,0.637,53,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22268,2331,2634,mentioned,0.325,92,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22269,2330,2260,reshared,0.164,77,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22270,2312,2537,duet,0.292,45,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22271,2536,2660,inspired_by,0.733,129,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22272,2323,2454,collaborates,0.15,147,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22273,2602,2445,mentioned,0.477,104,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22274,2665,2528,reshared,0.156,32,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22275,2530,2548,tagged,0.484,192,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22276,2512,2253,inspired_by,0.991,143,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22277,2260,2440,collaborates,0.173,86,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22278,2389,2374,mentioned,0.281,2,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22279,2477,2457,reshared,0.915,58,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22280,2413,2378,tagged,0.822,163,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22281,2385,2530,duet,0.268,168,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22282,2301,2295,inspired_by,0.938,182,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22283,2525,2626,follows,0.578,145,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22284,2549,2669,collaborates,0.352,173,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22285,2657,2462,mentioned,0.956,49,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22286,2682,2352,reshared,0.25,34,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22287,2306,2388,tagged,0.324,115,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22288,2562,2312,inspired_by,0.599,135,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22289,2389,2604,follows,0.508,141,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22290,2358,2516,collaborates,0.241,2,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22291,2331,2453,mentioned,0.886,84,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22292,2698,2638,reshared,0.577,66,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22293,2689,2437,duet,0.474,145,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22294,2411,2239,inspired_by,0.86,67,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22295,2226,2265,follows,0.461,2,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22296,2565,2579,collaborates,0.615,34,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22297,2278,2277,mentioned,0.324,33,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22298,2584,2242,reshared,0.63,31,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22299,2325,2267,duet,0.48,134,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22300,2516,2688,inspired_by,0.459,144,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22301,2622,2370,follows,0.135,57,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22302,2560,2493,collaborates,0.116,185,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22303,2327,2442,mentioned,0.629,20,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22304,2685,2598,reshared,0.544,64,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22305,2327,2384,duet,0.883,119,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22306,2285,2354,inspired_by,0.104,124,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22307,2250,2609,follows,0.756,107,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22308,2237,2515,collaborates,0.507,161,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22309,2544,2354,mentioned,0.182,191,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22310,2455,2312,reshared,0.327,31,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22311,2493,2419,tagged,0.518,44,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22312,2542,2254,duet,0.851,165,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22313,2369,2355,inspired_by,0.383,190,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22314,2496,2243,follows,0.916,150,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22315,2402,2586,collaborates,0.515,49,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22316,2250,2241,mentioned,0.918,126,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22317,2244,2501,reshared,0.35,99,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22318,2587,2658,tagged,0.384,155,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22319,2574,2389,duet,0.833,157,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22320,2387,2629,inspired_by,0.504,70,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22321,2256,2243,follows,0.535,119,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22322,2538,2402,collaborates,0.606,5,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22323,2227,2489,mentioned,0.284,108,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22324,2328,2304,reshared,0.807,121,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22325,2695,2584,tagged,0.743,83,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22326,2511,2288,inspired_by,0.764,178,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22327,2652,2400,follows,0.194,86,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22328,2291,2453,reshared,0.133,193,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22329,2249,2273,tagged,0.442,141,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22330,2260,2478,duet,0.279,58,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22331,2698,2247,inspired_by,0.432,134,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22332,2310,2330,follows,0.54,107,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22333,2569,2544,collaborates,0.506,160,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22334,2461,2244,mentioned,0.327,123,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22335,2526,2440,reshared,0.697,24,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22336,2332,2588,tagged,0.44,3,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22337,2347,2694,duet,0.754,136,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22338,2540,2679,inspired_by,0.266,174,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22339,2307,2387,collaborates,0.323,23,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22340,2292,2276,mentioned,0.875,126,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22341,2477,2366,reshared,0.623,137,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22342,2484,2243,tagged,0.846,60,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22343,2361,2498,duet,0.374,49,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22344,2237,2270,inspired_by,0.416,166,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22345,2302,2548,follows,0.47,25,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22346,2293,2489,collaborates,0.789,132,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22347,2487,2476,reshared,0.777,150,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22348,2233,2491,duet,0.983,187,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22349,2470,2457,inspired_by,0.203,87,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22350,2223,2540,collaborates,0.311,56,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22351,2539,2523,mentioned,0.365,180,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22352,2604,2377,reshared,0.512,18,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22353,2482,2224,duet,0.133,12,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22354,2536,2388,inspired_by,0.794,134,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22355,2305,2476,follows,0.602,142,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22356,2221,2493,collaborates,0.986,76,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22357,2303,2685,mentioned,0.143,41,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22358,2299,2245,reshared,0.691,166,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22359,2356,2304,tagged,0.895,118,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22360,2292,2239,duet,0.335,11,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22361,2461,2299,inspired_by,0.543,44,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22362,2600,2496,follows,0.994,34,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22363,2359,2465,reshared,0.364,144,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22364,2524,2567,tagged,0.239,161,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22365,2308,2671,duet,0.683,157,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22366,2406,2237,inspired_by,0.749,132,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22367,2549,2246,follows,0.936,156,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22368,2285,2692,collaborates,0.592,69,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22369,2591,2239,mentioned,0.875,68,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22370,2385,2681,reshared,0.804,109,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22371,2544,2312,tagged,0.381,153,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22372,2585,2427,duet,0.872,133,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22373,2257,2294,inspired_by,0.107,30,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22374,2508,2569,follows,0.843,172,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22375,2630,2669,collaborates,0.497,62,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22376,2350,2624,mentioned,0.365,7,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22377,2484,2301,reshared,0.151,190,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22378,2536,2680,tagged,0.418,166,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22379,2443,2499,inspired_by,0.391,149,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22380,2558,2409,collaborates,0.284,120,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22381,2593,2260,reshared,0.62,42,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22382,2388,2408,tagged,0.747,79,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22383,2399,2326,duet,0.547,34,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22384,2273,2494,inspired_by,0.336,9,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22385,2369,2298,follows,0.648,7,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22386,2321,2462,mentioned,0.668,98,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22387,2449,2564,reshared,0.584,84,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22388,2227,2677,tagged,0.136,86,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22389,2387,2357,duet,0.557,160,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
22390,2604,2619,inspired_by,0.923,58,2026-09-17T13:44:09Z,2026-09-17T13:44:09Z
