forecast_id,product_id,region,forecast_date,predicted_demand,confidence_low,confidence_high,social_factor,model_version,explanation,created_at
1,1,Denver County Service Region,2026-06-18,60,49,71,1.05,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":0,""regionDemandIndex"":62}",2026-06-17T11:00:00Z
2,2,El Paso County Service Region,2026-06-18,77,63,91,1.13,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":1,""regionDemandIndex"":69}",2026-06-16T11:00:00Z
3,3,Arapahoe County Service Region,2026-06-18,94,77,111,1.21,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":2,""regionDemandIndex"":76}",2026-06-15T11:00:00Z
4,4,Larimer County Service Region,2026-06-18,111,91,131,1.29,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":3,""regionDemandIndex"":83}",2026-06-14T11:00:00Z
5,5,Jefferson County Service Region,2026-06-18,128,105,151,1.37,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":4,""regionDemandIndex"":90}",2026-06-13T11:00:00Z
6,6,Adams County Service Region,2026-06-18,145,119,171,1.45,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":5,""regionDemandIndex"":62}",2026-06-12T11:00:00Z
7,7,Pueblo County Service Region,2026-06-18,162,133,191,1.53,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":6,""regionDemandIndex"":69}",2026-06-11T11:00:00Z
8,8,Boulder County Service Region,2026-06-18,179,147,211,1.61,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":7,""regionDemandIndex"":76}",2026-06-17T11:00:00Z
9,9,Weld County Service Region,2026-06-18,196,161,231,1.69,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":8,""regionDemandIndex"":83}",2026-06-16T11:00:00Z
10,10,Douglas County Service Region,2026-06-18,213,175,251,1.77,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":9,""regionDemandIndex"":90}",2026-06-15T11:00:00Z
11,11,Mesa County Service Region,2026-06-18,230,189,271,1.85,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":10,""regionDemandIndex"":62}",2026-06-14T11:00:00Z
12,12,Broomfield County Service Region,2026-06-18,247,203,291,1.93,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":11,""regionDemandIndex"":69}",2026-06-13T11:00:00Z
13,13,La Plata County Service Region,2026-06-18,264,216,312,1.05,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":12,""regionDemandIndex"":76}",2026-06-12T11:00:00Z
14,14,Montrose County Service Region,2026-06-18,281,230,332,1.13,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":13,""regionDemandIndex"":83}",2026-06-11T11:00:00Z
15,15,Routt County Service Region,2026-06-18,298,244,352,1.21,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":14,""regionDemandIndex"":90}",2026-06-17T11:00:00Z
16,16,Alamosa County Service Region,2026-06-18,315,258,372,1.29,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":15,""regionDemandIndex"":62}",2026-06-16T11:00:00Z
17,17,Garfield County Service Region,2026-06-18,332,272,392,1.37,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":16,""regionDemandIndex"":69}",2026-06-15T11:00:00Z
18,18,Clear Creek County Service Region,2026-06-18,349,286,412,1.45,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":17,""regionDemandIndex"":76}",2026-06-14T11:00:00Z
19,1,Fremont County Service Region,2026-06-18,366,300,432,1.53,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":18,""regionDemandIndex"":83}",2026-06-13T11:00:00Z
20,2,Chaffee County Service Region,2026-06-18,383,314,452,1.61,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":19,""regionDemandIndex"":90}",2026-06-12T11:00:00Z
21,3,Denver County Service Region,2026-06-19,400,328,472,1.69,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":20,""regionDemandIndex"":62}",2026-06-11T11:00:00Z
22,4,El Paso County Service Region,2026-06-19,417,342,492,1.77,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":21,""regionDemandIndex"":69}",2026-06-17T11:00:00Z
23,5,Arapahoe County Service Region,2026-06-19,434,356,512,1.85,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":22,""regionDemandIndex"":76}",2026-06-16T11:00:00Z
24,6,Larimer County Service Region,2026-06-19,451,370,532,1.93,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":23,""regionDemandIndex"":83}",2026-06-15T11:00:00Z
25,7,Jefferson County Service Region,2026-06-19,468,384,552,1.05,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":24,""regionDemandIndex"":90}",2026-06-14T11:00:00Z
26,8,Adams County Service Region,2026-06-19,485,398,572,1.13,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":25,""regionDemandIndex"":62}",2026-06-13T11:00:00Z
27,9,Pueblo County Service Region,2026-06-19,502,412,592,1.21,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":26,""regionDemandIndex"":69}",2026-06-12T11:00:00Z
28,10,Boulder County Service Region,2026-06-19,519,426,612,1.29,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":27,""regionDemandIndex"":76}",2026-06-11T11:00:00Z
29,11,Weld County Service Region,2026-06-19,76,62,90,1.37,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":28,""regionDemandIndex"":83}",2026-06-17T11:00:00Z
30,12,Douglas County Service Region,2026-06-19,93,76,110,1.45,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":29,""regionDemandIndex"":90}",2026-06-16T11:00:00Z
31,13,Mesa County Service Region,2026-06-19,110,90,130,1.53,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":30,""regionDemandIndex"":62}",2026-06-15T11:00:00Z
32,14,Broomfield County Service Region,2026-06-19,127,104,150,1.61,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":31,""regionDemandIndex"":69}",2026-06-14T11:00:00Z
33,15,La Plata County Service Region,2026-06-19,144,118,170,1.69,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":32,""regionDemandIndex"":76}",2026-06-13T11:00:00Z
34,16,Montrose County Service Region,2026-06-19,161,132,190,1.77,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":33,""regionDemandIndex"":83}",2026-06-12T11:00:00Z
35,17,Routt County Service Region,2026-06-19,178,146,210,1.85,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":34,""regionDemandIndex"":90}",2026-06-11T11:00:00Z
36,18,Alamosa County Service Region,2026-06-19,195,160,230,1.93,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":35,""regionDemandIndex"":62}",2026-06-17T11:00:00Z
37,1,Garfield County Service Region,2026-06-19,212,174,250,1.05,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":36,""regionDemandIndex"":69}",2026-06-16T11:00:00Z
38,2,Clear Creek County Service Region,2026-06-19,229,188,270,1.13,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":37,""regionDemandIndex"":76}",2026-06-15T11:00:00Z
39,3,Fremont County Service Region,2026-06-19,246,202,290,1.21,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":38,""regionDemandIndex"":83}",2026-06-14T11:00:00Z
40,4,Chaffee County Service Region,2026-06-19,263,216,310,1.29,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":39,""regionDemandIndex"":90}",2026-06-13T11:00:00Z
41,5,Denver County Service Region,2026-06-20,280,230,330,1.37,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":40,""regionDemandIndex"":62}",2026-06-12T11:00:00Z
42,6,El Paso County Service Region,2026-06-20,297,244,350,1.45,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":41,""regionDemandIndex"":69}",2026-06-11T11:00:00Z
43,7,Arapahoe County Service Region,2026-06-20,314,257,371,1.53,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":42,""regionDemandIndex"":76}",2026-06-17T11:00:00Z
44,8,Larimer County Service Region,2026-06-20,331,271,391,1.61,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":43,""regionDemandIndex"":83}",2026-06-16T11:00:00Z
45,9,Jefferson County Service Region,2026-06-20,348,285,411,1.69,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":44,""regionDemandIndex"":90}",2026-06-15T11:00:00Z
46,10,Adams County Service Region,2026-06-20,365,299,431,1.77,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":45,""regionDemandIndex"":62}",2026-06-14T11:00:00Z
47,11,Pueblo County Service Region,2026-06-20,382,313,451,1.85,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":46,""regionDemandIndex"":69}",2026-06-13T11:00:00Z
48,12,Boulder County Service Region,2026-06-20,399,327,471,1.93,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":47,""regionDemandIndex"":76}",2026-06-12T11:00:00Z
49,13,Weld County Service Region,2026-06-20,416,341,491,1.05,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":48,""regionDemandIndex"":83}",2026-06-11T11:00:00Z
50,14,Douglas County Service Region,2026-06-20,433,355,511,1.13,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":49,""regionDemandIndex"":90}",2026-06-17T11:00:00Z
51,15,Mesa County Service Region,2026-06-20,450,369,531,1.21,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":50,""regionDemandIndex"":62}",2026-06-16T11:00:00Z
52,16,Broomfield County Service Region,2026-06-20,467,383,551,1.29,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":51,""regionDemandIndex"":69}",2026-06-15T11:00:00Z
53,17,La Plata County Service Region,2026-06-20,484,397,571,1.37,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":52,""regionDemandIndex"":76}",2026-06-14T11:00:00Z
54,18,Montrose County Service Region,2026-06-20,501,411,591,1.45,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":53,""regionDemandIndex"":83}",2026-06-13T11:00:00Z
55,1,Routt County Service Region,2026-06-20,518,425,611,1.53,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":54,""regionDemandIndex"":90}",2026-06-12T11:00:00Z
56,2,Alamosa County Service Region,2026-06-20,75,61,89,1.61,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":55,""regionDemandIndex"":62}",2026-06-11T11:00:00Z
57,3,Garfield County Service Region,2026-06-20,92,75,109,1.69,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":56,""regionDemandIndex"":69}",2026-06-17T11:00:00Z
58,4,Clear Creek County Service Region,2026-06-20,109,89,129,1.77,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":57,""regionDemandIndex"":76}",2026-06-16T11:00:00Z
59,5,Fremont County Service Region,2026-06-20,126,103,149,1.85,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":58,""regionDemandIndex"":83}",2026-06-15T11:00:00Z
60,6,Chaffee County Service Region,2026-06-20,143,117,169,1.93,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":59,""regionDemandIndex"":90}",2026-06-14T11:00:00Z
61,7,Denver County Service Region,2026-06-21,160,131,189,1.05,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":60,""regionDemandIndex"":62}",2026-06-13T11:00:00Z
62,8,El Paso County Service Region,2026-06-21,177,145,209,1.13,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":61,""regionDemandIndex"":69}",2026-06-12T11:00:00Z
63,9,Arapahoe County Service Region,2026-06-21,194,159,229,1.21,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":62,""regionDemandIndex"":76}",2026-06-11T11:00:00Z
64,10,Larimer County Service Region,2026-06-21,211,173,249,1.29,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":63,""regionDemandIndex"":83}",2026-06-17T11:00:00Z
65,11,Jefferson County Service Region,2026-06-21,228,187,269,1.37,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":64,""regionDemandIndex"":90}",2026-06-16T11:00:00Z
66,12,Adams County Service Region,2026-06-21,245,201,289,1.45,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":65,""regionDemandIndex"":62}",2026-06-15T11:00:00Z
67,13,Pueblo County Service Region,2026-06-21,262,215,309,1.53,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":66,""regionDemandIndex"":69}",2026-06-14T11:00:00Z
68,14,Boulder County Service Region,2026-06-21,279,229,329,1.61,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":67,""regionDemandIndex"":76}",2026-06-13T11:00:00Z
69,15,Weld County Service Region,2026-06-21,296,243,349,1.69,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":68,""regionDemandIndex"":83}",2026-06-12T11:00:00Z
70,16,Douglas County Service Region,2026-06-21,313,257,369,1.77,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":69,""regionDemandIndex"":90}",2026-06-11T11:00:00Z
71,17,Mesa County Service Region,2026-06-21,330,271,389,1.85,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":70,""regionDemandIndex"":62}",2026-06-17T11:00:00Z
72,18,Broomfield County Service Region,2026-06-21,347,285,409,1.93,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":71,""regionDemandIndex"":69}",2026-06-16T11:00:00Z
73,1,La Plata County Service Region,2026-06-21,364,298,430,1.05,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":72,""regionDemandIndex"":76}",2026-06-15T11:00:00Z
74,2,Montrose County Service Region,2026-06-21,381,312,450,1.13,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":73,""regionDemandIndex"":83}",2026-06-14T11:00:00Z
75,3,Routt County Service Region,2026-06-21,398,326,470,1.21,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":74,""regionDemandIndex"":90}",2026-06-13T11:00:00Z
76,4,Alamosa County Service Region,2026-06-21,415,340,490,1.29,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":75,""regionDemandIndex"":62}",2026-06-12T11:00:00Z
77,5,Garfield County Service Region,2026-06-21,432,354,510,1.37,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":76,""regionDemandIndex"":69}",2026-06-11T11:00:00Z
78,6,Clear Creek County Service Region,2026-06-21,449,368,530,1.45,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":77,""regionDemandIndex"":76}",2026-06-17T11:00:00Z
79,7,Fremont County Service Region,2026-06-21,466,382,550,1.53,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":78,""regionDemandIndex"":83}",2026-06-16T11:00:00Z
80,8,Chaffee County Service Region,2026-06-21,483,396,570,1.61,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":79,""regionDemandIndex"":90}",2026-06-15T11:00:00Z
81,9,Denver County Service Region,2026-06-22,500,410,590,1.69,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":80,""regionDemandIndex"":62}",2026-06-14T11:00:00Z
82,10,El Paso County Service Region,2026-06-22,517,424,610,1.77,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":81,""regionDemandIndex"":69}",2026-06-13T11:00:00Z
83,11,Arapahoe County Service Region,2026-06-22,74,61,87,1.85,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":82,""regionDemandIndex"":76}",2026-06-12T11:00:00Z
84,12,Larimer County Service Region,2026-06-22,91,75,107,1.93,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":83,""regionDemandIndex"":83}",2026-06-11T11:00:00Z
85,13,Jefferson County Service Region,2026-06-22,108,89,127,1.05,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":84,""regionDemandIndex"":90}",2026-06-17T11:00:00Z
86,14,Adams County Service Region,2026-06-22,125,103,148,1.13,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":85,""regionDemandIndex"":62}",2026-06-16T11:00:00Z
87,15,Pueblo County Service Region,2026-06-22,142,116,168,1.21,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":86,""regionDemandIndex"":69}",2026-06-15T11:00:00Z
88,16,Boulder County Service Region,2026-06-22,159,130,188,1.29,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":87,""regionDemandIndex"":76}",2026-06-14T11:00:00Z
89,17,Weld County Service Region,2026-06-22,176,144,208,1.37,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":88,""regionDemandIndex"":83}",2026-06-13T11:00:00Z
90,18,Douglas County Service Region,2026-06-22,193,158,228,1.45,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":89,""regionDemandIndex"":90}",2026-06-12T11:00:00Z
91,1,Mesa County Service Region,2026-06-22,210,172,248,1.53,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":90,""regionDemandIndex"":62}",2026-06-11T11:00:00Z
92,2,Broomfield County Service Region,2026-06-22,227,186,268,1.61,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":91,""regionDemandIndex"":69}",2026-06-17T11:00:00Z
93,3,La Plata County Service Region,2026-06-22,244,200,288,1.69,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":92,""regionDemandIndex"":76}",2026-06-16T11:00:00Z
94,4,Montrose County Service Region,2026-06-22,261,214,308,1.77,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":93,""regionDemandIndex"":83}",2026-06-15T11:00:00Z
95,5,Routt County Service Region,2026-06-22,278,228,328,1.85,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":94,""regionDemandIndex"":90}",2026-06-14T11:00:00Z
96,6,Alamosa County Service Region,2026-06-22,295,242,348,1.93,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":95,""regionDemandIndex"":62}",2026-06-13T11:00:00Z
97,7,Garfield County Service Region,2026-06-22,312,256,368,1.05,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":96,""regionDemandIndex"":69}",2026-06-12T11:00:00Z
98,8,Clear Creek County Service Region,2026-06-22,329,270,388,1.13,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":97,""regionDemandIndex"":76}",2026-06-11T11:00:00Z
99,9,Fremont County Service Region,2026-06-22,346,284,408,1.21,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":98,""regionDemandIndex"":83}",2026-06-17T11:00:00Z
100,10,Chaffee County Service Region,2026-06-22,363,298,428,1.29,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":99,""regionDemandIndex"":90}",2026-06-16T11:00:00Z
101,11,Denver County Service Region,2026-06-23,380,312,448,1.37,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":100,""regionDemandIndex"":62}",2026-06-15T11:00:00Z
102,12,El Paso County Service Region,2026-06-23,397,326,468,1.45,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":101,""regionDemandIndex"":69}",2026-06-14T11:00:00Z
103,13,Arapahoe County Service Region,2026-06-23,414,339,489,1.53,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":102,""regionDemandIndex"":76}",2026-06-13T11:00:00Z
104,14,Larimer County Service Region,2026-06-23,431,353,509,1.61,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":103,""regionDemandIndex"":83}",2026-06-12T11:00:00Z
105,15,Jefferson County Service Region,2026-06-23,448,367,529,1.69,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":104,""regionDemandIndex"":90}",2026-06-11T11:00:00Z
106,16,Adams County Service Region,2026-06-23,465,381,549,1.77,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":105,""regionDemandIndex"":62}",2026-06-17T11:00:00Z
107,17,Pueblo County Service Region,2026-06-23,482,395,569,1.85,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":106,""regionDemandIndex"":69}",2026-06-16T11:00:00Z
108,18,Boulder County Service Region,2026-06-23,499,409,589,1.93,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":107,""regionDemandIndex"":76}",2026-06-15T11:00:00Z
109,1,Weld County Service Region,2026-06-23,516,423,609,1.05,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":108,""regionDemandIndex"":83}",2026-06-14T11:00:00Z
110,2,Douglas County Service Region,2026-06-23,73,60,86,1.13,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":109,""regionDemandIndex"":90}",2026-06-13T11:00:00Z
111,3,Mesa County Service Region,2026-06-23,90,74,106,1.21,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":110,""regionDemandIndex"":62}",2026-06-12T11:00:00Z
112,4,Broomfield County Service Region,2026-06-23,107,88,126,1.29,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":111,""regionDemandIndex"":69}",2026-06-11T11:00:00Z
113,5,La Plata County Service Region,2026-06-23,124,102,146,1.37,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":112,""regionDemandIndex"":76}",2026-06-17T11:00:00Z
114,6,Montrose County Service Region,2026-06-23,141,116,166,1.45,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":113,""regionDemandIndex"":83}",2026-06-16T11:00:00Z
115,7,Routt County Service Region,2026-06-23,158,130,186,1.53,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":114,""regionDemandIndex"":90}",2026-06-15T11:00:00Z
116,8,Alamosa County Service Region,2026-06-23,175,144,207,1.61,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":115,""regionDemandIndex"":62}",2026-06-14T11:00:00Z
117,9,Garfield County Service Region,2026-06-23,192,157,227,1.69,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":116,""regionDemandIndex"":69}",2026-06-13T11:00:00Z
118,10,Clear Creek County Service Region,2026-06-23,209,171,247,1.77,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":117,""regionDemandIndex"":76}",2026-06-12T11:00:00Z
119,11,Fremont County Service Region,2026-06-23,226,185,267,1.85,sled_reference_scale_v1,"{""source"":""reference_scale_seed"",""signalIndex"":118,""regionDemandIndex"":83}",2026-06-11T11:00:00Z
