mention_id,post_id,product_id,confidence_score,mention_type,created_at
1,1,1,0.89,semantic,2026-05-05T16:30:00Z
2,2,38,0.78,hashtag,2026-05-05T16:30:00Z
3,3,75,0.97,visual,2026-05-05T16:30:00Z
4,4,112,0.86,inferred,2026-05-05T16:30:00Z
5,5,149,0.75,direct,2026-05-05T16:30:00Z
6,6,186,0.94,semantic,2026-05-05T16:30:00Z
7,7,36,0.83,hashtag,2026-05-05T16:30:00Z
8,8,73,0.72,visual,2026-05-05T16:30:00Z
9,9,110,0.91,inferred,2026-05-05T16:30:00Z
10,10,147,0.8,direct,2026-05-05T16:30:00Z
11,11,184,0.99,semantic,2026-05-05T16:30:00Z
12,12,34,0.88,hashtag,2026-05-05T16:30:00Z
13,13,71,0.77,visual,2026-05-05T16:30:00Z
14,14,108,0.96,inferred,2026-05-05T16:30:00Z
15,15,145,0.85,direct,2026-05-05T16:30:00Z
16,16,182,0.74,semantic,2026-05-05T16:30:00Z
17,17,32,0.93,hashtag,2026-05-05T16:30:00Z
18,18,69,0.82,visual,2026-05-05T16:30:00Z
19,19,106,0.71,inferred,2026-05-05T16:30:00Z
20,20,143,0.9,direct,2026-05-05T16:30:00Z
21,21,180,0.79,semantic,2026-05-05T16:30:00Z
22,22,30,0.98,hashtag,2026-05-05T16:30:00Z
23,23,67,0.87,visual,2026-05-05T16:30:00Z
24,24,104,0.76,inferred,2026-05-05T16:30:00Z
25,25,141,0.95,direct,2026-05-05T16:30:00Z
26,26,178,0.84,semantic,2026-05-05T16:30:00Z
27,27,28,0.73,hashtag,2026-05-05T16:30:00Z
28,28,65,0.92,visual,2026-05-05T16:30:00Z
29,29,102,0.81,inferred,2026-05-05T16:30:00Z
30,30,139,0.7,direct,2026-05-05T16:30:00Z
31,31,176,0.89,semantic,2026-05-05T16:30:00Z
32,32,26,0.78,hashtag,2026-05-05T16:30:00Z
33,33,63,0.97,visual,2026-05-05T16:30:00Z
34,34,100,0.86,inferred,2026-05-05T16:30:00Z
35,35,137,0.75,direct,2026-05-05T16:30:00Z
36,36,174,0.94,semantic,2026-05-05T16:30:00Z
37,37,24,0.83,hashtag,2026-05-05T16:30:00Z
38,38,61,0.72,visual,2026-05-05T16:30:00Z
39,39,98,0.91,inferred,2026-05-05T16:30:00Z
40,40,135,0.8,direct,2026-05-05T16:30:00Z
41,41,172,0.99,semantic,2026-05-05T16:30:00Z
42,42,22,0.88,hashtag,2026-05-05T16:30:00Z
43,43,59,0.77,visual,2026-05-05T16:30:00Z
44,44,96,0.96,inferred,2026-05-05T16:30:00Z
45,45,133,0.85,direct,2026-05-05T16:30:00Z
