product_id,brand_id,sku,product_name,description,category,subcategory,unit_price,unit_cost,weight_kg,is_active,launch_date,tags,created_at,updated_at
1,1,ADV-00001,AI Tutoring Session,,Academic Support,Tutoring,125,48,0.001,1,2026-04-01,"tutoring,academic-support,triage,virtual",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
2,1,ADV-00002,Degree Audit Review,,Student Success,Transitions,210,82,0.001,1,2026-04-01,"degree-progress,graduation,retention,success-plan",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
3,1,ADV-00003,Early Alert Success Plan,,Student Success,Retention,95,35,0.001,1,2026-04-01,"early-alert,case-management,advisor,retention",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
4,2,ENR-00004,Registration Waitlist Priority,,Academic Support,Course Access,160,65,0.001,1,2026-04-01,"registration,course-access,waitlist,term-start",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
5,2,ENR-00005,Enrollment Deposit Waiver,,Enrollment,Admissions,340,125,0.001,1,2026-04-01,"admissions,deposit,enrollment,coaching",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
6,2,ENR-00006,Orientation Advising Slot,,Enrollment,Orientation,275,98,0.05,1,2026-04-01,"orientation,advising,enrollment,next-best-action",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
7,3,CAR-00007,Career Coaching Appointment,,Career Readiness,Career Readiness,420,175,0.001,1,2026-04-01,"career,referral,consult,career",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
8,3,CAR-00008,Internship Placement Support,,Career Readiness,Experiential Learning,680,260,1.2,1,2026-04-01,"internship,employer-partner,career-readiness,retention",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
9,3,CAR-00009,Career Fair Prep Workshop,,Career Readiness,Career Readiness,520,210,0.001,1,2026-04-01,"career-fair,employer-engagement,interview-prep",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
10,4,CLE-00010,Mental Health Counseling Intake,,Student Wellness,Intake,180,70,0.001,1,2026-04-01,"mental-health,intake,wellness,access",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
11,4,CLE-00011,Crisis Follow-Up Call,,Student Wellness,Crisis,140,58,0.001,1,2026-04-01,"crisis,follow-up,safety-plan",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
12,4,CLE-00012,Accessibility Accommodation Review,,Student Wellness,Accessibility,260,105,0.001,1,2026-04-01,"accessibility,accommodation,student-wellness,compliance",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
13,5,LRN-00013,STEM Lab Tutoring Block,,Learning Support,STEM,220,90,0.001,1,2026-04-01,"stem,lab-support,tutoring,course-success",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
14,5,LRN-00014,Writing Center Consultation,,Learning Support,Writing,780,310,1.4,1,2026-04-01,"writing,composition,academic-support,term-paper",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
15,5,LIB-00015,Library Research Consultation,,Transfer Success,Research Support,195,74,0.001,1,2026-04-01,"library,research-support,citation-help,course-success",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
16,6,HSG-00016,Housing Placement Support,,Student Services,Housing,240,96,0.001,1,2026-04-01,"student-services,basic-needs,housing,visit",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
17,6,HSG-00017,Meal Plan Emergency Grant,,Basic Needs,Food Security,145,54,0.9,1,2026-04-01,"basic-needs,food-security,emergency-grant,retention",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
18,6,HSG-00018,Campus Shuttle Pass,,Student Services,Transportation,310,120,0.4,1,2026-04-01,"transportation,commuter-support,access,onboarding",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
19,7,AID-00019,Financial Aid Appeal Review,,Financial Aid,Appeals,89,31,0.35,1,2026-04-01,"financial-aid,appeal,verification,retention",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
20,7,ADV-00020,Scholarship Matching Review,,Advancement,Scholarships,115,42,0.5,1,2026-04-01,"scholarship,donor-fund,advancement,student-success",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
21,7,ADV-00021,Student Emergency Fund,,Advancement,Emergency Aid,185,70,0.6,1,2026-04-01,"emergency-aid,retention,alumni-giving,financial-support",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
22,8,HOR-00022,First-Gen Mentoring Cohort,,First-Year Experience,Mentoring,170,68,0.001,1,2026-04-01,"first-gen,mentoring,belonging,cohort",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
23,8,HOR-00023,Online Course Readiness Bootcamp,,First-Year Experience,Online Readiness,145,55,0.001,1,2026-04-01,"online-readiness,lms,study-skills",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
24,9,LIB-00024,Transfer Credit Evaluation,,Transfer Success,Credit Mobility,190,78,0.001,1,2026-04-01,"transfer-credit,evaluation,degree-progress",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
25,10,ADV-00025,AI Tutoring Follow-Up 1,Synthetic higher education service for academic support demo analysis.,Academic Support,Tutoring,106,39,0.001,1,2026-04-01,"tutoring,academic-support,retention,term-support",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
26,12,RET-00026,Retention Risk Outreach 1,Synthetic higher education service for student success demo analysis.,Student Success,Retention,216,84,0.001,1,2026-04-01,"retention,early-alert,advisor,outreach",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
27,14,ENR-00027,Admit Yield Coaching 1,Synthetic higher education service for enrollment demo analysis.,Enrollment,Admissions,281,117,0.001,1,2026-04-01,"admissions,yield,enrollment,coaching",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
28,1,ENR-00028,Registration Hold Resolution 1,Synthetic higher education service for enrollment demo analysis.,Enrollment,Course Access,178,55,0.001,1,2026-04-01,"registration,course-access,hold-resolution",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
29,3,AID-00029,FAFSA Verification Review 1,Synthetic higher education service for financial aid demo analysis.,Financial Aid,Verification,147,34,0.001,1,2026-04-01,"financial-aid,fafsa,verification,retention",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
30,5,AID-00030,Satisfactory Academic Progress Appeal 1,Synthetic higher education service for financial aid demo analysis.,Financial Aid,Appeals,173,38,0.001,1,2026-04-01,"financial-aid,sap-appeal,completion",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
31,7,ADV-00031,Alumni Emergency Microgrant 1,Synthetic higher education service for advancement demo analysis.,Advancement,Emergency Aid,219,84,0.001,1,2026-04-01,"advancement,alumni-giving,emergency-aid",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
32,9,ADV-00032,Donor Scholarship Stewardship Review 1,Synthetic higher education service for advancement demo analysis.,Advancement,Scholarships,219,71,0.001,1,2026-04-01,"advancement,scholarship,donor-fund",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
33,11,WLN-00033,Same-Day Wellness Triage 1,Synthetic higher education service for student wellness demo analysis.,Student Wellness,Mental Health,221,95,0.001,1,2026-04-01,"wellness,mental-health,triage,access",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
34,13,ACC-00034,Testing Accommodation Intake 1,Synthetic higher education service for student wellness demo analysis.,Student Wellness,Accessibility,186,72,0.001,1,2026-04-01,"accessibility,accommodation,compliance",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
35,15,CAR-00035,Internship Readiness Review 1,Synthetic higher education service for career readiness demo analysis.,Career Readiness,Career Readiness,348,143,0.001,1,2026-04-01,"career,internship,retention",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
36,2,CAR-00036,Employer Referral Session 1,Synthetic higher education service for career readiness demo analysis.,Career Readiness,Employer Engagement,378,140,0.001,1,2026-04-01,"career,employer-partner,advancement",2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
