relationship_id,from_entity,to_entity,relationship_type,strength,event_count,total_amount
1,1,2,same_receipt,0.996,1,1302.0
2,1,4,refund_method,0.956,1,1302.0
3,1,3,store_origin,0.796,1,1302.0
4,5,6,same_receipt,0.996,1,1302.0
5,5,8,refund_method,0.956,1,1302.0
6,5,7,store_origin,0.796,1,1302.0
7,9,10,same_receipt,0.994,1,1278.0
8,9,12,refund_method,0.954,1,1278.0
9,9,11,store_origin,0.794,1,1278.0
10,1,13,same_receipt,0.993,1,1266.0
11,1,8,refund_method,0.953,1,1266.0
12,1,14,store_origin,0.793,1,1266.0
13,15,16,same_receipt,0.993,1,1266.0
14,15,18,refund_method,0.953,1,1266.0
15,15,17,store_origin,0.793,1,1266.0
16,19,20,same_receipt,0.992,1,1254.0
17,19,22,refund_method,0.952,1,1254.0
18,19,21,store_origin,0.792,1,1254.0
19,23,24,same_receipt,0.992,1,1254.0
20,23,4,refund_method,0.952,2,2508.0
21,23,21,store_origin,0.792,1,1254.0
22,25,26,same_receipt,0.992,1,1254.0
23,25,4,refund_method,0.952,1,1254.0
24,25,27,store_origin,0.792,1,1254.0
25,23,28,same_receipt,0.992,1,1254.0
26,23,29,store_origin,0.792,2,2316.0
27,15,30,same_receipt,0.991,1,1242.0
28,15,12,refund_method,0.951,1,1242.0
29,15,31,store_origin,0.791,1,1242.0
30,32,33,same_receipt,0.991,1,1242.0
31,32,8,refund_method,0.951,1,1242.0
32,32,29,store_origin,0.791,1,1242.0
33,34,35,same_receipt,0.99,1,1230.0
34,34,8,refund_method,0.95,1,1230.0
35,34,36,store_origin,0.79,1,1230.0
36,37,38,same_receipt,0.989,1,1218.0
37,37,12,refund_method,0.949,1,1218.0
38,37,29,store_origin,0.789,1,1218.0
39,39,40,same_receipt,0.989,1,1218.0
40,39,22,refund_method,0.949,1,1218.0
41,39,41,store_origin,0.789,1,1218.0
42,42,43,same_receipt,0.989,1,1218.0
43,42,22,refund_method,0.949,1,1218.0
44,42,44,store_origin,0.789,1,1218.0
45,45,46,same_receipt,0.989,1,1218.0
46,45,8,refund_method,0.949,1,1218.0
47,45,47,store_origin,0.789,1,1218.0
48,48,49,same_receipt,0.989,1,1218.0
49,48,18,refund_method,0.949,1,1218.0
50,48,50,store_origin,0.789,1,1218.0
51,9,51,same_receipt,0.988,1,1206.0
52,9,18,refund_method,0.948,1,1206.0
53,9,52,store_origin,0.788,1,1206.0
54,53,54,same_receipt,0.987,1,1194.0
55,53,22,refund_method,0.947,1,1194.0
56,53,55,store_origin,0.787,1,1194.0
57,9,56,same_receipt,0.986,1,1182.0
58,9,57,refund_method,0.946,1,1182.0
59,9,29,store_origin,0.786,1,1182.0
60,58,59,same_receipt,0.985,1,1170.0
61,58,18,refund_method,0.945,1,1170.0
62,58,60,store_origin,0.785,1,1170.0
63,61,62,same_receipt,0.985,1,1170.0
64,61,8,refund_method,0.945,1,1170.0
65,61,63,store_origin,0.785,1,1170.0
66,64,65,same_receipt,0.985,1,1170.0
67,64,8,refund_method,0.945,1,1170.0
68,64,66,store_origin,0.785,1,1170.0
69,67,68,same_receipt,0.984,1,1158.0
70,67,8,refund_method,0.944,1,1158.0
71,67,69,store_origin,0.784,1,1158.0
72,70,71,same_receipt,0.983,1,1146.0
73,70,73,refund_method,0.943,1,1146.0
74,70,72,store_origin,0.783,1,1146.0
75,9,74,same_receipt,0.983,1,1146.0
76,9,76,refund_method,0.943,1,1146.0
77,9,75,store_origin,0.783,1,1146.0
78,77,78,same_receipt,0.983,1,1146.0
79,77,22,refund_method,0.943,1,1146.0
80,77,79,store_origin,0.783,1,1146.0
81,23,80,same_receipt,0.981,1,1122.0
82,23,82,refund_method,0.941,1,1122.0
83,23,81,store_origin,0.781,1,1122.0
84,83,84,same_receipt,0.981,1,1122.0
85,83,8,refund_method,0.941,1,1122.0
86,83,66,store_origin,0.781,1,1122.0
87,85,86,same_receipt,0.981,1,1122.0
88,85,76,refund_method,0.941,1,1122.0
89,85,87,store_origin,0.781,1,1122.0
90,88,89,same_receipt,0.981,1,1122.0
91,88,57,refund_method,0.941,1,1122.0
92,88,90,store_origin,0.781,1,1122.0
93,91,92,same_receipt,0.981,1,1122.0
94,91,76,refund_method,0.941,1,1122.0
95,91,17,store_origin,0.781,1,1122.0
96,48,93,same_receipt,0.981,1,1122.0
97,48,4,refund_method,0.941,1,1122.0
98,48,55,store_origin,0.781,1,1122.0
99,94,95,same_receipt,0.981,1,1122.0
100,94,96,refund_method,0.941,1,1122.0
101,94,7,store_origin,0.781,1,1122.0
102,9,97,same_receipt,0.98,1,1110.0
103,9,82,refund_method,0.94,1,1110.0
104,9,47,store_origin,0.78,1,1110.0
105,98,99,same_receipt,0.98,1,1110.0
106,98,22,refund_method,0.94,1,1110.0
107,98,100,store_origin,0.78,1,1110.0
108,101,102,same_receipt,0.98,1,1110.0
109,101,73,refund_method,0.94,1,1110.0
110,101,103,store_origin,0.78,1,1110.0
111,104,105,same_receipt,0.979,1,1098.0
112,104,82,refund_method,0.939,1,1098.0
113,104,11,store_origin,0.779,1,1098.0
114,106,107,same_receipt,0.979,1,1098.0
115,106,82,refund_method,0.939,1,1098.0
116,106,108,store_origin,0.779,1,1098.0
117,109,110,same_receipt,0.978,1,1086.0
118,109,8,refund_method,0.938,1,1086.0
119,109,111,store_origin,0.778,1,1086.0
120,23,112,same_receipt,0.978,1,1086.0
121,23,113,refund_method,0.938,1,1086.0
122,23,75,store_origin,0.778,1,1086.0
123,48,114,same_receipt,0.977,1,1074.0
124,48,82,refund_method,0.937,1,1074.0
125,48,27,store_origin,0.777,1,1074.0
126,23,115,same_receipt,0.976,1,1062.0
127,23,12,refund_method,0.936,1,1062.0
128,116,117,same_receipt,0.976,1,1062.0
129,116,113,refund_method,0.936,1,1062.0
130,116,118,store_origin,0.776,1,1062.0
131,119,120,same_receipt,0.976,1,1062.0
132,119,22,refund_method,0.936,1,1062.0
133,119,121,store_origin,0.776,1,1062.0
134,5,122,same_receipt,0.976,1,1062.0
135,5,57,refund_method,0.936,1,1062.0
136,5,103,store_origin,0.776,1,1062.0
137,123,124,same_receipt,0.976,1,1062.0
138,123,76,refund_method,0.936,1,1062.0
139,123,125,store_origin,0.776,1,1062.0
140,126,127,same_receipt,0.975,1,1050.0
141,126,4,refund_method,0.935,1,1050.0
142,126,128,store_origin,0.775,1,1050.0
143,129,130,same_receipt,0.975,1,1050.0
144,129,22,refund_method,0.935,1,1050.0
145,129,87,store_origin,0.775,1,1050.0
146,1,131,same_receipt,0.974,1,1038.0
147,1,73,refund_method,0.934,3,3078.0
148,1,55,store_origin,0.774,1,1038.0
149,19,132,same_receipt,0.974,1,1038.0
150,19,76,refund_method,0.934,1,1038.0
151,19,3,store_origin,0.774,1,1038.0
152,1,133,same_receipt,0.974,1,1038.0
153,1,69,store_origin,0.774,1,1038.0
154,134,135,same_receipt,0.974,1,1038.0
155,134,113,refund_method,0.934,1,1038.0
156,134,118,store_origin,0.774,1,1038.0
157,136,137,same_receipt,0.973,1,1026.0
158,136,8,refund_method,0.933,1,1026.0
159,136,69,store_origin,0.773,1,1026.0
160,138,139,same_receipt,0.973,1,1026.0
161,138,8,refund_method,0.933,1,1026.0
162,138,50,store_origin,0.773,1,1026.0
163,140,141,same_receipt,0.972,1,1014.0
164,140,76,refund_method,0.932,1,1014.0
165,140,142,store_origin,0.772,1,1014.0
166,143,144,same_receipt,0.972,1,1014.0
167,143,73,refund_method,0.932,1,1014.0
168,143,11,store_origin,0.772,1,1014.0
169,32,145,same_receipt,0.972,1,1014.0
170,32,82,refund_method,0.932,1,1014.0
171,32,63,store_origin,0.772,1,1014.0
172,146,147,same_receipt,0.971,1,1002.0
173,146,73,refund_method,0.931,1,1002.0
174,146,44,store_origin,0.771,1,1002.0
175,148,149,same_receipt,0.971,1,1002.0
176,148,82,refund_method,0.931,1,1002.0
177,148,150,store_origin,0.771,1,1002.0
178,151,152,same_receipt,0.971,1,1002.0
179,151,82,refund_method,0.931,1,1002.0
180,151,47,store_origin,0.771,1,1002.0
181,1,153,same_receipt,0.971,1,1002.0
182,1,103,store_origin,0.771,1,1002.0
183,154,155,same_receipt,0.971,1,1002.0
184,154,8,refund_method,0.931,1,1002.0
185,154,156,store_origin,0.771,1,1002.0
186,157,158,same_receipt,0.971,1,1002.0
187,157,113,refund_method,0.931,1,1002.0
188,157,103,store_origin,0.771,1,1002.0
189,159,160,same_receipt,0.97,1,990.0
190,159,76,refund_method,0.93,1,990.0
191,159,14,store_origin,0.77,1,990.0
192,161,162,same_receipt,0.969,1,978.0
193,161,82,refund_method,0.929,1,978.0
194,161,21,store_origin,0.769,1,978.0
195,163,164,same_receipt,0.969,1,978.0
196,163,82,refund_method,0.929,1,978.0
197,163,27,store_origin,0.769,1,978.0
198,165,166,same_receipt,0.968,1,966.0
199,165,82,refund_method,0.928,1,966.0
200,165,167,store_origin,0.768,1,966.0
201,168,169,same_receipt,0.965,1,930.0
202,168,96,refund_method,0.925,1,930.0
203,168,170,store_origin,0.765,1,930.0
204,171,172,same_receipt,0.959,1,858.0
205,171,76,refund_method,0.919,1,858.0
206,171,29,store_origin,0.759,1,858.0
207,173,174,same_receipt,0.957,1,834.0
208,173,82,refund_method,0.917,1,834.0
209,173,41,store_origin,0.757,1,834.0
210,175,176,same_receipt,0.952,1,774.0
211,175,76,refund_method,0.912,1,774.0
212,175,75,store_origin,0.752,1,774.0
213,177,178,same_receipt,0.952,1,774.0
214,177,96,refund_method,0.912,1,774.0
215,177,179,store_origin,0.752,1,774.0
216,180,181,same_receipt,0.951,1,762.0
217,180,96,refund_method,0.911,1,762.0
218,180,72,store_origin,0.751,1,762.0
219,182,183,same_receipt,0.95,1,750.0
220,182,82,refund_method,0.91,1,750.0
221,182,170,store_origin,0.75,1,750.0
222,184,185,same_receipt,0.949,1,738.0
223,184,22,refund_method,0.909,1,738.0
224,184,111,store_origin,0.749,1,738.0
225,186,187,same_receipt,0.948,1,726.0
226,186,22,refund_method,0.908,1,726.0
227,186,50,store_origin,0.748,1,726.0
228,188,189,same_receipt,0.948,1,726.0
229,188,22,refund_method,0.908,1,726.0
230,188,190,store_origin,0.748,1,726.0
231,191,192,same_receipt,0.948,1,726.0
232,191,96,refund_method,0.908,1,726.0
233,191,72,store_origin,0.748,1,726.0
234,193,194,same_receipt,0.947,1,714.0
235,193,96,refund_method,0.907,1,714.0
236,193,128,store_origin,0.747,1,714.0
