mention_id,post_id,product_id,confidence_score,mention_type,created_at
25074,54553,552,0.728,semantic,2026-05-22T14:21:33Z
25075,54562,576,0.862,direct,2026-05-22T14:21:33Z
25076,54575,557,0.938,visual,2026-05-22T14:21:33Z
25077,54576,562,0.722,inferred,2026-05-22T14:21:33Z
25078,54604,563,0.873,hashtag,2026-05-22T14:21:33Z
25079,54655,565,0.829,visual,2026-05-22T14:21:33Z
25080,54660,563,0.74,visual,2026-05-22T14:21:33Z
25081,54699,579,0.712,hashtag,2026-05-22T14:21:33Z
25082,54722,576,0.927,direct,2026-05-22T14:21:33Z
25083,54736,561,0.85,inferred,2026-05-22T14:21:33Z
25084,54759,552,0.817,hashtag,2026-05-22T14:21:33Z
25085,54786,553,0.729,inferred,2026-05-22T14:21:33Z
25086,54803,573,0.924,semantic,2026-05-22T14:21:33Z
25087,54806,576,0.756,inferred,2026-05-22T14:21:33Z
25088,54887,568,0.949,direct,2026-05-22T14:21:33Z
25089,54999,573,0.866,hashtag,2026-05-22T14:21:33Z
25090,55030,573,0.85,visual,2026-05-22T14:21:33Z
25091,55032,573,0.849,direct,2026-05-22T14:21:33Z
25092,55054,578,0.856,hashtag,2026-05-22T14:21:33Z
25093,55088,561,0.91,semantic,2026-05-22T14:21:33Z
25094,55118,570,0.992,semantic,2026-05-22T14:21:33Z
25095,55163,558,0.72,semantic,2026-05-22T14:21:33Z
25096,55195,552,0.934,visual,2026-05-22T14:21:33Z
25097,55212,570,0.788,direct,2026-05-22T14:21:33Z
25098,55228,566,0.893,semantic,2026-05-22T14:21:33Z
25099,55232,575,0.829,direct,2026-05-22T14:21:33Z
25100,55296,556,0.822,inferred,2026-05-22T14:21:33Z
25101,55300,552,0.903,visual,2026-05-22T14:21:33Z
25102,55313,573,0.97,semantic,2026-05-22T14:21:33Z
25103,55367,581,0.91,direct,2026-05-22T14:21:33Z
25104,55368,572,0.867,semantic,2026-05-22T14:21:33Z
25105,55375,580,0.997,visual,2026-05-22T14:21:33Z
25106,55393,563,0.98,semantic,2026-05-22T14:21:33Z
25107,55405,573,0.755,visual,2026-05-22T14:21:33Z
25108,55434,565,0.968,hashtag,2026-05-22T14:21:33Z
25109,55458,566,0.996,semantic,2026-05-22T14:21:33Z
25110,55478,557,0.884,semantic,2026-05-22T14:21:33Z
25111,55502,551,0.901,direct,2026-05-22T14:21:33Z
25112,55507,575,0.802,direct,2026-05-22T14:21:33Z
25113,55522,560,0.956,direct,2026-05-22T14:21:33Z
25114,55573,572,0.972,semantic,2026-05-22T14:21:33Z
25115,55593,575,0.84,semantic,2026-05-22T14:21:33Z
25116,55595,580,0.797,visual,2026-05-22T14:21:33Z
25117,55639,554,0.842,hashtag,2026-05-22T14:21:33Z
25118,55645,553,0.754,visual,2026-05-22T14:21:33Z
25119,55712,566,0.753,direct,2026-05-22T14:21:33Z
25120,55744,556,0.988,hashtag,2026-05-22T14:21:33Z
25121,55790,557,0.805,visual,2026-05-22T14:21:33Z
25122,55824,575,0.99,hashtag,2026-05-22T14:21:33Z
25123,55849,570,0.82,hashtag,2026-05-22T14:21:33Z
25124,55852,572,0.976,direct,2026-05-22T14:21:33Z
25125,55934,556,0.885,hashtag,2026-05-22T14:21:33Z
25126,56001,555,0.719,inferred,2026-05-22T14:21:33Z
25127,56023,555,0.741,semantic,2026-05-22T14:21:33Z
25128,56044,573,0.792,hashtag,2026-05-22T14:21:33Z
25129,56062,573,0.865,direct,2026-05-22T14:21:33Z
25130,56087,574,0.918,direct,2026-05-22T14:21:33Z
25131,56234,563,0.785,hashtag,2026-05-22T14:21:33Z
25132,56265,564,0.932,visual,2026-05-22T14:21:33Z
25133,56300,577,0.965,visual,2026-05-22T14:21:33Z
25134,56384,561,0.726,hashtag,2026-05-22T14:21:33Z
25135,56429,571,0.978,hashtag,2026-05-22T14:21:33Z
25136,56514,558,0.75,hashtag,2026-05-22T14:21:33Z
25137,56544,552,0.967,hashtag,2026-05-22T14:21:33Z
25138,56623,562,0.828,semantic,2026-05-22T14:21:33Z
