product_id,brand_id,sku,product_name,description,category,subcategory,unit_price,unit_cost,weight_kg,is_active,launch_date,tags,created_at,updated_at
551,85,GRI-00001,Smart Meter Exchange,,Electric Utility,AMI,125,48,0.8,1,2026-03-08,"smart-meter,ami,exchange,field-work",2026-05-22T14:21:33Z,2026-05-22T14:21:33Z
552,85,GRI-00002,Outage Restoration Dispatch,,Electric Utility,Restoration,210,82,0.001,1,2025-06-20,"outage,dispatch,restoration,crew-routing",2026-05-22T14:21:33Z,2026-05-22T14:21:33Z
553,85,GRI-00003,Transformer Load Assessment,,Electric Utility,Transformer,95,35,0.001,1,2025-07-23,"transformer,load,inspection,distribution",2026-05-22T14:21:33Z,2026-05-22T14:21:33Z
554,86,POW-00004,Vegetation Clearance Work Order,,Electric Utility,Vegetation,160,65,0.001,1,2026-01-20,"vegetation,reliability,feeder,work-order",2026-05-22T14:21:33Z,2026-05-22T14:21:33Z
555,86,POW-00005,EV Charger Interconnection Review,,Electric Utility,EV Infrastructure,340,125,0.001,1,2025-02-19,"ev,interconnection,charger,capacity",2026-05-22T14:21:33Z,2026-05-22T14:21:33Z
556,86,POW-00006,Voltage Quality Investigation,,Electric Utility,Voltage,275,98,0.05,1,2024-11-18,"voltage,power-quality,monitoring",2026-05-22T14:21:33Z,2026-05-22T14:21:33Z
557,87,PEA-00007,Feeder Recloser Inspection,,Electric Utility,Protection,420,175,0.001,1,2025-06-20,"recloser,feeder,automation,protection",2026-05-22T14:21:33Z,2026-05-22T14:21:33Z
558,87,PEA-00008,Mobile Substation Deployment,,Electric Utility,Contingency,680,260,1.2,1,2024-12-04,"substation,mobile,contingency,restoration",2026-05-22T14:21:33Z,2026-05-22T14:21:33Z
559,87,PEA-00009,DER Interconnection Queue Review,,Electric Utility,DER Interconnection,285,112,0.001,1,2026-02-18,"der,solar,interconnection,queue",2026-05-22T14:21:33Z,2026-05-22T14:21:33Z
560,88,CLE-00010,Billing Exception Review,,Customer Operations,Billing,180,70,0.001,1,2025-05-10,"billing,collections,customer-service",2026-05-22T14:21:33Z,2026-05-22T14:21:33Z
561,88,CLE-00011,Move In Move Out Request,,Customer Operations,Service Move,140,58,0.001,1,2025-05-20,"move-in,move-out,customer-operations",2026-05-22T14:21:33Z,2026-05-22T14:21:33Z
562,89,FIE-00012,Industrial Customer Service Request,,Field Operations,Industrial Service,260,105,0.001,1,2024-06-18,"industrial-customer,service-request,field-work",2026-05-22T14:21:33Z,2026-05-22T14:21:33Z
563,89,FIE-00013,Field Crew Safety Dispatch,,Field Operations,Crew Dispatch,220,90,0.001,1,2026-01-02,"crew,dispatch,hse,safety",2026-05-22T14:21:33Z,2026-05-22T14:21:33Z
564,90,WAT-00014,Water Main Pressure Inspection,,Water/Wastewater Utility,Pressure,170,68,0.001,1,2024-08-04,"water-main,pressure,inspection",2026-05-22T14:21:33Z,2026-05-22T14:21:33Z
565,90,WAT-00015,Leak Detection Field Visit,,Water/Wastewater Utility,Leak Detection,145,55,0.001,1,2026-01-17,"leak,detection,water,field-work",2026-05-22T14:21:33Z,2026-05-22T14:21:33Z
566,90,WAT-00016,Water Quality Sampling,,Water/Wastewater Utility,Water Quality,210,84,0.001,1,2024-12-29,"water-quality,sampling,regulatory",2026-05-22T14:21:33Z,2026-05-22T14:21:33Z
