demand_forecast_id,manufactured_part_id,planning_region,forecast_date,predicted_unit_demand,lower_confidence_units,upper_confidence_units,production_signal_factor,model_version,forecast_explanation,created_at
1,1,Bay Area (SF),2026-06-30,130,93,173,1.07,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
2,1,Bay Area (SF),2026-07-01,145,101,181,1.32,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
3,1,Bay Area (SF),2026-07-02,145,109,189,1.28,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
4,1,Bay Area (SF),2026-07-03,175,117,197,1.45,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
5,1,Bay Area (SF),2026-07-04,175,125,205,1.21,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
6,1,Bay Area (SF),2026-07-05,174,133,213,1.52,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
7,1,Bay Area (SF),2026-07-06,161,141,221,1.37,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
8,1,Bay Area (SF),2026-07-07,174,149,229,1.57,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
9,1,Bay Area (SF),2026-07-08,191,157,237,1.63,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
10,1,Bay Area (SF),2026-07-09,222,165,245,1.65,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
11,1,Bay Area (SF),2026-07-10,231,173,253,1.6,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
12,1,Bay Area (SF),2026-07-11,212,181,261,1.68,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
13,1,Bay Area (SF),2026-07-12,235,189,269,1.72,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
14,1,Bay Area (SF),2026-07-13,246,197,277,1.66,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
15,1,Bay Area (SF),2026-07-14,253,205,285,1.72,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
16,1,Bay Area (SF),2026-07-15,255,213,293,1.78,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
17,1,Bay Area (SF),2026-07-16,244,221,301,1.84,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
18,1,Bay Area (SF),2026-07-17,261,229,309,1.94,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
19,1,Bay Area (SF),2026-07-18,289,237,317,1.9,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
20,1,Bay Area (SF),2026-07-19,281,245,325,1.87,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
21,1,Bay Area (SF),2026-07-20,297,253,333,2.04,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
22,1,Bay Area (SF),2026-07-21,289,261,341,1.97,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
23,1,Bay Area (SF),2026-07-22,304,269,349,1.96,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
24,1,Bay Area (SF),2026-07-23,298,277,357,2.05,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
25,1,Bay Area (SF),2026-07-24,318,285,365,2.17,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
26,1,Bay Area (SF),2026-07-25,330,293,373,2.21,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
27,1,Bay Area (SF),2026-07-26,354,301,381,2.34,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
28,1,Bay Area (SF),2026-07-27,354,309,389,2.14,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
29,1,Bay Area (SF),2026-07-28,368,317,397,2.26,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
30,1,Bay Area (SF),2026-07-29,350,325,405,2.23,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_capacity_spike"",""planner_schedule_cluster"",""weekend_shift_constraint""],""top_network_account"":""@detroit_line_watch"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-06-29T21:44:58Z
31,1,New York Metro,2026-06-30,212,141,241,1.33,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
32,1,New York Metro,2026-07-01,194,147,247,1.43,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
33,1,New York Metro,2026-07-02,207,153,253,1.45,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
34,1,New York Metro,2026-07-03,218,159,259,1.48,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
35,1,New York Metro,2026-07-04,227,165,265,1.46,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
36,1,New York Metro,2026-07-05,199,171,271,1.57,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
37,1,New York Metro,2026-07-06,230,177,277,1.44,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
38,1,New York Metro,2026-07-07,214,183,283,1.51,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
39,1,New York Metro,2026-07-08,248,189,289,1.53,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
40,1,New York Metro,2026-07-09,267,195,295,1.69,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
41,1,New York Metro,2026-07-10,237,201,301,1.56,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
42,1,New York Metro,2026-07-11,277,207,307,1.66,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
43,1,New York Metro,2026-07-12,250,213,313,1.63,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
44,1,New York Metro,2026-07-13,271,219,319,1.79,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
45,1,New York Metro,2026-07-14,293,225,325,1.73,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
46,1,New York Metro,2026-07-15,299,231,331,1.82,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
47,1,New York Metro,2026-07-16,310,237,337,1.88,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
48,1,New York Metro,2026-07-17,271,243,343,1.78,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
49,1,New York Metro,2026-07-18,299,249,349,1.94,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
50,1,New York Metro,2026-07-19,285,255,355,1.83,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
51,1,New York Metro,2026-07-20,320,261,361,1.84,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
52,1,New York Metro,2026-07-21,304,267,367,2.04,manufacturing_signal_v2,"{""model"":""manufacturing_signal_v2"",""drivers"":[""line_supervisor_forum_signal"",""supplier_capacity_planner"",""same_day_work_order_pressure""],""top_network_account"":""@shopfloor_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-06-29T21:44:58Z
