forecast_id,product_id,region,forecast_date,predicted_demand,confidence_low,confidence_high,social_factor,model_version,explanation,created_at
1,37,Bay Area (SF),2026-04-14,131,93,173,1.18,social_aware_v2,"{""model"":""social_aware_v2"",""drivers"":[""trail_creator_demand_spike"",""influencer_collaboration"",""weekend_effect""],""top_influencer"":""@trailguide_maya"",""virality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-04-13T09:16:50Z
2,37,Bay Area (SF),2026-04-15,137,101,181,1.22,social_aware_v2,"{""model"":""social_aware_v2"",""drivers"":[""trail_creator_demand_spike"",""influencer_collaboration"",""weekend_effect""],""top_influencer"":""@trailguide_maya"",""virality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-04-13T09:16:50Z
3,37,Bay Area (SF),2026-04-16,155,109,189,1.17,social_aware_v2,"{""model"":""social_aware_v2"",""drivers"":[""trail_creator_demand_spike"",""influencer_collaboration"",""weekend_effect""],""top_influencer"":""@trailguide_maya"",""virality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-04-13T09:16:50Z
4,37,Bay Area (SF),2026-04-17,163,117,197,1.2,social_aware_v2,"{""model"":""social_aware_v2"",""drivers"":[""trail_creator_demand_spike"",""influencer_collaboration"",""weekend_effect""],""top_influencer"":""@trailguide_maya"",""virality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-04-13T09:16:50Z
5,37,Bay Area (SF),2026-04-18,169,125,205,1.4,social_aware_v2,"{""model"":""social_aware_v2"",""drivers"":[""trail_creator_demand_spike"",""influencer_collaboration"",""weekend_effect""],""top_influencer"":""@trailguide_maya"",""virality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-04-13T09:16:50Z
6,37,Bay Area (SF),2026-04-19,181,133,213,1.48,social_aware_v2,"{""model"":""social_aware_v2"",""drivers"":[""trail_creator_demand_spike"",""influencer_collaboration"",""weekend_effect""],""top_influencer"":""@trailguide_maya"",""virality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-04-13T09:16:50Z
7,37,Bay Area (SF),2026-04-20,199,141,221,1.33,social_aware_v2,"{""model"":""social_aware_v2"",""drivers"":[""trail_creator_demand_spike"",""influencer_collaboration"",""weekend_effect""],""top_influencer"":""@trailguide_maya"",""virality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-04-13T09:16:50Z
8,37,Bay Area (SF),2026-04-21,206,149,229,1.55,social_aware_v2,"{""model"":""social_aware_v2"",""drivers"":[""trail_creator_demand_spike"",""influencer_collaboration"",""weekend_effect""],""top_influencer"":""@trailguide_maya"",""virality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-04-13T09:16:50Z
9,37,Bay Area (SF),2026-04-22,185,157,237,1.59,social_aware_v2,"{""model"":""social_aware_v2"",""drivers"":[""trail_creator_demand_spike"",""influencer_collaboration"",""weekend_effect""],""top_influencer"":""@trailguide_maya"",""virality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-04-13T09:16:50Z
10,37,Bay Area (SF),2026-04-23,222,165,245,1.53,social_aware_v2,"{""model"":""social_aware_v2"",""drivers"":[""trail_creator_demand_spike"",""influencer_collaboration"",""weekend_effect""],""top_influencer"":""@trailguide_maya"",""virality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-04-13T09:16:50Z
11,37,Bay Area (SF),2026-04-24,227,173,253,1.48,social_aware_v2,"{""model"":""social_aware_v2"",""drivers"":[""trail_creator_demand_spike"",""influencer_collaboration"",""weekend_effect""],""top_influencer"":""@trailguide_maya"",""virality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-04-13T09:16:50Z
12,37,Bay Area (SF),2026-04-25,233,181,261,1.74,social_aware_v2,"{""model"":""social_aware_v2"",""drivers"":[""trail_creator_demand_spike"",""influencer_collaboration"",""weekend_effect""],""top_influencer"":""@trailguide_maya"",""virality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-04-13T09:16:50Z
13,37,Bay Area (SF),2026-04-26,211,189,269,1.56,social_aware_v2,"{""model"":""social_aware_v2"",""drivers"":[""trail_creator_demand_spike"",""influencer_collaboration"",""weekend_effect""],""top_influencer"":""@trailguide_maya"",""virality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-04-13T09:16:50Z
