mention_id,post_id,product_id,confidence_score,mention_type
1,1,1,0.73,semantic
2,2,2,0.74,direct
3,3,3,0.75,semantic
4,4,4,0.76,direct
5,5,5,0.77,semantic
6,6,6,0.78,direct
7,7,7,0.79,semantic
8,8,8,0.8,direct
9,9,9,0.81,semantic
10,10,10,0.82,direct
11,11,11,0.83,semantic
12,12,12,0.84,direct
13,13,13,0.85,semantic
14,14,14,0.86,direct
15,15,15,0.87,semantic
16,16,16,0.88,direct
17,17,17,0.89,semantic
18,18,18,0.9,direct
19,19,19,0.91,semantic
20,20,20,0.72,direct
21,21,21,0.73,semantic
22,22,22,0.74,direct
23,23,23,0.75,semantic
24,24,24,0.76,direct
25,25,25,0.77,semantic
26,26,26,0.78,direct
27,27,27,0.79,semantic
28,28,28,0.8,direct
29,29,29,0.81,semantic
30,30,30,0.82,direct
31,31,31,0.83,semantic
32,32,32,0.84,direct
33,33,33,0.85,semantic
34,34,34,0.86,direct
35,35,35,0.87,semantic
36,36,36,0.88,direct
37,37,37,0.89,semantic
38,38,38,0.9,direct
39,39,39,0.91,semantic
40,40,40,0.72,direct
41,41,41,0.73,semantic
42,42,42,0.74,direct
43,43,43,0.75,semantic
44,44,44,0.76,direct
45,45,45,0.77,semantic
46,46,46,0.78,direct
47,47,47,0.79,semantic
48,48,48,0.8,direct
49,49,49,0.81,semantic
50,50,50,0.82,direct
51,51,51,0.83,semantic
52,52,52,0.84,direct
53,53,53,0.85,semantic
54,54,54,0.86,direct
55,55,55,0.87,semantic
56,56,56,0.88,direct
57,57,57,0.89,semantic
58,58,58,0.9,direct
59,59,59,0.91,semantic
60,60,60,0.72,direct
61,61,61,0.73,semantic
62,62,62,0.74,direct
63,63,63,0.75,semantic
64,64,64,0.76,direct
65,65,65,0.77,semantic
66,66,66,0.78,direct
67,67,67,0.79,semantic
68,68,68,0.8,direct
69,69,69,0.81,semantic
70,70,70,0.82,direct
71,71,71,0.83,semantic
72,72,72,0.84,direct
73,73,73,0.85,semantic
74,74,74,0.86,direct
75,75,75,0.87,semantic
76,76,76,0.88,direct
77,77,77,0.89,semantic
78,78,78,0.9,direct
79,79,79,0.91,semantic
80,80,80,0.72,direct
81,81,81,0.73,semantic
82,82,82,0.74,direct
83,83,83,0.75,semantic
84,84,84,0.76,direct
