brand_id,brand_name,brand_slug,brand_category,headquarters_city,headquarters_lat,headquarters_lon,founded_year,annual_revenue,social_tier,created_at,updated_at
1,UrbanPulse,urbanpulse,Athletic Apparel,New York,40.7128,-74.006,2018,45000000,premium,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
2,TechNova,technova,Sports Tech,San Francisco,37.7749,-122.4194,2015,120000000,premium,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
3,GlowKin,glowkin,Outdoor Care,Los Angeles,34.0522,-118.2437,2020,28000000,emerging,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
4,PeakForm,peakform,Fitness,Denver,39.7392,-104.9903,2017,67000000,standard,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
5,NestCraft,nestcraft,Outdoor Lifestyle,Portland,45.5152,-122.6784,2019,32000000,standard,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
6,VoltEdge,voltedge,Sports Tech,Austin,30.2672,-97.7431,2016,89000000,premium,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
7,AuraScent,aurascent,Outdoor Care,Miami,25.7617,-80.1918,2021,15000000,emerging,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
8,TrailBlaze,trailblaze,Outdoor,Seattle,47.6062,-122.3321,2014,95000000,premium,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
9,LuxeThread,luxethread,Athletic Apparel,New York,40.7128,-74.006,2012,210000000,luxury,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
10,ByteBite,bytebite,Sports Nutrition,Chicago,41.8781,-87.6298,2020,18000000,emerging,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
11,CloudStep,cloudstep,Footwear,Portland,45.5152,-122.6784,2019,42000000,standard,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
12,ZenBrew,zenbrew,Sports Nutrition,Portland,45.5152,-122.6784,2018,25000000,standard,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
13,IronCore,ironcore,Fitness,Nashville,36.1627,-86.7816,2016,55000000,standard,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
14,PixelCraft,pixelcraft,Training Tech,San Jose,37.3382,-121.8863,2017,78000000,premium,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
15,EverGreen,evergreen,Eco Outdoor Gear,San Francisco,37.7749,-122.4194,2020,22000000,emerging,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
16,SonicWave,sonicwave,Training Audio,Los Angeles,34.0522,-118.2437,2015,110000000,premium,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
17,PureRoots,pureroots,Recovery,Boulder,40.015,-105.2705,2019,35000000,standard,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
18,VelvetLine,velvetline,Athletic Apparel,Atlanta,33.749,-84.388,2021,12000000,emerging,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
19,AquaFit,aquafit,Fitness,Miami,25.7617,-80.1918,2018,40000000,standard,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
20,CrystalView,crystalview,Sport Eyewear,New York,40.7128,-74.006,2016,65000000,premium,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
21,MoonGlow,moonglow,Outdoor Care,Nashville,36.1627,-86.7816,2022,8000000,emerging,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
22,TerraGear,terragear,Outdoor,Denver,39.7392,-104.9903,2013,88000000,premium,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
23,NeonNight,neonnight,Athletic Apparel,Las Vegas,36.1699,-115.1398,2021,19000000,emerging,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
