product_id,sku,product_name,category,core_name,image_file,width,height,source_name,source_query,source_title,source_thumbnail,source_image,source_page
1,SKU-100001,Velocityworks Baseball Glove 1,Team Sports,Baseball Glove,0001_SKU-100001_velocityworks-baseball-glove-1.jpg,150,150,duckduckgo-remote,baseball glove product,BallGloves.com: Baseball Glove Online Store,https://tse2.mm.bing.net/th/id/OIP.vVTOUTU0xM2zxKBeUFG0hwHaHa?pid=Api,https://cdn11.bigcommerce.com/s-2hhnbofc/images/stencil/2560w/products/2536/23755/Rawlings-PRO200-6-Baseball-Glove-Traditional-Japan-Tan-Leather-11-5-Exclusive-9__25183.1709622423.jpg?c=2,https://ballgloves.com/
68,SKU-100068,Velocityworks Baseball Glove 68,Team Sports,Baseball Glove,0068_SKU-100068_velocityworks-baseball-glove-68.jpg,150,150,duckduckgo-remote,baseball glove product,"Mizuno World Win 13"" Softball Glove | SportChek",https://tse2.mm.bing.net/th/id/OIP.z__BfNd6ZMroP5GXhs2_XwHaHa?pid=Api,https://media-www.atmosphere.ca/product/div-01-hardgoods/dpt-12-team-sports/sdpt-10-baseball/333068945/mizuno-sp20-world-win-13-sof-ns--e298b380-30e3-4ab2-a6a5-921832911001-jpgrendition.jpg?imdensity=1&imwidth=640&impolicy=gZoom,https://www.sportchek.ca/en/pdp/mizuno-world-win-13-softball-glove-70325276f.html
71,SKU-100071,Velocityworks Baseball Glove 71,Team Sports,Baseball Glove,0071_SKU-100071_velocityworks-baseball-glove-71.jpg,150,150,duckduckgo-remote,baseball glove product,"Wilson A1000 USA 12"" Youth Baseball Glove | Better Baseball | Better ...",https://tse2.mm.bing.net/th/id/OIP.W2gXcbzhTN0gKpL-lOsOuwHaF7?pid=Api,https://images.betterbaseball.com/media/catalog/product/cache/b09a0669b2bae4b290ae566ca2fa174a/w/b/wbw100838.jpg,https://betterbaseball.com/wilson-a1000-usa-12-youth-baseball-glove-wbw100838-wbw100838
75,SKU-100075,Summitpulse Baseball Glove 75,Team Sports,Baseball Glove,0075_SKU-100075_summitpulse-baseball-glove-75.jpg,150,150,duckduckgo-remote,baseball glove product,"Wilson A2000 Custom SuperSkin SP13 13"" Slow Pitch Softball Glove ...",https://tse1.mm.bing.net/th/id/OIP.SvBXphvbwAiTpcsBJbROTgHaHa?pid=Api,https://dac8r2vkxfv8c.cloudfront.net/images/products/4538-06-22-wilson-a2000-custom-sp13-13--slow-pitch-softball-glove--wta20crs22sp13-35808-7_l.jpg,https://www.justballgloves.com/product/wilson-a2000-custom-superskin-sp13-13--slow-pitch-softball-glove--wta20crs22sp13/35808/
81,SKU-100081,Aerostride Baseball Glove 81,Team Sports,Baseball Glove,0081_SKU-100081_aerostride-baseball-glove-81.jpg,150,150,duckduckgo-remote,baseball glove product,"Wilson A2000 Super SnakeSkin FP75 11.75"" Fastpitch Softball Glove ...",https://tse4.mm.bing.net/th/id/OIP.R9QjBIVr5WtheAKkPImh-gHaHa?pid=Api,https://dac8r2vkxfv8c.cloudfront.net/images/products/4cec-01-23-wilson-a2000-super-snakeskin-fp75-11-75--fastpitch-softball-glove--wbw1009911175-36212-7_l.jpg,https://www.justballgloves.com/product/wilson-a2000-fp75-11-75--fastpitch-softball-glove--wbw1009911175/36212/
169,SKU-100169,Aerostride Baseball Glove 169,Team Sports,Baseball Glove,0169_SKU-100169_aerostride-baseball-glove-169.jpg,150,150,duckduckgo-remote,baseball glove product,"Shadow 2: The Silencer 11.5"" Glove | Better Baseball | Better Baseball",https://tse3.mm.bing.net/th/id/OIP._cAaxwqnUYTvE6gr1QT10QHaF7?pid=Api,https://images.betterbaseball.com/media/catalog/product/cache/b09a0669b2bae4b290ae566ca2fa174a/s/h/shadow2.jpg,https://betterbaseball.com/shadow-2-the-silencer-11-5-baseball-infield-glove-shadow2
176,SKU-100176,Nordcrest Baseball Glove 176,Team Sports,Baseball Glove,0176_SKU-100176_nordcrest-baseball-glove-176.jpg,150,150,duckduckgo-remote,baseball glove product,"Rawlings R9 ContoUR Fit 11"" Youth Baseball Glove (R9110U-19BT ...",https://tse4.mm.bing.net/th/id/OIP.A0FpupiChlC8a7VbSj3JMwHaHa?pid=Api,https://dac8r2vkxfv8c.cloudfront.net/images/products/94ca-10-22-rawlings-r9-11--youth-baseball-glove--r9110u-19bt-35913-8_l.jpg,https://www.justballgloves.com/product/rawlings-r9-11--youth-baseball-glove--r9110u-19bt/35913/
198,SKU-100198,Hydrawave Baseball Glove 198,Team Sports,Baseball Glove,0198_SKU-100198_hydrawave-baseball-glove-198.jpg,150,150,duckduckgo-remote,baseball glove product,"Rawlings R9 ContoUR Fit 11"" Youth Baseball Glove (R9110U-19BT ...",https://tse3.mm.bing.net/th/id/OIP.ts5hJ92IUDbp3aE53v1skwHaHa?pid=Api,https://dac8r2vkxfv8c.cloudfront.net/images/products/5b53-10-22-rawlings-r9-11--youth-baseball-glove--r9110u-19bt-35913-11_l.jpg,https://www.justballgloves.com/product/rawlings-r9-11--youth-baseball-glove--r9110u-19bt/35913/
301,SKU-100301,Ironkinetic Baseball Glove 301,Team Sports,Baseball Glove,0301_SKU-100301_ironkinetic-baseball-glove-301.jpg,150,150,duckduckgo-remote,baseball glove product,"Rawlings R9 ContoUR Fit 12"" Youth Baseball Glove (R9120U-6BT ...",https://tse2.mm.bing.net/th/id/OIP.NKnpv_FiLsbgIx43efUJ9gHaHa?pid=Api,https://dac8r2vkxfv8c.cloudfront.net/images/products/26e7-10-22-rawlings-r9-12--youth-baseball-glove--r9120u-6bt-35916_001_l.jpg,https://www.justballgloves.com/product/rawlings-r9-12--youth-baseball-glove--r9120u-6bt/35916/
332,SKU-100332,Aerostride Baseball Glove 332,Team Sports,Baseball Glove,0332_SKU-100332_aerostride-baseball-glove-332.jpg,150,150,duckduckgo-remote,baseball glove product,"Wilson Blem A2K MC26 Matt Chapman 11.75"" Baseball Glove (WBW1006071175B ...",https://tse1.mm.bing.net/th/id/OIP.5kpD1in-iB7GASj6LKf1aQHaHa?pid=Api,https://dac8r2vkxfv8c.cloudfront.net/images/products/a485-04-23--blem--wilson-a2k-mc26-matt-chapman-11-75--baseball-glove--wbw1006071175b-36721-1_l.jpg,https://www.justballgloves.com/product/wilson-blem-a2k-mc26-11-75--baseball-glove--wbw1006071175/36721/
455,SKU-100455,Hydrawave Baseball Glove 455,Uncategorized,Baseball Glove,0455_SKU-100455_hydrawave-baseball-glove-455.jpg,150,150,duckduckgo-remote,baseball glove product,"Rawlings Sandlot Series 12"" Baseball Glove S1200B | JustBallGloves.com",https://tse1.mm.bing.net/th/id/OIP.tSFsn1oAYtM0qfYSBnCRRAHaHa?pid=Api,https://dac8r2vkxfv8c.cloudfront.net/images/products/2cce-03-20-rawlings-sandlot-series-12--baseball-glove--s1200b-29147-7_l.jpg,https://www.justballgloves.com/product/rawlings-sandlot-series-12--baseball-glove--s1200b/29147/
476,SKU-100491,Velocityworks Baseball Glove 491,Team Sports,Baseball Glove,0476_SKU-100491_velocityworks-baseball-glove-491.jpg,150,150,duckduckgo-remote,baseball glove product,"Warstic IK3 Series 11"" Youth Glove | Better Baseball | Better Baseball",https://tse2.mm.bing.net/th/id/OIP.k4BjQk5IuGhRwTzAv_KFYwHaF7?pid=Api,https://images.betterbaseball.com/media/catalog/product/cache/b09a0669b2bae4b290ae566ca2fa174a/f/g/fg-ik3yth-wh.jpg,https://betterbaseball.com/warstic-ik3-series-11-youth-baseball-glove-fg-ik3yth-wh-fg-ik3yth-wh
506,SKU-100788,Canyonridge Baseball Glove 788,Team Sports,Baseball Glove,0506_SKU-100788_canyonridge-baseball-glove-788.jpg,150,150,duckduckgo-remote,baseball glove product,"Wilson A500 12"" Youth Baseball Glove (WBW10090312) | JustBallGloves.com",https://tse2.mm.bing.net/th/id/OIP.OmnFabI2c0gvhEMl9brzKwHaHa?pid=Api,https://dac8r2vkxfv8c.cloudfront.net/images/products/f453-10-22-wilson-a500-12--youth-baseball-glove--wbw10090312-36192-2_l.jpg,https://www.justballgloves.com/product/wilson-a500-12--baseball-glove--wbw10090312/36192/
557,SKU-102194,Velocityworks Baseball Glove 2194,Team Sports,Baseball Glove,0557_SKU-102194_velocityworks-baseball-glove-2194.jpg,150,150,duckduckgo-remote,baseball glove product,"Rawlings Gold Glove 12.75"" Baseball Glove RGG3039-6MO | JustBallGloves.com",https://tse3.mm.bing.net/th/id/OIP.7UNc0hMLBuT7VLmI8NL5HwHaHa?pid=Api,https://dac8r2vkxfv8c.cloudfront.net/images/products/eaee-03-20-rawlings-gold-glove-12-75--baseball-glove--rgg3039-6mo-29903-2_l.jpg,https://www.justballgloves.com/product/rawlings-gold-glove-12-75--baseball-glove--rgg3039-6mo/29903/
578,SKU-103097,Ironkinetic Baseball Glove 3097,Team Sports,Baseball Glove,0578_SKU-103097_ironkinetic-baseball-glove-3097.jpg,150,150,duckduckgo-remote,baseball glove product,"Nokona DesertKIP Pro 11.5"" Baseball Glove (DK-1150) | JustBallGloves.com",https://tse3.mm.bing.net/th/id/OIP.igkksVd016SM-wOi-4l-oQHaHa?pid=Api,https://dac8r2vkxfv8c.cloudfront.net/images/products/6e70-09-22-nokona-desertkip-pro-11-5--baseball-glove--dk-1150-36283-1_l.jpg,https://www.justballgloves.com/product/nokona-desertkip-pro-11-5--baseball-glove--dk-1150/36283/
584,SKU-103954,Peakgear Baseball Glove 3954,Team Sports,Baseball Glove,0584_SKU-103954_peakgear-baseball-glove-3954.jpg,150,150,duckduckgo-remote,baseball glove product,"Wilson A2000 1786 11.5"" Custom Baseball Glove (WTA20CRB211786 ...",https://tse1.mm.bing.net/th/id/OIP.WxT---nuzO6xeDNlj5QX0wHaHa?pid=Api,https://dac8r2vkxfv8c.cloudfront.net/images/products/4480-04-21-wilson-a2000-1786-11-5--custom-baseball-glove--wta20crb211786-34429-6_l.jpg,https://www.justballgloves.com/product/wilson-a2000-1786-11-5--custom-baseball-glove--wta20crb211786/34429/
602,SKU-106894,Summitpulse Baseball Glove 6894,Team Sports,Baseball Glove,0602_SKU-106894_summitpulse-baseball-glove-6894.jpg,150,150,duckduckgo-remote,baseball glove product,"Rawlings Pro Preferred 11.75"" Baseball Glove (PROS315-2RT ...",https://tse2.mm.bing.net/th/id/OIP.aD48zL_48kaTIsxWIeqWyQHaHa?pid=Api,https://dac8r2vkxfv8c.cloudfront.net/images/products/28fa-01-23-rawlings-pro-preferred-11-75--baseball-glove--pros315-2rt-35909-4_l.jpg,https://www.justballgloves.com/product/rawlings-pro-preferred-11-75--baseball-glove--pros315-2rt/35909/
2,SKU-100002,Trailforge Smart Scale 2,Fitness Devices,Smart Scale,0002_SKU-100002_trailforge-smart-scale-2.jpg,150,150,duckduckgo-remote,smart bathroom scale product,"9 Best Digital Bathroom Scales of 2025, Tested & Reviewed",https://tse2.mm.bing.net/th/id/OIP._92-xgSNspTOvrjQPH2-mgHaHa?pid=Api,https://hips.hearstapps.com/vader-prod.s3.amazonaws.com/1701982235-eufy-by-anker-smart-scale-c1-6572300c39e61.jpg?crop=1xw:1xh;center,https://www.goodhousekeeping.com/health-products/g2108/best-digital-bathroom-scales/
61,SKU-100061,Hydrawave Smart Scale 61,Fitness Devices,Smart Scale,0061_SKU-100061_hydrawave-smart-scale-61.jpg,150,150,duckduckgo-remote,smart bathroom scale product,WiFi Smart Bodyfat Bathroom Scale - Greater Goods - Touch of Modern,https://tse1.mm.bing.net/th/id/OIP.TFV4zpVxfXzeyMbBQ1wjyQHaHa?pid=Api,https://cdn-s3.touchofmodern.com/products/000/930/665/900c3775a40d929cca6f13fb2a14e69a_large.jpg?1515196169,https://www.touchofmodern.com/sales/greater-goods-b70dbb47-ab12-4bda-87f6-1a4f5d1fa2ee/wifi-smart-bodyfat-bathroom-scale
107,SKU-100107,Summitpulse Smart Scale 107,Fitness Devices,Smart Scale,0107_SKU-100107_summitpulse-smart-scale-107.jpg,150,150,duckduckgo-remote,smart bathroom scale product,MEPL Smart Bathroom Weighing Scale SE 260 LB - mepl.store,https://tse1.mm.bing.net/th/id/OIP.UXXYb9J-FUnfdA5sQ1lb1gHaHa?pid=Api,https://mepl.store/cdn/shop/files/3copy_ebc24255-6691-4f0f-b45a-07d24e9c7510_1024x1024.jpg?v=1683012424,https://mepl.store/products/mepl-smart-bathroom-weighing-scale-se-260-lb-black
123,SKU-100123,Canyonridge Smart Scale 123,Fitness Devices,Smart Scale,0123_SKU-100123_canyonridge-smart-scale-123.jpg,150,150,duckduckgo-remote,smart bathroom scale product,Smart Bathroom Scales - White | Free Delivery | Active Era,https://tse1.mm.bing.net/th/id/OIP.Al7Th5KNmNCqyX6LMJ-8gwHaHa?pid=Api,https://intl.activeera.com/cdn/shop/files/B07SGDBLG7.PT01_1000x.png?v=1686324742,https://intl.activeera.com/products/smart-bathroom-scales-v1-white
182,SKU-100182,Summitpulse Smart Scale 182,Fitness Devices,Smart Scale,0182_SKU-100182_summitpulse-smart-scale-182.jpg,150,150,duckduckgo-remote,smart bathroom scale product,Smart Bathroom Scale With Free App - Just Smart Scales and More,https://tse1.mm.bing.net/th/id/OIP.HVB-1jxTm0Y9DGTdN5otqgHaGD?pid=Api,https://justsmartscales.com/wp-content/uploads/2020/11/3005-1590bm.jpg,https://justsmartscales.com/product/smart-bathroom-scale-with-free-app/
290,SKU-100290,Peakgear Smart Scale 290,Fitness Devices,Smart Scale,0290_SKU-100290_peakgear-smart-scale-290.jpg,150,150,duckduckgo-remote,smart bathroom scale product,Acer Smart Bathroom Scale ACBS001S - mepl.store,https://tse1.mm.bing.net/th/id/OIP.gx-RHGeO1byXgaSTh6cjZgHaHa?pid=Api,https://mepl.store/cdn/shop/products/1_1_1024x1024.jpg?v=1679295426,https://mepl.store/products/acer-smart-bathroom-scale
308,SKU-100308,Hydrawave Smart Scale 308,Fitness Devices,Smart Scale,0308_SKU-100308_hydrawave-smart-scale-308.jpg,150,150,duckduckgo-remote,smart bathroom scale product,"Snapklik.com : Body Fat Scale, Digital Smart Bathroom Scale For Body ...",https://tse2.mm.bing.net/th/id/OIP.mDRnrKbWFna9Ky0NgCeJpQHaHa?pid=Api,https://m.media-amazon.com/images/I/71+cjc47OHL.jpg,https://snapklik.com/en-ca/product/body-fat-scale-ablegrid-digital-smart-bathroom-scale-for-body-weight-large-lcd-display-screen-16-body-composition-metrics-bmi-water-weigh-heart-rate-baby-mode-400lb-rechargeable/09KV4PP769AY5
364,SKU-100364,Hydrawave Smart Scale 364,Uncategorized,Smart Scale,0364_SKU-100364_hydrawave-smart-scale-364.jpg,150,150,duckduckgo-remote,smart bathroom scale product,Get Bathroom Scale Smart Digital Bluetooth Scales Delivered | Weee ...,https://tse1.mm.bing.net/th/id/OIP.SoT1x9ZySU_tjwRa9nL8DwHaHa?pid=Api,https://img06.weeecdn.com/item/image/223/671/22E3A3BE9079FE01.jpeg,https://www.sayweee.com/en/product/Bathroom-Scale-Smart-Digital-Bluetooth-Scales/2880446
388,SKU-100388,Aerostride Smart Scale 388,Fitness Devices,Smart Scale,0388_SKU-100388_aerostride-smart-scale-388.jpg,150,150,duckduckgo-remote,smart bathroom scale product,"The Best Bathroom Scales, Tested by Our Editors",https://tse4.mm.bing.net/th/id/OIP.N9WB9Opzf41_2XyolNuXKwHaE8?pid=Api,https://www.health.com/thmb/TEXQPChOXyLNQj4dPtvv_nX150U=/fit-in/1500x1000/filters:no_upscale():max_bytes(150000):strip_icc()/etekcity-smart-scale-for-body-weight-and-fat-digital-bathroom-body-composition-machine-accurate-bluetooth-weighing-monitor-for-peoples-bmi-9165d11f4fd3420388d9c051e3beffb0.jpg,https://www.health.com/mind-body/best-bathroom-scales
3,SKU-100003,Velocityworks Training Hoodie 3,Activewear,Training Hoodie,0003_SKU-100003_velocityworks-training-hoodie-3.jpg,150,150,duckduckgo-remote,training hoodie product,Nike Men's Therma-FIT Training Hoodie | SportChek,https://tse3.mm.bing.net/th/id/OIP.1ACKeH62B1BY2CBbfklPdQHaHa?r=0&pid=Api,https://media-www.sportchek.ca/product/div-03-softgoods/dpt-70-athletic-clothing/sdpt-01-mens/334149966/nike-men-s-therma-fit-training-hoodie-fleece-387b95ae-17e5-4106-9ffa-83e48f718c0a-jpgrendition.jpg,https://www.sportchek.ca/en/pdp/nike-men-s-therma-fit-training-hoodie-53499655f.html
9,SKU-100009,Trailforge Training Hoodie 9,Uncategorized,Training Hoodie,0009_SKU-100009_trailforge-training-hoodie-9.jpg,150,150,duckduckgo-remote,training hoodie product,Clothing - Designed for Training Hoodie - Black | adidas Oman,https://tse1.mm.bing.net/th/id/OIP.1rQ5LJvGR4kT5wniSrjWiQHaHa?r=0&pid=Api,"https://assets.adidas.com/images/w_1880,f_auto,q_auto/a60ffe83b2504e31800ca31746b02ad0_9366/IY1119_21_model.jpg",https://www.adidas.com/om/en/designed-for-training-hoodie/IY1119.html
30,SKU-100030,Hydrawave Training Hoodie 30,Activewear,Training Hoodie,0030_SKU-100030_hydrawave-training-hoodie-30.jpg,150,150,duckduckgo-remote,training hoodie product,adidas Tiro 24 Womens Training Hoodie,https://tse4.mm.bing.net/th/id/OIP.Rzg87aKso-pHaGPWrCfgFwHaHa?r=0&pid=Api,https://www.discountfootballkits.com/productimage.php?proCatImg=ij99562xl.jpg,https://www.discountfootballkits.com/adidas-womens-tiro-24-training-hoodie
33,SKU-100033,Aerostride  Training   Hoodie  33,Activewear,Training Hoodie,0033_SKU-100033_aerostride-training-hoodie-33.jpg,150,150,duckduckgo-remote,training hoodie product,EVOSHIELD YOUTH PRO TEAM LIGHTWEIGHT TRAINING HOODIE | Red Stitch Sports,https://tse2.mm.bing.net/th/id/OIP.O1iXgoaagDAWVNdXio50QAHaHa?r=0&pid=Api,https://redstitchsports.com/cdn/shop/products/WTV2092NA_3_Evo_Pro_Team_Training_Hoody_NA_Hood_Down_Front.png?v=1674749125,https://redstitchsports.com/products/evoshield-youth-pro-team-lightweight-training-hoodie
