product_id,brand_id,sku,product_name,description,category,subcategory,unit_price,unit_cost,weight_kg,is_active,launch_date,tags,created_at,updated_at
221,221,HSP-00001,Premium King Room,"Urban Hospitality offering from Grand Harbor Hotel; tracked for guest preference, revenue impact, operational risk, and guest service.",Urban Hospitality,King Room,12.5,4.1,1,1,2026-04-30,"king-room,booking deposit,guest,fee-waiver",2026-09-17T13:44:07Z,2026-09-17T13:44:07Z
222,221,HSP-00002,Premium Queen Room Guest Profile,"Urban Hospitality offering from Grand Harbor Hotel; tracked for guest preference, revenue impact, operational risk, and guest service.",Urban Hospitality,Queen Room,0,0,1,1,2026-08-05,"queen-room,adr,booking deposit,availability",2026-09-17T13:44:07Z,2026-09-17T13:44:07Z
223,221,HSP-00003,Loyalty Member Rate,"Folio Payments offering from Grand Harbor Hotel; tracked for guest preference, revenue impact, operational risk, and guest service.",Folio Payments,Member Rate,95,31,1,1,2025-04-26,"folio,rewards,revenue,line",2026-09-17T13:44:07Z,2026-09-17T13:44:07Z
224,221,HSP-00004,Corporate Group Rate,"Groups and Events offering from Grand Harbor Hotel; tracked for guest preference, revenue impact, operational risk, and guest service.",Groups and Events,Corporate Group Rate,1500,840,1,1,2026-01-04,"group booking,corporate-account,revenue-risk",2026-09-17T13:44:07Z,2026-09-17T13:44:07Z
225,221,HSP-00005,Extended Stay Studio,"Guest Services offering from Grand Harbor Hotel; tracked for guest preference, revenue impact, operational risk, and guest service.",Guest Services,Extended Stay,650,280,1,1,2026-01-17,"extended-stay,long-stay,room-block",2026-09-17T13:44:07Z,2026-09-17T13:44:07Z
226,222,HSP-00006,Guest Journey Personalization Program,"Luxury Guest Management offering from Canyon Reserve Canyon Reserve; tracked for guest preference, revenue impact, operational risk, and guest service.",Luxury Guest Management,Guest Personalization,35,11,1,1,2025-11-17,"property portfolio,guest-personalization,room-allocation",2026-09-17T13:44:07Z,2026-09-17T13:44:07Z
227,222,HSP-00007,Resort Villa Package,"Luxury Guest Management offering from Canyon Reserve Canyon Reserve; tracked for guest preference, revenue impact, operational risk, and guest service.",Luxury Guest Management,Villa Portfolio,125,42,1,1,2025-07-22,"villa,managed-villa-portfolio,luxury guest",2026-09-17T13:44:07Z,2026-09-17T13:44:07Z
228,222,HSP-00008,Government Group Room Block,"Revenue Centers offering from Canyon Reserve Canyon Reserve; tracked for guest preference, revenue impact, operational risk, and guest service.",Revenue Centers,Government Room Block,250,95,1,1,2024-12-12,"government-groups,government-groups,association-group-rate",2026-09-17T13:44:07Z,2026-09-17T13:44:07Z
229,222,HSP-00009,Revenue Operations Sweep Guest Profile,"Revenue Operations offering from Canyon Reserve Canyon Reserve; tracked for guest preference, revenue impact, operational risk, and guest service.",Revenue Operations,Availability,80,23,1,1,2026-07-11,"revenue operations,sweep,folio-management",2026-09-17T13:44:07Z,2026-09-17T13:44:07Z
230,222,HSP-00010,Corporate Travel Program,"Folio Payments offering from Canyon Reserve Canyon Reserve; tracked for guest preference, revenue impact, operational risk, and guest service.",Folio Payments,Corporate Travel,300,115,1,1,2026-04-25,"corporate-travel,operating-cost,controls",2026-09-17T13:44:07Z,2026-09-17T13:44:07Z
231,223,HSP-00011,Folio Payment Gateway,"Payments offering from Lakeside Chicago Hotel; tracked for guest preference, revenue impact, operational risk, and guest service.",Payments,Folio Payment Services,220,86,1,1,2025-04-22,"folio-payment,processing,payments,pos",2026-09-17T13:44:07Z,2026-09-17T13:44:07Z
232,223,HSP-00012,Group Deposit Service,"Payments offering from Lakeside Chicago Hotel; tracked for guest preference, revenue impact, operational risk, and guest service.",Payments,Group Deposit,45,12,1,1,2025-11-18,"banquet-deposit,event-deposits,payments",2026-09-17T13:44:07Z,2026-09-17T13:44:07Z
233,223,HSP-00013,Airport Transfer Service,"Payments offering from Lakeside Chicago Hotel; tracked for guest preference, revenue impact, operational risk, and guest service.",Payments,Airport Transfer,30,8,1,1,2025-10-23,"airport-transfer,revenue operations,payments",2026-09-17T13:44:07Z,2026-09-17T13:44:07Z
234,223,HSP-00014,Service Recovery Monitoring Add-On,"Guest Operations Risk Services offering from Lakeside Chicago Hotel; tracked for guest preference, revenue impact, operational risk, and guest service.",Guest Operations Risk Services,Service Recovery,180,64,1,1,2026-03-04,"service recovery,monitoring,alerts",2026-09-17T13:44:07Z,2026-09-17T13:44:07Z
235,223,HSP-00015,OTA Screening Package,"Brand Standard Services offering from Lakeside Chicago Hotel; tracked for guest preference, revenue impact, operational risk, and guest service.",Brand Standard Services,OTA,420,170,1,1,2024-12-11,"guest-safety,guest-identity,guest-safety,brand-standard",2026-09-17T13:44:07Z,2026-09-17T13:44:07Z
236,224,HSP-00016,Guest Identity Refresh Workflow,"Brand Standard Services offering from Summit Resort; tracked for guest preference, revenue impact, operational risk, and guest service.",Brand Standard Services,Guest Identity,240,93,1,1,2024-12-11,"guest-identity,onboarding,identity",2026-09-17T13:44:07Z,2026-09-17T13:44:07Z
237,224,HSP-00017,Group Booking Pre-Check,"Group Sales offering from Summit Resort; tracked for guest preference, revenue impact, operational risk, and guest service.",Group Sales,Wedding Room Block,995,410,1,1,2025-05-16,"group booking,pre-check,guest",2026-09-17T13:44:07Z,2026-09-17T13:44:07Z
238,224,HSP-00018,Adjustable Rate Group Booking,"Group Sales offering from Summit Resort; tracked for guest preference, revenue impact, operational risk, and guest service.",Group Sales,Seasonal Rate,2150,1320,1,1,2026-04-21,"group booking,seasonal-rate,rate-plan",2026-09-17T13:44:07Z,2026-09-17T13:44:07Z
239,224,HSP-00019,Parking Package Digital Offer,"Guest Services offering from Summit Resort; tracked for guest preference, revenue impact, operational risk, and guest service.",Guest Services,Parking Package,475,190,1,1,2025-03-23,"parking-package,leisure-revenue",2026-09-17T13:44:07Z,2026-09-17T13:44:07Z
240,224,HSP-00020,Personal Group Booking Express,"Guest Services offering from Summit Resort; tracked for guest preference, revenue impact, operational risk, and guest service.",Guest Services,Express Check-In,350,145,1,1,2025-03-07,"express-check-in,express-check-in",2026-09-17T13:44:07Z,2026-09-17T13:44:07Z
241,225,HSP-00021,University Group Block,"Guest Services offering from City Center Grand Hotel; tracked for guest preference, revenue impact, operational risk, and guest service.",Guest Services,University Group Block,525,215,1,1,2024-11-27,"university-group-block,hospitality",2026-09-17T13:44:07Z,2026-09-17T13:44:07Z
242,225,HSP-00022,Corporate Event Group Booking,"Groups and Events offering from City Center Grand Hotel; tracked for guest preference, revenue impact, operational risk, and guest service.",Groups and Events,Corporate Event,3200,1850,1,1,2025-01-07,"corporate-event,group booking",2026-09-17T13:44:07Z,2026-09-17T13:44:07Z
243,225,HSP-00023,Event Equipment Rental,"Groups and Events offering from City Center Grand Hotel; tracked for guest preference, revenue impact, operational risk, and guest service.",Groups and Events,Event Equipment,1875,980,1,1,2026-02-25,"equipment,rental,contracted",2026-09-17T13:44:07Z,2026-09-17T13:44:07Z
