influencer_id,handle,display_name,platform,follower_count,engagement_rate,influence_score,niche,city,region,country,is_verified,created_at
5493,@grid_mike,Grid Mike,Reliability Signal,6177,0.0797,78.73,Outage Restoration,New York,New York,US,0,2026-05-22T14:21:33Z
5494,@grid_jen,Grid Jen,Compliance Signal,302069,0.0422,91.12,Distribution Automation,Los Angeles,California,US,0,2026-05-22T14:21:33Z
5495,@grid_alex,Grid Alex,Field Access Bulletin,6625,0.0896,96.52,Customer Operations,Chicago,Illinois,US,0,2026-05-22T14:21:33Z
5496,@grid_zoe,Grid Zoe,Regulatory Notice,89774,0.0605,92.26,Advanced Metering,Houston,Texas,US,0,2026-05-22T14:21:33Z
5497,@grid_marcus,Grid Marcus,Capacity Alert,3887,0.0912,93.82,Storm Response,Phoenix,Arizona,US,0,2026-05-22T14:21:33Z
5498,@grid_lily,Grid Lily,Reliability Signal,9058,0.0622,76.78,Vegetation Management,San Francisco,California,US,0,2026-05-22T14:21:33Z
5499,@grid_kai,Grid Kai,Production Signal,34765,0.0341,70.82,Production Operations,Miami,Florida,US,0,2026-05-22T14:21:33Z
5500,@grid_maya,Grid Maya,Field Access Bulletin,44371,0.0523,86.5,Gas Operations,Seattle,Washington,US,0,2026-05-22T14:21:33Z
5501,@grid_tyler,Grid Tyler,Regulatory Notice,21788,0.0657,79.84,Water Operations,Denver,Colorado,US,0,2026-05-22T14:21:33Z
5502,@grid_ava,Grid Ava,Capacity Alert,89437,0.0366,74.13,DERMS,Austin,Texas,US,0,2026-05-22T14:21:33Z
5503,@crew_jen,Crew Jen,HSE and Emissions Notice,56208,0.0316,69.44,HSE and Emissions,Nashville,Tennessee,US,0,2026-05-22T14:21:33Z
5504,@crew_zoe,Crew Zoe,Compliance Signal,80342,0.0745,100,Power Quality,Portland,Oregon,US,0,2026-05-22T14:21:33Z
5505,@crew_lily,Crew Lily,Field Access Bulletin,55443,0.0398,71.66,Grid Resilience,Boston,Massachusetts,US,0,2026-05-22T14:21:33Z
5506,@crew_maya,Crew Maya,Production Signal,7561,0.0707,81.3,Production Operations,Atlanta,Georgia,US,0,2026-05-22T14:21:33Z
5507,@crew_ava,Crew Ava,Capacity Alert,87282,0.0678,94.32,Mutual Aid,Dallas,Texas,US,0,2026-05-22T14:21:33Z
5508,@crew_nina,Crew Nina,Reliability Signal,2134,0.101,88.12,Outage Restoration,San Diego,California,US,0,2026-05-22T14:21:33Z
5509,@crew_ella,Crew Ella,Compliance Signal,5286,0.0447,66.17,Distribution Automation,Minneapolis,Minnesota,US,0,2026-05-22T14:21:33Z
5510,@crew_aria,Crew Aria,Field Access Bulletin,44604,0.06,78.66,Customer Operations,Detroit,Michigan,US,0,2026-05-22T14:21:33Z
5511,@crew_luna,Crew Luna,Regulatory Notice,12977,0.0586,81.6,Advanced Metering,Las Vegas,Nevada,US,0,2026-05-22T14:21:33Z
5512,@crew_mia,Crew Mia,Capacity Alert,23875,0.0455,81.62,Storm Response,Brooklyn,New York,US,0,2026-05-22T14:21:33Z
5513,@lineman_alex,Lineman Alex,Production Signal,8050,0.1117,100,Production Operations,New York,New York,US,0,2026-05-22T14:21:33Z
5514,@lineman_lily,Lineman Lily,HSE and Emissions Notice,11294,0.079,87.64,HSE and Emissions,Los Angeles,California,US,0,2026-05-22T14:21:33Z
