source_system,snapshot_ts,location_code,location_name,location_type,city,state,raw_sku,on_hand,reserved,incoming,reorder_point,last_restock_date
STORE_INV,2026-05-20T07:55:00Z,SEA-STORE-014,Seattle Flagship,store,Seattle,WA,SKU-100007,8,6,24,30,2026-05-03
STORE_INV,2026-05-20T07:55:00Z,SEA-STORE-014,Seattle Flagship,store,Seattle,WA,SKU-100029,14,8,20,35,2026-05-07
STORE_INV,2026-05-20T07:55:00Z,SEA-STORE-014,Seattle Flagship,store,Seattle,WA,SKU-100017,88,12,60,40,2026-05-13
STORE_INV,2026-05-20T07:55:00Z,SEA-STORE-014,Seattle Flagship,store,Seattle,WA,SKU-100069,5,2,18,25,2026-05-02
WAREHOUSE_INV,2026-05-20T08:00:00Z,SEA-WH-001,Northwest Distribution Center,warehouse,Seattle,WA,SKU-100024,54,22,120,50,2026-05-14
WAREHOUSE_INV,2026-05-20T08:00:00Z,SEA-WH-001,Northwest Distribution Center,warehouse,Seattle,WA,SKU-100065,7,5,36,30,2026-05-05
WAREHOUSE_INV,2026-05-20T08:00:00Z,SEA-WH-001,Northwest Distribution Center,warehouse,Seattle,WA,SKU-100083,42,20,80,45,2026-05-09
STORE_INV,2026-05-20T07:55:00Z,PDX-STORE-002,Portland Trail Store,store,Portland,OR,SKU-100007,6,5,18,30,2026-05-04
STORE_INV,2026-05-20T07:55:00Z,PDX-STORE-002,Portland Trail Store,store,Portland,OR,SKU-100083,12,9,36,35,2026-05-08
STORE_INV,2026-05-20T07:55:00Z,PDX-STORE-002,Portland Trail Store,store,Portland,OR,SKU-100090,10,3,14,20,2026-05-11
STORE_INV,2026-05-20T07:58:00Z,MIA-STORE-022,Miami Water Sports,store,Miami,FL,SKU-100041,9,7,22,40,2026-05-06
STORE_INV,2026-05-20T07:58:00Z,MIA-STORE-022,Miami Water Sports,store,Miami,FL,SKU-100070,11,9,30,35,2026-05-05
STORE_INV,2026-05-20T07:58:00Z,MIA-STORE-022,Miami Water Sports,store,Miami,FL,SKU-100047,4,3,16,20,2026-05-01
STORE_INV,2026-05-20T07:58:00Z,MIA-STORE-022,Miami Water Sports,store,Miami,FL,SKU-100023,120,31,200,75,2026-05-15
STORE_INV,2026-05-20T07:58:00Z,TPA-STORE-004,Tampa Paddle Shop,store,Tampa,FL,SKU-100041,16,10,28,40,2026-05-06
STORE_INV,2026-05-20T07:58:00Z,TPA-STORE-004,Tampa Paddle Shop,store,Tampa,FL,SKU-100070,21,8,24,35,2026-05-08
WAREHOUSE_INV,2026-05-20T08:01:00Z,AUS-WH-002,Central Team Sports DC,warehouse,Austin,TX,SKU-100025,42,28,150,80,2026-05-10
WAREHOUSE_INV,2026-05-20T08:01:00Z,AUS-WH-002,Central Team Sports DC,warehouse,Austin,TX,SKU-100097,31,18,120,75,2026-05-09
WAREHOUSE_INV,2026-05-20T08:01:00Z,AUS-WH-002,Central Team Sports DC,warehouse,Austin,TX,SKU-100032,73,11,70,35,2026-05-13
WAREHOUSE_INV,2026-05-20T08:01:00Z,ATL-WH-004,Southeast Team Sports DC,warehouse,Atlanta,GA,SKU-100025,19,13,90,80,2026-05-02
WAREHOUSE_INV,2026-05-20T08:01:00Z,ATL-WH-004,Southeast Team Sports DC,warehouse,Atlanta,GA,SKU-100097,22,17,70,75,2026-05-04
WAREHOUSE_INV,2026-05-20T08:02:00Z,DEN-WH-003,Rocky Mountain Outdoor DC,warehouse,Denver,CO,SKU-100015,8,4,15,25,2026-05-01
WAREHOUSE_INV,2026-05-20T08:02:00Z,DEN-WH-003,Rocky Mountain Outdoor DC,warehouse,Denver,CO,SKU-100072,6,5,12,20,2026-05-02
WAREHOUSE_INV,2026-05-20T08:02:00Z,DEN-WH-003,Rocky Mountain Outdoor DC,warehouse,Denver,CO,SKU-100065,3,2,20,30,2026-05-05
STORE_INV,2026-05-20T07:59:00Z,SLC-STORE-005,Salt Lake Climb Store,store,Salt Lake City,UT,SKU-100088,46,7,50,25,2026-05-16
STORE_INV,2026-05-20T07:59:00Z,SLC-STORE-005,Salt Lake Climb Store,store,Salt Lake City,UT,SKU-100018,18,11,30,28,2026-05-09
STORE_INV,2026-05-20T07:59:00Z,SLC-STORE-005,Salt Lake Climb Store,store,Salt Lake City,UT,SKU-100024,24,6,45,40,2026-05-12
STORE_INV,2026-05-20T07:59:00Z,ABQ-STORE-003,Albuquerque Outdoor Store,store,Albuquerque,NM,SKU-100088,12,5,36,25,2026-05-08
STORE_INV,2026-05-20T07:59:00Z,ABQ-STORE-003,Albuquerque Outdoor Store,store,Albuquerque,NM,SKU-100018,9,3,18,28,2026-05-07
WEB_INV,2026-05-20T08:03:00Z,WEB-NE-001,Northeast Web Pool,web_pool,Newark,NJ,SKU-100033,15,12,50,45,2026-05-04
WEB_INV,2026-05-20T08:03:00Z,WEB-NE-001,Northeast Web Pool,web_pool,Newark,NJ,SKU-100003,38,10,70,40,2026-05-14
WEB_INV,2026-05-20T08:03:00Z,WEB-NE-001,Northeast Web Pool,web_pool,Newark,NJ,sku-100009,11,9,40,35,2026-05-05
WEB_INV,2026-05-20T08:04:00Z,WEB-W-001,West Web Pool,web_pool,Los Angeles,CA,SKU-100064,24,14,60,45,2026-05-11
WEB_INV,2026-05-20T08:04:00Z,WEB-W-001,West Web Pool,web_pool,Los Angeles,CA,SKU-100096,18,16,45,35,2026-05-08
WEB_INV,2026-05-20T08:04:00Z,WEB-W-001,West Web Pool,web_pool,Los Angeles,CA,SKU-100004,200,30,250,90,2026-05-18
WEB_INV,2026-05-20T08:05:00Z,WEB-MW-001,Midwest Web Pool,web_pool,Chicago,IL,SKU-100011,22,11,35,35,2026-05-08
WEB_INV,2026-05-20T08:05:00Z,WEB-MW-001,Midwest Web Pool,web_pool,Chicago,IL,SKU-100080,12,10,28,30,2026-05-05
WEB_INV,2026-05-20T08:05:00Z,WEB-MW-001,Midwest Web Pool,web_pool,Chicago,IL,SKU-100086,26,9,44,30,2026-05-13
WEB_INV,2026-05-20T08:06:00Z,WEB-MTN-001,Mountain Web Pool,web_pool,Denver,CO,SKU-100055,4,3,20,25,2026-05-01
WEB_INV,2026-05-20T08:06:00Z,WEB-MTN-001,Mountain Web Pool,web_pool,Denver,CO,SKU-100016,7,5,18,25,2026-05-03
WAREHOUSE_INV,2026-05-20T08:07:00Z,PHX-WH-006,Desert Fulfillment DC,warehouse,Phoenix,AZ,SKU-100032,61,20,85,35,2026-05-15
WAREHOUSE_INV,2026-05-20T08:07:00Z,PHX-WH-006,Desert Fulfillment DC,warehouse,Phoenix,AZ,SKU-100025,35,18,95,80,2026-05-07
