item_id,order_id,product_id,quantity,unit_price,fulfilled_from
1,1,14,2,94000,6
2,1,43,3,39000,6
3,1,72,1,43250,6
4,2,27,3,74000,11
5,2,56,1,118000,11
6,2,85,2,25500,11
7,3,40,1,18000,16
8,3,69,2,43000,16
9,3,98,3,44500,16
10,4,53,2,57500,21
11,4,82,3,47000,21
12,4,111,1,34500,21
13,5,66,3,20750,26
14,5,95,1,160250,26
15,5,124,2,32500,26
16,6,79,1,47750,1
17,6,108,2,50000,1
18,6,137,3,35750,1
19,7,92,2,31000,6
20,7,121,3,38250,6
21,7,150,1,60750,6
22,8,105,3,29000,11
23,8,134,1,167250,11
24,8,163,2,27000,11
25,9,118,1,39000,16
26,9,147,2,27500,16
27,9,176,3,33000,16
28,10,131,2,38000,21
29,10,160,3,72500,21
30,10,2,1,18000,21
31,11,144,3,36000,26
32,11,173,1,45750,26
33,11,15,2,22000,26
34,12,157,1,39250,1
35,12,186,2,8779.99,1
36,12,28,3,42000,1
37,13,170,2,64250,6
38,13,12,3,42000,6
39,13,41,1,96000,6
40,14,183,3,30500,11
41,14,25,1,26500,11
42,14,54,2,56250,11
43,15,9,1,12000,16
44,15,38,2,31000,16
45,15,67,3,3529.99,16
46,16,22,2,44000,21
47,16,51,3,59000,21
48,16,80,1,31500,21
49,17,35,3,24000,26
50,17,64,1,41000,26
51,17,93,2,48750,26
52,18,48,1,25750,1
53,18,77,2,31250,1
54,18,106,3,27750,1
55,19,61,2,70750,6
56,19,90,3,51250,6
57,19,119,1,22750,6
58,20,74,3,44000,11
59,20,103,1,31500,11
60,20,132,2,55750,11
61,21,87,1,7029.99,16
62,21,116,2,38250,16
63,21,145,3,19000,16
64,22,100,2,35000,21
65,22,129,3,42500,21
66,22,158,1,46000,21
67,23,113,3,51000,26
68,23,142,1,38500,26
69,23,171,2,45000,26
70,24,126,1,14029.99,1
71,24,155,2,119750,1
72,24,184,3,27250,1
73,25,139,2,26250,6
74,25,168,3,44750,6
75,25,10,1,18.99,6
76,26,152,3,59250,11
77,26,181,1,33000,11
78,26,23,2,37000,11
79,27,165,1,22500,16
80,27,7,2,88000,16
81,27,36,3,61000,16
82,28,178,2,49500,21
83,28,20,3,52000,21
84,28,49,1,39500,21
85,29,4,3,65000,26
86,29,33,1,38000,26
87,29,62,2,43500,26
88,30,17,1,28000,1
89,30,46,2,69000,1
90,30,75,3,156750,1
91,31,30,2,22000,6
92,31,59,3,44250,6
93,31,88,1,32750,6
94,32,43,3,39000,11
95,32,72,1,43250,11
96,32,101,2,62000,11
97,33,56,1,118000,16
98,33,85,2,25500,16
99,33,114,3,163750,16
100,34,69,2,43000,21
101,34,98,3,44500,21
102,34,127,1,24000,21
103,35,82,3,47000,26
104,35,111,1,34500,26
105,35,140,2,69000,26
106,36,95,1,160250,1
107,36,124,2,32500,1
108,36,153,3,58000,1
109,37,108,2,50000,6
110,37,137,3,35750,6
111,37,166,1,5279.99,6
112,38,121,3,38250,11
113,38,150,1,60750,11
114,38,179,2,33250,11
115,39,134,1,167250,16
116,39,163,2,27000,16
117,39,5,3,32000,16
118,40,147,2,27500,21
119,40,176,3,33000,21
120,40,18,1,175000,21
121,41,160,3,72500,26
122,41,2,1,18000,26
123,41,31,2,34000,26
124,42,173,1,45750,1
125,42,15,2,22000,1
126,42,44,3,36000,1
127,43,186,2,8779.99,6
128,43,28,3,42000,6
129,43,57,1,27750,6
130,44,12,3,42000,11
131,44,41,1,96000,11
132,44,70,2,47750,11
133,45,25,1,26500,16
134,45,54,2,56250,16
135,45,83,3,28000,16
136,46,38,2,31000,21
137,46,67,3,3529.99,21
138,46,96,1,125000,21
139,47,51,3,59000,26
140,47,80,1,31500,26
141,47,109,2,39000,26
142,48,64,1,41000,1
143,48,93,2,48750,1
144,48,122,3,35000,1
145,49,77,2,31250,6
146,49,106,3,27750,6
147,49,135,1,132000,6
148,50,90,3,51250,11
149,50,119,1,22750,11
150,50,148,2,41250,11
151,51,103,1,31500,16
152,51,132,2,55750,16
153,51,161,3,45250,16
154,52,116,2,38250,21
155,52,145,3,19000,21
156,52,174,1,158500,21
157,53,129,3,42500,26
158,53,158,1,46000,26
159,53,187,2,34500,26
160,54,142,1,38500,1
161,54,171,2,45000,1
162,54,13,3,36000,1
163,55,155,2,119750,6
164,55,184,3,27250,6
165,55,26,1,18500,6
166,56,168,3,44750,11
167,56,10,1,18.99,11
168,56,39,2,27000,11
169,57,181,1,33000,16
170,57,23,2,37000,16
171,57,52,3,39750,16
172,58,7,2,88000,21
173,58,36,3,61000,21
174,58,65,1,22000,21
175,59,20,3,52000,26
176,59,49,1,39500,26
177,59,78,2,41000,26
178,60,33,1,38000,1
179,60,62,2,43500,1
180,60,91,3,66000,1
181,61,46,2,69000,6
182,61,75,3,156750,6
183,61,104,1,32250,6
184,62,59,3,44250,11
185,62,88,1,32750,11
186,62,117,2,48000,11
187,63,72,1,43250,16
188,63,101,2,62000,16
189,63,130,3,57250,16
190,64,85,2,25500,21
191,64,114,3,163750,21
192,64,143,1,39250,21
193,65,98,3,44500,26
194,65,127,1,24000,26
195,65,156,2,29500,26
196,66,111,1,34500,1
197,66,140,2,69000,1
198,66,169,3,49500,1
199,67,124,2,32500,6
200,67,153,3,58000,6
201,67,182,1,29750,6
202,68,137,3,35750,11
203,68,166,1,5279.99,11
204,68,8,2,56000,11
205,69,150,1,60750,16
206,69,179,2,33250,16
207,69,21,3,15000,16
208,70,163,2,27000,21
209,70,5,3,32000,21
210,70,34,1,28000,21
211,71,176,3,33000,26
212,71,18,1,175000,26
213,71,47,2,29.99,26
214,72,2,1,18000,1
215,72,31,2,34000,1
216,72,60,3,28000,1
217,73,15,2,22000,6
218,73,44,3,36000,6
219,73,73,1,61000,6
220,74,28,3,42000,11
221,74,57,1,27750,11
222,74,86,2,24250,11
223,75,41,1,96000,16
224,75,70,2,47750,16
225,75,99,3,51250,16
226,76,54,2,56250,21
227,76,83,3,28000,21
228,76,112,1,52250,21
229,77,67,3,3529.99,26
230,77,96,1,125000,26
231,77,125,2,31250,26
232,78,80,1,31500,1
233,78,109,2,39000,1
234,78,138,3,42500,1
235,79,93,2,48750,6
236,79,122,3,35000,6
237,79,151,1,41500,6
238,80,106,3,27750,11
239,80,135,1,132000,11
240,80,164,2,23750,11
241,81,119,1,22750,16
242,81,148,2,41250,16
243,81,177,3,42750,16
244,82,132,2,55750,21
245,82,161,3,45250,21
246,82,3,1,125000,21
247,83,145,3,19000,26
248,83,174,1,158500,26
249,83,16,2,19.99,26
250,84,158,1,46000,1
251,84,187,2,34500,1
252,84,29,3,56000,1
253,85,171,2,45000,6
254,85,13,3,36000,6
255,85,42,1,22000,6
256,86,184,3,27250,11
257,86,26,1,18500,11
258,86,55,2,169000,11
259,87,10,1,18.99,16
260,87,39,2,27000,16
261,87,68,3,29250,16
262,88,23,2,37000,21
263,88,52,3,39750,21
264,88,81,1,74250,21
265,89,36,3,61000,26
266,89,65,1,22000,26
267,89,94,2,47500,26
268,90,49,1,39500,1
269,90,78,2,41000,1
270,90,107,3,36250,1
271,91,62,2,43500,6
272,91,91,3,66000,6
273,91,120,1,65500,6
274,92,75,3,156750,11
275,92,104,1,32250,11
276,92,133,2,54500,11
277,93,88,1,32750,16
278,93,117,2,48000,16
279,93,146,3,1779.99,16
280,94,101,2,62000,21
281,94,130,3,57250,21
282,94,159,1,29750,21
283,95,114,3,163750,26
284,95,143,1,39250,26
