brand_id,brand_name,brand_slug,brand_category,headquarters_city,headquarters_lat,headquarters_lon,founded_year,annual_revenue,social_tier,created_at,updated_at
1,PeakGear Core,peakgearcore,Retail Sporting Goods,Denver,39.7392,-104.9903,1998,245000000,premium,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
2,SummitTrail Outfitters,summittrail,Outdoor Gear,Seattle,47.6062,-122.3321,2004,186000000,premium,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
3,RidgeRunner Performance,ridgerunner,Running and Trail,Portland,45.5152,-122.6784,1987,132000000,premium,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
4,VelocityFit Devices,velocityfit,Fitness Devices,San Jose,37.3382,-121.8863,2012,221000000,luxury,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
5,AlpineForge Gear,alpineforge,Climbing and Snow,Salt Lake City,40.7608,-111.891,2001,98000000,standard,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
6,Trailhead Team Sales,trailheadteams,B2B Partnerships,Chicago,41.8781,-87.6298,1979,154000000,premium,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
7,GearPay Commerce,gearpay,E-Commerce,Austin,30.2672,-97.7431,2016,91000000,premium,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
8,PackGuard Returns Audit,packguard,Returns and Safety,Boston,42.3601,-71.0589,2011,43000000,standard,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
9,UrbanCourt Sports,urbancourt,Team Sports,Charlotte,35.2271,-80.8431,1968,275000000,luxury,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
10,EcoPeak Active,ecopeak,Sustainable Activewear,Boulder,40.015,-105.2705,2018,39000000,emerging,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
11,LoyaltyPeak Offers,loyaltypeak,Loyalty and Offers,Raleigh,35.7796,-78.6382,2007,76000000,standard,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
12,Catalyst Safety Gear,catalystsafety,Protective Equipment,Tulsa,36.154,-95.9928,1996,117000000,premium,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
13,NorthStar Outdoor Advisors,northstaroutdoor,Outdoor Advisory,Minneapolis,44.9778,-93.265,2005,52000000,standard,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
14,GulfRun Supply,gulfrun,Supply Planning,Houston,29.7604,-95.3698,1974,203000000,premium,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
15,Midwest Pickup Network,midwestpickup,Store Pickup,Indianapolis,39.7684,-86.1581,1989,88000000,standard,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
16,Pacific Commerce Network,pacificcommerce,E-Commerce,Los Angeles,34.0522,-118.2437,1994,143000000,premium,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
17,ReturnSure Labs,returnsure,Returns Audit,San Diego,32.7157,-117.1611,2012,69000000,standard,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
18,RouteOne Fulfillment,routeonefulfillment,Store Fulfillment,Memphis,35.1495,-90.049,2009,58000000,standard,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
19,Waterline Outdoor,waterlineoutdoor,Water Sports,Milwaukee,43.0389,-87.9065,2003,74000000,standard,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
20,RecoveryFit Wellness,recoveryfit,Recovery and Wellness,Scottsdale,33.4942,-111.9261,2015,46000000,emerging,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
21,ElectraRide Devices,electraride,Connected Bikes,Phoenix,33.4484,-112.074,2019,34000000,emerging,2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
