post_id,influencer_id,platform,external_post_id,post_text,posted_at,likes_count,shares_count,comments_count,views_count,sentiment_score,virality_score,detected_products,momentum_flag,processed_at,created_at
1,1,instagram,media_instagram_00000001,Aurora Studios needs more capacity for Midnight Harbor Premiere Window; fan demand is moving faster than the launch plan.,2026-05-05T15:45:00Z,65997,12431,7251,1899173,0.51,93.1,1,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
2,2,tiktok,media_tiktok_00000002,Watch time around ARPU Lift Offer Test is rising and SoundStage Live should push the next-best-content journey today.,2026-05-05T15:00:00Z,66994,12862,7502,1998346,0.68,93.2,38,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
3,3,twitter,media_twitter_00000003,Subscriber chatter says The Last Laugh Track Sports Highlights Rights is creating season access demand before the weekend live event operations reset.,2026-05-05T14:15:00Z,67991,13293,7753,2097519,0.85,93.3,75,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
4,4,youtube,media_youtube_00000004,Creator momentum for Evergreen Streaming Desert Bloom Premium Purchase Offer is turning into campaign conversion and sponsor interest.,2026-05-05T13:30:00Z,68988,13724,8004,2196692,0.44,93.4,112,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
5,5,threads,media_threads_00000005,Retention team flagged churn risk near Neon Rift FAST Channel Breakout Package; the winback offer should go live before tonight.,2026-05-05T12:45:00Z,69985,14155,8255,2295865,0.61,93.5,149,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
6,6,instagram,media_instagram_00000006,ARPU lift is visible after fans saw the premium bundle for Silverline Cinema Mosaic Crimes Premiere Window.,2026-05-05T12:00:00Z,70982,14586,8506,2395038,0.78,93.6,186,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
7,7,tiktok,media_tiktok_00000007,Premium bundle demand for Creator Release Sponsored Journey is ahead of forecast and needs rights capacity.,2026-05-05T11:15:00Z,71979,15017,8757,2494211,0.37,93.7,36,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
8,8,twitter,media_twitter_00000008,Moderation queues around StageCraft Live Retro Journey Premium Purchase Offer are climbing as the fan chat opens.,2026-05-05T10:30:00Z,72976,15448,9008,2593384,0.54,93.8,73,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
9,9,youtube,media_youtube_00000009,Sports media buyers are asking for regional_ad_demand signals before reserving Crystal Borough Season Access Expansion.,2026-05-05T09:45:00Z,73973,15879,9259,2692557,0.71,93.9,110,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
10,10,threads,media_threads_00000010,Subscriber conversation around WideAngle Matchday Creator Clip Flight shows a clear path from engagement to monetization.,2026-05-05T09:00:00Z,74970,16310,9510,2791730,0.88,94,147,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
11,11,instagram,media_instagram_00000011,Live event planning for ArcLight Originals Cloudbreak City Documentary Forum Event needs rights capacity before creator content releases land.,2026-05-05T08:15:00Z,75967,16741,9761,2890903,0.47,94.1,184,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
12,12,tiktok,media_tiktok_00000012,"Audience sentiment for Midnight Harbor Deleted Scenes Release is positive, but the churn cohort needs a retention trigger.",2026-05-05T07:30:00Z,76964,17172,10012,2990076,0.64,94.2,34,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
13,13,twitter,media_twitter_00000013,Rocket Stream needs more capacity for Starlight Champions Season Access Expansion; fan demand is moving faster than the launch plan.,2026-05-05T06:45:00Z,77961,17603,10263,3089249,0.81,94.3,71,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
14,14,youtube,media_youtube_00000014,Watch time around Horizon Family Hour Watch Party Kit is rising and Lantana Media should push the next-best-content journey today.,2026-05-05T06:00:00Z,78958,18034,10514,3188422,0.4,94.4,108,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
15,15,threads,media_threads_00000015,Subscriber chatter says Beta Realm Kids Safety Chat Coverage is creating season access demand before the weekend live event operations reset.,2026-05-05T05:15:00Z,79955,18465,10765,3287595,0.57,94.5,145,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
16,16,instagram,media_instagram_00000016,Creator momentum for NeonKids Lunar Kitchen International Subtitle Release is turning into campaign conversion and sponsor interest.,2026-05-05T04:30:00Z,80952,18896,11016,3386768,0.74,94.6,182,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
17,17,tiktok,media_tiktok_00000017,Retention team flagged churn risk near Lapsed Viewer Winback Carousel; the winback offer should go live before tonight.,2026-05-05T03:45:00Z,81949,19327,11267,3485941,0.91,94.7,32,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
18,18,twitter,media_twitter_00000018,ARPU lift is visible after fans saw the premium bundle for DocuWorld Global Drama Nights Watch Party Kit.,2026-05-05T03:00:00Z,82946,19758,11518,3585114,0.5,94.8,69,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
19,19,youtube,media_youtube_00000019,Premium bundle demand for Echo Valley Kids Safety Chat Coverage is ahead of forecast and needs rights capacity.,2026-05-05T02:15:00Z,83943,20189,11769,3684287,0.67,94.9,106,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
20,20,threads,media_threads_00000020,Moderation queues around Champion Reel Pulse Arena Superfan Loyalty Pack are climbing as the fan chat opens.,2026-05-05T01:30:00Z,84940,20620,12020,3783460,0.84,95,143,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
21,21,instagram,media_instagram_00000021,Sports media buyers are asking for regional_ad_demand signals before reserving BrightSide Lab Creator Sponsored Journey.,2026-05-05T00:45:00Z,85937,21051,12271,3882633,0.43,95.1,180,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
22,22,tiktok,media_tiktok_00000022,Subscriber conversation around Subscription Save Offer shows a clear path from engagement to monetization.,2026-05-05T00:00:00Z,86934,21482,12522,3981806,0.6,95.2,30,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
