item_id,order_id,product_id,quantity,unit_price,fulfilled_from
1,1,173,1,69.99,29
2,1,59,1,599.99,29
3,1,5,3,129.99,29
4,1,182,2,39.99,29
5,2,177,1,48.99,20
6,2,160,3,21.99,20
7,2,73,3,69.99,20
8,2,156,3,34.99,20
9,3,143,1,179.99,21
10,3,164,2,179.99,21
11,4,164,1,179.99,2
12,5,73,3,69.99,10
13,6,35,3,59.99,3
14,6,79,3,125,3
15,6,154,1,349.99,3
16,6,124,2,38.99,3
17,7,160,1,21.99,8
18,7,175,1,94.99,8
19,7,59,1,599.99,8
20,7,132,1,219.99,8
21,7,120,2,24.99,8
22,8,152,3,2899.99,
23,9,69,1,24.99,14
24,9,44,3,275,14
25,9,14,1,28.99,14
26,10,142,1,149.99,27
27,11,106,3,299.99,26
28,11,11,1,68.99,26
29,11,132,3,219.99,26
30,11,141,2,179.99,26
31,12,177,2,48.99,16
32,13,76,3,39.99,21
33,13,8,1,149.99,21
34,13,53,3,79.99,21
35,13,166,3,79.99,21
36,14,171,1,79.99,25
37,15,30,1,129.99,23
38,15,135,1,28.99,23
39,15,40,3,69.99,23
40,16,10,3,79.99,
41,16,115,1,79.99,
42,17,62,2,99.99,25
43,17,157,2,27.99,25
44,17,115,1,79.99,25
45,17,175,3,94.99,25
46,18,55,2,699.99,12
47,18,110,1,119.99,12
48,18,142,3,149.99,12
49,18,137,1,119.99,12
50,18,44,1,275,12
51,19,78,3,29.99,26
52,19,46,2,149.99,26
53,19,68,3,79.99,26
54,19,150,2,199.99,26
55,19,80,1,42.99,26
56,20,106,3,299.99,1
57,21,37,2,189.99,30
58,21,47,1,119.99,30
59,21,44,2,275,30
60,21,165,1,48.99,30
61,22,19,2,34.99,8
62,22,183,1,499.99,8
63,22,50,1,134.99,8
64,22,120,1,24.99,8
65,23,92,3,199.99,21
66,23,140,1,299.99,21
67,23,162,2,89.99,21
68,24,117,2,39.99,
69,24,76,2,39.99,
70,24,157,2,27.99,
71,24,34,2,449.99,
72,24,50,1,134.99,
73,25,45,3,195,27
74,25,12,3,54.99,27
75,25,101,2,89.99,27
76,26,131,3,69.99,17
77,26,171,2,79.99,17
78,27,36,2,229.99,26
79,27,117,1,39.99,26
80,27,186,2,26.99,26
81,27,89,2,49.99,26
82,28,180,1,29.99,30
83,28,56,3,349.99,30
84,28,176,2,399.99,30
85,29,136,2,349.99,9
86,29,31,3,299.99,9
87,29,68,2,79.99,9
88,29,112,3,199.99,9
89,30,131,3,69.99,25
90,30,122,1,199.99,25
91,31,86,3,179.99,26
92,31,13,1,42.99,26
93,32,7,1,199.99,
94,32,24,2,79.99,
95,33,27,3,549.99,4
96,33,56,1,349.99,4
97,34,64,1,225,23
98,34,22,2,119.99,23
99,34,7,2,199.99,23
100,34,69,1,24.99,23
101,34,41,2,895,23
102,35,28,2,169.99,30
103,35,155,2,279.99,30
104,35,64,1,225,30
105,36,76,1,39.99,10
106,36,53,2,79.99,10
107,36,158,1,19.99,10
108,37,126,1,129.99,18
109,37,135,2,28.99,18
110,38,145,2,799.99,23
111,39,65,1,89.99,19
112,39,138,2,699.99,19
113,39,9,3,449.99,19
114,39,182,3,39.99,19
115,39,67,3,49.99,19
116,40,172,3,24.99,
117,41,8,2,149.99,4
118,41,168,3,44.99,4
119,41,131,1,69.99,4
120,41,81,3,58.99,4
121,42,133,2,159.99,14
122,42,43,3,425,14
123,42,183,3,499.99,14
124,43,48,1,179.99,19
125,43,80,3,42.99,19
126,44,105,2,179.99,30
127,44,84,3,19.99,30
128,44,179,2,399.99,30
129,44,19,1,34.99,30
130,45,28,1,169.99,17
131,46,52,2,449.99,4
132,46,152,3,2899.99,4
133,46,187,1,89.99,4
134,46,110,3,119.99,4
135,47,1,1,189.99,15
136,47,98,2,29.99,15
137,47,82,1,48.99,15
138,48,91,3,2499.99,
139,48,16,1,249.99,
140,48,181,1,99.99,
141,48,164,1,179.99,
142,48,163,1,49.99,
143,49,21,2,89.99,1
144,49,51,2,799.99,1
145,49,134,3,32.99,1
146,50,173,1,69.99,24
147,50,124,1,38.99,24
148,50,99,2,72.99,24
149,50,89,1,49.99,24
150,51,174,3,29.99,23
151,51,151,2,129.99,23
152,51,140,1,299.99,23
153,51,57,2,1499.99,23
154,52,4,2,39.99,7
155,52,44,2,275,7
156,52,95,2,64.99,7
157,52,123,1,399.99,7
158,53,116,2,149.99,2
159,53,108,1,199.99,2
160,53,183,3,499.99,2
161,53,4,3,39.99,2
162,53,23,1,149.99,2
163,54,88,2,69.99,11
164,54,19,1,34.99,11
165,54,19,2,34.99,11
166,55,146,3,175,15
167,55,111,3,145,15
168,55,18,3,1299.99,15
169,55,27,3,549.99,15
170,55,25,2,59.99,15
171,56,179,2,399.99,
172,57,9,2,449.99,16
173,58,82,1,48.99,3
174,58,118,2,34.99,3
175,59,29,1,99.99,27
176,59,173,1,69.99,27
177,59,79,1,125,27
178,59,19,1,34.99,27
179,60,2,2,89.99,13
180,60,99,3,72.99,13
181,60,96,1,49.99,13
182,61,53,1,79.99,2
183,61,117,3,39.99,2
184,61,16,1,249.99,2
185,61,106,2,299.99,2
186,61,8,2,149.99,2
187,62,121,3,34.99,12
188,62,47,3,119.99,12
189,63,107,3,249.99,19
190,63,106,1,299.99,19
191,64,102,1,44.99,
192,64,120,2,24.99,
193,65,175,1,94.99,1
194,65,122,3,199.99,1
195,66,162,3,89.99,15
196,66,14,3,28.99,15
197,67,91,1,2499.99,30
198,68,97,1,149.99,3
199,68,76,1,39.99,3
200,68,54,3,199.99,3
201,68,77,3,44.99,3
202,68,134,1,32.99,3
203,69,54,1,199.99,22
204,70,176,2,399.99,18
205,70,23,1,149.99,18
206,71,181,3,99.99,14
207,72,98,1,29.99,
208,72,148,3,129.99,
209,72,23,3,149.99,
210,73,13,1,42.99,12
211,73,33,3,149.99,12
212,73,176,3,399.99,12
213,73,145,2,799.99,12
214,73,113,3,129.99,12
215,74,170,1,89.99,29
216,74,187,1,89.99,29
217,74,97,3,149.99,29
218,75,18,3,1299.99,17
219,76,180,1,29.99,9
220,77,29,1,99.99,27
221,77,121,2,34.99,27
222,78,49,3,49.99,29
223,78,116,2,149.99,29
224,78,158,1,19.99,29
225,78,12,1,54.99,29
226,78,137,1,119.99,29
227,79,173,2,69.99,2
228,79,132,3,219.99,2
229,79,1,1,189.99,2
230,79,149,3,59.99,2
231,80,27,3,549.99,
232,81,168,2,44.99,24
233,81,150,3,199.99,24
234,82,77,2,44.99,22
235,82,11,1,68.99,22
236,83,159,3,24.99,3
237,84,129,1,39.99,10
238,84,126,3,129.99,10
239,84,167,1,59.99,10
240,84,62,2,99.99,10
241,84,78,2,29.99,10
242,85,76,2,39.99,24
243,85,177,2,48.99,24
244,85,49,3,49.99,24
245,85,9,1,449.99,24
246,86,88,3,69.99,4
247,87,66,3,159.99,16
248,87,50,1,134.99,16
249,87,77,3,44.99,16
250,87,175,3,94.99,16
251,88,175,1,94.99,
252,88,65,1,89.99,
253,89,20,1,24.99,1
254,89,176,1,399.99,1
255,89,127,1,549.99,1
256,90,95,2,64.99,14
257,91,15,2,58.99,4
258,91,89,1,49.99,4
259,91,15,3,58.99,4
260,91,134,2,32.99,4
