INVENTORY_FACT_ID,SNAPSHOT_DATE,STORE_ID,PRODUCT_ID,STOCK_ON_HAND,REORDER_LEVEL,IS_REORDER_ALERT,IS_OUT_OF_STOCK
209,2025-12-18T00:00:00Z,3,1804,15,27,1,0
210,2025-11-25T00:00:00Z,5,237,15,16,1,0
211,2025-11-27T00:00:00Z,9,1335,15,34,1,0
212,2025-11-13T00:00:00Z,10,8895,15,31,1,0
213,2025-11-30T00:00:00Z,19,30,15,53,1,0
214,2025-12-03T00:00:00Z,22,16,15,40,1,0
215,2025-11-05T00:00:00Z,33,48,15,48,1,0
216,2025-12-13T00:00:00Z,34,361,15,39,1,0
217,2025-11-30T00:00:00Z,38,359,15,10,0,0
218,2025-12-04T00:00:00Z,1,5970,16,45,1,0
219,2025-11-17T00:00:00Z,9,18,16,39,1,0
220,2025-11-29T00:00:00Z,10,192,16,34,1,0
221,2025-11-21T00:00:00Z,22,808,16,18,1,0
222,2025-11-24T00:00:00Z,26,1942,16,13,0,0
223,2025-12-06T00:00:00Z,37,33,16,52,1,0
224,2025-12-21T00:00:00Z,44,80,16,25,1,0
225,2025-11-16T00:00:00Z,1,1448,17,38,1,0
226,2025-12-12T00:00:00Z,9,511,17,29,1,0
227,2025-11-06T00:00:00Z,13,84,17,22,1,0
228,2025-12-11T00:00:00Z,19,38,17,48,1,0
229,2025-12-28T00:00:00Z,34,35,17,34,1,0
230,2025-12-17T00:00:00Z,37,81,17,12,0,0
231,2025-11-13T00:00:00Z,1,4571,18,8,0,0
232,2025-11-24T00:00:00Z,1,3203,18,29,1,0
233,2025-12-11T00:00:00Z,1,817,18,60,1,0
234,2025-12-16T00:00:00Z,2,254,18,30,1,0
235,2025-12-20T00:00:00Z,4,235,18,9,0,0
236,2025-12-07T00:00:00Z,5,212,18,23,1,0
237,2025-11-19T00:00:00Z,6,260,18,28,1,0
238,2025-12-27T00:00:00Z,13,90,18,38,1,0
239,2025-12-01T00:00:00Z,16,58,18,15,0,0
240,2025-12-05T00:00:00Z,16,2840,18,31,1,0
241,2025-11-04T00:00:00Z,37,1207,18,56,1,0
242,2025-11-30T00:00:00Z,48,3,18,51,1,0
243,2025-11-19T00:00:00Z,50,2828,18,24,1,0
244,2025-12-01T00:00:00Z,2,2012,19,6,0,0
245,2025-12-03T00:00:00Z,3,2761,19,39,1,0
246,2025-12-23T00:00:00Z,3,3649,19,46,1,0
247,2025-11-01T00:00:00Z,5,79,19,41,1,0
248,2025-11-19T00:00:00Z,6,12921,19,16,0,0
249,2025-11-15T00:00:00Z,9,1269,19,30,1,0
250,2025-11-23T00:00:00Z,22,291,19,9,0,0
251,2025-12-02T00:00:00Z,26,7,19,49,1,0
252,2025-11-12T00:00:00Z,27,621,19,37,1,0
253,2025-12-10T00:00:00Z,30,226,19,41,1,0
254,2025-12-17T00:00:00Z,47,222,19,26,1,0
255,2025-12-07T00:00:00Z,2,5027,20,45,1,0
256,2025-11-22T00:00:00Z,5,892,20,10,0,0
257,2025-11-19T00:00:00Z,18,14826,20,37,1,0
258,2025-12-24T00:00:00Z,18,41,20,50,1,0
259,2025-12-21T00:00:00Z,21,19,20,46,1,0
