VENDOR_SK,SOURCE_SYSTEM,SOURCE_VENDOR_ID,VENDOR_NAME,REGION,RATING,ONBOARDING_DATE,INSERT_DT,UPDATE_DT
1,Oracle Fusion,1,Vendor 1,EMEA,4.6,2023-04-16T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
2,Oracle Fusion,2,Vendor 2,NA,4,2025-09-15T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
3,Oracle Fusion,3,Vendor 3,EMEA,3.5,2023-07-23T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
4,Oracle Fusion,4,Vendor 4,NA,3.2,2023-06-19T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
5,Oracle Fusion,5,Vendor 5,EMEA,4.5,2023-02-13T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
6,Oracle Fusion,6,Vendor 6,APAC,4.9,2023-01-27T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
7,Oracle Fusion,7,Vendor 7,NA,4.3,2022-01-20T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
8,Oracle Fusion,8,Vendor 8,NA,3,2023-08-25T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
9,Oracle Fusion,9,Vendor 9,EMEA,2.8,2021-09-10T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
10,Oracle Fusion,10,Vendor 10,LATAM,4.6,2021-10-21T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
11,Oracle Fusion,11,Vendor 11,EMEA,4.4,2022-07-24T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
12,Oracle Fusion,12,Vendor 12,NA,4.8,2022-05-12T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
13,Oracle Fusion,13,Vendor 13,NA,3.9,2023-05-28T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
14,Oracle Fusion,14,Vendor 14,NA,3.4,2025-07-17T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
15,Oracle Fusion,15,Vendor 15,EMEA,3.9,2024-10-26T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
16,Oracle Fusion,16,Vendor 16,NA,4.4,2022-10-19T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
17,Oracle Fusion,17,Vendor 17,NA,4,2022-10-08T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
18,Oracle Fusion,18,Vendor 18,APAC,4,2022-02-04T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
19,Oracle Fusion,19,Vendor 19,LATAM,5,2022-06-26T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
20,Oracle Fusion,20,Vendor 20,NA,4.8,2021-07-12T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
21,Oracle Fusion,21,Vendor 21,EMEA,4.1,2021-08-10T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
22,Oracle Fusion,22,Vendor 22,EMEA,4.8,2025-02-23T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
23,Oracle Fusion,23,Vendor 23,EMEA,2.9,2023-12-28T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
24,Oracle Fusion,24,Vendor 24,NA,4.5,2022-03-13T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
25,Oracle Fusion,25,Vendor 25,NA,3.6,2024-04-29T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
26,Oracle Fusion,26,Vendor 26,EMEA,3.6,2022-11-17T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
27,Oracle Fusion,27,Vendor 27,NA,3.6,2021-12-07T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
28,Oracle Fusion,28,Vendor 28,NA,2.8,2021-08-06T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
29,Oracle Fusion,29,Vendor 29,APAC,3,2021-08-24T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
30,Oracle Fusion,30,Vendor 30,EMEA,2.9,2022-07-23T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
31,Oracle Fusion,31,Vendor 31,NA,3.4,2025-01-14T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
32,Oracle Fusion,32,Vendor 32,NA,4,2023-04-02T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
33,Oracle Fusion,33,Vendor 33,EMEA,3.9,2023-02-15T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
34,Oracle Fusion,34,Vendor 34,EMEA,4.4,2022-11-19T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
35,Oracle Fusion,35,Vendor 35,NA,3.2,2022-09-02T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
36,Oracle Fusion,36,Vendor 36,APAC,4.9,2021-05-15T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
37,Oracle Fusion,37,Vendor 37,APAC,4.8,2025-06-09T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
38,Oracle Fusion,38,Vendor 38,NA,4,2021-06-16T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
39,Oracle Fusion,39,Vendor 39,NA,4,2024-01-28T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
40,Oracle Fusion,40,Vendor 40,NA,4.8,2022-12-20T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
41,Oracle Fusion,41,Vendor 41,NA,3,2023-01-08T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
42,Oracle Fusion,42,Vendor 42,NA,2.9,2024-02-25T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
43,Oracle Fusion,43,Vendor 43,NA,3.9,2023-04-09T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
44,Oracle Fusion,44,Vendor 44,APAC,3.4,2025-10-03T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
45,Oracle Fusion,45,Vendor 45,APAC,3.7,2025-11-16T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
46,Oracle Fusion,46,Vendor 46,APAC,4.8,2025-11-03T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
47,Oracle Fusion,47,Vendor 47,EMEA,3.4,2024-01-02T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
48,Oracle Fusion,48,Vendor 48,APAC,3.9,2023-01-08T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
49,Oracle Fusion,49,Vendor 49,EMEA,4.1,2022-06-16T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
50,Oracle Fusion,50,Vendor 50,NA,4.2,2024-10-08T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
51,Oracle Fusion,51,Vendor 51,APAC,3.3,2023-05-27T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
52,Oracle Fusion,52,Vendor 52,NA,3.4,2021-04-08T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
53,Oracle Fusion,53,Vendor 53,NA,4.2,2024-11-24T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
54,Oracle Fusion,54,Vendor 54,APAC,4.8,2023-03-02T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
55,Oracle Fusion,55,Vendor 55,APAC,3.2,2023-11-28T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
56,Oracle Fusion,56,Vendor 56,NA,4.2,2025-10-12T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
57,Oracle Fusion,57,Vendor 57,APAC,3,2024-11-25T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
58,Oracle Fusion,58,Vendor 58,NA,4.4,2025-06-05T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
59,Oracle Fusion,59,Vendor 59,NA,4.2,2022-03-17T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
60,Oracle Fusion,60,Vendor 60,NA,4.5,2021-08-17T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
61,Oracle Fusion,61,Vendor 61,APAC,4.7,2024-06-06T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
62,Oracle Fusion,62,Vendor 62,APAC,4.8,2024-05-26T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
63,Oracle Fusion,63,Vendor 63,APAC,3.2,2024-11-07T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
64,Oracle Fusion,64,Vendor 64,NA,4,2023-02-20T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
65,Oracle Fusion,65,Vendor 65,EMEA,4.7,2021-08-15T00:00:00Z,2026-03-29T02:30:28.483044Z,2026-03-29T02:30:28.483044Z
