post_id,influencer_id,platform,external_post_id,post_text,posted_at,likes_count,shares_count,comments_count,views_count,sentiment_score,virality_score,detected_products,momentum_flag,processed_at,created_at
1,192,tiktok,fin_tiktok_00000001,Meridian Trust Bank repriced Premium Checking Bundle after rate guidance changed; client suitability review recommended,2026-04-13T08:42:59Z,1828,1608,367,42312,0.911,68.63,1,rising,,2026-04-13T09:16:48Z
2,202,tiktok,fin_tiktok_00000002,Regulatory bulletin references High-Yield Savings Account; Meridian Trust Bank compliance team should update controls,2026-03-19T10:48:54Z,9843,911,690,47914,0.33,61.23,2,rising,,2026-04-13T09:16:48Z
3,134,youtube,fin_youtube_00000003,Credit risk signal detected for Rewards Credit Card; Meridian Trust Bank exposure limits need review,2026-03-17T11:03:49Z,209,86,22,16068,0.715,35.26,3,normal,,2026-04-13T09:16:48Z
4,226,instagram,fin_instagram_00000004,Deposit attrition alert references Small Business Term Loan; Meridian Trust Bank branch teams should prioritize exposure review,2026-03-29T12:30:03Z,705,88,38,13135,0.766,31.15,4,normal,,2026-04-13T09:16:48Z
5,336,twitter,fin_twitter_00000005,Fraud operations notice affects Home Equity Line of Credit; Meridian Trust Bank monitoring thresholds should be refreshed,2026-03-31T00:24:53Z,287,24,13,8245,0.146,28.04,5,normal,,2026-04-13T09:16:48Z
6,113,twitter,fin_twitter_00000006,Liquidity desk flagged elevated transaction volume for Robo Advisory Portfolio; Horizon Capital liquidity thresholds should be reviewed,2026-04-04T04:39:01Z,797,33,46,15377,0.831,29.59,6,normal,,2026-04-13T09:16:48Z
7,304,instagram,fin_instagram_00000007,Advisor desk opened suitability review for Managed ETF Portfolio; Horizon Capital client notes require update,2026-04-07T05:34:14Z,493,90,22,4162,0.276,29.72,7,normal,,2026-04-13T09:16:48Z
8,231,instagram,fin_instagram_00000008,Market volatility signal raised for Municipal Bond Ladder; Horizon Capital portfolio guidance may change,2026-04-08T16:04:40Z,4714,1876,775,167924,0.82,68.87,8,rising,,2026-04-13T09:16:48Z
9,422,youtube,fin_youtube_00000009,Loan servicing alert references Treasury Sweep Account; Horizon Capital hardship workflow needs capacity,2026-03-28T10:05:59Z,9598,1720,561,48387,0.26,62.85,9,rising,,2026-04-13T09:16:48Z
10,445,tiktok,fin_tiktok_00000010,Payments operations bulletin references Corporate Card Program; Horizon Capital settlement queue shows elevated activity,2026-04-09T21:31:07Z,131,24,0,3067,0.574,29.15,10,normal,,2026-04-13T09:16:48Z
11,308,threads,fin_threads_00000011,AML screening update affects Merchant Acquiring Package; Clearwater Credit Union case review volume expected to increase,2026-04-08T13:11:18Z,460,32,12,4671,0.299,27.32,11,normal,,2026-04-13T09:16:48Z
12,320,tiktok,fin_tiktok_00000012,Compliance screening activity is rising for ACH Origination Service; Clearwater Credit Union onboarding controls require review,2026-03-21T11:25:45Z,752,12,41,4858,0.855,28.55,12,normal,,2026-04-13T09:16:48Z
13,433,threads,fin_threads_00000013,Mortgage desk reports elevated onboarding activity tied to Wire Transfer Service; Clearwater Credit Union underwriting capacity should be checked,2026-03-16T06:29:16Z,8353,1291,289,36604,0.346,62,13,rising,,2026-04-13T09:16:48Z
14,168,twitter,fin_twitter_00000014,Elevated treasury onboarding activity detected for Fraud Monitoring Add-On; Clearwater Credit Union relationship teams should monitor exposure thresholds,2026-03-16T21:20:02Z,388,27,28,2362,0.22,27.49,14,normal,,2026-04-13T09:16:48Z
15,393,threads,fin_threads_00000015,Branch operations alert: Clearwater Credit Union reported elevated onboarding workload for AML Screening Package,2026-03-30T03:36:06Z,450,69,26,13524,0.577,29.78,15,normal,,2026-04-13T09:16:48Z
16,31,instagram,fin_instagram_00000016,Capital markets desk flagged spread movement for KYC Refresh Workflow; NorthBridge Investments pricing may change,2026-03-16T08:33:54Z,6234,367,158,43652,0.441,60.07,16,rising,,2026-04-13T09:16:48Z
17,195,threads,fin_threads_00000017,Insurance suitability update references Mortgage Pre-Approval; NorthBridge Investments documentation review requested,2026-03-24T21:42:54Z,36,58,40,17410,0.749,38.24,17,normal,,2026-04-13T09:16:48Z
18,137,tiktok,fin_tiktok_00000018,Open banking signal shows elevated API transaction volume around Adjustable Rate Mortgage; NorthBridge Investments digital controls team watching load,2026-03-21T18:42:55Z,895,38,39,13025,0.763,29.40,18,normal,,2026-04-13T09:16:48Z
19,194,youtube,fin_youtube_00000019,Portfolio risk model detected cluster around NorthBridge Investments Auto Loan Digital Offer; expected exposure monitoring workload increasing,2026-04-06T16:59:04Z,7988,1000,449,120669,0.779,64.15,19,rising,,2026-04-13T09:16:48Z
20,179,youtube,fin_youtube_00000020,Compliance queue added Personal Loan Express; NorthBridge Investments policy attestation requested,2026-03-15T02:51:36Z,147,7,13,18799,0.379,28.11,20,normal,,2026-04-13T09:16:48Z
21,482,youtube,fin_youtube_00000021,Granite Wealth repriced Student Refinance Loan after rate guidance changed; client suitability review recommended,2026-04-02T19:22:39Z,447,23,17,19023,0.737,29.69,21,normal,,2026-04-13T09:16:48Z
22,63,twitter,fin_twitter_00000022,Regulatory bulletin references Commercial Real Estate Loan; Granite Wealth compliance team should update controls,2026-03-18T04:54:51Z,3801,1875,236,174783,0.726,67.86,22,rising,,2026-04-13T09:16:48Z
23,6,instagram,fin_instagram_00000023,Credit risk signal detected for Equipment Finance Lease; Granite Wealth exposure limits need review,2026-03-18T09:56:56Z,2546,770,677,87102,-0.006,71.60,23,rising,,2026-04-13T09:16:48Z
