product_id,brand_id,sku,product_name,description,category,subcategory,unit_price,unit_cost,weight_kg,is_active,launch_date,tags,created_at,updated_at
1,1,FIN-00001,Premium Checking Bundle,"Retail Banking offering from Meridian Trust Bank; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Retail Banking,Checking,12.5,4.1,1,1,2025-11-24,"checking,deposit,consumer,fee-waiver",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
2,1,FIN-00002,High-Yield Savings Account,"Retail Banking offering from Meridian Trust Bank; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Retail Banking,Savings,0,0,1,1,2026-03-01,"savings,apy,deposit,liquidity",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
3,1,FIN-00003,Rewards Credit Card,"Cards and Payments offering from Meridian Trust Bank; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Cards and Payments,Credit Card,95,31,1,1,2024-11-20,"card,rewards,credit,line",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
4,1,FIN-00004,Small Business Term Loan,"Commercial Lending offering from Meridian Trust Bank; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Commercial Lending,Term Loan,1500,840,1,1,2025-07-31,"loan,small-business,credit-risk",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
5,1,FIN-00005,Home Equity Line of Credit,"Consumer Lending offering from Meridian Trust Bank; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Consumer Lending,HELOC,650,280,1,1,2025-08-13,"heloc,secured-lending,home-equity",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
6,2,FIN-00006,Robo Advisory Portfolio,"Wealth Management offering from Horizon Capital; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Wealth Management,Digital Advice,35,11,1,1,2025-06-13,"portfolio,robo-advice,asset-allocation",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
7,2,FIN-00007,Managed ETF Portfolio,"Wealth Management offering from Horizon Capital; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Wealth Management,ETF Portfolio,125,42,1,1,2025-02-15,"etf,managed-portfolio,wealth",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
8,2,FIN-00008,Municipal Bond Ladder,"Investments offering from Horizon Capital; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Investments,Fixed Income,250,95,1,1,2024-07-08,"municipal-bonds,fixed-income,tax-aware",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
9,2,FIN-00009,Treasury Sweep Account,"Treasury Services offering from Horizon Capital; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Treasury Services,Liquidity,80,23,1,1,2026-02-04,"treasury,sweep,cash-management",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
10,2,FIN-00010,Corporate Card Program,"Cards and Payments offering from Horizon Capital; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Cards and Payments,Commercial Card,300,115,1,1,2025-11-19,"commercial-card,expense,controls",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
11,3,FIN-00011,Merchant Acquiring Package,"Payments offering from Clearwater Credit Union; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Payments,Merchant Services,220,86,1,1,2024-11-16,"merchant,acquiring,payments,pos",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
12,3,FIN-00012,ACH Origination Service,"Payments offering from Clearwater Credit Union; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Payments,ACH,45,12,1,1,2025-06-14,"ach,originations,payments",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
13,3,FIN-00013,Wire Transfer Service,"Payments offering from Clearwater Credit Union; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Payments,Wire,30,8,1,1,2025-05-19,"wire,treasury,payments",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
14,3,FIN-00014,Fraud Monitoring Add-On,"Risk Services offering from Clearwater Credit Union; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Risk Services,Fraud,180,64,1,1,2025-09-28,"fraud,monitoring,alerts",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
15,3,FIN-00015,AML Screening Package,"Compliance Services offering from Clearwater Credit Union; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Compliance Services,AML,420,170,1,1,2024-07-07,"aml,kyc,sanctions,compliance",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
16,4,FIN-00016,KYC Refresh Workflow,"Compliance Services offering from NorthBridge Investments; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Compliance Services,KYC,240,93,1,1,2024-07-07,"kyc,onboarding,identity",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
17,4,FIN-00017,Mortgage Pre-Approval,"Mortgage Lending offering from NorthBridge Investments; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Mortgage Lending,Residential Mortgage,995,410,1,1,2024-12-10,"mortgage,preapproval,consumer",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
18,4,FIN-00018,Adjustable Rate Mortgage,"Mortgage Lending offering from NorthBridge Investments; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Mortgage Lending,ARM,2150,1320,1,1,2025-11-15,"mortgage,arm,rate-risk",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
19,4,FIN-00019,Auto Loan Digital Offer,"Consumer Lending offering from NorthBridge Investments; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Consumer Lending,Auto Loan,475,190,1,1,2024-10-17,"auto-loan,consumer-credit",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
20,4,FIN-00020,Personal Loan Express,"Consumer Lending offering from NorthBridge Investments; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Consumer Lending,Unsecured Loan,350,145,1,1,2024-10-01,"personal-loan,unsecured",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
21,5,FIN-00021,Student Refinance Loan,"Consumer Lending offering from Granite Wealth; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Consumer Lending,Education Loan,525,215,1,1,2024-06-23,"student-loan,refinance",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
22,5,FIN-00022,Commercial Real Estate Loan,"Commercial Lending offering from Granite Wealth; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Commercial Lending,CRE,3200,1850,1,1,2024-08-03,"commercial-real-estate,loan",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
23,5,FIN-00023,Equipment Finance Lease,"Commercial Lending offering from Granite Wealth; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Commercial Lending,Equipment Finance,1875,980,1,1,2025-09-21,"equipment,leasing,commercial",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
24,5,FIN-00024,Invoice Financing Line,"Commercial Lending offering from Granite Wealth; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Commercial Lending,Receivables,725,260,1,1,2025-01-22,"invoice-finance,working-capital",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
25,5,FIN-00025,Trade Finance Letter of Credit,"Trade Finance offering from Granite Wealth; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Trade Finance,Letter of Credit,1350,640,1,1,2024-05-04,"trade-finance,letter-of-credit",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
26,6,FIN-00026,FX Forward Contract,"Capital Markets offering from Harvest Commercial Bank; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Capital Markets,Foreign Exchange,520,155,1,1,2024-11-15,"fx,forward,hedging",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
27,6,FIN-00027,Rate Hedge Advisory,"Capital Markets offering from Harvest Commercial Bank; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Capital Markets,Interest Rate Risk,950,380,1,1,2024-11-18,"rates,hedging,advisory",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
28,6,FIN-00028,Treasury Management Portal,"Treasury Services offering from Harvest Commercial Bank; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Treasury Services,Digital Treasury,500,160,1,1,2025-01-08,"treasury,portal,cash-management",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
29,6,FIN-00029,Retirement Income Plan,"Retirement offering from Harvest Commercial Bank; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Retirement,Income Planning,675,210,1,1,2024-10-24,"retirement,income,planning",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
30,6,FIN-00030,529 Education Savings Plan,"Investments offering from Harvest Commercial Bank; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Investments,Education Savings,75,20,1,1,2025-02-15,"529,education,savings",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
31,7,FIN-00031,Life Insurance Policy Review,"Insurance offering from VoltPay Financial; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Insurance,Life Insurance,450,165,1,1,2024-10-03,"insurance,life,review",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
32,7,FIN-00032,Annuity Suitability Review,"Insurance offering from VoltPay Financial; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Insurance,Annuity,620,240,1,1,2025-11-21,"annuity,suitability,compliance",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
33,7,FIN-00033,Cyber Risk Insurance Quote,"Insurance offering from VoltPay Financial; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Insurance,Cyber,810,340,1,1,2024-12-24,"insurance,cyber,risk",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
34,7,FIN-00034,Portfolio Tax-Loss Harvesting,"Wealth Management offering from VoltPay Financial; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Wealth Management,Tax Optimization,210,70,1,1,2025-05-24,"tax-loss-harvesting,portfolio",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
35,7,FIN-00035,ESG Impact Portfolio,"Investments offering from VoltPay Financial; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Investments,ESG,155,58,1,1,2025-04-27,"esg,portfolio,impact",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
36,8,FIN-00036,Private Credit Fund Access,"Alternative Investments offering from SecureLedger Compliance; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Alternative Investments,Private Credit,2500,1100,1,1,2025-11-06,"private-credit,alternatives",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
37,8,FIN-00037,Digital Wallet Account,"Payments offering from SecureLedger Compliance; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Payments,Wallet,0,0,1,1,2026-03-02,"wallet,digital-payments,consumer",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
38,8,FIN-00038,Real-Time Payments Service,"Payments offering from SecureLedger Compliance; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Payments,RTP,120,38,1,1,2024-05-31,"rtp,instant-payments,treasury",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
39,8,FIN-00039,Open Banking API Access,"Data Services offering from SecureLedger Compliance; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Data Services,API,600,180,1,1,2024-09-03,"open-banking,api,data",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
40,8,FIN-00040,Credit Score Monitoring,"Consumer Banking offering from SecureLedger Compliance; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Consumer Banking,Credit Monitoring,19,5,1,1,2024-11-05,"credit-score,monitoring,consumer",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
41,9,FIN-00041,Portfolio Margin Account,"Brokerage offering from Civic National Bank; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Brokerage,Margin,1100,420,1,1,2024-12-04,"brokerage,margin,risk",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
42,9,FIN-00042,Options Trading Enablement,"Brokerage offering from Civic National Bank; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Brokerage,Options,250,85,1,1,2025-03-25,"options,trading,suitability",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
43,9,FIN-00043,Trust Administration Package,"Private Banking offering from Civic National Bank; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Private Banking,Trust,1800,760,1,1,2025-09-10,"trust,estate,private-banking",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
44,9,FIN-00044,Family Office Reporting,"Private Banking offering from Civic National Bank; tracked for suitability, exposure monitoring, operational risk, and client servicing.",Private Banking,Reporting,2400,900,1,1,2024-09-27,"family-office,reporting,wealth",2026-04-13T09:16:47Z,2026-04-13T09:16:47Z
