influencer_id,handle,display_name,platform,follower_count,engagement_rate,influence_score,niche,city,region,country,is_verified,created_at
1,@sled_partner_0001,Constituent Services Signal Source 001,threads,2500,0.018,55,Constituent Services,Denver,Colorado,US,1,2026-03-09T12:00:00Z
2,@sled_partner_0002,Permits and Licensing Signal Source 002,twitter,3323,0.0207,62.17,Permits and Licensing,Colorado Springs,Colorado,US,0,2026-03-10T12:00:00Z
3,@sled_partner_0003,Benefits Eligibility Signal Source 003,youtube,4146,0.0234,69.34,Benefits Eligibility,Aurora,Colorado,US,0,2026-03-11T12:00:00Z
4,@sled_partner_0004,Case Management Signal Source 004,instagram,4969,0.0261,76.51,Case Management,Fort Collins,Colorado,US,0,2026-03-12T12:00:00Z
5,@sled_partner_0005,Emergency Response Signal Source 005,tiktok,5792,0.0288,83.68,Emergency Response,Lakewood,Colorado,US,1,2026-03-13T12:00:00Z
6,@sled_partner_0006,Public Works Signal Source 006,threads,6615,0.0315,90,Public Works,Thornton,Colorado,US,0,2026-03-14T12:00:00Z
7,@sled_partner_0007,Transportation Services Signal Source 007,twitter,7438,0.0342,97.17,Transportation Services,Pueblo,Colorado,US,0,2026-03-15T12:00:00Z
8,@sled_partner_0008,Tax and Revenue Operations Signal Source 008,youtube,8261,0.0369,61.34,Tax and Revenue Operations,Boulder,Colorado,US,0,2026-03-16T12:00:00Z
9,@sled_partner_0009,Citizen-Facing Digital Services Signal Source 009,instagram,9084,0.0396,68.51,Citizen-Facing Digital Services,Greeley,Colorado,US,1,2026-03-17T12:00:00Z
10,@sled_partner_0010,Inspections and Code Enforcement Signal Source 010,tiktok,9907,0.0423,75.68,Inspections and Code Enforcement,Castle Rock,Colorado,US,0,2026-03-18T12:00:00Z
11,@sled_partner_0011,Grants Management Signal Source 011,threads,10730,0.045,82,Grants Management,Grand Junction,Colorado,US,0,2026-03-19T12:00:00Z
12,@sled_partner_0012,Health and Human Services Signal Source 012,twitter,11553,0.0477,89.17,Health and Human Services,Broomfield,Colorado,US,0,2026-03-20T12:00:00Z
