mention_id,post_id,product_id,confidence_score,mention_type,created_at
1,1,15,0.83,semantic,2026-05-05T16:30:00Z
2,2,35,0.78,direct,2026-05-05T16:30:00Z
3,2,32,0.93,direct,2026-05-05T16:30:00Z
4,3,13,0.76,semantic,2026-05-05T16:30:00Z
5,3,24,0.88,inferred,2026-05-05T16:30:00Z
6,4,32,0.78,hashtag,2026-05-05T16:30:00Z
7,4,26,0.92,direct,2026-05-05T16:30:00Z
8,5,34,0.89,inferred,2026-05-05T16:30:00Z
9,6,29,0.76,direct,2026-05-05T16:30:00Z
10,7,40,0.75,semantic,2026-05-05T16:30:00Z
11,8,55,0.85,semantic,2026-05-05T16:30:00Z
12,8,18,0.72,semantic,2026-05-05T16:30:00Z
13,9,46,0.73,direct,2026-05-05T16:30:00Z
14,9,3,0.81,direct,2026-05-05T16:30:00Z
15,10,20,0.81,direct,2026-05-05T16:30:00Z
16,10,12,0.85,hashtag,2026-05-05T16:30:00Z
17,11,6,0.81,inferred,2026-05-05T16:30:00Z
18,11,28,0.92,semantic,2026-05-05T16:30:00Z
19,12,59,0.80,direct,2026-05-05T16:30:00Z
20,13,57,0.75,direct,2026-05-05T16:30:00Z
21,13,60,0.93,inferred,2026-05-05T16:30:00Z
22,14,27,0.89,direct,2026-05-05T16:30:00Z
23,14,37,0.96,direct,2026-05-05T16:30:00Z
24,14,14,0.82,semantic,2026-05-05T16:30:00Z
25,15,17,0.82,hashtag,2026-05-05T16:30:00Z
26,16,53,0.85,direct,2026-05-05T16:30:00Z
27,16,51,0.75,direct,2026-05-05T16:30:00Z
28,17,4,0.97,direct,2026-05-05T16:30:00Z
29,18,15,0.81,inferred,2026-05-05T16:30:00Z
30,18,38,0.89,hashtag,2026-05-05T16:30:00Z
31,19,58,0.95,direct,2026-05-05T16:30:00Z
32,20,59,0.72,semantic,2026-05-05T16:30:00Z
33,21,4,0.96,hashtag,2026-05-05T16:30:00Z
34,22,32,0.81,semantic,2026-05-05T16:30:00Z
35,22,19,0.84,direct,2026-05-05T16:30:00Z
36,22,49,0.77,semantic,2026-05-05T16:30:00Z
37,23,52,0.77,hashtag,2026-05-05T16:30:00Z
38,23,45,0.81,semantic,2026-05-05T16:30:00Z
39,24,55,0.89,direct,2026-05-05T16:30:00Z
40,25,30,0.92,semantic,2026-05-05T16:30:00Z
41,26,33,0.85,hashtag,2026-05-05T16:30:00Z
42,26,10,0.97,direct,2026-05-05T16:30:00Z
43,27,42,0.74,direct,2026-05-05T16:30:00Z
44,27,44,0.83,hashtag,2026-05-05T16:30:00Z
45,27,43,0.81,semantic,2026-05-05T16:30:00Z
46,28,57,0.97,semantic,2026-05-05T16:30:00Z
47,29,33,0.82,semantic,2026-05-05T16:30:00Z
48,29,12,0.73,inferred,2026-05-05T16:30:00Z
49,30,28,0.75,semantic,2026-05-05T16:30:00Z
50,31,52,0.79,direct,2026-05-05T16:30:00Z
51,32,46,0.73,direct,2026-05-05T16:30:00Z
52,32,15,0.79,inferred,2026-05-05T16:30:00Z
53,33,38,0.89,hashtag,2026-05-05T16:30:00Z
54,34,50,0.80,direct,2026-05-05T16:30:00Z
