OLD_TXN_ID,NEW_TXN_ID
1473157,78819347
2133539,493543831
7869224,449972776
13706,459762134
1996548,494545755
1134373,249866308
2744985,333127446
4161095,44310235
1750830,78316743
3159845,562347949
3592590,381522384
7602469,587178635
5990278,176917163
6522537,364640430
7017877,291254497
4075716,564981687
4588761,510611510
145047,364155933
401716,541636151
596086,27017454
2333138,305322236
4757452,105186139
5338572,571161465
2931520,269238544
7534809,567417866
131143,145853872
1101012,249440724
2645309,181961593
2716542,488833231
3261874,187251617
4062334,517415750
3094520,91015350
3167856,535664640
3646532,117189683
6410837,45870672
7174783,289924187
7938357,102441713
4898804,546804051
215398,266188213
1956867,270246232
4126554,59162433
4745919,383172088
1676665,105696766
5373467,259900785
67579,5883472
3807652,371230634
1424847,483554138
5706330,365332828
3557370,171469261
5258629,185108311
4317698,262805808
6703861,586539762
7208276,210285592
1632448,157974970
2721336,532016882
4412521,52803097
5990860,201986025
7172564,191785805
3230236,10726181
4616615,165087274
5918654,109110149
5934016,383282951
6060489,556931628
7242763,604459902
1497629,184075316
5364116,217558165
6134388,195933105
6791297,332668657
1708809,611851339
6278852,592701386
7718715,41342808
476711,310094555
6158035,574175758
6683328,214296362
170513,532040822
4934157,589415413
2017690,209955078
1935040,98968414
3616167,405511256
5143740,387537743
4701575,127744042
3648669,295315733
4107435,323395145
7246186,520351856
3249336,384490878
3815248,412143249
4921074,153633718
3809724,197159067
2840213,134324937
5826488,244959493
7991182,546822105
3708157,479651627
169454,419628519
1163609,218201998
1617700,18067561
4864513,309325605
5922032,240264851
628188,243333237
4486047,319543418
7905463,257474023
