forecast_id,product_id,region,forecast_date,predicted_demand,confidence_low,confidence_high,social_factor,model_version,explanation,created_at
4805,551,Bay Area (SF),2026-05-23,151,93,173,1.16,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4806,551,Bay Area (SF),2026-05-24,153,101,181,1.32,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4807,551,Bay Area (SF),2026-05-25,169,109,189,1.21,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4808,551,Bay Area (SF),2026-05-26,141,117,197,1.37,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4809,551,Bay Area (SF),2026-05-27,149,125,205,1.42,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4810,551,Bay Area (SF),2026-05-28,179,133,213,1.5,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4811,551,Bay Area (SF),2026-05-29,197,141,221,1.45,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4812,551,Bay Area (SF),2026-05-30,189,149,229,1.33,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4813,551,Bay Area (SF),2026-05-31,199,157,237,1.48,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4814,551,Bay Area (SF),2026-06-01,195,165,245,1.6,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4815,551,Bay Area (SF),2026-06-02,204,173,253,1.72,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4816,551,Bay Area (SF),2026-06-03,216,181,261,1.66,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4817,551,Bay Area (SF),2026-06-04,219,189,269,1.61,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4818,551,Bay Area (SF),2026-06-05,236,197,277,1.71,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4819,551,Bay Area (SF),2026-06-06,253,205,285,1.71,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4820,551,Bay Area (SF),2026-06-07,272,213,293,1.9,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4821,551,Bay Area (SF),2026-06-08,248,221,301,1.95,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4822,551,Bay Area (SF),2026-06-09,250,229,309,1.92,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4823,551,Bay Area (SF),2026-06-10,269,237,317,1.97,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4824,551,Bay Area (SF),2026-06-11,275,245,325,1.89,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4825,551,Bay Area (SF),2026-06-12,280,253,333,2.12,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4826,551,Bay Area (SF),2026-06-13,310,261,341,2.03,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4827,551,Bay Area (SF),2026-06-14,312,269,349,2.04,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4828,551,Bay Area (SF),2026-06-15,316,277,357,2.18,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4829,551,Bay Area (SF),2026-06-16,334,285,365,2.22,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4830,551,Bay Area (SF),2026-06-17,321,293,373,2.04,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4831,551,Bay Area (SF),2026-06-18,335,301,381,2.1,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4832,551,Bay Area (SF),2026-06-19,369,309,389,2.18,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4833,551,Bay Area (SF),2026-06-20,364,317,397,2.24,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4834,551,Bay Area (SF),2026-06-21,358,325,405,2.4,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""outage_report_spike"",""dispatch_ticket_cluster"",""weekend_storm_effect""],""top_advocate"":""@gridbridge_ops"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-22T14:21:34Z
4835,551,New York Metro,2026-05-23,200,141,241,1.24,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""critical_load_forum_signal"",""customer_operations_thread"",""same_day_restoration_pressure""],""top_advocate"":""@navigation_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-22T14:21:34Z
4836,551,New York Metro,2026-05-24,200,147,247,1.31,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""critical_load_forum_signal"",""customer_operations_thread"",""same_day_restoration_pressure""],""top_advocate"":""@navigation_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-22T14:21:34Z
4837,551,New York Metro,2026-05-25,210,153,253,1.42,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""critical_load_forum_signal"",""customer_operations_thread"",""same_day_restoration_pressure""],""top_advocate"":""@navigation_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-22T14:21:34Z
4838,551,New York Metro,2026-05-26,211,159,259,1.36,grid_signal_v2,"{""model"":""grid_signal_v2"",""drivers"":[""critical_load_forum_signal"",""customer_operations_thread"",""same_day_restoration_pressure""],""top_advocate"":""@navigation_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-22T14:21:34Z
