region_id,region_name,region_type,boundary,population,avg_income,social_density,demand_index,updated_at
1,Northeast Persistence Corridor,metro,"POLYGON ((-74.4 40.3, -73.4 40.3, -73.4 41.1, -74.4 41.1, -74.4 40.3))",24229465,50839,23.0,84,2026-05-05T16:30:00Z
2,Southern Enrollment and Transfer Region,region,"POLYGON ((-96.2 29, -83.8 29, -83.8 35.2, -96.2 35.2, -96.2 29))",33230427,110012,11.3,85,2026-05-05T16:30:00Z
3,Pacific Access Region,region,"POLYGON ((-123.1 33.5, -117 33.5, -117 38.8, -123.1 38.8, -123.1 33.5))",34352912,77765,20.8,72,2026-05-05T16:30:00Z
4,Midwest Completion Belt,region,"POLYGON ((-90.2 40.5, -86 40.5, -86 42.8, -90.2 42.8, -90.2 40.5))",28793392,105709,11.4,75,2026-05-05T16:30:00Z
5,Northwest Wellness Corridor,region,"POLYGON ((-123.5 45, -121.5 45, -121.5 48, -123.5 48, -123.5 45))",8862245,79794,14.1,94,2026-05-05T16:30:00Z
6,Mountain Workforce Pathway,region,"POLYGON ((-106 38.4, -103.5 38.4, -103.5 40.4, -106 40.4, -106 38.4))",35668440,82893,26.5,85,2026-05-05T16:30:00Z
7,Texas Financial Aid Region,state,"POLYGON ((-99 29, -94 29, -94 33.4, -99 33.4, -99 29))",17774791,92668,14.5,71,2026-05-05T16:30:00Z
8,Florida Transfer Corridor,state,"POLYGON ((-82.8 25.2, -79.8 25.2, -79.8 28.6, -82.8 28.6, -82.8 25.2))",10776105,99102,20.6,78,2026-05-05T16:30:00Z
9,Arizona Basic Needs Region,state,"POLYGON ((-113 32.8, -111 32.8, -111 34.2, -113 34.2, -113 32.8))",6474122,92234,25.7,75,2026-05-05T16:30:00Z
10,Georgia Student Services Region,state,"POLYGON ((-85.2 32.7, -83.5 32.7, -83.5 34.5, -85.2 34.5, -85.2 32.7))",28411382,59897,12.6,93,2026-05-05T16:30:00Z
11,Boston First-Year Network,metro,"POLYGON ((-71.4 42.1, -70.8 42.1, -70.8 42.6, -71.4 42.6, -71.4 42.1))",12808948,106861,22.2,92,2026-05-05T16:30:00Z
12,Bay Area Online Learning Network,metro,"POLYGON ((-122.7 37.3, -121.6 37.3, -121.6 38.1, -122.7 38.1, -122.7 37.3))",22244195,86685,22.1,93,2026-05-05T16:30:00Z
13,Philadelphia Dual Enrollment Region,metro,"POLYGON ((-75.5 39.7, -74.9 39.7, -74.9 40.2, -75.5 40.2, -75.5 39.7))",53303440,85837,21.0,63,2026-05-05T16:30:00Z
14,Houston Workforce Region,metro,"POLYGON ((-95.8 29.4, -94.9 29.4, -94.9 30.2, -95.8 30.2, -95.8 29.4))",41869860,58487,11.8,66,2026-05-05T16:30:00Z
15,Portland Completion Region,metro,"POLYGON ((-123 45.2, -122.2 45.2, -122.2 45.8, -123 45.8, -123 45.2))",10679975,95487,24.7,85,2026-05-05T16:30:00Z
16,Sacramento Promise Region,metro,"POLYGON ((-121.8 38.3, -121.1 38.3, -121.1 38.8, -121.8 38.8, -121.8 38.3))",36984092,64987,8.7,78,2026-05-05T16:30:00Z
17,Denver Advising Region,metro,"POLYGON ((-105.3 39.5, -104.6 39.5, -104.6 40, -105.3 40, -105.3 39.5))",34594321,107328,24.6,66,2026-05-05T16:30:00Z
18,Chicago Retention Region,metro,"POLYGON ((-88.4 41.4, -87.2 41.4, -87.2 42.2, -88.4 42.2, -88.4 41.4))",20887033,99091,23.8,80,2026-05-05T16:30:00Z
19,Los Angeles Enrollment Region,metro,"POLYGON ((-118.8 33.7, -117.7 33.7, -117.7 34.4, -118.8 34.4, -118.8 33.7))",53446701,112681,26.3,64,2026-05-05T16:30:00Z
20,New York Advancement Region,metro,"POLYGON ((-74.4 40.4, -73.5 40.4, -73.5 41, -74.4 41, -74.4 40.4))",37083768,92239,9.3,58,2026-05-05T16:30:00Z
