inventory_id,product_id,center_id,quantity_on_hand,quantity_reserved,quantity_incoming,reorder_point,reorder_qty,last_restock_date,updated_at
1,1,1,40,5,0,35,90,2026-06-15,2026-06-17T10:00:00Z
2,2,2,53,12,11,36,95,2026-06-14,2026-06-16T10:00:00Z
3,3,3,66,19,22,37,100,2026-06-13,2026-06-15T10:00:00Z
4,4,4,79,26,33,38,105,2026-06-12,2026-06-14T10:00:00Z
5,5,5,92,33,44,39,110,2026-06-11,2026-06-13T10:00:00Z
6,6,6,105,40,55,40,115,2026-06-10,2026-06-12T10:00:00Z
7,7,7,118,47,66,41,120,2026-06-09,2026-06-11T10:00:00Z
8,8,8,131,54,77,42,125,2026-06-08,2026-06-10T10:00:00Z
9,9,9,144,61,88,43,130,2026-06-07,2026-06-09T10:00:00Z
10,10,10,157,68,99,44,135,2026-06-06,2026-06-08T10:00:00Z
11,11,11,170,75,110,45,140,2026-06-05,2026-06-17T10:00:00Z
12,12,12,183,82,121,46,145,2026-06-04,2026-06-16T10:00:00Z
13,13,13,196,89,132,47,150,2026-06-03,2026-06-15T10:00:00Z
14,14,14,209,96,143,48,155,2026-06-02,2026-06-14T10:00:00Z
15,15,15,222,103,154,49,160,2026-06-01,2026-06-13T10:00:00Z
16,16,16,235,110,165,50,165,2026-05-31,2026-06-12T10:00:00Z
17,17,17,248,117,176,51,170,2026-05-30,2026-06-11T10:00:00Z
18,18,18,261,124,187,52,175,2026-05-29,2026-06-10T10:00:00Z
19,19,19,274,131,198,53,180,2026-05-28,2026-06-09T10:00:00Z
20,20,20,287,138,209,54,185,2026-05-27,2026-06-08T10:00:00Z
21,21,21,300,145,220,55,190,2026-05-26,2026-06-17T10:00:00Z
22,22,22,313,152,231,56,195,2026-05-25,2026-06-16T10:00:00Z
23,23,23,326,159,242,57,200,2026-05-24,2026-06-15T10:00:00Z
24,24,24,339,166,253,58,205,2026-05-23,2026-06-14T10:00:00Z
25,25,25,352,173,4,59,210,2026-05-22,2026-06-13T10:00:00Z
26,26,26,365,180,15,60,215,2026-05-21,2026-06-12T10:00:00Z
27,27,27,378,7,26,61,220,2026-05-20,2026-06-11T10:00:00Z
28,28,28,391,14,37,62,225,2026-05-19,2026-06-10T10:00:00Z
29,29,29,404,21,48,63,230,2026-05-18,2026-06-09T10:00:00Z
30,30,30,417,28,59,64,235,2026-05-17,2026-06-08T10:00:00Z
31,31,31,430,35,70,65,240,2026-05-16,2026-06-17T10:00:00Z
32,32,1,443,42,81,66,245,2026-05-15,2026-06-16T10:00:00Z
33,33,2,456,49,92,67,250,2026-05-14,2026-06-15T10:00:00Z
34,34,3,469,56,103,68,255,2026-05-13,2026-06-14T10:00:00Z
35,35,4,482,63,114,69,260,2026-05-12,2026-06-13T10:00:00Z
36,36,5,495,70,125,70,265,2026-06-15,2026-06-12T10:00:00Z
37,37,6,508,77,136,71,270,2026-06-14,2026-06-11T10:00:00Z
38,38,7,521,84,147,72,275,2026-06-13,2026-06-10T10:00:00Z
39,39,8,534,91,158,73,280,2026-06-12,2026-06-09T10:00:00Z
40,40,9,547,98,169,74,285,2026-06-11,2026-06-08T10:00:00Z
41,41,10,560,105,180,35,290,2026-06-10,2026-06-17T10:00:00Z
42,42,11,573,112,191,36,295,2026-06-09,2026-06-16T10:00:00Z
43,43,12,586,119,202,37,300,2026-06-08,2026-06-15T10:00:00Z
44,44,13,599,126,213,38,305,2026-06-07,2026-06-14T10:00:00Z
45,45,14,612,133,224,39,310,2026-06-06,2026-06-13T10:00:00Z
46,46,15,625,140,235,40,315,2026-06-05,2026-06-12T10:00:00Z
47,47,16,638,147,246,41,320,2026-06-04,2026-06-11T10:00:00Z
48,48,17,651,154,257,42,325,2026-06-03,2026-06-10T10:00:00Z
49,49,18,44,44,8,43,90,2026-06-02,2026-06-09T10:00:00Z
50,50,19,57,57,19,44,95,2026-06-01,2026-06-08T10:00:00Z
51,51,20,70,70,30,45,100,2026-05-31,2026-06-17T10:00:00Z
52,52,21,83,83,41,46,105,2026-05-30,2026-06-16T10:00:00Z
53,53,22,96,9,52,47,110,2026-05-29,2026-06-15T10:00:00Z
54,54,23,109,16,63,48,115,2026-05-28,2026-06-14T10:00:00Z
55,55,24,122,23,74,49,120,2026-05-27,2026-06-13T10:00:00Z
56,56,25,135,30,85,50,125,2026-05-26,2026-06-12T10:00:00Z
57,57,26,148,37,96,51,130,2026-05-25,2026-06-11T10:00:00Z
58,58,27,161,44,107,52,135,2026-05-24,2026-06-10T10:00:00Z
59,59,28,174,51,118,53,140,2026-05-23,2026-06-09T10:00:00Z
60,60,29,187,58,129,54,145,2026-05-22,2026-06-08T10:00:00Z
