LOCATION_GEO,STORE_SK,SOURCE_SYSTEM,SOURCE_STORE_ID,LOCATION,MANAGER_NAME,CHANNEL_TYPE,STORE_TYPE,OPENED_DATE,INSERT_DT,UPDATE_DT
"{""point"": {""directposition"": [-96.8569, 32.74442]}, ""srid"": 4326}",1,In-Store POS,1,"6769 Sunset Ln, Dallas, TX 75206",Riley Chen,RETAIL,MEGA,2022-06-07T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-117.17978, 32.74798]}, ""srid"": 4326}",2,In-Store POS,2,"6221 Washington Ln, San Diego, CA 92105",Parker Young,RETAIL,MEGA,2023-02-17T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-82.82035, 39.98107]}, ""srid"": 4326}",3,In-Store POS,3,"1821 Broad Ct, Columbus, OH 43203",Parker Allen,RETAIL,MEGA,2025-09-08T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-97.84765, 30.23642]}, ""srid"": 4326}",4,In-Store POS,4,"1906 Oak Blvd, Austin, TX 78702",Taylor Patel,RETAIL,MEGA,2022-06-30T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-86.00962, 39.83721]}, ""srid"": 4326}",5,In-Store POS,5,"120 Magnolia Ln, Indianapolis, IN 46202",Riley Clark,FLAGSHIP,MEGA,2022-10-13T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-97.71217, 30.26139]}, ""srid"": 4326}",6,In-Store POS,6,"2500 Park St, Austin, TX 78702",Rowan Smith,OUTLET,MEGA,2021-01-19T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-112.05032, 33.51146]}, ""srid"": 4326}",7,In-Store POS,7,"973 Spring Way, Phoenix, AZ 85018",Sam Jones,RETAIL,SMALL,2023-05-15T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-121.90594, 37.33934]}, ""srid"": 4326}",8,In-Store POS,8,"8028 Market Pl, San Jose, CA 95110",Dana Patel,RETAIL,SMALL,2023-10-13T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-75.18515, 39.95196]}, ""srid"": 4326}",9,In-Store POS,9,"8974 Lake Way, Philadelphia, PA 19104",Dana Kim,RETAIL,SMALL,2025-04-08T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-118.34853, 34.0452]}, ""srid"": 4326}",10,In-Store POS,10,"1099 School Blvd, Los Angeles, CA 90012",Adam Nguyen,OUTLET,SMALL,2025-09-12T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-83.10825, 39.90162]}, ""srid"": 4326}",11,In-Store POS,11,"1747 Spruce Ln, Columbus, OH 43203",Cameron Young,OUTLET,SMALL,2025-01-22T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-82.92377, 39.96496]}, ""srid"": 4326}",12,In-Store POS,12,"9089 Elm Ct, Columbus, OH 43201",Hayden Smith,RETAIL,SMALL,2023-05-15T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-95.39714, 29.79972]}, ""srid"": 4326}",13,In-Store POS,13,"1772 Church Blvd, Houston, TX 77007",Emerson Lee,POPUP,SMALL,2024-04-18T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-122.40993, 37.80418]}, ""srid"": 4326}",14,In-Store POS,14,"2213 Chestnut Ave, San Francisco, CA 94103",Quinn Martin,OUTLET,SMALL,2024-04-21T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
"{""point"": {""directposition"": [-122.4038, 37.79276]}, ""srid"": 4326}",15,In-Store POS,15,"2651 Spring Ave, San Francisco, CA 94109",Dana Martin,RETAIL,SMALL,2023-04-29T00:00:00Z,2026-03-29T02:30:05.639933Z,2026-03-29T02:30:05.639933Z
