forecast_id,product_id,region,forecast_date,predicted_demand,confidence_low,confidence_high,social_factor,model_version,explanation
1,185,TX,2026-05-08,6804,6796,6818,1.1,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
2,185,CA,2026-05-09,1436,1428,1450,1.1,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
3,188,TX,2026-05-10,927,919,941,1.13,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
4,185,OH,2026-05-11,524,516,538,1.1,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
5,189,TX,2026-05-12,418,410,432,1.14,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
6,193,TX,2026-05-13,272,264,286,1.18,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
7,188,CA,2026-05-14,186,178,200,1.13,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
8,185,IN,2026-05-15,180,172,194,1.1,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
9,203,TX,2026-05-16,132,124,146,1.28,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
10,207,TX,2026-05-17,132,124,146,1.32,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
11,185,AZ,2026-05-18,94,86,108,1.1,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
12,201,TX,2026-05-19,92,84,106,1.26,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
13,185,PA,2026-05-20,70,62,84,1.1,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
14,189,CA,2026-05-21,73,65,87,1.14,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
15,214,TX,2026-05-22,64,56,78,1.04,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
16,220,TX,2026-05-23,70,62,84,1.1,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
17,188,OH,2026-05-24,53,45,67,1.13,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
18,193,CA,2026-05-25,58,50,72,1.18,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
19,201,CA,2026-05-26,50,42,64,1.26,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
20,226,TX,2026-05-27,45,37,59,1.16,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
21,207,CA,2026-05-28,43,35,57,1.32,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
22,230,TX,2026-05-08,38,30,52,1.2,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
23,189,OH,2026-05-09,38,30,52,1.14,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
24,203,CA,2026-05-10,34,26,48,1.28,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
25,472,TX,2026-05-11,32,24,46,1.17,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
26,287,TX,2026-05-12,28,20,42,1.07,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
27,193,OH,2026-05-13,29,21,43,1.18,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
28,226,CA,2026-05-14,18,10,32,1.16,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
29,203,OH,2026-05-15,23,15,37,1.28,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
30,272,TX,2026-05-16,21,13,35,1.27,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
31,497,TX,2026-05-17,22,14,36,1.07,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
32,337,TX,2026-05-18,14,6,28,1.22,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
33,438,TX,2026-05-19,16,8,30,1.18,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
34,188,AZ,2026-05-20,18,10,32,1.13,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
35,189,IN,2026-05-21,19,11,33,1.14,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
36,304,TX,2026-05-22,22,14,36,1.24,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
37,460,TX,2026-05-23,22,14,36,1.05,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
38,349,TX,2026-05-24,23,15,37,1.34,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
39,185,WA,2026-05-25,13,5,27,1.1,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
40,214,CA,2026-05-26,14,6,28,1.04,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
41,220,CA,2026-05-27,20,12,34,1.1,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
42,305,OH,2026-05-28,21,13,35,1.25,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
43,311,TX,2026-05-08,12,4,26,1.31,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
44,372,TX,2026-05-09,16,8,30,1.22,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
45,361,CA,2026-05-10,19,11,33,1.11,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
46,361,TX,2026-05-11,19,11,33,1.11,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
47,363,TX,2026-05-12,21,13,35,1.13,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
48,356,CA,2026-05-13,14,6,28,1.06,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
49,356,TX,2026-05-14,14,6,28,1.06,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
50,314,TX,2026-05-15,14,6,28,1.34,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
51,486,TX,2026-05-16,18,10,32,1.31,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
52,272,CA,2026-05-17,13,5,27,1.27,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
53,490,TX,2026-05-18,12,4,26,1.0,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
54,188,IN,2026-05-19,13,5,27,1.13,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
55,347,TX,2026-05-20,18,10,32,1.32,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
56,468,TX,2026-05-21,13,5,27,1.13,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
57,198,TX,2026-05-22,12,4,26,1.23,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
58,259,TX,2026-05-23,14,6,28,1.14,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
59,336,TX,2026-05-24,12,4,26,1.21,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
60,207,AZ,2026-05-25,17,9,31,1.32,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
61,498,TX,2026-05-26,14,6,28,1.08,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
62,459,TX,2026-05-27,17,9,31,1.04,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
63,539,TX,2026-05-28,13,5,27,1.14,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
64,431,TX,2026-05-08,17,9,31,1.11,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
65,188,PA,2026-05-09,12,4,26,1.13,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
66,203,IN,2026-05-10,13,5,27,1.28,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
67,577,TX,2026-05-11,12,4,26,1.17,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
68,507,TX,2026-05-12,12,4,26,1.17,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
69,601,TX,2026-05-13,18,10,32,1.06,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
70,207,OH,2026-05-14,16,8,30,1.32,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
71,185,FL,2026-05-15,12,4,26,1.1,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
72,311,CA,2026-05-16,12,4,26,1.31,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
73,600,TX,2026-05-17,17,9,31,1.05,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
74,426,TX,2026-05-18,12,4,26,1.06,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
75,533,TX,2026-05-19,12,4,26,1.08,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
76,403,CA,2026-05-20,16,8,30,1.18,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
77,557,TX,2026-05-21,16,8,30,1.32,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
78,523,TX,2026-05-22,12,4,26,1.33,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
79,509,TX,2026-05-23,12,4,26,1.19,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
80,354,TX,2026-05-24,12,4,26,1.04,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
81,201,OH,2026-05-25,12,4,26,1.26,gold-data-v1,"{""source"": ""FACT_SALES.csv"", ""signal"": ""derived gold forecast""}"
