"product_id","product_name","category","cost_price","retail_price","sku"
1,"CanyonRidge Outdoor Jacket 1","OUTDOOR",120.28,181.18,"SKU-100001"
2,"VelocityWorks Base Layer Top 2","ACTIVEWEAR",23.36,49.02,"SKU-100002"
3,"IronKinetic Ball Carry Bag 3","SOCCER",57.71,105.85,"SKU-100003"
4,"NordCrest Performance Tee 4","ACTIVEWEAR",6.36,13.39,"SKU-100004"
5,"VelocityWorks Compression Shorts 5","ACTIVEWEAR",27.38,58.09,"SKU-100005"
6,"CanyonRidge Team Ball Pump 6","TEAM_SPORTS",9.08,18.26,"SKU-100006"
7,"CANyonRiDGe  Ankle   sHIn GuARD SLEeveS  7      ","SOCCER",26.31,46.58,"SKU-100007"
8,"goAlLINe cLiMbiNg hArnesS 8 ","CLIMBING",28.6,58.5,"SKU-100008"
9,"Summitpulse camping STOVE 9","CAMPING_HIKING",86.96,172.52,"SKU-100009"
10,"VelocityWorks Bike Light Set 10","CYCLING",16.19,32.7,"SKU-100010"
11,"HydraWave Water Filter 11","CAMPING_HIKING",39.09,57.63,"SKU-100011"
12,"VelocityWorks Cycling Computer 12","FITNESS_DEVICES",168.04,223.24,"SKU-100012"
13,"GoalLine Camping Stove 13","N/A",24.66,44.34,"SKU-100013"
14,"TrailForge Base Layer Top 14","ACTIVEWEAR",18.15,37.68,"SKU-100014"
15,"IronKinetic Cycling Jersey 15","CYCLING",43.18,71.66,"SKU-100015"
16,"PeakGear Trail Runner 16","FOOTWEAR",78.69,147.95,"SKU-100016"
17,"HydraWave Cross-Training Shoe 17","FOOTWEAR",95.05,162.54,"SKU-100017"
18,"IronKinetic Helmet 18","CYCLING",43.71,85.85,"SKU-100018"
19,"CoachMark Wetsuit 19","N/A",115.02,190.79,"SKU-100019"
20,"PeakGear Running Socks 20","RUNNING",9.03,21.4,"SKU-100020"
21,"HydraWave Hiking Boot 21","FOOTWEAR",93.79,143.35,"SKU-100021"
22,"HydraWave Resistance Band Set 22","STRENGTH_TRAINING",12.79,21.39,"SKU-100022"
