center_id,center_name,center_type,address_line1,city,state_province,postal_code,country,latitude,longitude,capacity_units,current_load_pct,is_active,operating_hours,created_at
1,NYC Metro Hub,distribution,,Edison,New Jersey,08817,US,40.5187,-74.4121,500000,0,1,06:00-22:00,2026-04-13T09:16:47Z
2,LA Mega Center,warehouse,,Ontario,California,91761,US,34.0633,-117.6509,750000,0,1,06:00-22:00,2026-04-13T09:16:47Z
3,Chicago Midwest Hub,distribution,,Joliet,Illinois,60435,US,41.525,-88.0817,400000,0,1,06:00-22:00,2026-04-13T09:16:47Z
4,Dallas South Central,warehouse,,Lancaster,Texas,75134,US,32.5921,-96.7561,350000,0,1,06:00-22:00,2026-04-13T09:16:47Z
5,Atlanta Southeast,distribution,,Union City,Georgia,30291,US,33.5871,-84.5421,450000,0,1,06:00-22:00,2026-04-13T09:16:47Z
6,Seattle Pacific NW,warehouse,,Kent,Washington,98032,US,47.3809,-122.2348,300000,0,1,06:00-22:00,2026-04-13T09:16:47Z
7,Miami Southeast,distribution,,Hialeah,Florida,33012,US,25.8576,-80.2781,250000,0,1,06:00-22:00,2026-04-13T09:16:47Z
8,Denver Mountain West,warehouse,,Aurora,Colorado,80011,US,39.7294,-104.8319,200000,0,1,06:00-22:00,2026-04-13T09:16:47Z
9,Phoenix Desert Hub,warehouse,,Goodyear,Arizona,85338,US,33.4353,-112.3577,280000,0,1,06:00-22:00,2026-04-13T09:16:47Z
10,Boston Northeast,distribution,,Fall River,Massachusetts,02720,US,41.7015,-71.155,220000,0,1,06:00-22:00,2026-04-13T09:16:47Z
11,Minneapolis North Central,warehouse,,Shakopee,Minnesota,55379,US,44.7974,-93.5272,180000,0,1,06:00-22:00,2026-04-13T09:16:47Z
12,Portland Pacific,micro,,Troutdale,Oregon,97060,US,45.539,-122.3872,80000,0,1,06:00-22:00,2026-04-13T09:16:47Z
13,Nashville Central,warehouse,,Lebanon,Tennessee,37087,US,36.2081,-86.2911,250000,0,1,06:00-22:00,2026-04-13T09:16:47Z
14,San Francisco Bay,micro,,Fremont,California,94538,US,37.5485,-121.9886,120000,0,1,06:00-22:00,2026-04-13T09:16:47Z
15,Detroit Great Lakes,warehouse,,Romulus,Michigan,48174,US,42.2223,-83.3963,200000,0,1,06:00-22:00,2026-04-13T09:16:47Z
16,Philadelphia Mid-Atlantic,distribution,,Middletown,Delaware,19709,US,39.4496,-75.7163,350000,0,1,06:00-22:00,2026-04-13T09:16:47Z
17,Houston Gulf Coast,warehouse,,Missouri City,Texas,77459,US,29.6186,-95.5377,300000,0,1,06:00-22:00,2026-04-13T09:16:47Z
18,Salt Lake Mountain,warehouse,,West Jordan,Utah,84084,US,40.6097,-111.9391,180000,0,1,06:00-22:00,2026-04-13T09:16:47Z
19,Charlotte Southeast,micro,,Concord,North Carolina,28027,US,35.4088,-80.5795,100000,0,1,06:00-22:00,2026-04-13T09:16:47Z
20,Indianapolis Heartland,warehouse,,Plainfield,Indiana,46168,US,39.7043,-86.3994,250000,0,1,06:00-22:00,2026-04-13T09:16:47Z
21,Las Vegas West,warehouse,,North Las Vegas,Nevada,89030,US,36.1989,-115.1175,200000,0,1,06:00-22:00,2026-04-13T09:16:47Z
22,Kansas City Central,distribution,,Edwardsville,Kansas,66111,US,39.0614,-94.8193,320000,0,1,06:00-22:00,2026-04-13T09:16:47Z
23,Columbus Midwest,warehouse,,Etna,Ohio,43018,US,39.9576,-82.6818,220000,0,1,06:00-22:00,2026-04-13T09:16:47Z
24,Reno West Hub,warehouse,,Sparks,Nevada,89431,US,39.5349,-119.7527,280000,0,1,06:00-22:00,2026-04-13T09:16:47Z
25,Tampa Florida,micro,,Brandon,Florida,33510,US,27.9378,-82.2859,90000,0,1,06:00-22:00,2026-04-13T09:16:47Z
26,Baltimore East Coast,warehouse,,Aberdeen,Maryland,21001,US,39.5096,-76.1641,240000,0,1,06:00-22:00,2026-04-13T09:16:47Z
27,San Antonio South TX,micro,,New Braunfels,Texas,78130,US,29.703,-98.1245,100000,0,1,06:00-22:00,2026-04-13T09:16:47Z
28,Memphis Logistics,distribution,,Olive Branch,Mississippi,38654,US,34.9618,-89.8295,400000,0,1,06:00-22:00,2026-04-13T09:16:47Z
29,Honolulu Pacific,micro,,Kapolei,Hawaii,96707,US,21.335,-158.0581,50000,0,1,06:00-22:00,2026-04-13T09:16:47Z
30,Anchorage Alaska,micro,,Anchorage,Alaska,99501,US,61.2181,-149.9003,40000,0,1,06:00-22:00,2026-04-13T09:16:47Z
