"store_id","product_id","stock_on_hand","last_stock_update","reorder_level","available_to_promise_qty","inventory_status"
1,9,126,2025-12-30 06:22:09.000,32,113,"IN_STOCK"
1,40,148,2025-11-17 17:24:07.000,55,148,"IN_STOCK"
1,3,134,2025-11-20 06:33:12.000,10,117,"IN_STOCK"
1,26,137,2025-11-04 13:16:58.000,59,120,"N/A"
1,91,186,2025-11-17 12:14:52.000,30,172,"IN_STOCK"
1,20,164,2025-11-20 22:54:45.000,17,148,"IN_STOCK"
1,2,25,2025-11-17 21:44:01.000,47,14,"IN_STOCK"
1,19,150,2025-11-27 06:06:17.000,57,131,"IN_STOCK"
1,14,66,2025-12-30 04:44:59.000,10,52,"IN_STOCK"
1,5,112,2025-11-30 08:57:55.000,28,110,"IN_STOCK"
1,4,120,2025-12-05 07:47:52.000,37,113,"IN_STOCK"
1,53,144,2025-11-20 01:26:34.000,22,127,"IN_STOCK"
1,98,165,2025-11-02 07:14:07.000,50,147,"IN_STOCK"
1,1,143,2025-12-08 22:48:07.000,16,126,"IN_STOCK"
1,7,184,2025-12-30 19:25:58.000,24,177,"IN_STOCK"
1,30,169,2025-11-23 20:38:07.000,18,162,"IN_STOCK"
1,17,194,2025-11-11 03:21:02.000,29,192,"IN_STOCK"
1,174,105,2025-12-26 13:19:10.000,42,86,"IN_STOCK"
1,63,235,2025-12-20 02:51:11.000,11,223,"IN_STOCK"
1,27,243,2025-11-27 17:13:30.000,10,232,"IN_STOCK"
1,6,124,2025-11-03 10:19:31.000,27,119,"IN_STOCK"
1,13,122,2025-11-17 05:08:38.000,46,120,"IN_STOCK"
1,76,146,2025-12-08 05:19:39.000,11,129,"IN_STOCK"
1,8,148,2025-11-21 22:39:06.000,11,148,"IN_STOCK"
1,59,76,2025-11-26 23:21:36.000,40,61,"IN_STOCK"
1,18,85,2025-11-21 18:26:41.000,14,82,"IN_STOCK"
1,69,66,2025-11-25 10:34:10.000,22,46,"IN_STOCK"
1,138,83,2025-12-25 00:32:39.000,36,62,"IN_STOCK"
1,12,166,2025-12-30 20:17:36.000,9,160,"IN_STOCK"
1,15,124,2025-12-05 02:52:16.000,8,120,"IN_STOCK"
1,11,111,2025-11-18 13:34:25.000,58,98,"IN_STOCK"
1,25,111,2025-11-20 17:36:14.000,36,93,"IN_STOCK"
1,38,145,2025-12-22 08:47:48.000,5,125,"IN_STOCK"
1,47,175,2025-11-17 11:13:55.000,15,172,"IN_STOCK"
1,103,42,2025-12-09 15:14:23.000,47,27,"IN_STOCK"
1,58,116,2025-11-11 21:39:36.000,42,96,"IN_STOCK"
1,68,88,2025-11-16 09:22:56.000,34,82,"IN_STOCK"
1,197,120,2025-12-20 22:31:02.000,14,101,"IN_STOCK"
1,16,148,2025-11-14 02:48:07.000,31,125,"IN_STOCK"
1,39,159,2025-12-20 14:56:32.000,38,139,"IN_STOCK"
1,34,160,2025-12-23 01:48:30.000,16,137,"IN_STOCK"
1,97,136,2025-12-14 02:09:12.000,19,114,"IN_STOCK"
1,150,111,2025-11-15 22:26:58.000,20,94,"IN_STOCK"
1,48,196,2025-11-25 06:08:15.000,43,186,"IN_STOCK"
1,10,45,2025-12-08 04:57:23.000,19,42,"IN_STOCK"
1,152,202,2025-11-17 01:58:12.000,58,194,"IN_STOCK"
1,23,96,2025-11-12 21:51:19.000,11,71,"IN_STOCK"
1,65,193,2025-11-01 07:27:10.000,36,171,"IN_STOCK"
1,179,83,2025-11-01 21:55:08.000,40,71,"IN_STOCK"
