region_id,region_name,region_type,boundary,population,avg_income,social_density,demand_index,updated_at
1,Denver County Service Region,region,"POLYGON((-105.3403 39.3892, -104.6403 39.3892, -104.6403 40.0892, -105.3403 40.0892, -105.3403 39.3892))",715000,52000,11,62,2026-06-17T13:00:00Z
2,El Paso County Service Region,region,"POLYGON((-105.2114 38.4439, -104.4314 38.4439, -104.4314 39.2239, -105.2114 39.2239, -105.2114 38.4439))",750000,53700,14,69,2026-06-16T13:00:00Z
3,Arapahoe County Service Region,region,"POLYGON((-105.2619 39.2994, -104.4019 39.2994, -104.4019 40.1594, -105.2619 40.1594, -105.2619 39.2994))",655000,55400,17,76,2026-06-15T13:00:00Z
4,Larimer County Service Region,region,"POLYGON((-105.5544 40.1153, -104.6144 40.1153, -104.6144 40.99, -105.5544 40.99, -105.5544 40.1153))",370000,57100,20,83,2026-06-14T13:00:00Z
5,Jefferson County Service Region,region,"POLYGON((-105.5914 39.1947, -104.5714 39.1947, -104.5714 40.2147, -105.5914 40.2147, -105.5914 39.1947))",580000,58800,23,90,2026-06-13T13:00:00Z
6,Adams County Service Region,region,"POLYGON((-105.3219 39.518, -104.6219 39.518, -104.6219 40.218, -105.3219 40.218, -105.3219 39.518))",525000,60500,26,62,2026-06-12T13:00:00Z
7,Pueblo County Service Region,region,"POLYGON((-104.9991 37.8644, -104.2191 37.8644, -104.2191 38.6444, -104.9991 38.6444, -104.9991 37.8644))",170000,62200,29,69,2026-06-11T13:00:00Z
8,Boulder County Service Region,region,"POLYGON((-105.7005 39.585, -104.8405 39.585, -104.8405 40.445, -105.7005 40.445, -105.7005 39.585))",330000,63900,32,76,2026-06-10T13:00:00Z
9,Weld County Service Region,region,"POLYGON((-105.1791 39.9533, -104.2391 39.9533, -104.2391 40.8933, -105.1791 40.8933, -105.1791 39.9533))",350000,65600,35,83,2026-06-09T13:00:00Z
10,Douglas County Service Region,region,"POLYGON((-105.3661 38.8622, -104.3461 38.8622, -104.3461 39.8822, -105.3661 39.8822, -105.3661 38.8622))",375000,67300,38,90,2026-06-08T13:00:00Z
11,Mesa County Service Region,region,"POLYGON((-108.9006 38.7139, -108.2006 38.7139, -108.2006 39.4139, -108.9006 39.4139, -108.9006 38.7139))",160000,69000,12,62,2026-06-07T13:00:00Z
12,Broomfield County Service Region,region,"POLYGON((-105.4767 39.5305, -104.6967 39.5305, -104.6967 40.3105, -105.4767 40.3105, -105.4767 39.5305))",75000,70700,15,69,2026-06-06T13:00:00Z
13,La Plata County Service Region,region,"POLYGON((-108.3101 36.95, -107.4501 36.95, -107.4501 37.7053, -108.3101 37.7053, -108.3101 36.95))",58000,72400,18,76,2026-06-05T13:00:00Z
14,Montrose County Service Region,region,"POLYGON((-108.3462 38.0083, -107.4062 38.0083, -107.4062 38.9483, -108.3462 38.9483, -108.3462 38.0083))",44000,74100,21,83,2026-06-04T13:00:00Z
15,Routt County Service Region,region,"POLYGON((-107.3417 39.975, -106.3217 39.975, -106.3217 40.99, -107.3417 40.99, -107.3417 39.975))",25000,75800,24,90,2026-06-03T13:00:00Z
16,Alamosa County Service Region,region,"POLYGON((-106.22 37.1195, -105.52 37.1195, -105.52 37.8195, -106.22 37.8195, -106.22 37.1195))",16500,77500,27,62,2026-06-17T13:00:00Z
17,Garfield County Service Region,region,"POLYGON((-107.7148 39.1605, -106.9348 39.1605, -106.9348 39.9405, -107.7148 39.9405, -107.7148 39.1605))",62000,79200,30,69,2026-06-16T13:00:00Z
18,Clear Creek County Service Region,region,"POLYGON((-105.9436 39.3125, -105.0836 39.3125, -105.0836 40.1725, -105.9436 40.1725, -105.9436 39.3125))",9500,80900,33,76,2026-06-15T13:00:00Z
19,Fremont County Service Region,region,"POLYGON((-105.6953 37.9794, -104.7553 37.9794, -104.7553 38.9194, -105.6953 38.9194, -105.6953 37.9794))",49000,82600,36,83,2026-06-14T13:00:00Z
20,Chaffee County Service Region,region,"POLYGON((-106.5089 38.0247, -105.4889 38.0247, -105.4889 39.0447, -106.5089 39.0447, -106.5089 38.0247))",20500,84300,39,90,2026-06-13T13:00:00Z
