order_id,guest_id,order_status,order_total,shipping_cost,fulfillment_center_id,shipping_lat,shipping_lon,estimated_delivery,actual_delivery,social_source_id,demand_score,created_at,updated_at
22221,3888,confirmed,1139.93,7.99,249,,,,,,86.48,2026-08-21T13:45:17Z,2026-09-17T13:44:08Z
22222,2951,processing,429.9,7.99,240,,,,,,79.45,2026-08-13T08:41:56Z,2026-09-17T13:44:08Z
22223,3735,routed,539.97,7.99,241,,,,,,32.07,2026-08-14T11:47:49Z,2026-09-17T13:44:08Z
22224,2706,completed,179.99,0,222,,,,,,60.4,2026-08-24T00:14:18Z,2026-09-17T13:44:08Z
22225,3807,completed,209.97,7.99,230,,,,,25868,24.4,2026-08-06T01:54:20Z,2026-09-17T13:44:08Z
22226,3814,completed,982.94,0,223,,,,,22458,75.85,2026-08-31T10:28:52Z,2026-09-17T13:44:08Z
22227,3150,cancelled,986.94,0,228,,,,,,30.22,2026-08-13T14:27:37Z,2026-09-17T13:44:08Z
22228,4091,pending,8699.97,7.99,,,,,,22525,83.01,2026-07-24T04:18:59Z,2026-09-17T13:44:08Z
22229,2854,confirmed,878.98,14.99,234,,,,,,79.87,2026-09-06T12:14:18Z,2026-09-17T13:44:08Z
22230,2697,processing,149.99,0,247,,,,,,15.28,2026-08-30T14:02:15Z,2026-09-17T13:44:08Z
22231,3659,routed,1988.91,7.99,246,,,,,,67.13,2026-08-13T16:42:59Z,2026-09-17T13:44:08Z
22232,4091,completed,97.98,0,236,,,,,,19.64,2026-08-19T08:12:22Z,2026-09-17T13:44:08Z
22233,4056,completed,749.9,0,241,,,,,26433,30.33,2026-08-20T17:49:00Z,2026-09-17T13:44:08Z
22234,3860,completed,79.99,7.99,245,,,,,,27.55,2026-08-10T00:43:28Z,2026-09-17T13:44:08Z
22235,2801,cancelled,368.95,0,243,,,,,,90.02,2026-08-31T19:27:28Z,2026-09-17T13:44:08Z
22236,3418,pending,319.96,7.99,,,,,,,75.04,2026-08-08T02:10:05Z,2026-09-17T13:44:08Z
